timestamp,x,y,z
1570181898061181,-0.5625,-0.125,0.125
1570181898076142,-0.125,-0.1875,-0.0625
1570181898100079,0.5,-0.25,0.0625
1570181898121117,0.625,-0.1875,0.1875
1570181898136979,0.0625,-0.1875,0.1875
1570181898158919,0,-0.125,0.1875
1570181898181857,-0.1875,0.0625,0.0625
1570181898229732,-0.375,-0.0625,-0.0625
1570181898231727,0,-0.1875,-0.0625
1570181898250862,-0.0625,-0.1875,0
1570181898257656,0.3125,-0.125,0.25
1570181898279598,0.0625,-0.125,0.125
1570181898303536,0.3125,-0.125,0.1875
1570181898338502,-0.0625,0.0625,0.375
1570181898348414,-0.9375,0.125,0.25
1570181898361382,-1.25,0.1875,0.125
1570181898376497,-0.9375,0.0625,0.125
1570181898399278,0.5625,0.0625,0.0625
1570181898423223,0.5625,-0.125,-0.25
1570181898437179,0.1875,-0.0625,0.125
1570181898460401,0.125,0,0.1875
1570181898483055,-0.375,0.125,0.1875
1570181898497092,-0.375,0.125,0.125
1570181898520954,-0.0625,0.125,0
1570181898542970,-0.4375,0.125,-0.375
1570181898557859,-0.375,0.125,-0.375
1570181898580797,-0.125,0.125,0
1570181898602737,-0.375,0.25,-0.25
1570181898617764,-1.0625,0.1875,-0.3125
1570181898640642,-0.625,0.125,-0.0625
1570181898663646,-0.5,0.125,-0.4375
1570181898684580,-0.6875,0.0625,-0.625
1570181898700475,-1.0625,0.0625,-0.375
1570181898723414,-1.1875,0.125,-0.125
1570181898744359,-0.9375,0.1875,-0.0625
1570181898760314,-0.5625,0.125,0.375
1570181898783265,-0.4375,0.125,0.5625
1570181898804194,0,0.125,0.3125
1570181898820265,0.5,0.125,0.125
1570181898843257,0.6875,0.0625,-0.0625
1570181898864038,0.75,-0.0625,-0.125
1570181898881002,0.6875,-0.0625,-0.25
1570181898902989,0.625,0,-0.1875
1570181898924096,0.4375,-0.0625,-0.125
1570181898940832,0.25,0.0625,-0.0625
1570181898970752,-0.125,0,-0.125
1570181898983718,-0.0625,0.0625,-0.1875
1570181899000857,-0.3125,0.1875,-0.125
1570181899022662,-0.3125,0.1875,0.375
1570181899044588,-0.9375,0.25,0.125
1570181899060512,-1.125,0.25,0
1570181899083450,-0.625,0.1875,0.0625
1570181899104396,-0.375,0.0625,-0.375
1570181899120353,-0.625,0.0625,-0.5625
1570181899143289,-1.75,0.1875,-0.5
1570181899165452,-2.5,0.25,-0.125
1570181899181189,-1.9375,0.3125,0.1875
1570181899203129,-1.0625,0.25,0.3125
1570181899226069,0.6875,0.125,0.625
1570181899248018,2.75,0,0.3125
1570181899262976,1.375,-0.0625,-0.0625
1570181899285912,-0.5625,0.125,-0.6875
1570181899299877,-0.3125,-0.125,-1
1570181899329146,-1.3125,-0.3125,-1
1570181899345757,-1.4375,0.0625,-1.1875
1570181899367741,-2.375,0.25,-1
1570181899389701,-2.5,0.125,-0.375
1570181899405590,-1.8125,0.125,0.125
1570181899428529,-1.375,0.25,0
1570181899449602,-1.375,0.375,-0.0625
1570181899465431,-2,0.375,0.1875
1570181899488378,-2.1875,0.3125,0.125
1570181899509370,-1.375,0.3125,0.125
1570181899526266,-0.625,0.3125,0.1875
1570181899548207,-1.625,0.375,-0.125
1570181899569150,-1.8125,0.375,-0.375
1570181899586108,-1.9375,0.375,-0.375
1570181899608172,-1.3125,0.25,-0.3125
1570181899629039,-0.5,0.375,-0.0625
1570181899645945,-0.3125,0.1875,-0.0625
1570181899667889,-0.0625,0.0625,0
1570181899690832,0.3125,0,-0.0625
1570181899705785,1,-0.125,-0.1875
1570181899727727,1.1875,-0.1875,-0.1875
1570181899750665,1.125,-0.0625,0.0625
1570181899771616,0.625,-0.0625,0.125
1570181899787616,1.0625,-0.0625,0.125
1570181899810505,1.8125,-0.125,0.125
1570181899824469,1.25,0,0.25
1570181899848410,0.8125,0.125,0.0625
1570181899870404,1.375,-0.0625,0.25
1570181899885307,1.0625,-0.0625,0.1875
1570181899908306,0.5,0,0.0625
1570181899930939,-0.1875,-0.0625,0.1875
1570181899945147,-0.0625,0,-0.1875
1570181899968090,0.3125,0,-0.5
1570181899991027,0.3125,0.0625,0
1570181900004995,0.4375,0,0.375
1570181900027927,-0.625,0.1875,0.125
1570181900050877,-1.1875,0.1875,0.125
1570181900072008,-1.25,0.25,0.125
1570181900087781,-1.9375,0.3125,-0.0625
1570181900110704,-1.875,0.625,0.125
1570181900125240,-0.75,0.875,0.8125
1570181900147604,1.6875,0.8125,0.9375
