timestamp,x,y,z
1570180183442813,-3.5625,0.75,0.875
1570180183457810,-3,5.5625,1.8125
1570180183482007,4.9375,8.4375,5.6875
1570180183504685,15.1875,8.8125,6
1570180183519697,18.75,5.125,2
1570180183540557,14.5625,1.8125,0.0625
1570180183564601,4.375,1.25,0.5
1570180183618351,-2,1.0625,0.125
1570180183619437,-2.375,1.875,0.75
1570180183626326,-1.5,1.1875,0.6875
1570180183640429,1,0.9375,0.375
1570180183661234,2.8125,0.9375,1.5
1570180183693150,2.625,1.9375,0.9375
1570180183698594,0.9375,1.3125,0.6875
1570180183746056,-0.5625,-0.6875,0.375
1570180183746712,-1,0.75,-0.625
1570180183759021,-0.125,1.25,-1.125
1570180183781911,2.1875,1.125,-0.25
1570180183803095,1.125,0.3125,0
1570180183819809,-1.5,1.25,-0.6875
1570180183842885,-2.1875,1.25,-0.375
1570180183863692,-2.6875,0.9375,-1.25
1570180183879646,-2.3125,0.6875,-1.3125
1570180183902586,-1,-0.125,-0.5625
1570180183923535,1.6875,-0.4375,-0.5
1570180183940487,2.3125,0,-1.125
1570180183962437,1.875,-0.3125,-0.9375
1570180183983369,1.875,-1.125,-0.1875
1570180184000325,1.8125,0.125,-0.8125
1570180184022604,3.3125,0.75,0.1875
1570180184043518,4.9375,0.3125,0.1875
1570180184060170,5.3125,0.75,0
1570180184083105,2.3125,0.9375,-1.8125
1570180184104100,-0.0625,1.3125,-2.8125
1570180184120014,-1.5625,1.3125,-3.25
1570180184142944,-2.0625,0.3125,-3.25
1570180184164092,-2.25,0.8125,-0.8125
1570180184179849,-0.875,1.9375,-0.3125
1570180184202785,0.125,2.4375,1.3125
1570180184223730,-2.1875,3.0625,2
1570180184246720,-3.5625,3.5625,2
1570180184268746,-1.6875,3.0625,1.5
1570180184284766,2.4375,2.75,0.6875
1570180184300532,4.875,4.5,0.9375
1570180184322465,6.9375,4.375,2.1875
1570180184345405,5.5625,0,0.875
1570180184360361,4.9375,1,-0.4375
1570180184382302,4.3125,0.75,0.875
1570180184405243,2.1875,-0.8125,-0.375
1570180184419214,1.625,0.625,-1.1875
1570180184442195,4.5,2.25,-0.8125
1570180184465080,6.4375,0.625,0
1570180184479044,6.1875,-1.125,-0.6875
1570180184501983,4.75,-1.125,0.125
1570180184524922,3.5625,-0.5625,0.125
1570180184538992,3.1875,-0.0625,1.25
1570180184562821,1.9375,0.875,1.8125
1570180184585171,0.8125,0.1875,2.0625
1570180184599723,2.625,-0.8125,3.125
1570180184622659,3.6875,-0.9375,3.0625
1570180184644601,4.9375,-0.8125,2.4375
1570180184659720,4.75,1.3125,1.125
1570180184682502,4,3,-0.4375
1570180184704450,4.8125,3.8125,-0.375
1570180184727381,6.0625,2.5,0.125
1570180184748327,4,-0.875,-2.375
1570180184765280,1,-2.25,-3.1875
1570180184787235,-0.0625,0.4375,-3.0625
1570180184810160,-0.3125,0.6875,-2.5625
1570180184832270,0.1875,-0.25,-2.0625
1570180184855040,1.25,-1.0625,-1.4375
1570180184870000,0.5625,-0.75,-2
1570180184884144,1.25,1.3125,-1.25
1570180184907906,1.6875,1.5,0.5625
1570180184930252,2.5625,0.5625,0.1875
1570180184944802,3.8125,1.25,1.375
1570180184967739,5.8125,3.75,2.6875
1570180184990682,16.4375,6.625,5.8125
1570180185011673,23.75,6.1875,7.1875
1570180185027586,24.0625,2.9375,5.75
1570180185049651,16.625,2.5,3.75
1570180185071460,8.75,3.5625,4.1875
1570180185087434,4.375,2.875,2.8125
1570180185110358,1.625,2.8125,0.9375
1570180185124318,1.6875,4.5625,0.75
1570180185147263,-1.625,4.1875,-1.5625
1570180185170197,-3.75,0.6875,-6.0625
1570180185184160,-6.5625,-1.6875,-7.1875
1570180185207340,-9.375,-3.25,-7.375
1570180185230039,-13.5,-4.625,-8.3125
1570180185244048,-16.6875,-5.125,-8.125
1570180185267937,-15.25,-2.875,-6.1875
1570180185289876,-12.5,-2.625,-5.375
1570180185311029,-10.4375,-3.6875,-5.0625
1570180185327793,-8.8125,-3.125,-3
1570180185349721,-8.75,-1.8125,-2.3125
1570180185370668,-6.5625,-2,-2.625
1570180185387627,-5.8125,-2.625,-1.5
1570180185410562,-5.375,-1.25,-0.4375
1570180185438482,-2.8125,-0.1875,0.625
1570180185448488,1.125,-0.9375,-0.1875
1570180185470393,2.8125,-2.0625,-0.8125
1570180185498581,0.5,-2.75,-0.4375
1570180185507297,-2.875,-2.625,-1.0625
1570180185530239,-5.1875,-2.8125,-1.5
1570180185551452,-5.6875,-2.4375,-1.1875
1570180185567246,-4.0625,-2.4375,-1.5625
1570180185590081,-1.875,-1.875,-1.1875
1570180185611310,-0.25,-0.75,0.0625
1570180185627124,1.1875,-1.3125,-0.6875
1570180185649914,0.0625,-2,-1.125
1570180185670906,-2.4375,-1.125,0.375
1570180185688138,-0.1875,-0.125,1.1875
1570180185715785,3.25,0.125,1.4375
1570180185732695,4,0,1.1875
1570180185747940,3.8125,-0.375,0.8125
1570180185769975,1.125,-0.0625,1.0625
1570180185798643,-0.625,0.25,0.625
1570180185807506,0.375,0.4375,0.1875
1570180185830431,3,0.8125,0.625
1570180185852378,3.9375,1.25,0.8125
1570180185867332,3.5,1.5,0.4375
1570180185890272,1.375,0.625,-0.3125
1570180185912264,0,0.875,-0.1875
1570180185927172,0.1875,1.0625,0.4375
1570180185950121,0.75,1.25,-0.1875
1570180185973051,0.375,1.3125,-0.125
1570180185987014,0.875,1.0625,0.4375
1570180186010030,0.6875,1.125,-0.1875
1570180186032891,0.4375,1.625,-0.1875
1570180186053834,2,1.6875,0.5
1570180186069793,2.5,1.625,0.3125
1570180186092736,2.8125,1.4375,0.375
1570180186113921,2,0.9375,0.8125
1570180186129680,0.1875,0.4375,0.25
1570180186159686,-0.3125,0.25,0.25
1570180186166576,-0.75,0.625,0.4375
1570180186190471,-0.375,0.5625,0.0625
1570180186218909,1.125,0.375,0.4375
1570180186233537,2.375,0.125,0.8125
1570180186250309,2.5625,0.0625,0.25
1570180186273373,1.25,-0.25,0.3125
1570180186294193,0.125,-0.25,0.9375
1570180186310159,-0.3125,-0.125,0.6875
1570180186333089,0.3125,-0.125,0.5625
1570180186354083,1.625,0.125,0.9375
1570180186377968,2.375,0,0.75
1570180186392937,2.0625,0.5625,0.4375
1570180186414324,1.5625,0.5625,0.8125
1570180186430827,1.0625,0.375,0.8125
1570180186452923,0.5,0.5,0.6875
1570180186473717,0,0.5,0.8125
1570180186495653,0.5,0.375,0.625
1570180186518589,1,0.4375,0.25
1570180186541549,1,0.75,0.1875
1570180186550508,0.875,0.6875,0.25
1570180186572447,-0.25,0.8125,0.0625
1570180186593570,-0.8125,0.75,0.0625
1570180186617464,-0.25,0.9375,0
1570180186632287,0.125,1.125,0.125
1570180186655275,0.375,0.9375,0.125
1570180186670184,-0.125,1.1875,0
1570180186692235,-0.375,1.25,0.3125
1570180186721054,-0.75,1,0.0625
1570180186730027,-1.1875,1.125,-0.25
1570180186752099,-1.1875,1.3125,0.0625
1570180186775151,0.8125,0.9375,0.25
1570180186797846,1.375,0.5,0.25
1570180186812806,0.875,0.1875,0.4375
1570180186835744,0,0.25,0.9375
1570180186849709,-0.25,0.125,1.6875
1570180186872646,0.625,0.0625,1.875
1570180186894590,0.8125,-0.0625,1.6875
1570180186909556,-0.1875,-0.4375,1.125
1570180186932499,-1.9375,-0.1875,0.5
1570180186955580,-2.1875,0.25,0
1570180186969393,-1.75,0.75,-0.8125
1570180186992376,-1.9375,0.375,-1.9375
1570180187015268,-1.9375,0.3125,-2.5625
1570180187029288,-2.9375,0.375,-2.875
1570180187052234,-3.8125,0.625,-3.25
1570180187075104,-2.875,0.6875,-3.25
1570180187089083,-4.3125,0.125,-3.125
1570180187112317,-4.5,0.375,-2.75
1570180187134942,-2.125,1.25,-1.8125
1570180187155889,-1.125,1.125,-1.5625
1570180187172844,-1.875,0.1875,-1.6875
1570180187194790,-1.9375,0.8125,-1.4375
1570180187217727,-2.6875,1.5625,-1.375
1570180187232764,-2.1875,1.4375,-1.5
1570180187254623,-1.125,1.375,-1.3125
1570180187276571,-0.6875,1.5,-1.4375
1570180187292524,-1.5625,1.125,-1.3125
1570180187315463,-1.375,0.8125,-1.125
1570180187336440,-0.75,0.25,-0.1875
1570180187353359,0.5,0.0625,0
1570180187375306,0.3125,-0.25,0.0625
1570180187396443,0.8125,-0.375,0.25
1570180187412305,1.9375,-0.4375,0.625
1570180187441468,2.3125,-0.3125,0.6875
1570180187456271,2.25,-0.125,0.75
1570180187473040,1.8125,-0.625,0.6875
1570180187494996,1.8125,-0.9375,0.6875
1570180187516186,2.875,-0.6875,0.875
1570180187532881,3.1875,-0.875,1.0625
1570180187554826,2.6875,-1.0625,1.3125
1570180187577758,2.3125,-1,1.5625
1570180187592737,1.8125,-0.9375,1.4375
1570180187614714,1,-0.75,1.3125
1570180187637597,1.0625,-0.625,1
1570180187660539,1.5625,-0.625,0.625
1570180187675500,1.9375,-0.4375,0.375
1570180187697444,1.875,-0.1875,-0.125
1570180187712399,1.4375,-0.5,-0.375
1570180187717817,0,-0.6875,-0.6875
1570180187740458,-0.375,-0.1875,-0.75
1570180187763389,0.0625,-0.25,-0.25
1570180187779338,0.875,-0.375,-0.125
1570180187801169,0.5625,-0.8125,-0.0625
1570180187832247,-0.25,-0.5625,0
1570180187838283,-0.4375,-0.1875,0
1570180187860484,-0.25,0,0.0625
1570180187882948,0.25,0.125,0.375
1570180187905883,0.375,0,0.5
1570180187919843,-0.1875,0.4375,0.3125
1570180187943151,-0.25,0.3125,0.25
1570180187957950,-0.1875,0.4375,0.0625
1570180187980960,0,0.4375,-0.125
1570180188002799,-0.125,0.5625,-0.25
1570180188017730,-0.1875,0.1875,-0.5
1570180188040656,-0.25,0.1875,-0.6875
1570180188063471,-0.625,0,-0.875
1570180188081269,-0.9375,0.3125,-0.8125
1570180188108390,-0.75,0.375,-0.5625
1570180188123353,-0.625,0,-0.375
1570180188139258,-0.9375,-0.1875,-0.1875
1570180188160220,-0.5625,0,-0.25
1570180188186241,-0.8125,0.125,-0.5625
1570180188205166,-0.625,0.3125,-0.375
1570180188220050,0.125,0.5625,0.1875
1570180188243091,-1.0625,0.5,-0.3125
1570180188259069,-1.6875,0.75,-0.1875
1570180188280919,-1,0.5625,0.0625
1570180188303031,-0.3125,0.25,-0.125
1570180188326759,-0.125,0.0625,-0.4375
1570180188340800,0.25,-0.375,-0.375
