timestamp,x,y,z,w
1570180356700447,0.0281982,-0.272705,-0.532532,0.800781
1570180356724304,0.0369263,-0.276733,-0.52655,0.80304
1570180356739154,0.0540771,-0.286621,-0.5271,0.798218
1570180356760167,0.0551147,-0.286499,-0.529602,0.796509
1570180356784037,0.0431519,-0.278809,-0.528748,0.800537
1570180356798997,0.0404053,-0.26947,-0.530518,0.802673
1570180356821055,0.0338135,-0.262878,-0.533997,0.802856
1570180356874798,0.0271606,-0.254761,-0.537598,0.803345
1570180356876930,0.0229492,-0.248657,-0.541809,0.802551
1570180356882771,0.020752,-0.242981,-0.548767,0.799622
1570180356893905,0.0196533,-0.234314,-0.55658,0.796814
1570180356911698,0.0149536,-0.224731,-0.562988,0.795227
1570180356933688,0.00720215,-0.21521,-0.566711,0.795288
1570180356977705,-0.000244141,-0.206482,-0.571594,0.794128
1570180356987595,-0.00695801,-0.198608,-0.575073,0.793579
1570180356994476,-0.0120239,-0.188171,-0.579102,0.793152
1570180357009433,-0.0134277,-0.180664,-0.583923,0.791382
1570180357031376,-0.0151367,-0.17627,-0.588379,0.789001
1570180357061296,-0.0184937,-0.173523,-0.590271,0.788147
1570180357076263,-0.0222778,-0.175415,-0.589355,0.788269
1570180357100192,-0.0258789,-0.181213,-0.585571,0.789673
1570180357122135,-0.0266113,-0.18988,-0.579773,0.791931
1570180357137189,-0.0252686,-0.200928,-0.572388,0.794556
1570180357160033,-0.0233154,-0.208374,-0.567749,0.796082
1570180357181974,-0.0206299,-0.2146,-0.564209,0.796997
1570180357204911,-0.0153198,-0.220825,-0.559082,0.799011
1570180357219939,-0.00982666,-0.227661,-0.553467,0.801086
1570180357241879,-0.00714111,-0.232056,-0.548889,0.802979
1570180357263762,-0.0045166,-0.233459,-0.547607,0.803467
1570180357279721,-0.00396729,-0.234009,-0.545715,0.804626
1570180357302650,-0.00360107,-0.235535,-0.544922,0.804749
1570180357323592,-0.00146484,-0.23938,-0.543884,0.804321
1570180357340552,0.000915527,-0.244446,-0.541504,0.804382
1570180357362494,0.00439453,-0.248413,-0.539368,0.804565
1570180357383560,0.0109863,-0.254578,-0.535217,0.805359
1570180357399390,0.0230103,-0.262939,-0.529907,0.805908
1570180357422333,0.0345459,-0.270081,-0.526489,0.805359
1570180357443322,0.0419922,-0.275208,-0.523804,0.805054
1570180357460295,0.0479126,-0.278198,-0.521545,0.805176
1570180357482170,0.0535278,-0.282471,-0.519104,0.804871
1570180357503361,0.0585327,-0.286621,-0.516846,0.804565
1570180357520069,0.0618896,-0.289063,-0.51532,0.804382
1570180357542015,0.0609131,-0.29895,-0.514343,0.801453
1570180357563131,0.0576172,-0.299011,-0.516541,0.800293
1570180357570204,0.0534058,-0.300964,-0.517944,0.798889
1570180357593202,0.0518188,-0.302979,-0.518311,0.798035
1570180357607833,0.0494385,-0.304749,-0.518066,0.797668
1570180357630842,0.0491943,-0.304443,-0.518616,0.797485
1570180357661871,0.0509644,-0.303711,-0.519775,0.796875
1570180357667679,0.0531616,-0.303894,-0.519897,0.79657
1570180357690619,0.053894,-0.301086,-0.521179,0.796753
1570180357712555,0.0563354,-0.298767,-0.521851,0.796997
1570180357735657,0.0579224,-0.295349,-0.522705,0.797607
1570180357750684,0.0593262,-0.296387,-0.52417,0.796143
1570180357772392,0.055603,-0.288208,-0.527039,0.797546
1570180357787828,0.0487671,-0.276672,-0.526489,0.802429
1570180357810474,0.0541992,-0.276917,-0.521912,0.804993
1570180357833230,0.0617065,-0.281677,-0.518616,0.804871
