timestamp,x,y,z
1570180384262288,0.242676,0.658691,0.55957
1570180384279357,0.266602,0.680176,0.547852
1570180384300188,0.257324,0.706543,0.537109
1570180384316764,0.192383,0.711426,0.561035
1570180384338237,0.182129,0.706543,0.595215
1570180384361025,0.230957,0.688477,0.55127
1570180384376997,0.245117,0.67041,0.542969
1570180384429022,0.245605,0.717285,0.565918
1570180384429841,0.187988,0.711426,0.558105
1570180384438826,0.145996,0.691406,0.543457
1570180384451786,0.154785,0.664551,0.556641
1570180384473728,0.199707,0.655273,0.553711
1570180384496782,0.199219,0.671387,0.557617
1570180384540543,0.14209,0.689941,0.543457
1570180384550521,0.169434,0.699219,0.524414
1570180384556503,0.196777,0.669434,0.516602
1570180384571465,0.211426,0.638672,0.52002
1570180384602380,0.245605,0.629395,0.532715
1570180384626319,0.236816,0.62207,0.52832
1570180384640289,0.196777,0.651855,0.535156
1570180384662227,0.153809,0.702637,0.536621
1570180384685159,0.166016,0.714844,0.509766
1570180384699131,0.18457,0.689941,0.522949
1570180384722060,0.154785,0.672363,0.550781
1570180384745170,0.144043,0.66748,0.511719
1570180384759028,0.191406,0.647949,0.495117
1570180384782085,0.22998,0.624023,0.500488
1570180384795027,0.229004,0.619629,0.509277
1570180384809825,0.212402,0.653809,0.518555
1570180384832818,0.254883,0.688477,0.521973
1570180384854712,0.321777,0.70752,0.506836
1570180384870678,0.353027,0.714355,0.526367
1570180384892613,0.414063,0.738281,0.550781
1570180384915596,0.444336,0.760742,0.585938
1570180384930503,0.378906,0.769531,0.564941
1570180384954439,0.29541,0.754395,0.536621
1570180384975391,0.270508,0.70459,0.497559
1570180384990341,0.273926,0.656738,0.45752
1570180385012460,0.311523,0.669434,0.425293
1570180385035487,0.340332,0.704102,0.40625
1570180385050190,0.369141,0.707031,0.359375
1570180385073130,0.386719,0.664551,0.339844
1570180385095417,0.401367,0.586426,0.339355
1570180385110026,0.48877,0.535645,0.312988
1570180385133029,0.601074,0.49707,0.335449
1570180385155155,0.641602,0.458984,0.371582
1570180385170007,0.578125,0.427246,0.384277
1570180385192857,0.484863,0.380371,0.429688
1570180385215960,0.421875,0.405762,0.474609
1570180385230705,0.382324,0.498535,0.493164
1570180385252825,0.330078,0.557129,0.526855
1570180385275579,0.272461,0.629883,0.503906
1570180385290807,0.17041,0.687012,0.481445
1570180385312703,0.0751953,0.756348,0.515137
1570180385335694,0.0727539,0.776367,0.530273
1570180385350595,-0.0297852,0.782715,0.5
1570180385373319,-0.200195,0.771484,0.526367
1570180385395494,-0.295898,0.790039,0.541016
1570180385410589,-0.23877,0.862793,0.503906
1570180385432167,-0.16748,0.92334,0.490723
1570180385455348,-0.155273,0.891602,0.51123
1570180385470283,-0.0883789,0.898926,0.526367
1570180385493129,-0.00439453,0.907227,0.474121
1570180385515351,0.0639648,0.821777,0.431641
1570180385530065,0.0913086,0.866699,0.464844
1570180385553042,0.347168,1.06348,0.608398
1570180385575778,0.263184,0.933105,0.475586
1570180385589890,0.1875,0.821289,0.374023
1570180385612886,0.172852,0.868652,0.298828
1570180385635619,0.20166,0.867188,0.258789
1570180385650785,0.257813,0.80957,0.305176
1570180385673384,0.272461,0.801758,0.376465
1570180385695695,0.243652,0.743164,0.396484
1570180385710466,0.230957,0.671387,0.434082
1570180385732588,0.223145,0.664063,0.458496
1570180385755299,0.222656,0.693359,0.469727
1570180385771254,0.213867,0.735352,0.451172
1570180385792204,0.21582,0.744141,0.455566
1570180385815137,0.230469,0.734863,0.463379
1570180385831574,0.217773,0.708496,0.473145
1570180385853037,0.191895,0.702148,0.48584
1570180385874976,0.165039,0.739258,0.492188
1570180385891933,0.162598,0.764648,0.503906
1570180385912973,0.154297,0.762207,0.491211
1570180385934824,0.173828,0.751953,0.496582
1570180385951775,0.233398,0.717285,0.479004
1570180385972717,0.236328,0.724121,0.445313
1570180385994663,0.228516,0.731934,0.444824
1570180386011617,0.21582,0.734375,0.462891
1570180386032650,0.205078,0.744629,0.474609
1570180386055502,0.220703,0.73291,0.476074
1570180386071452,0.258301,0.711426,0.473145
1570180386092396,0.268066,0.692383,0.483398
1570180386115337,0.256348,0.694824,0.469727
1570180386133286,0.23291,0.716309,0.45752
1570180386153239,0.228027,0.731445,0.45459
1570180386175177,0.222656,0.740234,0.444824
1570180386193302,0.217285,0.737305,0.450195
1570180386213279,0.183105,0.724121,0.446777
1570180386235242,0.153809,0.750977,0.464355
1570180386253157,0.137695,0.76123,0.459961
1570180386272912,0.154785,0.756348,0.458984
1570180386294853,0.17041,0.746582,0.474609
1570180386312862,0.17627,0.735352,0.481445
1570180386332878,0.212402,0.73877,0.473145
1570180386354894,0.223145,0.732422,0.47998
1570180386373151,0.222168,0.714844,0.493164
1570180386392863,0.210449,0.704102,0.504395
1570180386415664,0.222656,0.710449,0.494629
1570180386433483,0.235352,0.709473,0.495605
1570180386452440,0.215332,0.716797,0.494141
1570180386475379,0.210938,0.712402,0.51123
1570180386493510,0.253418,0.727051,0.494141
1570180386512272,0.297852,0.701172,0.425781
1570180386535219,0.280762,0.706055,0.428223
1570180386553164,0.236328,0.69873,0.422852
1570180386572113,0.223145,0.700195,0.427734
1570180386598046,0.243164,0.696777,0.439941
1570180386619298,0.243164,0.704102,0.456543
1570180386633174,0.226074,0.708008,0.466797
1570180386654896,0.199707,0.722168,0.46875
1570180386672842,0.169434,0.715332,0.48877
1570180386693012,0.119629,0.723633,0.531738
1570180386714730,0.0927734,0.729492,0.535156
1570180386732834,0.0917969,0.752441,0.541016
1570180386753745,0.133789,0.739258,0.508301
1570180386774579,0.19043,0.733887,0.459961
1570180386792523,0.210449,0.73291,0.47168
1570180386814469,0.234375,0.742676,0.453613
1570180386835408,0.23291,0.749512,0.44873
1570180386853362,0.229004,0.739258,0.447754
1570180386874303,0.228027,0.728516,0.470215
1570180386895482,0.213379,0.717285,0.483887
1570180386913201,0.199707,0.719727,0.495117
1570180386934153,0.194336,0.713379,0.509277
1570180386955091,0.206055,0.69873,0.525879
1570180386973040,0.206543,0.680176,0.53418
1570180386993990,0.212402,0.676758,0.54248
1570180387015526,0.204102,0.678711,0.537109
1570180387033141,0.203613,0.694336,0.521484
1570180387054550,0.202637,0.708496,0.506836
1570180387074938,0.197266,0.721191,0.495117
1570180387092722,0.190918,0.739258,0.469727
1570180387115660,0.208496,0.74707,0.473145
1570180387135606,0.208984,0.746094,0.468262
1570180387152563,0.200195,0.738281,0.463867
1570180387175736,0.19043,0.73877,0.456055
1570180387195679,0.199707,0.721191,0.470215
1570180387213490,0.224609,0.70459,0.479492
1570180387235926,0.228516,0.698242,0.48584
1570180387255504,0.218262,0.695801,0.494629
1570180387273240,0.213867,0.693848,0.492676
1570180387295182,0.213867,0.688477,0.490723
1570180387316213,0.211914,0.702148,0.491699
1570180387332083,0.206543,0.725586,0.480469
1570180387355203,0.207031,0.737305,0.467285
1570180387376099,0.211426,0.742676,0.460449
1570180387391945,0.214355,0.743652,0.451172
1570180387415066,0.220703,0.749512,0.451172
1570180387436265,0.216797,0.745605,0.455566
1570180387452762,0.214844,0.731934,0.465332
1570180387474706,0.220215,0.726074,0.474121
1570180387495831,0.221191,0.716797,0.480957
1570180387512603,0.217773,0.705078,0.488281
1570180387534549,0.219727,0.691895,0.500488
1570180387555587,0.21875,0.697266,0.490723
1570180387572439,0.220703,0.700195,0.487793
1570180387594429,0.211426,0.709961,0.490234
1570180387615549,0.210449,0.716797,0.478027
1570180387632288,0.21582,0.724609,0.478027
1570180387654219,0.209961,0.724609,0.478516
1570180387676436,0.211914,0.728516,0.475098
1570180387692125,0.217285,0.725586,0.47998
1570180387715056,0.21582,0.720215,0.480469
1570180387736046,0.216309,0.718262,0.493164
1570180387752069,0.21582,0.713379,0.495117
1570180387774899,0.219727,0.703613,0.496582
1570180387796063,0.215332,0.708984,0.499512
1570180387811801,0.217773,0.713379,0.488281
1570180387834747,0.215332,0.714844,0.479492
1570180387855734,0.21582,0.720703,0.477051
1570180387872636,0.213379,0.722168,0.475098
1570180387894574,0.223145,0.71582,0.48291
1570180387915749,0.223145,0.721191,0.479492
1570180387932478,0.217285,0.714355,0.472168
1570180387954466,0.216309,0.715332,0.480469
1570180387976404,0.220703,0.714844,0.479004
1570180387992317,0.215332,0.711914,0.489746
1570180388014451,0.217773,0.713867,0.487305
1570180388038194,0.213867,0.714844,0.484863
1570180388051309,0.21582,0.714844,0.477051
1570180388075233,0.218262,0.72168,0.480469
1570180388098036,0.219238,0.72168,0.472168
1570180388111997,0.21875,0.72168,0.473633
1570180388135190,0.222656,0.71875,0.470215
1570180388156919,0.218262,0.720215,0.480957
1570180388171840,0.219727,0.71582,0.478027
1570180388200970,0.22168,0.712891,0.484863
1570180388217717,0.216309,0.716797,0.483398
1570180388231677,0.212891,0.713379,0.48291
1570180388262593,0.220703,0.716309,0.483398
1570180388277564,0.213379,0.717773,0.482422
1570180388291523,0.219238,0.719238,0.480957
1570180388314504,0.211426,0.72168,0.479492
1570180388337396,0.21582,0.727539,0.479004
1570180388351507,0.21582,0.726074,0.476563
1570180388374293,0.22168,0.721191,0.484375
1570180388397242,0.216797,0.71875,0.479004
1570180388412197,0.211914,0.719238,0.47998
1570180388435133,0.208984,0.724121,0.480957
1570180388457073,0.217773,0.720215,0.478027
1570180388472033,0.216309,0.716797,0.483398
1570180388494988,0.222656,0.71582,0.47998
1570180388517186,0.217773,0.717285,0.478027
1570180388538862,0.21875,0.719238,0.484375
1570180388554941,0.216797,0.714355,0.480957
1570180388576906,0.213867,0.719727,0.475586
1570180388598789,0.216797,0.720215,0.475098
1570180388614653,0.212891,0.719238,0.482422
1570180388637590,0.209961,0.722656,0.47998
1570180388658728,0.215332,0.725098,0.475586
1570180388674535,0.210938,0.722656,0.476074
1570180388697431,0.213867,0.720215,0.478027
1570180388718372,0.214844,0.717773,0.474609
1570180388734330,0.213867,0.717773,0.478027
1570180388757268,0.21582,0.722168,0.474121
1570180388778330,0.216309,0.722656,0.476074
1570180388795172,0.216309,0.720215,0.481934
1570180388818110,0.211426,0.723145,0.47168
1570180388838711,0.211914,0.719238,0.480957
1570180388855013,0.214355,0.724609,0.474609
1570180388877000,0.216797,0.727539,0.477051
1570180388898028,0.215332,0.723145,0.479492
1570180388914856,0.208984,0.719238,0.481934
1570180388936849,0.212402,0.716309,0.476563
1570180388958730,0.211426,0.723145,0.483398
1570180388974768,0.216797,0.717285,0.480469
1570180388996679,0.21875,0.71875,0.489746
1570180389019802,0.210449,0.714355,0.47998
1570180389034531,0.205566,0.714355,0.480957
1570180389057475,0.205078,0.712891,0.486328
1570180389080408,0.212402,0.716309,0.487305
1570180389094391,0.209961,0.717285,0.480469
1570180389118304,0.211426,0.715332,0.479492
1570180389147231,0.206543,0.716797,0.486816
1570180389154208,0.210938,0.714355,0.487793
1570180389177153,0.212402,0.716309,0.484863
1570180389200091,0.215332,0.716797,0.483887
1570180389214053,0.205078,0.716309,0.481934
1570180389237038,0.20752,0.720703,0.483887
1570180389260171,0.214355,0.719238,0.483398
1570180389273888,0.210449,0.719238,0.48291
1570180389296889,0.210449,0.717285,0.483887
1570180389319767,0.20752,0.71582,0.491699
1570180389333729,0.211426,0.712402,0.491211
1570180389370629,0.210938,0.712402,0.483887
1570180389379607,0.212402,0.713379,0.481934
1570180389393746,0.210938,0.713867,0.491211
1570180389417505,0.211914,0.714355,0.486328
1570180389439445,0.209473,0.713379,0.48877
1570180389454405,0.212891,0.711914,0.486816
1570180389484368,0.207031,0.715332,0.483887
1570180389499287,0.209961,0.713379,0.488281
1570180389520228,0.211426,0.712891,0.493164
1570180389537223,0.212402,0.715332,0.48291
1570180389559747,0.206543,0.715332,0.488281
1570180389587791,0.210938,0.712402,0.487305
1570180389598559,0.21582,0.712891,0.47998
1570180389619281,0.212402,0.716309,0.494141
1570180389648022,0.212402,0.712402,0.48877
1570180389657125,0.206543,0.712891,0.490723
1570180389680049,0.205566,0.712402,0.490723
1570180389700991,0.208984,0.716797,0.48877
1570180389716949,0.210449,0.717773,0.484863
1570180389739886,0.206055,0.711914,0.489746
1570180389761020,0.210938,0.709473,0.489258
1570180389777006,0.216797,0.708008,0.483887
1570180389799208,0.212402,0.711426,0.490234
1570180389821076,0.208008,0.714355,0.486816
1570180389837094,0.205566,0.712402,0.483398
1570180389859689,0.207031,0.717773,0.486328
1570180389880628,0.209473,0.716309,0.491211
1570180389897583,0.213379,0.719238,0.492188
1570180389927598,0.205078,0.713867,0.48877
1570180389942463,0.208984,0.712402,0.493652
1570180389957426,0.209961,0.713379,0.496582
1570180389979363,0.209961,0.711914,0.49707
1570180390002485,0.211426,0.713867,0.489258
1570180390017261,0.212402,0.712402,0.489258
1570180390039694,0.208984,0.711914,0.486328
1570180390062234,0.211914,0.711426,0.483398
1570180390076197,0.20752,0.713867,0.486816
1570180390099138,0.209961,0.711914,0.484863
1570180390122074,0.206543,0.714844,0.492676
1570180390136102,0.209473,0.714844,0.49707
1570180390160169,0.208496,0.714844,0.495605
1570180390182106,0.210449,0.711914,0.496582
1570180390205048,0.210938,0.71582,0.487305
1570180390220025,0.210938,0.714355,0.487305
1570180390241945,0.208008,0.71582,0.495117
1570180390255907,0.203125,0.712891,0.493164
1570180390279852,0.206055,0.710449,0.490234
1570180390301876,0.205566,0.71582,0.491699
1570180390316745,0.208008,0.713379,0.494629
1570180390340684,0.210938,0.706543,0.496582
1570180390362626,0.209961,0.711914,0.492188
1570180390377064,0.206055,0.711426,0.491699
1570180390399526,0.20459,0.712891,0.490234
1570180390422465,0.208496,0.713379,0.489258
1570180390443411,0.208008,0.709473,0.492676
1570180390459367,0.210449,0.70752,0.490723
1570180390482305,0.208496,0.707031,0.496582
1570180390503352,0.209961,0.710449,0.493652
1570180390519207,0.209961,0.708984,0.492188
1570180390542335,0.20459,0.711426,0.493164
1570180390563170,0.199219,0.713867,0.491699
1570180390580043,0.211914,0.711914,0.494629
1570180390601985,0.209473,0.711914,0.492676
1570180390622928,0.203125,0.711914,0.499512
1570180390639883,0.203125,0.708984,0.493652
1570180390661824,0.206543,0.709473,0.493652
1570180390683768,0.208008,0.714355,0.490723
1570180390699722,0.208984,0.710449,0.494629
1570180390721755,0.209473,0.707031,0.493164
1570180390743606,0.210938,0.707031,0.49707
1570180390760563,0.208984,0.712891,0.5
1570180390782836,0.203125,0.709961,0.500488
1570180390803675,0.207031,0.712402,0.493652
1570180390819401,0.206055,0.710449,0.495117
1570180390842341,0.203613,0.714355,0.489746
1570180390865278,0.208984,0.711426,0.491211
1570180390879241,0.203613,0.708984,0.496582
1570180390902180,0.205566,0.710938,0.501953
1570180390924275,0.202637,0.711426,0.500488
1570180390939154,0.208496,0.712891,0.497559
1570180390962021,0.206543,0.708984,0.494141
1570180390984961,0.207031,0.709961,0.490234
1570180390999920,0.20752,0.715332,0.491211
1570180391021862,0.207031,0.707031,0.491211
1570180391044857,0.202148,0.706543,0.49707
1570180391058996,0.207031,0.709961,0.50293
1570180391082700,0.20752,0.706543,0.506348
1570180391104639,0.203613,0.708984,0.500488
1570180391118693,0.200684,0.714355,0.489258
1570180391142544,0.20459,0.710449,0.489746
1570180391164480,0.206055,0.713379,0.494629
1570180391179439,0.209961,0.710449,0.49707
1570180391202379,0.206543,0.705078,0.493164
1570180391224320,0.209961,0.704102,0.495117
1570180391239279,0.207031,0.707031,0.498047
1570180391262222,0.207031,0.706055,0.499512
1570180391285157,0.206055,0.709961,0.491211
1570180391299122,0.200195,0.710938,0.492188
1570180391322059,0.202637,0.710938,0.492676
1570180391344000,0.208984,0.711914,0.487305
1570180391365942,0.201172,0.707031,0.496582
1570180391381974,0.203125,0.70459,0.490723
1570180391404919,0.206543,0.705078,0.501953
1570180391425789,0.20166,0.708008,0.500488
1570180391441737,0.206543,0.708496,0.49707
1570180391464812,0.20752,0.705078,0.5
1570180391485620,0.210938,0.709473,0.493652
1570180391502575,0.205566,0.708984,0.500977
1570180391538478,0.208008,0.712402,0.495605
1570180391545459,0.207031,0.713867,0.49707
1570180391562414,0.208496,0.710938,0.497559
1570180391584356,0.210938,0.708984,0.496582
1570180391605430,0.205566,0.709473,0.492188
1570180391622254,0.204102,0.707031,0.501953
1570180391644195,0.20752,0.706543,0.500488
1570180391666139,0.204102,0.711426,0.490234
1570180391682512,0.207031,0.711426,0.498047
1570180391705034,0.200684,0.70752,0.492188
1570180391725982,0.205566,0.709473,0.494629
1570180391742547,0.205078,0.710938,0.498047
1570180391764875,0.204102,0.712402,0.501465
1570180391785818,0.208008,0.710938,0.487793
1570180391801775,0.206543,0.705566,0.49707
1570180391824814,0.210449,0.705078,0.503418
1570180391846654,0.208496,0.703125,0.504395
1570180391862612,0.20752,0.707031,0.493164
1570180391884554,0.19873,0.710449,0.492188
1570180391906494,0.206055,0.715332,0.492188
1570180391922454,0.207031,0.708984,0.491211
1570180391944406,0.205566,0.711426,0.492188
1570180391967332,0.208496,0.704102,0.495117
1570180391981334,0.20459,0.704102,0.503418
1570180392004674,0.212891,0.710449,0.495117
1570180392027421,0.207031,0.706543,0.49707
1570180392041138,0.204102,0.710449,0.491211
1570180392065071,0.204102,0.712891,0.497559
1570180392087101,0.205566,0.709961,0.486816
1570180392101095,0.210449,0.708496,0.494629
1570180392124911,0.20166,0.711914,0.489258
1570180392147221,0.206055,0.705566,0.496094
1570180392161813,0.208008,0.706543,0.497559
1570180392184753,0.206543,0.70752,0.499512
1570180392207788,0.208008,0.706543,0.498047
1570180392221653,0.211426,0.70459,0.493164
1570180392258698,0.204102,0.708984,0.496094
1570180392267531,0.204102,0.714355,0.489258
1570180392281644,0.207031,0.712402,0.494629
1570180392304432,0.205566,0.710938,0.494141
1570180392327371,0.208008,0.70752,0.49707
1570180392348318,0.205566,0.711914,0.49707
1570180392364335,0.210449,0.708008,0.492676
1570180392387211,0.206055,0.710938,0.495117
1570180392408257,0.205566,0.708496,0.496582
1570180392425201,0.206055,0.708008,0.49707
1570180392447058,0.208984,0.709473,0.493164
1570180392467998,0.208008,0.710449,0.501465
1570180392484954,0.208984,0.709473,0.50293
1570180392506895,0.206055,0.711426,0.49707
1570180392527842,0.209961,0.710938,0.493164
1570180392544788,0.208008,0.70752,0.496582
1570180392549774,0.205078,0.70459,0.494629
1570180392572718,0.206543,0.708008,0.492676
1570180392594703,0.206543,0.708984,0.501953
1570180392610617,0.208008,0.708496,0.502441
1570180392633552,0.209961,0.710449,0.499023
1570180392655492,0.203125,0.717285,0.491211
1570180392670459,0.20166,0.716309,0.490723
1570180392692922,0.207031,0.709473,0.499512
1570180392715335,0.211426,0.710938,0.492188
1570180392730296,0.207031,0.705078,0.495605
1570180392769196,0.208008,0.708008,0.501465
1570180392775231,0.208496,0.70459,0.5
1570180392790191,0.202637,0.708496,0.498047
1570180392812077,0.205078,0.708496,0.494629
1570180392837011,0.202148,0.712402,0.493652
1570180392849976,0.204102,0.714355,0.49707
1570180392872958,0.211914,0.708984,0.494629
1570180392894851,0.206543,0.707031,0.503418
1570180392917798,0.20459,0.708984,0.494141
1570180392933126,0.203125,0.708984,0.5
1570180392954888,0.210938,0.709473,0.495117
1570180392970753,0.205078,0.708496,0.499512
1570180392992920,0.206543,0.708984,0.500488
1570180393015449,0.207031,0.711426,0.498535
1570180393033329,0.207031,0.710938,0.492676
1570180393052563,0.203613,0.709961,0.492676
1570180393092534,0.205078,0.706055,0.495605
1570180393094295,0.208008,0.708984,0.490234
1570180393112205,0.206055,0.71582,0.487305
1570180393134937,0.208496,0.709961,0.493164
1570180393150550,0.205078,0.712891,0.495605
1570180393172881,0.20459,0.711914,0.493164
1570180393196207,0.202637,0.709473,0.495117
1570180393210215,0.20752,0.709961,0.489746
1570180393233011,0.209473,0.712402,0.491211
1570180393256948,0.206055,0.712402,0.492188
1570180393269913,0.205566,0.713379,0.496582
1570180393292851,0.206543,0.718262,0.506348
1570180393315136,0.212891,0.737793,0.54248
1570180393331749,0.208008,0.828613,0.532715
1570180393359718,0.254395,0.886719,0.491211
1570180393376627,0.279297,0.90625,0.447754
1570180393391589,0.360352,0.869141,0.513672
1570180393419520,0.577637,0.780762,0.591309
1570180393435473,0.76416,0.675293,0.702637
1570180393451142,0.577148,0.650391,0.712891
1570180393473086,0.0966797,0.679688,0.697266
1570180393495026,-0.291016,0.753906,0.662109
1570180393510984,-0.412598,0.831055,0.650879
1570180393532926,-0.367188,0.818359,0.575684
1570180393556759,-0.321289,0.766602,0.520508
1570180393571831,-0.401855,0.687988,0.4375
1570180393592670,-0.494629,0.571777,0.396484
1570180393615710,-0.516113,0.541992,0.396484
1570180393631557,-0.52002,0.474121,0.351563
1570180393652618,-0.599121,0.474121,0.293945
1570180393675440,-0.635742,0.48877,0.318848
1570180393691474,-0.637695,0.46875,0.350098
1570180393713366,-0.647461,0.491699,0.291504
1570180393735281,-0.672852,0.468262,0.239746
1570180393753234,-0.679688,0.44873,0.204102
1570180393775173,-0.731934,0.458984,0.169922
1570180393795120,-0.73877,0.472656,0.145996
1570180393813117,-0.643555,0.483398,0.15918
1570180393836012,-0.652832,0.448242,0.121094
1570180393855051,-0.681152,0.446777,0.122559
1570180393872913,-0.682617,0.454102,0.128418
1570180393892862,-0.75,0.479492,0.147461
1570180393914800,-0.728027,0.522949,0.149414
1570180393932866,-0.712402,0.463867,0.122559
1570180393952840,-0.716797,0.472168,0.10791
1570180393974680,-0.737305,0.458984,0.111328
1570180394014535,-0.748047,0.466309,0.106934
1570180394016588,-0.782227,0.494629,0.119629
1570180394035491,-0.850098,0.492676,0.140137
1570180394052433,-0.88623,0.519043,0.15332
1570180394072383,-0.825195,0.519043,0.152832
1570180394095323,-0.845215,0.50293,0.151367
1570180394121248,-0.854492,0.529785,0.218262
1570180394132433,-0.837402,0.544922,0.291504
1570180394155598,-0.770508,0.538086,0.367676
1570180394173112,-0.72168,0.50293,0.38916
1570180394192102,-0.726074,0.493652,0.382324
1570180394214998,-0.720703,0.513184,0.40918
1570180394232952,-0.695801,0.48877,0.441895
1570180394252901,-0.720215,0.489746,0.40332
1570180394274842,-0.761719,0.499023,0.387695
1570180394292789,-0.749512,0.47998,0.355469
1570180394315729,-0.758789,0.458008,0.310547
1570180394334747,-0.776855,0.465332,0.285645
1570180394352633,-0.765137,0.473633,0.265137
1570180394374571,-0.773438,0.48291,0.224609
1570180394395522,-0.781738,0.48584,0.213379
1570180394412768,-0.800293,0.515625,0.205566
1570180394434411,-0.802734,0.524902,0.218262
1570180394455355,-0.782715,0.518066,0.169434
1570180394477301,-0.784668,0.528809,0.137695
1570180394494337,-0.770508,0.493652,0.115234
1570180394515196,-0.754883,0.475586,0.112793
1570180394533383,-0.768066,0.495117,0.10791
1570180394554090,-0.788086,0.505859,0.116699
1570180394592126,-0.777344,0.543457,0.149414
1570180394594047,-0.797363,0.537598,0.186523
1570180394614041,-0.802246,0.518066,0.222656
1570180394642861,-0.82959,0.507324,0.230469
1570180394653824,-0.788086,0.495117,0.263672
1570180394675765,-0.770508,0.484375,0.292969
1570180394694846,-0.769531,0.495117,0.335449
1570180394712952,-0.78125,0.491211,0.349609
1570180394735611,-0.781738,0.483887,0.330078
1570180394757552,-0.787598,0.464355,0.333496
1570180394773511,-0.794434,0.453613,0.318848
1570180394796445,-0.791016,0.461914,0.305664
1570180394815394,-0.772949,0.453613,0.278809
1570180394840326,-0.765137,0.456543,0.252441
1570180394855285,-0.78125,0.458496,0.234863
1570180394875238,-0.802246,0.441895,0.205078
1570180394893185,-0.799805,0.435547,0.191895
1570180394923107,-0.823242,0.461426,0.174316
1570180394935145,-0.808105,0.48291,0.161621
1570180394953027,-0.830078,0.492188,0.106445
1570180394974965,-0.814941,0.48291,0.101074
1570180394994915,-0.806641,0.442871,0.0952148
1570180395012865,-0.796387,0.480469,0.107422
1570180395035802,-0.811523,0.540039,0.105957
1570180395054751,-0.805176,0.563965,0.14209
1570180395072705,-0.788574,0.523926,0.163574
1570180395094646,-0.821777,0.516113,0.183594
1570180395115588,-0.818848,0.503418,0.20166
1570180395132546,-0.792969,0.499023,0.230469
1570180395154485,-0.838867,0.492188,0.267578
1570180395175431,-0.759277,0.50293,0.321777
1570180395198537,-0.738281,0.500488,0.336914
1570180395214833,-0.740723,0.501953,0.360352
1570180395235279,-0.72998,0.451172,0.369141
1570180395252224,-0.756348,0.4375,0.37207
1570180395275163,-0.770996,0.433594,0.355469
1570180395296111,-0.813965,0.437988,0.330566
1570180395313083,-0.818848,0.453613,0.310547
1570180395335003,-0.805664,0.436523,0.274414
1570180395355952,-0.793945,0.456055,0.249512
1570180395371904,-0.80957,0.460449,0.220215
1570180395394844,-0.819336,0.46582,0.209473
1570180395416469,-0.834961,0.46582,0.184082
1570180395431745,-0.82373,0.46582,0.168945
1570180395454683,-0.838379,0.474609,0.137695
1570180395477626,-0.821289,0.493164,0.129395
1570180395491585,-0.821289,0.503418,0.127441
1570180395514523,-0.798828,0.504395,0.105469
1570180395535473,-0.79541,0.495117,0.117676
1570180395551684,-0.785645,0.473633,0.121582
1570180395582448,-0.79541,0.493652,0.139648
1570180395595307,-0.782227,0.486816,0.14502
1570180395611823,-0.789063,0.46875,0.152832
1570180395643179,-0.78418,0.455078,0.153809
1570180395657642,-0.768555,0.45166,0.163086
1570180395672101,-0.75293,0.447266,0.164551
1570180395703021,-0.72998,0.406738,0.166504
1570180395717193,-0.733887,0.389648,0.162109
1570180395738922,-0.73584,0.400391,0.149414
