timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1570180950241114,-2,-2,-1,0,-5,2,-4,-3
1570180950241114,-3,-3,-3,-3,4,5,1,-7
1570180950241114,-1,-2,-2,-2,5,7,2,0
1570180950241114,-3,1,2,7,9,2,3,-11
1570180950243373,5,2,2,4,13,15,6,8
1570180950243373,-2,-2,-2,1,3,5,-7,3
1570180950244581,-3,-4,-6,-6,-11,-19,-1,-12
1570180950244581,8,0,0,0,3,5,-5,10
1570180950251094,-4,-2,-3,-2,-5,-14,-3,0
1570180950251094,2,3,3,1,-1,-12,-10,-14
1570180950257074,6,1,1,1,0,-2,0,-13
1570180950257074,19,5,2,2,5,17,8,77
1570180950272287,-9,-1,2,-2,-4,0,0,-34
1570180950272287,1,-1,-2,-1,-1,2,11,31
1570180950281144,-7,-2,0,9,-1,1,9,-16
1570180950281144,-8,-3,-1,12,-2,-9,-9,-27
1570180950289071,3,3,-3,3,2,5,-1,-6
1570180950289071,-3,-1,1,-5,-1,-2,4,3
1570180950311929,18,10,2,-12,2,5,0,4
1570180950311929,-24,-17,-5,-15,-4,2,0,-17
1570180950315098,3,0,0,-6,-1,-1,10,19
1570180950315098,-23,-19,-7,-2,0,7,-5,-17
1570180950325927,25,1,-2,-1,-2,5,5,10
1570180950325927,-18,-19,0,-2,-4,-6,0,-23
1570180950371769,-25,-29,-7,-1,0,4,-4,-11
1570180950371769,3,-11,-6,-5,-8,-11,2,-1
1570180950371769,-12,0,2,3,4,11,8,14
1570180950371769,28,9,0,-2,-7,-19,-2,-46
1570180950372761,23,18,3,1,3,-3,-4,5
1570180950372761,-3,-4,0,2,0,8,6,11
1570180950373817,-10,-13,-3,-1,-1,-1,1,-9
1570180950373817,-2,2,1,0,0,0,-3,-7
1570180950376848,5,3,3,3,7,18,7,18
1570180950376848,-11,-5,-2,-2,0,-4,-2,-4
1570180950385727,16,7,-3,-1,1,5,3,-7
1570180950385727,11,6,1,-2,0,5,9,23
1570180950399921,-2,-1,-1,-1,-3,-4,-13,-7
1570180950399921,-10,-1,-2,2,3,4,-3,-1
1570180950408667,-6,-2,1,3,-1,1,8,25
1570180950408667,-2,-2,-1,1,-3,2,-5,17
1570180950414652,-4,-2,-2,0,0,2,7,1
1570180950414652,4,1,2,0,0,4,3,-4
1570180950437584,4,3,2,2,-4,-19,-11,-16
1570180950437584,-8,-5,-2,1,6,30,4,3
1570180950438710,-5,-3,-1,-2,-8,-26,2,2
1570180950438710,-8,-4,1,0,-1,-4,-5,0
1570180950460741,-3,-2,-3,-6,-2,4,8,-38
1570180950460741,-12,-6,0,0,6,0,-20,3
1570180950460741,3,3,1,0,-3,-1,6,16
1570180950460741,-1,-2,-1,1,2,7,6,6
1570180950475487,-1,-2,-3,-2,-8,-23,-11,-3
1570180950475487,-5,-4,-2,-1,3,13,11,0
