timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1570181108204502,8,5,0,-11,-40,-20,-8,-2
1570181108204502,10,5,-5,-7,-15,-11,-8,2
1570181108208171,-36,-25,-2,-3,-4,-2,-2,-10
1570181108208171,2,-2,0,1,6,5,2,0
1570181108210167,4,1,0,3,14,9,6,-3
1570181108210167,3,1,1,2,4,0,-15,2
1570181108212161,16,10,-4,-6,-1,0,0,1
1570181108212161,4,3,2,3,2,0,-1,-3
1570181108215373,-13,-8,-1,1,5,2,5,3
1570181108215373,51,23,5,-1,1,1,5,0
1570181108223130,12,-1,-4,-1,0,-3,-3,-2
1570181108223130,-65,-26,-10,-13,-10,-5,-1,-2
1570181108229332,2,6,10,20,12,1,-1,-5
1570181108229332,13,13,7,8,4,-1,3,3
1570181108245072,-33,-22,6,2,5,5,2,2
1570181108245072,56,35,-2,-2,-6,-5,-4,-2
1570181108254108,-1,-5,-5,-7,1,1,3,5
1570181108254108,-22,-10,-5,-2,0,-3,0,-9
1570181108275999,-19,-7,-2,-2,-1,-3,2,0
1570181108275999,34,11,-3,-2,-5,-5,-5,-6
1570181108276987,-17,-8,-10,-9,-4,-3,-4,-6
1570181108276987,-8,-5,4,-1,1,3,3,8
1570181108288960,-4,-3,3,4,0,1,5,-20
1570181108288960,-10,-15,-13,-7,-2,-4,-13,3
1570181108330844,8,8,5,7,7,20,-2,-1
1570181108330844,-23,0,4,-1,-11,-14,2,3
1570181108331920,45,10,4,0,-1,2,7,8
1570181108331920,-1,-2,-3,-3,-1,3,0,-2
1570181108336014,-3,-4,-7,-5,-3,-2,4,6
1570181108336014,-1,-3,-3,-2,4,-1,-7,1
1570181108336830,-4,4,5,7,13,9,-10,-15
1570181108336830,17,3,2,4,-3,19,17,22
1570181108341820,2,0,5,-4,-11,-52,-14,-9
1570181108341820,6,0,0,1,-2,19,15,2
1570181108349916,-11,-5,-4,-7,-7,-6,0,6
1570181108349916,-12,-9,-8,-11,-7,-13,-17,-22
1570181108364804,-11,-1,-4,-4,2,11,-1,0
1570181108364804,2,-3,-4,7,14,4,-5,-4
1570181108373047,-5,-2,12,7,-2,-5,-4,-9
1570181108373047,-1,2,-4,3,6,5,3,3
1570181108379712,0,-2,-3,-4,-2,3,2,-6
1570181108379712,-12,2,6,-1,-3,-7,-1,3
1570181108402707,16,-4,-15,-8,-7,-1,1,10
1570181108402707,-2,2,5,-1,-5,-11,-3,-10
1570181108404714,27,13,3,4,3,4,4,2
1570181108404714,3,-3,7,0,-2,25,-2,-5
1570181108416830,-9,-11,-17,-7,-3,11,-2,-5
1570181108416830,21,22,10,-2,-4,8,5,13
1570181108425595,7,19,4,2,6,-2,0,3
1570181108425595,-6,-28,-6,5,5,-14,-1,-2
1570181108440551,-20,-8,1,-1,-3,-8,3,1
1570181108440551,14,2,1,4,2,-10,-1,-1
1570181108446534,-16,-2,-7,-4,-3,4,2,-1
1570181108446534,3,7,2,-8,-10,-3,-5,0
1570181108463553,30,26,4,2,1,2,0,0
1570181108463553,2,-16,-14,-2,4,0,-4,1
1570181108464690,-13,-5,8,3,-3,22,-1,3
1570181108464690,-7,-9,-6,-4,2,2,-1,1
1570181108476696,-13,-5,11,9,0,-6,2,5
1570181108476696,-31,5,18,2,1,-13,-3,-9
1570181108485496,-8,-23,5,-8,-5,-17,-3,-4
1570181108485496,19,7,9,3,4,-9,1,-3
1570181108500452,-16,-4,28,-6,-1,-7,2,-3
1570181108500452,8,-2,35,-1,0,-3,2,7
1570181108506380,-31,-23,21,4,1,-3,-2,0
1570181108506380,6,16,17,-6,-9,-4,-1,0
1570181108523564,6,7,-4,-1,0,3,-1,-1
1570181108523564,-11,-16,-15,1,1,4,-2,-1
1570181108524329,23,8,-15,-5,-2,3,1,5
1570181108524329,-14,-7,-14,9,4,0,2,2
1570181108545561,-10,1,-24,-5,-7,-5,-6,-16
1570181108545561,7,-1,-19,1,7,8,3,8
1570181108547271,-1,6,-19,1,-3,-2,-1,-1
1570181108547271,15,20,-8,1,0,0,0,-7
1570181108560240,8,-17,-12,-1,0,-4,0,9
1570181108560240,-30,-2,-15,-13,-10,-6,-7,-18
1570181108567211,2,0,-2,4,3,-2,3,5
1570181108567211,-13,-4,-4,-2,0,2,0,-4
1570181108583183,4,18,5,4,6,1,2,10
1570181108583183,22,12,8,12,1,-5,-2,-4
1570181108584467,2,-6,-8,-3,1,-1,0,-2
1570181108584467,7,-4,-8,-4,-3,-3,0,0
1570181108606234,-7,-2,-4,-3,-6,-1,-4,-7
1570181108606234,-28,4,-6,-5,-2,-1,0,-1
1570181108607338,-4,0,4,5,-1,0,0,-9
1570181108607338,7,-28,-10,-3,0,0,-1,-2
1570181108620281,30,-4,-14,-7,-7,-6,-3,-2
1570181108620281,-6,2,2,-2,-4,-1,-4,-6
1570181108627336,13,12,4,2,1,-1,0,16
1570181108627336,-9,1,-3,-1,-4,-4,-1,-4
1570181108643203,-11,-4,2,-1,12,5,3,0
1570181108643203,-16,-20,-3,6,5,2,0,2
1570181108645004,10,16,3,2,1,2,3,3
1570181108645004,-10,-1,-1,-3,-5,-5,-7,-8
1570181108673137,-9,0,4,2,-1,2,0,-2
1570181108673137,13,2,-8,-8,-5,-3,-4,16
1570181108674925,-19,-10,2,1,2,2,2,-2
1570181108674925,6,20,7,-3,-1,-3,-3,0
1570181108679194,-2,-15,-4,-5,-2,-3,-3,10
1570181108679194,-43,-30,3,8,1,2,3,4
1570181108687888,5,9,-4,-2,-11,-5,-4,-2
1570181108687888,22,16,5,1,-3,1,0,0
1570181108703069,-6,2,-4,-6,-10,-1,3,15
1570181108703069,20,0,-2,1,9,2,0,-2
1570181108709495,-11,-7,-2,-2,-1,0,-1,-8
1570181108709495,4,0,-4,-4,0,0,5,16
1570181108725800,-4,1,5,6,4,-1,1,-8
1570181108725800,28,6,-3,-3,-1,-2,-2,-4
1570181108727782,4,-4,-2,-9,-1,1,-1,-3
1570181108727782,10,11,6,2,2,2,3,10
1570181108738751,-21,-18,-8,-7,-4,-1,-3,-21
1570181108738751,0,9,10,12,4,0,-2,-14
1570181108748727,-9,-7,0,0,0,0,0,-2
1570181108748727,11,3,-3,-3,4,2,-1,-12
1570181108763686,-23,-2,-3,-3,-3,-8,-4,-29
1570181108763686,2,6,3,0,0,0,2,13
1570181108764683,36,7,0,1,0,-1,1,1
1570181108764683,-43,-23,-5,0,0,-4,-5,-17
1570181108785854,4,0,3,5,2,5,2,3
1570181108785854,-1,7,-1,-5,-5,0,-1,-15
1570181108787621,-14,-15,-2,-1,-1,-4,-1,10
1570181108787621,26,7,-5,-7,-7,-1,0,24
1570181108799660,-14,5,3,2,1,3,1,0
