timestamp,x,y,z
1570181108041651,11,11.6875,36.75
1570181108064700,63.6875,7.5625,-20.8125
1570181108088492,61.5625,-3.625,-27.6875
1570181108103532,38.375,-19.6875,-19.1875
1570181108124403,-36.1875,-33.125,-24.0625
1570181108148333,-75.6875,-16.375,-25.4375
1570181108202387,-67.6875,8.5625,-22.625
1570181108203194,-45.5,8.0625,-29.1875
1570181108204181,-23.5625,-3.625,-41.375
1570181108216151,3.6875,-9.125,-46
1570181108238092,-2.625,-8.875,-41.875
1570181108256051,-17,0.3125,-39.375
1570181108277375,-27.125,7,-31.125
1570181108329850,-23.0625,2.6875,-20.8125
1570181108330081,-3.0625,-2.4375,-12.0625
1570181108336830,20.875,-1.375,-3.5
1570181108357123,46.8125,3.6875,-0.875
1570181108373047,55.75,15.9375,-7.3125
1570181108403649,43.375,29.6875,-11
1570181108424877,10.25,34.1875,-6.5625
1570181108440551,-18.4375,35.625,-5.8125
1570181108463553,-24.875,33.4375,1.3125
1570181108485496,-14.9375,27.75,18.0625
1570181108500452,10.375,28.625,31.4375
1570181108524329,38.6875,34.75,34.6875
1570181108546274,43.0625,30.125,28.3125
1570181108561228,23.4375,17.9375,23.5
1570181108584172,-11.75,15.625,26.1875
1570181108606234,-41.4375,13.25,35.375
1570181108621067,-55.25,6.5625,35
1570181108644173,-52.6875,-1.6875,24.125
1570181108673936,-43.5625,-9.625,20.75
1570181108687888,-34.0625,-14.5625,25.75
1570181108703847,-25.375,-18.5,22.25
1570181108726791,-20.8125,-21.125,15.125
1570181108747773,-24.5,-19.25,13.4375
1570181108763686,-28.75,-14.875,7.75
1570181108786627,-29.75,-9.875,-0.75
1570181108807736,-33,-9.3125,-3.6875
1570181108823646,-38.5625,-5.375,-5.5625
1570181108846466,-30.6875,0.6875,-4.6875
1570181108867523,-19.375,1.375,2.1875
1570181108884366,-9.0625,4.125,3.375
1570181108906316,0.9375,6.25,6.375
1570181108927249,5.625,4.1875,12.4375
1570181108944204,6.75,2.1875,14.4375
1570181108957188,6.375,-1.1875,16.625
1570181108972175,8.25,-7.3125,23.75
1570181108994111,6.6875,-12.8125,28.75
1570181109017180,10.9375,-12.4375,25.3125
1570181109032151,23.375,-0.5,9.5
1570181109053911,31.125,15,-14.6875
1570181109076858,20.5625,12.375,-9.75
1570181109091817,-6.0625,-5.5625,-2.375
1570181109114749,-19.3125,-17.4375,4.4375
1570181109136690,-13.75,-17.125,5.6875
1570181109151685,0.125,-11.6875,1.125
1570181109174596,10.0625,-5.5,-4.5625
1570181109196527,11.5625,-4.5625,-5.5625
1570181109211487,5.1875,-7.3125,-3.4375
1570181109234473,6.1875,-7.1875,-1.6875
1570181109256370,5.3125,-6.125,-3.3125
1570181109272326,6.75,-4.75,-3.75
1570181109294304,3.8125,-3.3125,-1.875
1570181109317264,-0.9375,-2.875,-0.625
1570181109332240,-3.3125,-1.75,0.0625
1570181109354220,-6.25,0.25,2.25
1570181109377285,-5.9375,2.1875,2.6875
1570181109392212,-6.8125,1.125,3.25
1570181109413947,-4.625,-1.875,5
1570181109436952,1.8125,-3.4375,5.4375
1570181109452858,5,-3.5625,3.875
1570181109474787,5.0625,-3.1875,2.5
1570181109497090,2.6875,-3.5625,2
1570181109512682,0.875,-4.75,1.4375
1570181109534697,0.75,-5.3125,0.1875
1570181109556791,1.125,-5,-0.6875
1570181109571661,0.0625,-3.625,-1.25
1570181109594472,-1.6875,-1.5625,-2.6875
1570181109616623,-0.5,-2.75,-2.125
1570181109632364,-1.75,-3.625,-1.4375
1570181109654540,-1.6875,-3.9375,-1.4375
1570181109677251,-0.5625,-3.8125,-1.3125
1570181109693223,-1.8125,-2,-1.625
1570181109714194,-2.625,-2.0625,-0.8125
1570181109737084,0.1875,-2.75,-0.6875
1570181109759031,1.0625,-1.625,-0.9375
1570181109774174,-1.0625,0.375,-2
1570181109797140,-2.0625,0.625,-2.25
1570181109813418,0,-0.0625,-1.25
1570181109835821,0.3125,0.1875,-0.0625
1570181109856773,1.9375,0.375,1.125
1570181109872732,2.375,-0.75,2.1875
1570181109894662,2.75,-0.8125,2.5625
1570181109916602,1.5625,0.5,2.0625
1570181109933558,0.5625,1.75,1.25
1570181109954504,-0.6875,1.25,1.1875
1570181109976451,0.5,0,1.125
1570181109994617,0.625,0.375,-1.125
1570181110014380,-0.6875,0.75,-2.0625
1570181110040179,-1.0625,-0.1875,-2.625
1570181110054911,-2.0625,-0.75,-2.625
1570181110074393,-1.25,-0.8125,-3.375
