timestamp,x,y,z,w
1570181108041651,0.472046,-0.264099,-0.163757,0.824951
1570181108064700,0.481262,-0.262085,-0.163635,0.820313
1570181108088492,0.49176,-0.259155,-0.166992,0.814331
1570181108103532,0.499634,-0.259521,-0.171265,0.808472
1570181108124403,0.496094,-0.261902,-0.178894,0.808228
1570181108148333,0.486267,-0.26178,-0.185974,0.812622
1570181108202387,0.4776,-0.256958,-0.191101,0.818115
1570181108203194,0.472656,-0.250305,-0.197571,0.821472
1570181108204181,0.471497,-0.244751,-0.206055,0.821777
1570181108216151,0.474365,-0.241333,-0.213989,0.819092
1570181108238092,0.475647,-0.238953,-0.220886,0.8172
1570181108256051,0.474976,-0.235596,-0.226807,0.816956
1570181108277375,0.4729,-0.231628,-0.231384,0.817993
1570181108329850,0.470398,-0.229126,-0.23468,0.819214
1570181108330081,0.469788,-0.229187,-0.236145,0.819092
1570181108336830,0.472107,-0.231262,-0.235046,0.817505
1570181108357123,0.477966,-0.234558,-0.231628,0.814148
1570181108373047,0.485596,-0.23645,-0.227356,0.810303
1570181108403649,0.492432,-0.235718,-0.222717,0.807678
1570181108424877,0.494751,-0.233276,-0.218567,0.808105
1570181108440551,0.492859,-0.229004,-0.215698,0.811218
1570181108463553,0.489502,-0.22467,-0.212708,0.815247
1570181108485496,0.486206,-0.222961,-0.207397,0.819031
1570181108500452,0.486023,-0.223389,-0.198975,0.821106
1570181108524329,0.490356,-0.223328,-0.188965,0.820923
1570181108546274,0.495972,-0.221924,-0.181213,0.819702
1570181108561228,0.499268,-0.220947,-0.176147,0.819092
1570181108584172,0.497742,-0.219116,-0.172546,0.821228
1570181108606234,0.491394,-0.217102,-0.169128,0.826294
1570181108621067,0.483032,-0.215515,-0.166931,0.832031
1570181108644173,0.475342,-0.213745,-0.167175,0.836853
1570181108673936,0.468933,-0.212646,-0.168396,0.840515
1570181108687888,0.463745,-0.213318,-0.168701,0.84314
1570181108703847,0.459778,-0.21521,-0.169128,0.844788
1570181108726791,0.45636,-0.217773,-0.170105,0.845764
1570181108747773,0.452332,-0.220215,-0.171082,0.847107
1570181108763686,0.448059,-0.221741,-0.172546,0.848633
1570181108786627,0.444092,-0.221802,-0.174927,0.85022
1570181108807736,0.439209,-0.221497,-0.177673,0.852295
1570181108823646,0.43396,-0.220886,-0.180359,0.854553
1570181108846466,0.429932,-0.219543,-0.18219,0.856567
1570181108867523,0.427002,-0.219177,-0.182373,0.858093
1570181108884366,0.425537,-0.219177,-0.181519,0.859009
1570181108906316,0.425354,-0.21936,-0.179688,0.859436
1570181108927249,0.425537,-0.220703,-0.176819,0.859619
1570181108944204,0.425842,-0.222595,-0.173645,0.859619
1570181108957188,0.425903,-0.224915,-0.170593,0.859558
1570181108972175,0.425659,-0.228638,-0.16687,0.859436
1570181108994111,0.424988,-0.233765,-0.16272,0.859192
1570181109017180,0.424744,-0.238403,-0.158997,0.858704
1570181109032151,0.426758,-0.239441,-0.156677,0.857849
1570181109053911,0.433105,-0.235962,-0.157043,0.855591
1570181109076858,0.438904,-0.232361,-0.157898,0.853455
1570181109091817,0.439331,-0.231506,-0.159851,0.853088
1570181109114749,0.435913,-0.233521,-0.16156,0.853943
1570181109136690,0.432434,-0.236572,-0.16217,0.854797
1570181109151685,0.430969,-0.239258,-0.162231,0.854797
1570181109174596,0.431763,-0.240601,-0.162476,0.853943
1570181109196527,0.433411,-0.241211,-0.163086,0.852844
1570181109211487,0.434082,-0.241943,-0.164063,0.852112
1570181109234473,0.434875,-0.242981,-0.164612,0.851257
1570181109256370,0.43573,-0.243896,-0.165283,0.850464
1570181109272326,0.436951,-0.24469,-0.165833,0.849487
1570181109294304,0.437805,-0.2453,-0.166199,0.848816
1570181109317264,0.437927,-0.245728,-0.166565,0.848572
1570181109332240,0.437622,-0.245972,-0.166809,0.848572
1570181109354220,0.436768,-0.245972,-0.166748,0.84906
1570181109377285,0.436035,-0.245605,-0.166443,0.849609
1570181109392212,0.434937,-0.2453,-0.16626,0.850281
1570181109413947,0.433838,-0.245667,-0.165894,0.850769
1570181109436952,0.433472,-0.246765,-0.165161,0.85083
1570181109452858,0.433655,-0.247864,-0.164551,0.850525
1570181109474787,0.434082,-0.248779,-0.164063,0.850098
1570181109497090,0.434204,-0.249695,-0.163818,0.849854
1570181109512682,0.434021,-0.250671,-0.163818,0.84967
1570181109534697,0.433777,-0.25177,-0.164001,0.849426
1570181109556791,0.433655,-0.252747,-0.164246,0.849182
1570181109571661,0.433472,-0.253418,-0.164551,0.848938
1570181109594472,0.433411,-0.253357,-0.165161,0.848877
1570181109616623,0.433533,-0.25354,-0.165771,0.848694
1570181109632364,0.43335,-0.253967,-0.166321,0.848511
1570181109654540,0.432983,-0.254456,-0.166809,0.84845
1570181109677251,0.432861,-0.255127,-0.167175,0.848267
1570181109693223,0.432617,-0.255371,-0.167603,0.848206
1570181109714194,0.432129,-0.255432,-0.16803,0.848328
1570181109737084,0.432007,-0.255798,-0.168274,0.848267
1570181109759031,0.432007,-0.256226,-0.168396,0.848145
1570181109774174,0.432007,-0.255981,-0.16864,0.848145
1570181109797140,0.431763,-0.255554,-0.169067,0.848328
1570181109813418,0.431702,-0.255493,-0.16925,0.848328
1570181109835821,0.431702,-0.255432,-0.16925,0.848328
1570181109856773,0.431946,-0.25531,-0.169128,0.848267
1570181109872732,0.43219,-0.255432,-0.168823,0.848206
1570181109894662,0.432434,-0.255859,-0.168335,0.848022
1570181109916602,0.432495,-0.256104,-0.167847,0.848022
1570181109933558,0.432495,-0.255981,-0.16748,0.848145
1570181109954504,0.43219,-0.255737,-0.167236,0.848389
1570181109976451,0.432007,-0.255981,-0.166931,0.848511
1570181109994617,0.431946,-0.256104,-0.16687,0.848511
1570181110014380,0.431885,-0.255981,-0.166992,0.848511
1570181110040179,0.431824,-0.255981,-0.167358,0.848511
1570181110054911,0.43158,-0.256042,-0.167786,0.848511
1570181110074393,0.431519,-0.255981,-0.168335,0.84845
1570181110097135,0.431641,-0.256042,-0.168762,0.848328
1570181110115071,0.431763,-0.256104,-0.169189,0.848145
1570181110134249,0.431641,-0.256287,-0.169495,0.848083
1570181110157159,0.431152,-0.25647,-0.169739,0.848206
1570181110174913,0.43103,-0.256775,-0.169739,0.848206
1570181110194900,0.431335,-0.257202,-0.169495,0.847961
1570181110217200,0.432007,-0.257568,-0.169067,0.847534
1570181110235749,0.432617,-0.257813,-0.168701,0.84729
1570181110254699,0.433044,-0.258179,-0.168396,0.846985
1570181110276640,0.433472,-0.258667,-0.16803,0.84668
