timestamp,x,y,z
1570181194120506,0.399902,0.744629,0.424316
1570181194120506,0.226074,0.773438,0.38623
1570181194143439,0.234863,0.779297,0.323242
1570181194158436,0.340332,0.743652,0.393066
1570181194179433,0.332031,0.748047,0.397461
1570181194203524,0.279785,0.768555,0.397461
1570181194218275,0.270508,0.753418,0.398438
1570181194271287,0.294434,0.76416,0.394531
1570181194279856,0.29541,0.746582,0.350098
1570181194285062,0.254883,0.805664,0.350586
1570181194301018,0.232422,0.804688,0.393066
1570181194322967,0.275879,0.759766,0.379883
1570181194337023,0.327148,0.775879,0.387207
1570181194360882,0.270508,0.777832,0.400879
1570181194407101,0.21875,0.746582,0.362793
1570181194407736,0.277344,0.730469,0.353516
1570181194420707,0.402344,0.736328,0.354004
1570181194441810,0.364258,0.75,0.398926
1570181194456783,0.207031,0.780762,0.38623
1570181194481538,0.17334,0.810547,0.344238
1570181194502696,0.227539,0.816406,0.34375
1570181194518449,0.26416,0.817871,0.331055
1570181194541467,0.30127,0.776367,0.341797
1570181194562450,0.324707,0.742188,0.352051
1570181194585299,0.289551,0.75,0.361816
1570181194601297,0.294434,0.734863,0.35498
1570181194622167,0.288086,0.743652,0.373535
1570181194639337,0.291504,0.76709,0.367676
1570181194661372,0.294434,0.791504,0.34668
1570181194682249,0.283203,0.807617,0.351563
1570181194698955,0.260254,0.780762,0.356445
1570181194720967,0.286621,0.774902,0.337891
1570181194742877,0.288086,0.789551,0.392578
1570181194758970,0.262207,0.770508,0.352539
1570181194781736,0.254883,0.788574,0.376465
1570181194802704,0.242188,0.791016,0.393555
1570181194818636,0.240723,0.778809,0.392578
1570181194841574,0.266113,0.773926,0.379395
1570181194862569,0.287598,0.76416,0.384277
1570181194878475,0.280273,0.764648,0.370117
1570181194901424,0.273438,0.76123,0.369629
1570181194924353,0.279297,0.756348,0.348145
1570181194938353,0.270508,0.759766,0.355469
1570181194961310,0.262207,0.76123,0.381348
1570181194984209,0.280273,0.775391,0.395508
1570181195005212,0.28418,0.78418,0.384766
1570181195021099,0.26416,0.769531,0.358887
1570181195044030,0.282227,0.758789,0.374512
1570181195065972,0.298828,0.742188,0.38623
1570181195081632,0.286621,0.752441,0.401367
1570181195120607,0.293457,0.773926,0.404297
1570181195124817,0.290039,0.830566,0.350586
1570181195155733,0.183105,0.853027,0.365234
1570181195163710,0.143555,0.785156,0.367676
1570181195177675,0.232422,0.777832,0.370605
1570181195201609,0.272461,0.752441,0.361328
1570181195231627,0.297363,0.73877,0.383789
1570181195238511,0.263184,0.777344,0.354004
1570181195261450,0.313477,0.789063,0.405762
1570181195283391,0.331543,0.77832,0.361328
1570181195298469,0.277344,0.79248,0.327637
1570181195321293,0.23877,0.796875,0.360352
1570181195344229,0.248047,0.796875,0.394043
1570181195358191,0.271484,0.782227,0.392578
1570181195387750,0.277344,0.746582,0.356445
1570181195404075,0.247559,0.733398,0.331055
1570181195426018,0.238281,0.739746,0.370117
1570181195448950,0.243652,0.744629,0.375488
1570181195463910,0.244141,0.751465,0.334473
1570181195486851,0.244141,0.779785,0.322754
1570181195508797,0.219238,0.77832,0.341309
1570181195522758,0.214355,0.753418,0.396484
1570181195546689,0.230957,0.723145,0.368652
1570181195568631,0.263184,0.686523,0.356934
1570181195589702,0.302246,0.709961,0.379883
1570181195606617,0.301758,0.735352,0.392578
1570181195628901,0.248047,0.733887,0.404785
1570181195643430,0.223633,0.773438,0.451172
1570181195666376,0.222168,0.800781,0.492676
1570181195688493,0.243652,0.84375,0.486328
1570181195710398,0.226074,0.815918,0.467285
1570181195726206,0.199219,0.753906,0.474609
1570181195749147,0.202148,0.693359,0.495117
1570181195770108,0.223145,0.679199,0.479492
1570181195786053,0.210449,0.710449,0.481934
1570181195809271,0.143555,0.737793,0.474609
1570181195829929,0.111328,0.772949,0.45166
1570181195845888,0.138672,0.781738,0.448242
1570181195868827,0.166016,0.775879,0.44043
1570181195898753,0.186523,0.763184,0.442383
1570181195906725,0.196777,0.773438,0.438477
1570181195929006,0.205566,0.777832,0.427734
1570181195949712,0.20459,0.773926,0.433105
1570181195966641,0.20459,0.757813,0.437988
1570181195988585,0.213867,0.754395,0.445313
1570181196010450,0.217773,0.744629,0.45459
1570181196026407,0.207031,0.73291,0.456055
1570181196048363,0.198242,0.727539,0.442871
1570181196070290,0.195801,0.725586,0.453613
1570181196086250,0.193359,0.717285,0.450195
1570181196109190,0.203613,0.729492,0.439453
1570181196130136,0.201172,0.743164,0.419922
1570181196146626,0.20459,0.75293,0.419434
1570181196175131,0.216797,0.764648,0.410156
1570181196190200,0.223145,0.779297,0.40625
1570181196205965,0.21582,0.785645,0.398926
1570181196228865,0.209473,0.791016,0.393066
1570181196250025,0.209473,0.792969,0.40332
1570181196266764,0.209473,0.794922,0.402344
1570181196288713,0.208496,0.789551,0.404785
1570181196310015,0.205566,0.776855,0.413086
1570181196326603,0.202148,0.759277,0.432617
1570181196348609,0.197266,0.738281,0.45459
1570181196371487,0.199219,0.715332,0.455078
1570181196386443,0.199219,0.719727,0.454102
1570181196409593,0.199219,0.731445,0.455566
1570181196431323,0.200195,0.736816,0.439941
1570181196447289,0.201172,0.746094,0.428711
1570181196469224,0.196777,0.762695,0.427734
1570181196491162,0.196777,0.773926,0.42627
1570181196506124,0.195801,0.785156,0.418457
1570181196529075,0.188965,0.781738,0.423828
1570181196551124,0.189453,0.771484,0.432129
1570181196565971,0.190918,0.748535,0.438965
1570181196588904,0.199707,0.740723,0.456543
1570181196617832,0.197266,0.724121,0.462891
1570181196625802,0.19043,0.724609,0.462891
1570181196648741,0.192871,0.730957,0.45752
1570181196671679,0.208008,0.734863,0.449707
1570181196685643,0.208008,0.745117,0.441406
1570181196708579,0.197754,0.780762,0.431641
1570181196731532,0.193848,0.799316,0.418945
1570181196745499,0.205078,0.794434,0.41748
1570181196768531,0.208008,0.775391,0.435547
1570181196791767,0.19873,0.751953,0.449707
1570181196805322,0.206055,0.731445,0.45752
1570181196829258,0.214844,0.723145,0.449219
1570181196851207,0.206055,0.716797,0.443848
1570181196872355,0.189941,0.732422,0.428223
1570181196889100,0.190918,0.733887,0.427246
1570181196919019,0.216309,0.730957,0.40332
1570181196932224,0.224609,0.73584,0.425781
1570181196948943,0.214355,0.739746,0.421875
1570181196971082,0.20752,0.753418,0.42627
1570181196992932,0.199707,0.773438,0.424316
1570181197008790,0.19043,0.777832,0.41748
1570181197030726,0.203125,0.775391,0.416504
1570181197052662,0.207031,0.77002,0.416504
1570181197068620,0.194824,0.773438,0.422363
1570181197091560,0.195313,0.771973,0.412598
1570181197112872,0.202637,0.760254,0.430664
1570181197128646,0.207031,0.749023,0.436035
1570181197151400,0.20459,0.740723,0.443848
1570181197172508,0.206543,0.744141,0.433594
1570181197188334,0.211914,0.749023,0.441406
1570181197211237,0.205078,0.74707,0.440918
1570181197232403,0.206543,0.750977,0.44043
1570181197249146,0.20166,0.74707,0.449707
1570181197277355,0.20166,0.74707,0.447266
1570181197292326,0.194824,0.748535,0.445313
1570181197315106,0.191895,0.746094,0.45166
1570181197338896,0.191895,0.748047,0.450195
1570181197353858,0.196289,0.74707,0.450195
1570181197368817,0.19873,0.747559,0.442871
1570181197391753,0.195313,0.754395,0.4375
1570181197413702,0.194336,0.756348,0.437012
1570181197428663,0.196289,0.756836,0.434082
1570181197451596,0.199707,0.757324,0.431152
1570181197479772,0.19873,0.755371,0.439941
1570181197488498,0.197754,0.751953,0.445801
1570181197511692,0.205078,0.745117,0.434082
1570181197533377,0.195801,0.748535,0.436523
1570181197554355,0.201172,0.746582,0.4375
1570181197571274,0.200195,0.751953,0.432129
1570181197593214,0.205078,0.755859,0.435547
1570181197608269,0.199707,0.765137,0.436035
1570181197631114,0.205566,0.761719,0.443848
1570181197654187,0.204102,0.752441,0.438965
1570181197668373,0.200195,0.748535,0.447754
1570181197691950,0.195801,0.740234,0.446289
1570181197713891,0.20459,0.73584,0.447754
1570181197727854,0.210938,0.729492,0.447754
1570181197750951,0.216797,0.726563,0.457031
1570181197773731,0.213867,0.73584,0.45166
1570181197788260,0.211914,0.754395,0.45166
1570181197811628,0.211426,0.761719,0.438965
1570181197833825,0.213867,0.76123,0.428223
1570181197855220,0.213867,0.76123,0.421387
1570181197878309,0.207031,0.757813,0.436035
1570181197893323,0.208496,0.751953,0.423828
1570181197915262,0.206055,0.749512,0.431641
1570181197931220,0.199219,0.745117,0.429688
1570181197953199,0.199707,0.743652,0.432129
1570181197975103,0.200195,0.747559,0.435547
1570181197991533,0.202148,0.755371,0.441406
1570181198013927,0.207031,0.75,0.440918
1570181198035219,0.20752,0.753418,0.438477
1570181198051173,0.209961,0.75293,0.437012
1570181198074852,0.208984,0.751953,0.428223
1570181198094578,0.208496,0.752441,0.420898
1570181198111402,0.211426,0.757324,0.42334
1570181198133700,0.208984,0.75293,0.427246
1570181198154288,0.209473,0.747559,0.428223
1570181198171243,0.205566,0.746094,0.438965
1570181198193186,0.202637,0.746582,0.437988
1570181198215126,0.210938,0.749023,0.442871
1570181198231082,0.210449,0.746094,0.4375
1570181198254020,0.203613,0.751953,0.44873
1570181198281987,0.20459,0.754395,0.45459
1570181198290921,0.193848,0.760742,0.450684
1570181198313865,0.189941,0.764648,0.441406
1570181198335802,0.192871,0.765137,0.42627
