timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1570181194280072,40,28,0,-9,-4,-5,-6,-1
1570181194280072,-27,-4,-1,1,6,9,14,16
1570181194281078,26,5,6,4,-1,-3,-9,-15
1570181194281078,15,0,4,4,5,-2,-15,24
1570181194282069,19,1,-7,-6,-4,-3,-4,-11
1570181194282069,-94,-41,-8,-9,-4,-6,-12,-26
1570181194286057,101,28,2,-2,0,1,0,39
1570181194286057,-24,-42,-12,-5,3,3,-5,-8
1570181194292048,69,17,5,1,-7,-2,8,-3
1570181194292048,63,19,2,4,3,2,2,38
1570181194303013,-99,-68,3,5,3,3,13,-7
1570181194303013,105,43,-6,-11,-10,-19,-10,-6
1570181194307006,-11,-28,-5,4,7,5,2,11
1570181194307006,35,14,2,-2,-1,40,-7,-7
1570181194322967,-13,16,1,-4,-12,-24,-1,-18
1570181194322967,-68,-14,2,3,1,4,11,10
1570181194330939,-33,-4,3,4,4,13,8,0
1570181194330939,21,22,4,0,-5,-12,-2,2
1570181194353001,-33,-26,-8,-2,4,10,-2,0
1570181194353001,17,21,7,7,4,5,5,12
1570181194353001,-23,11,-20,-14,-13,-28,-9,-59
1570181194353001,-7,-13,-4,1,0,-15,3,15
1570181194367049,3,9,-5,-4,2,1,-1,-13
1570181194367049,-19,-16,3,2,-1,-8,-1,-6
1570181194408731,-7,1,-1,-1,-2,-9,-3,-6
1570181194408731,-4,1,2,0,5,30,7,-4
1570181194408950,-1,-1,-3,-3,-1,-13,-6,-5
1570181194408950,2,0,1,-1,-4,-13,2,0
1570181194412530,4,3,2,0,-1,-4,-3,-2
1570181194412530,-8,-3,0,-3,-2,-9,-2,-2
1570181194412724,10,2,2,1,1,8,4,4
1570181194412724,-9,-2,0,2,4,-4,1,-13
1570181194419894,5,-3,-3,0,-7,-3,-9,1
1570181194419894,-11,-1,-1,-1,-2,-3,-14,-23
1570181194426815,0,-2,0,0,-1,11,3,3
1570181194426815,1,-1,0,-1,1,5,-2,5
1570181194434712,-5,-1,1,-2,-1,9,1,-9
1570181194434712,-2,0,0,4,0,-1,3,-8
1570181194448719,4,-1,-2,0,-4,0,2,8
1570181194448719,-3,-2,-2,-2,-1,-1,-6,5
1570181194463583,3,-1,0,0,3,-6,3,15
1570181194463583,-7,-2,0,-2,-2,-8,-6,-41
1570181194480543,1,2,2,1,-1,-14,-8,16
1570181194480543,4,0,0,2,0,3,3,10
1570181194481538,1,-1,-1,0,1,2,1,9
1570181194481538,6,0,-1,0,-3,-4,0,20
1570181194494559,7,0,1,1,-1,8,4,24
1570181194494559,7,-1,2,0,0,7,4,10
1570181194503481,-21,-6,-5,-4,-2,8,-2,-33
1570181194503481,20,4,3,4,-1,-4,7,45
1570181194517747,-20,-1,-4,-5,-1,1,-4,-41
1570181194517747,10,-10,-2,-2,-1,2,-4,17
1570181194524550,0,5,1,2,2,-4,3,1
1570181194524550,11,-2,-3,-4,-1,-3,3,14
1570181194540415,-1,2,0,1,1,-3,-3,-1
1570181194540415,-5,4,-1,-1,0,-1,1,-18
1570181194542381,-2,-3,0,0,-2,2,-2,-6
1570181194542381,0,0,-1,0,1,2,0,1
