timestamp,x,y,z
1570181194120506,-1.6875,3,2.5625
1570181194120506,3.25,8.375,-7.4375
1570181194143439,-7.1875,-2.1875,-1.3125
1570181194158436,-3.625,-3.75,3.6875
1570181194179433,-4.8125,-0.0625,-1.75
1570181194203524,1.5625,0.125,-2.4375
1570181194218275,10.125,0,1.9375
1570181194271287,5.4375,-0.4375,2.25
1570181194279856,8.25,0.9375,1.125
1570181194285062,3.6875,3,0.25
1570181194301018,1.875,-2.0625,-0.8125
1570181194322967,-6.9375,-5.25,-2.8125
1570181194337023,-10.125,0.1875,-6.6875
1570181194360882,0.3125,5.1875,-6.75
1570181194407101,3.1875,1,-3.3125
1570181194407736,0.0625,-3.875,2.625
1570181194420707,2.5,-1.6875,6.3125
1570181194441810,7.4375,14.5625,3.75
1570181194456783,25.0625,20.6875,-0.0625
1570181194481538,30,10.75,5.625
1570181194502696,22.375,3.4375,5.8125
1570181194518449,9.625,-0.6875,5
1570181194541467,4.625,-2.9375,3.625
1570181194562450,0.1875,-1.5,4.375
1570181194585299,-1.6875,-0.6875,-1.125
1570181194601297,-0.25,-2.875,-1.5
1570181194622167,0,-3,-0.5625
1570181194639337,2.0625,-3.8125,-3.375
1570181194661372,-1.375,-2.9375,-6
1570181194682249,-7.9375,0,-7.125
1570181194698955,-11.6875,-0.75,-4.125
1570181194720967,-14.875,-2.6875,-2
1570181194742877,-13.9375,-0.3125,-4.125
1570181194758970,-8.8125,-0.625,-1.6875
1570181194781736,-6.25,-1.3125,-1.875
1570181194802704,-0.875,-1.6875,-2.4375
1570181194818636,-0.5625,-4.0625,0.5625
1570181194841574,2.0625,-4.9375,1.0625
1570181194862569,1.375,-4,1.8125
1570181194878475,-0.625,-0.4375,2.3125
1570181194901424,0.8125,0.25,2.3125
1570181194924353,-3.1875,-0.5625,1.125
1570181194938353,-6.3125,-0.1875,-0.9375
1570181194961310,-3.3125,-0.8125,-0.25
1570181194984209,-3.0625,-0.625,-0.9375
1570181195005212,1.1875,1.125,-3.625
1570181195021099,-2,-0.1875,-2.875
1570181195044030,-6.6875,-2.8125,-1.5625
1570181195065972,-3.25,-1.875,0.5625
1570181195081632,4.5,-3.4375,1.6875
1570181195120607,11.25,-2.4375,0.8125
1570181195124817,0.9375,5.5625,-5.875
1570181195155733,0.1875,9.9375,-9.8125
1570181195163710,-4.8125,1.375,-5
1570181195177675,-5.875,-3.3125,-5.9375
1570181195201609,-1.6875,0.9375,-6.875
1570181195231627,-6.4375,4.3125,-4
1570181195238511,2.125,6.125,-4.8125
1570181195261450,9,2.9375,-0.3125
1570181195283391,15.0625,6.875,7.125
1570181195298469,14.375,10.5,2.9375
1570181195321293,6.75,7.625,1.5
1570181195344229,1.3125,5.375,3.25
1570181195358191,-2,3.625,1.25
1570181195387750,-8.375,4.5,-2.75
1570181195404075,-14,4.1875,-4.25
1570181195426018,-17,1.5,-8.375
1570181195448950,-14.4375,1.5625,-12.0625
1570181195463910,-10,2.75,-11.5625
1570181195486851,-10.5625,2.8125,-13.125
1570181195508797,-11.25,4.25,-15.75
1570181195522758,-16.3125,3.125,-11.625
1570181195546689,-13.5625,2.625,-7.125
1570181195568631,-3.875,4.8125,-2.8125
1570181195589702,-5.5625,8.125,1.625
1570181195606617,-6.375,11.6875,-0.5
1570181195628901,-7.6875,12.875,0.875
1570181195643430,-6.625,10.3125,0.8125
1570181195666376,-5.4375,6.6875,-6.8125
1570181195688493,-10.1875,4.0625,-11.1875
1570181195710398,-18.125,2.6875,-14.1875
1570181195726206,-27.8125,0.125,-14.375
1570181195749147,-26.25,-3.75,-10.125
1570181195770108,-19,-6.25,-8.125
1570181195786053,-11.4375,-2.5,-10
1570181195809271,-0.25,1.4375,-9.3125
1570181195829929,1.1875,-2.3125,-6.875
1570181195845888,-0.875,-4.75,-5.5
1570181195868827,0.625,-4.625,-2
1570181195898753,6.375,-3.25,1.4375
1570181195906725,10.875,-2.125,4.375
1570181195929006,11.625,-1.625,5.75
1570181195949712,10.8125,-0.875,7.25
1570181195966641,11,-1,7.6875
1570181195988585,8.6875,-1.875,5.75
1570181196010450,5.75,-1.75,2.625
1570181196026407,4.5625,-1.375,0.5
1570181196048363,-0.375,-1.4375,-0.875
1570181196070290,-1.75,-0.4375,-1.5
1570181196086250,-0.9375,-2,-1.6875
1570181196109190,1.5,-3.9375,-3.25
1570181196130136,4.8125,-4.125,-3.9375
1570181196146626,5.0625,-4.5,-3.9375
1570181196175131,5.875,-5.1875,-3.3125
1570181196190200,3.9375,-4.4375,-3.8125
1570181196205965,2.25,-3,-3.6875
1570181196228865,0.8125,-1.6875,-2.9375
1570181196250025,1.125,-0.25,-1.375
1570181196266764,-0.1875,1.5,0.0625
1570181196288713,-2.75,2.5,0.625
1570181196310015,-6.5625,3.125,1.25
1570181196326603,-9.5,3.1875,0.8125
1570181196348609,-10.0625,2.75,0.5625
1570181196371487,-7.125,2,-0.125
1570181196386443,-3,0.9375,-1.3125
1570181196409593,-0.0625,-0.125,-1.625
1570181196431323,1.4375,-1.1875,-1.875
1570181196447289,1.5625,-1.1875,-2.625
1570181196469224,0.0625,-1.25,-3.25
1570181196491162,-1.625,-0.75,-2.9375
1570181196506124,-3,1,-1.8125
1570181196529075,-5.5,2.6875,-0.4375
1570181196551124,-6.5625,3.3125,1.4375
1570181196565971,-7.625,3.5625,3.3125
1570181196588904,-6.5625,3.3125,3.1875
1570181196617832,-3.9375,2.9375,2.4375
1570181196625802,-1.5,1.8125,2.0625
1570181196648741,0.4375,-0.4375,1.125
1570181196671679,2.625,-1.75,0.75
1570181196685643,4.4375,-1.4375,-0.4375
1570181196708579,5.8125,-0.1875,0.625
1570181196731532,7.5625,1.0625,4.3125
