timestamp,x,y,z,w
1570181194120506,0.471252,-0.257996,-0.122498,0.834412
1570181194120506,0.472412,-0.255737,-0.123108,0.834412
1570181194143439,0.472046,-0.255615,-0.124023,0.834473
1570181194158436,0.470886,-0.256897,-0.123535,0.834839
1570181194179433,0.46991,-0.25708,-0.123657,0.835327
1570181194203524,0.470154,-0.256836,-0.123962,0.835205
1570181194218275,0.471375,-0.257019,-0.123291,0.834534
1570181194271287,0.471924,-0.257446,-0.122681,0.834229
1570181194279856,0.473145,-0.257874,-0.121887,0.833496
1570181194285062,0.474243,-0.257324,-0.121704,0.833069
1570181194301018,0.474731,-0.257019,-0.122253,0.832825
1570181194322967,0.473694,-0.257385,-0.123413,0.83313
1570181194337023,0.472351,-0.256958,-0.124573,0.833862
1570181194360882,0.472717,-0.255493,-0.125183,0.833984
1570181194407101,0.473511,-0.2547,-0.125732,0.833679
1570181194407736,0.473328,-0.255676,-0.125549,0.833496
1570181194420707,0.473022,-0.257751,-0.123779,0.833313
1570181194441810,0.473694,-0.256775,-0.121155,0.833618
1570181194456783,0.477966,-0.25354,-0.118835,0.83252
1570181194481538,0.482971,-0.252197,-0.116455,0.830383
1570181194502696,0.486511,-0.252197,-0.114685,0.828552
1570181194518449,0.488159,-0.252869,-0.113708,0.827515
1570181194541467,0.488586,-0.253967,-0.113098,0.826965
1570181194562450,0.488098,-0.255005,-0.112244,0.827087
1570181194585299,0.487671,-0.255066,-0.112427,0.827332
1570181194601297,0.487366,-0.255493,-0.112671,0.827271
1570181194622167,0.487,-0.25592,-0.112915,0.827332
1570181194639337,0.487183,-0.256287,-0.113586,0.827026
1570181194661372,0.487305,-0.256287,-0.114685,0.826843
1570181194682249,0.486633,-0.255554,-0.116089,0.827271
1570181194698955,0.485229,-0.254944,-0.117371,0.828125
1570181194720967,0.483276,-0.255066,-0.118408,0.829041
1570181194742877,0.481262,-0.254395,-0.119629,0.830261
1570181194758970,0.480225,-0.25415,-0.120422,0.830811
1570181194781736,0.479492,-0.253784,-0.121216,0.831238
1570181194802704,0.479431,-0.253418,-0.122009,0.831299
1570181194818636,0.479187,-0.253601,-0.122498,0.831238
1570181194841574,0.479309,-0.254333,-0.122742,0.830933
1570181194862569,0.479126,-0.255127,-0.12262,0.830811
1570181194878475,0.478882,-0.255432,-0.122314,0.830933
1570181194901424,0.478821,-0.255615,-0.121948,0.830933
