timestamp,roll,pitch,yaw
1570181194120506,1.10913,-0.320556,-0.491129
1570181194120506,1.1098,-0.315682,-0.489648
1570181194143439,1.10898,-0.314686,-0.490961
1570181194158436,1.10744,-0.317922,-0.491391
1570181194179433,1.10539,-0.318641,-0.49151
1570181194203524,1.10577,-0.31778,-0.491809
1570181194218275,1.10863,-0.318087,-0.491285
1570181194271287,1.11022,-0.319136,-0.490975
1570181194279856,1.1133,-0.319964,-0.490565
1570181194285062,1.11529,-0.318669,-0.489902
1570181194301018,1.11623,-0.317327,-0.490638
1570181194322967,1.11438,-0.317245,-0.492798
1570181194337023,1.11107,-0.316088,-0.493811
1570181194360882,1.11063,-0.312882,-0.493077
1570181194407101,1.1118,-0.310573,-0.493268
1570181194407736,1.11226,-0.312416,-0.494163
1570181194420707,1.11322,-0.317797,-0.493685
1570181194441810,1.11339,-0.318691,-0.488017
1570181194456783,1.11986,-0.313674,-0.481173
1570181194481538,1.12984,-0.311358,-0.47697
1570181194502696,1.1378,-0.311331,-0.475106
1570181194518449,1.14212,-0.312553,-0.474874
1570181194541467,1.14403,-0.314696,-0.475422
1570181194562450,1.14374,-0.317561,-0.475164
1570181194585299,1.14285,-0.317712,-0.47542
1570181194601297,1.14254,-0.318245,-0.476293
1570181194622167,1.14214,-0.318859,-0.477162
1570181194639337,1.14303,-0.3186,-0.478887
1570181194661372,1.14351,-0.317344,-0.480847
1570181194682249,1.14148,-0.315024,-0.482069
1570181194698955,1.13784,-0.313455,-0.482999
1570181194720967,1.13356,-0.313586,-0.484283
1570181194742877,1.12845,-0.312336,-0.48483
1570181194758970,1.12594,-0.311663,-0.485534
1570181194781736,1.12403,-0.310638,-0.486188
1570181194802704,1.12369,-0.309248,-0.487079
1570181194818636,1.12335,-0.309106,-0.488075
1570181194841574,1.12437,-0.309944,-0.489516
1570181194862569,1.12467,-0.311434,-0.490288
1570181194878475,1.12436,-0.312402,-0.490081
1570181194901424,1.12431,-0.313106,-0.489655
1570181194924353,1.12348,-0.313696,-0.48964
1570181194938353,1.12175,-0.313471,-0.489981
1570181194961310,1.12026,-0.313272,-0.490136
1570181194984209,1.11889,-0.312923,-0.490359
1570181195005212,1.11924,-0.311726,-0.490427
1570181195021099,1.11912,-0.310688,-0.491179
1570181195044030,1.117,-0.310835,-0.492242
1570181195065972,1.11549,-0.31211,-0.4926
1570181195081632,1.1165,-0.313317,-0.493111
1570181195120607,1.12002,-0.314185,-0.493585
1570181195124817,1.12116,-0.311527,-0.493087
1570181195155733,1.12184,-0.304393,-0.491728
1570181195163710,1.12052,-0.299724,-0.492116
1570181195177675,1.11926,-0.297618,-0.49418
1570181195201609,1.11881,-0.295701,-0.494868
1570181195231627,1.11593,-0.294922,-0.49393
1570181195238511,1.11689,-0.292623,-0.49288
1570181195261450,1.11927,-0.293157,-0.491877
1570181195283391,1.12377,-0.296027,-0.48848
1570181195298469,1.12877,-0.295715,-0.484921
1570181195321293,1.13062,-0.294476,-0.482166
1570181195344229,1.12996,-0.294213,-0.479739
1570181195358191,1.12832,-0.294174,-0.478198
1570181195387750,1.12524,-0.293313,-0.477158
1570181195404075,1.12062,-0.291464,-0.476518
1570181195426018,1.11478,-0.288555,-0.477318
1570181195448950,1.11006,-0.284477,-0.478741
1570181195463910,1.10768,-0.280588,-0.47996
1570181195486851,1.10586,-0.276232,-0.481626
1570181195508797,1.10346,-0.270308,-0.483016
1570181195522758,1.09769,-0.265794,-0.483791
1570181195546689,1.09328,-0.26341,-0.484258
1570181195568631,1.09158,-0.263131,-0.483175
1570181195589702,1.0888,-0.264268,-0.480212
1570181195606617,1.08555,-0.264134,-0.476473
1570181195628901,1.08133,-0.262779,-0.472165
1570181195643430,1.07736,-0.261038,-0.468559
1570181195666376,1.07394,-0.257263,-0.467202
1570181195688493,1.06994,-0.252861,-0.467638
1570181195710398,1.0638,-0.24793,-0.469221
1570181195726206,1.05365,-0.243037,-0.471415
1570181195749147,1.04316,-0.240467,-0.473945
1570181195770108,1.03576,-0.239525,-0.476947
1570181195786053,1.03118,-0.237156,-0.479259
1570181195809271,1.0306,-0.232554,-0.480281
1570181195829929,1.03177,-0.228553,-0.482378
1570181195845888,1.03238,-0.226182,-0.484866
1570181195868827,1.0335,-0.225513,-0.486761
1570181195898753,1.03602,-0.226136,-0.487473
1570181195906725,1.04021,-0.227571,-0.487508
1570181195929006,1.04456,-0.22952,-0.487041
1570181195949712,1.0485,-0.231841,-0.486119
1570181195966641,1.05198,-0.234231,-0.484985
1570181195988585,1.05447,-0.236359,-0.484317
1570181196010450,1.05574,-0.237664,-0.484274
1570181196026407,1.05647,-0.238048,-0.484408
1570181196048363,1.05577,-0.2378,-0.484799
1570181196070290,1.05448,-0.237208,-0.48497
1570181196086250,1.05335,-0.236707,-0.485675
1570181196109190,1.05384,-0.236417,-0.487356
1570181196130136,1.0559,-0.235859,-0.489282
1570181196146626,1.05832,-0.235418,-0.491378
1570181196175131,1.06126,-0.235526,-0.493655
1570181196190200,1.0637,-0.235472,-0.49585
1570181196205965,1.0656,-0.234978,-0.497643
1570181196228865,1.06715,-0.234336,-0.498816
1570181196250025,1.06828,-0.233867,-0.499261
1570181196266764,1.06885,-0.23362,-0.498971
1570181196288713,1.06829,-0.233389,-0.49825
1570181196310015,1.06617,-0.23312,-0.497091
1570181196326603,1.06226,-0.232754,-0.495846
1570181196348609,1.0578,-0.232265,-0.494817
1570181196371487,1.05408,-0.231809,-0.493874
1570181196386443,1.05213,-0.231286,-0.493629
1570181196409593,1.05128,-0.230809,-0.4937
1570181196431323,1.05159,-0.230428,-0.494273
1570181196447289,1.05219,-0.229838,-0.495085
1570181196469224,1.05258,-0.228909,-0.496071
1570181196491162,1.05246,-0.227882,-0.496866
1570181196506124,1.05224,-0.227012,-0.497
1570181196529075,1.0506,-0.225992,-0.496406
1570181196551124,1.04824,-0.225523,-0.495092
1570181196565971,1.04514,-0.225718,-0.49341
1570181196588904,1.04194,-0.226092,-0.491671
1570181196617832,1.0395,-0.226417,-0.490092
1570181196625802,1.03798,-0.226532,-0.489059
1570181196648741,1.03756,-0.226758,-0.488798
1570181196671679,1.03814,-0.227498,-0.489098
1570181196685643,1.03981,-0.22784,-0.489575
