timestamp,x,y,z
1570181942971500,0.25,-0.25,-0.4375
1570181942986265,0.625,-0.0625,-0.9375
1570181943010240,-0.4375,-0.125,-0.25
1570181943031141,-1.25,0.125,0.25
1570181943046099,-1.6875,0.1875,-0.125
1570181943070027,-1.375,0.3125,-0.4375
1570181943123885,-0.875,0.1875,-0.375
1570181943124882,-0.8125,0.125,-0.6875
1570181943153819,-0.625,0.1875,-0.6875
1570181943155800,-0.4375,0.125,-0.3125
1570181943159789,-0.3125,0.3125,-0.3125
1570181943182728,-1.0625,0.25,-0.5
1570181943203680,-0.6875,0.125,0.0625
1570181943251548,-0.5625,0.0625,-0.0625
1570181943251548,-0.9375,0.125,-0.5
1570181943264552,-1.0625,0.125,-0.4375
1570181943279512,-1.5,0.0625,-0.125
1570181943301414,-1.5,0.1875,-0.3125
1570181943325413,-1.375,0.125,-0.375
1570181943348369,-1.3125,0.1875,-0.125
1570181943370308,-1.3125,0.125,-0.3125
1570181943385240,-1.1875,0.125,-0.5
1570181943408175,-0.8125,0.125,-0.4375
1570181943429266,-0.3125,0.1875,-0.25
1570181943446025,0.125,0.1875,0
1570181943467972,0.25,0.125,0.0625
1570181943490968,0.1875,0.0625,0.125
1570181943505868,-0.25,0,-0.0625
1570181943527815,-0.25,0.125,-0.25
1570181943550745,-0.3125,0.0625,-0.25
1570181943565714,-0.25,0,-0.125
1570181943587781,-0.125,-0.125,-0.125
1570181943610584,0.125,-0.0625,-0.125
1570181943625556,0.5625,-0.125,0.1875
1570181943648485,0.625,0,0.25
1570181943670424,0,0.25,0
1570181943684438,-1.25,0.0625,0.125
1570181943708322,-1.125,0.0625,0.125
1570181943730265,0.0625,0,-0.125
1570181943745232,0.75,-0.125,0
1570181943768244,3.75,-0.75,1.6875
1570181943791276,7.875,0.3125,2.9375
1570181943805074,7.5,-1.5,4.875
1570181943828011,1.4375,-2,3.4375
1570181943850940,3.9375,-1.125,-0.25
1570181943872035,-2.75,-1.0625,-3.8125
1570181943887843,-3.5,-0.875,-4.0625
1570181943910789,-3.25,-1.25,-2.75
1570181943925748,-0.5,-0.5,-0.9375
1570181943947733,3.125,0,2.4375
1570181943977609,4.75,0.625,3.75
1570181943991564,2.5,0.5625,3
1570181944007807,0.5625,0.3125,0.9375
1570181944030476,1,0.1875,-0.3125
1570181944051499,1.1875,-0.3125,-0.3125
1570181944068419,8.75,0.25,1.3125
1570181944090300,10.9375,-0.375,2.75
1570181944113243,6.375,5.375,11.125
1570181944128207,23.875,14.625,16
1570181944150899,44.5,17.8125,18.6875
1570181944172083,62.3125,12.875,5.875
1570181944188041,73.625,-3.8125,-10
1570181944210996,66.1875,-7.5625,-1.8125
1570181944232919,27,-3.125,-1.25
1570181944255860,-7.5,-6.6875,-5.6875
1570181944276858,-27.8125,-6.1875,-10.625
1570181944293130,-22,-6.1875,-12.5
1570181944315709,-18.6875,-11.125,-6.625
1570181944343825,-15.8125,-13.5625,-3.1875
1570181944352602,-17.0625,-5.125,2.75
1570181944375689,-8.9375,4.0625,-0.4375
1570181944396830,9.4375,8.8125,-10.8125
1570181944413438,13.75,3.375,-4.8125
1570181944435386,23.1875,-2.6875,5.875
1570181944456360,20.125,-1.0625,8.25
1570181944473284,8.3125,-1.375,7
1570181944495258,1.8125,-2.5,5.625
1570181944516174,-3,-3.1875,6
1570181944533351,-4.0625,-2.6875,5.6875
1570181944556061,-0.1875,-2.3125,4
1570181944576999,7,-0.6875,1
1570181944592965,15.375,6.375,-4.3125
1570181944615895,16.375,16.875,-21.625
1570181944636849,-6.75,24.5,-32.4375
