timestamp,x,y,z
1570181512696027,-3.5625,-3.375,9.625
1570181512719964,-14.6875,-4.3125,4.875
1570181512742901,-15.8125,-2.4375,1.8125
1570181512757861,-3.375,-2.6875,2.75
1570181512778805,-1.5625,1,0.375
1570181512802778,-11.25,3.125,-0.4375
1570181512846819,-18.6875,3.625,0.1875
1570181512857769,-4.75,-4.375,-1.3125
1570181512862660,16.3125,-10.125,-8.3125
1570181512877567,23.4375,-8.5,-13.625
1570181512900777,12.0625,-3.1875,-17.875
1570181512921478,9.4375,0.0625,-21.6875
1570181512936570,17.125,7.375,-19.0625
1570181512982265,27.6875,6.75,-5.6875
1570181512990247,25.4375,6.0625,0.75
1570181513009193,2.9375,9.1875,-0.1875
1570181513019268,-9.4375,5.1875,-1.6875
1570181513042109,-6.8125,-4.9375,3
1570181513058570,1,-11,3.0625
1570181513081000,3.5625,-13.4375,2
1570181513109921,2.3125,-11,0.25
1570181513117908,-12.875,-2.125,5.1875
1570181513140847,-18.9375,-0.5,12.25
1570181513169811,-15.625,1,8.5625
1570181513178740,-7.0625,-3.375,12.25
1570181513200680,0.8125,-3.625,11.5
1570181513223624,0.8125,-6,8.8125
1570181513244570,1.8125,-4.375,9.1875
1570181513260634,-0.5,-1.4375,13.5625
1570181513282587,-7.875,-1.3125,17.3125
1570181513298422,-8.125,-15.8125,9.625
1570181513321356,-17.75,-41.75,-21.5625
1570181513342327,7.6875,-78.5,-19.0625
1570181513358260,44.5625,-96,-2.125
1570181513387258,49.25,-84.3125,2.1875
1570181513402143,41.6875,-71.625,6
1570181513418098,31.625,-59.5625,10
1570181513447030,5.875,-43.5625,4.4375
1570181513462324,-9.375,-26.75,-0.1875
1570181513477946,-10.8125,-13.8125,-2.3125
1570181513500947,1.125,-5.0625,0.3125
1570181513522000,1.875,0.375,-4.5625
1570181513537781,-8.3125,0.8125,-26.375
1570181513560810,-17.75,2.4375,-22.625
1570181513583655,-16.125,7.1875,-3.75
1570181513597620,-4.3125,8.4375,1.1875
1570181513626539,10.75,5.3125,-4.625
1570181513643602,13.125,5.625,-8.875
1570181513657457,5.5,5.875,-7.4375
1570181513689373,-2.75,8.0625,-1.625
1570181513703336,-5.9375,7.1875,2.6875
1570181513718297,1.5625,5.3125,-2.25
1570181513747274,1.3125,6.375,-8.4375
1570181513763176,-7.25,5.9375,-8.25
1570181513792098,17.625,0.8125,-26.25
1570181513801404,41.375,-29.3125,13.5
1570181513823014,6.5,-13.25,10.3125
1570181513845010,-11.8125,-48.8125,-1.125
1570181513861050,-3.375,-34.5,-29.375
1570181513883853,27.3125,-52.625,-36.0625
1570181513904973,35.0625,-64.875,-7.1875
1570181513920796,33.3125,-85.625,-11.8125
1570181513943693,10.8125,-109.063,-17.5625
1570181513965693,15.625,-117.125,-13.75
1570181513986585,32.8125,-117.5,-15.125
1570181514002536,35.5,-108.313,-28.5
1570181514025526,53.1875,-99.4375,-9.25
1570181514047421,16,-94.5,-4.1875
1570181514062398,-0.3125,-91.1875,-33.6875
1570181514086311,-1.3125,-77.625,-39.75
1570181514108252,4.875,-57.4375,-39.0625
1570181514123214,4.8125,-38.4375,-29.875
1570181514146151,6.1875,-25.5625,-28.625
1570181514168146,0.625,-10,-25.25
1570181514183052,-9.375,-0.1875,-22.25
1570181514206132,-29.375,-7.0625,-21.8125
1570181514227932,-12.125,-16.8125,-5.0625
1570181514249934,-22.4375,-17.875,2.3125
1570181514265893,-25.125,-9.6875,15.3125
1570181514289144,-11.125,-14,18.4375
1570181514309715,11.0625,-15.875,14.9375
1570181514325759,19.3125,-16.0625,9.375
1570181514355591,14.3125,-23.9375,13.5
1570181514369553,6.9375,-40,21.5
1570181514385943,-2.5625,-59.75,28.9375
1570181514408448,21.9375,-72.375,0.8125
1570181514429392,-9.375,-75.375,4.25
1570181514446347,-2.8125,-87.375,5.625
1570181514468591,-8.3125,-97.0625,5.9375
1570181514497210,-2.0625,-106,14.625
1570181514506188,-1.625,-121.688,25.6875
1570181514528128,4.8125,-136.938,32.75
1570181514550070,8.6875,-148.25,37.25
1570181514566026,12.25,-161.375,43.8125
1570181514593952,15.6875,-163.563,61.375
1570181514609924,33.1875,-156.063,75.9375
1570181514625866,37.125,-172.313,85.0625
1570181514648805,62.9375,-192.5,62.0625
1570181514669749,90.75,-187.625,70.125
1570181514685804,93.6875,-175.625,122.313
1570181514708645,80,-151.688,67.1875
1570181514729797,48.25,-128.313,68.0625
1570181514745545,-10.125,-108,68.6875
1570181514775850,-50.6875,-114.5,66
1570181514796409,-25.375,-136.25,53
1570181514805406,-0.8125,-111.313,36
1570181514828343,21.5,-88.6875,28.9375
1570181514857294,41.1875,-66,17.625
1570181514865226,47.8125,-21.8125,-36.875
1570181514889163,3.5,39.5,-21.0625
1570181514909110,-26.0625,51.0625,11.75
1570181514925353,6.5,-19.375,2.6875
1570181514948780,7.8125,-82.9375,6.375
1570181514971004,-3.875,-65.375,32.5625
1570181514985689,25.25,-16.5,-21
1570181515008586,15.625,-5.25,-29
1570181515030785,38.75,-22.4375,-4.625
1570181515044841,16.3125,-15.125,-3.375
1570181515068682,2.75,-15.1875,0.5625
1570181515090725,-0.25,-23.0625,-3.25
1570181515105628,-11.4375,-18,-11.375
1570181515135691,-5.0625,-7.875,-13.375
1570181515151465,7.8125,-12.9375,-11.375
1570181515189478,6.625,-16.5,-7.6875
1570181515191409,-3.9375,-11.6875,-4.6875
1570181515211316,-11.75,-3.8125,-4.3125
1570181515225267,-12.5625,0.875,1.1875
