timestamp,x,y,z
1570181573170397,0.25293,0.666992,0.523438
1570181573185588,0.251465,0.669434,0.515137
1570181573206533,0.248535,0.67334,0.521973
1570181573237240,0.257324,0.671387,0.516602
1570181573244366,0.254883,0.668457,0.517578
1570181573268185,0.252441,0.668945,0.526367
1570181573322040,0.255371,0.663086,0.537598
1570181573322040,0.253906,0.660645,0.527832
1570181573323991,0.24707,0.65918,0.529297
1570181573343932,0.25,0.664551,0.526367
1570181573364885,0.255371,0.661621,0.523438
1570181573378845,0.257324,0.667969,0.528809
1570181573404772,0.254883,0.664063,0.530273
1570181573448787,0.251465,0.665527,0.523438
1570181573448787,0.255859,0.663086,0.526367
1570181573463613,0.247559,0.664551,0.528809
1570181573484610,0.248535,0.663574,0.532715
1570181573500518,0.245605,0.665527,0.520508
1570181573523453,0.249512,0.668457,0.526367
1570181573545596,0.25,0.661621,0.526855
1570181573567533,0.249512,0.658203,0.527344
1570181573583293,0.249023,0.663086,0.530762
1570181573613347,0.250488,0.664551,0.533203
1570181573628307,0.250488,0.663086,0.532715
1570181573650188,0.248047,0.666504,0.53125
1570181573666140,0.251465,0.662598,0.53125
1570181573688802,0.254883,0.662109,0.532715
1570181573702972,0.248047,0.65625,0.532227
1570181573725919,0.254883,0.660156,0.525879
1570181573748856,0.251465,0.666016,0.535645
1570181573762820,0.250977,0.666992,0.524414
1570181573786227,0.251465,0.662109,0.529297
1570181573808699,0.253906,0.664551,0.530273
1570181573822656,0.250488,0.665039,0.53125
1570181573845655,0.24707,0.661621,0.532715
1570181573868534,0.248047,0.666016,0.523438
1570181573882494,0.251465,0.666016,0.534668
1570181573905812,0.251953,0.669922,0.527344
1570181573928492,0.250488,0.664063,0.526855
1570181573942512,0.251953,0.662109,0.524902
1570181573966269,0.249512,0.666016,0.530273
1570181573988364,0.251465,0.662598,0.527344
1570181574003173,0.253906,0.660645,0.531738
1570181574026404,0.250977,0.657715,0.518066
1570181574048103,0.251465,0.662109,0.529297
1570181574063014,0.25293,0.660645,0.534668
1570181574085948,0.253906,0.659668,0.535156
1570181574108892,0.253906,0.664063,0.527344
1570181574130115,0.246094,0.666504,0.526855
1570181574145792,0.248535,0.666992,0.523926
1570181574168730,0.257324,0.661621,0.53125
1570181574189671,0.249512,0.661133,0.532227
1570181574205726,0.253906,0.657227,0.533691
1570181574228568,0.255371,0.663574,0.523926
1570181574249512,0.256348,0.663086,0.526367
1570181574265476,0.247559,0.664551,0.52832
1570181574295517,0.250977,0.661133,0.530273
1570181574309352,0.248047,0.663574,0.523438
1570181574326308,0.254395,0.663086,0.526367
1570181574348311,0.251465,0.658691,0.532715
1570181574369191,0.249023,0.664551,0.529785
1570181574386193,0.247559,0.657227,0.529297
1570181574408099,0.246094,0.662109,0.531738
1570181574431029,0.255371,0.663574,0.524414
1570181574452969,0.253906,0.664551,0.528809
1570181574467939,0.253906,0.661621,0.524414
1570181574490981,0.254883,0.661133,0.528809
1570181574513813,0.249512,0.662598,0.528809
1570181574527771,0.25,0.662109,0.529297
1570181574550972,0.25,0.664551,0.529785
1570181574573654,0.253418,0.665039,0.529297
1570181574594708,0.249512,0.664551,0.523438
1570181574610551,0.249512,0.658691,0.527344
1570181574633504,0.253418,0.662598,0.529297
1570181574654894,0.249023,0.664063,0.519531
1570181574670633,0.254395,0.65918,0.520508
1570181574693328,0.250488,0.665527,0.532715
1570181574714268,0.253906,0.662598,0.522949
1570181574731226,0.248535,0.664551,0.525391
1570181574753167,0.249023,0.663574,0.527832
1570181574774323,0.251953,0.664551,0.520996
1570181574791140,0.24707,0.665039,0.530273
1570181574813137,0.251465,0.661133,0.529297
1570181574834972,0.253418,0.664551,0.530273
1570181574851177,0.250977,0.660645,0.522949
1570181574872934,0.25293,0.664063,0.527832
1570181574894788,0.253906,0.661621,0.529785
1570181574910807,0.254395,0.656738,0.532715
1570181574933685,0.249023,0.664551,0.526855
1570181574954663,0.249023,0.67041,0.52832
1570181574970583,0.253418,0.661621,0.523926
1570181574993523,0.253906,0.661621,0.527344
1570181575014468,0.25293,0.660645,0.528809
1570181575030426,0.250977,0.661133,0.532715
1570181575053362,0.251465,0.657715,0.525391
1570181575076301,0.249023,0.662598,0.531738
1570181575091269,0.251465,0.668945,0.530273
1570181575113204,0.253418,0.664063,0.524414
1570181575136146,0.248535,0.66748,0.532715
1570181575150568,0.251953,0.658691,0.537598
1570181575173237,0.25293,0.660645,0.532715
1570181575195996,0.25,0.662598,0.526367
1570181575217182,0.250488,0.659668,0.530762
1570181575233885,0.254395,0.65918,0.53418
1570181575255828,0.251465,0.663574,0.528809
