timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1570181573323097,-2,0,-1,-1,0,0,0,-1
1570181573323097,0,-1,-1,0,1,-1,1,-3
1570181573328189,0,-3,0,-2,-1,-1,0,2
1570181573328189,0,-3,0,-1,-2,-1,-1,-3
1570181573329043,-1,1,0,0,-3,0,0,-1
1570181573329043,1,0,-1,0,0,-1,-3,-1
1570181573331030,-2,0,1,1,0,1,-3,-2
1570181573331030,-1,-1,1,1,-2,-2,0,1
1570181573334207,0,-1,-3,-1,1,18,2,1
1570181573334207,-1,-1,1,0,-4,-12,-3,-4
1570181573345031,0,0,1,-1,0,-1,0,-1
1570181573345031,0,-2,-2,-1,3,0,-3,-4
1570181573358013,4,0,-2,-1,-1,-7,-6,2
1570181573358013,1,1,0,2,-1,1,1,4
1570181573364885,1,-1,0,0,1,3,0,-4
1570181573364885,-1,1,-1,-1,2,-2,-3,0
1570181573372857,-2,-2,-1,-2,-1,-3,-2,-6
1570181573372857,-1,-2,-3,-4,-1,1,-1,-4
1570181573402780,-1,0,1,-2,-1,-4,-1,0
1570181573402780,-2,0,-2,1,0,2,4,1
1570181573404257,0,-1,0,-1,1,-4,1,-1
1570181573404257,-7,-2,-2,-1,-1,4,12,-12
1570181573416795,-1,-1,-2,0,-1,2,1,2
1570181573416795,3,0,-1,-3,0,1,5,19
1570181573449835,-2,0,0,0,0,6,1,0
1570181573449835,-1,0,-2,0,-1,-1,0,-1
1570181573450650,1,0,0,0,-1,0,-2,7
1570181573450650,0,-1,0,0,0,0,-4,-8
1570181573453686,-1,-1,1,-1,0,-1,-1,-3
1570181573453686,-1,0,-1,-1,1,1,-1,-3
1570181573462873,0,-2,-3,-1,0,6,4,4
1570181573462873,1,2,1,0,0,-5,-1,2
1570181573464612,0,0,-1,-1,-2,0,-1,-2
1570181573464612,-2,-3,-1,0,-2,-5,-3,-3
1570181573476726,-3,0,-3,-2,0,0,-1,-5
1570181573476726,-1,-3,-2,-1,1,0,0,3
1570181573485558,1,0,0,0,-1,-4,0,3
1570181573485558,-3,-1,0,-1,2,11,9,-3
1570181573499652,-1,0,1,0,-5,-7,-1,-4
1570181573499652,-1,-1,0,1,-2,2,0,-2
1570181573506502,2,1,-1,-1,0,-4,-18,-4
1570181573506502,-1,-1,-1,-1,-1,-1,2,6
1570181573522736,-1,-1,-1,0,1,-1,-2,-2
1570181573522736,0,-2,-3,-1,0,-2,1,3
1570181573524458,0,-4,-2,-1,-2,-2,3,-11
1570181573524458,0,0,0,1,-1,1,-3,-3
1570181573545596,2,1,0,-2,-1,0,0,5
1570181573545596,0,0,-1,0,-2,2,-1,2
1570181573546392,-2,-1,0,-1,0,0,2,4
1570181573546392,1,-1,-1,0,-1,-3,-2,2
1570181573559360,0,0,-1,0,0,-2,1,-2
1570181573559360,-2,-1,-1,0,-1,2,2,-3
1570181573568337,-3,-2,-2,0,1,3,5,0
1570181573568337,2,2,0,1,-3,-10,-2,9
1570181573582305,0,-1,-1,-3,0,3,1,-4
1570181573582305,-1,0,0,0,1,-4,0,-4
1570181573584361,0,-1,-2,-2,-1,4,1,0
1570181573584361,0,-2,-1,-2,-2,-1,-2,4
1570181573612266,-4,-1,0,1,-1,-5,-1,-5
1570181573612266,-3,-1,-1,-1,-1,4,12,-6
1570181573614213,0,-2,1,0,-1,-8,-5,1
1570181573614213,1,-1,-1,-2,3,8,1,-3
1570181573627379,-1,1,1,0,1,-2,-1,-2
1570181573627379,-1,-1,-1,-1,-2,0,-2,-5
1570181573629170,-2,-1,-2,1,0,-2,3,0
1570181573629170,-1,-1,0,-1,-1,-2,-1,1
1570181573641148,1,-1,-1,0,-1,2,0,3
1570181573641148,-1,-1,0,0,1,5,-2,3
1570181573650188,1,-1,-1,-1,-6,-22,-4,4
1570181573650188,-5,-3,-3,-2,-1,-4,3,-8
1570181573665305,-1,-1,-3,0,0,2,1,0
1570181573665305,1,0,1,-1,-3,-4,-3,1
1570181573667071,0,1,0,-1,1,7,1,-1
1570181573667071,0,-1,-2,-3,-1,2,2,-2
1570181573688014,-1,0,0,1,-2,-4,-4,-5
1570181573688014,1,-2,-2,-1,0,-1,1,10
1570181573689010,-1,0,2,1,1,3,3,-1
1570181573689010,0,0,-1,-1,0,1,0,-1
1570181573702972,-1,-1,-1,-1,1,1,0,3
1570181573702972,1,-1,0,-1,-1,-1,-4,-2
1570181573703972,-4,-1,-2,0,1,1,1,-2
1570181573703972,-1,-1,1,0,-1,-3,-3,0
1570181573724920,-2,0,0,1,0,0,-2,-4
1570181573724920,-7,-1,-2,-3,1,0,11,-13
1570181573726913,2,1,-1,1,1,-1,-7,6
1570181573726913,1,1,-1,2,0,0,-1,2
1570181573747987,1,-1,0,-3,-1,-2,0,-1
1570181573747987,-2,0,0,0,-1,-3,-3,-5
1570181573748856,0,0,-2,-1,1,3,3,4
1570181573748856,0,0,-1,-2,0,1,-4,-6
1570181573762820,0,-2,0,-2,-1,-1,-3,1
1570181573762820,1,2,0,0,-1,-1,-6,3
1570181573768803,-2,0,-1,-1,1,15,7,0
1570181573768803,-1,-2,0,1,-4,-14,-5,-2
1570181573784764,-1,-2,0,1,-1,-1,2,-2
1570181573784764,5,1,1,0,0,0,-9,13
1570181573786752,-1,-2,-1,-1,-1,1,2,-3
1570181573786752,0,0,0,-1,-1,2,2,-1
1570181573807882,1,0,0,-1,-2,2,2,2
1570181573807882,-6,-2,-1,-2,-2,-5,-4,-20
1570181573809213,4,2,1,1,-2,-2,-2,12
1570181573809213,-4,0,0,-1,0,4,9,-14
