timestamp,x,y,z,w
1570181634631089,0.528442,-0.132141,0.0510864,0.837036
1570181634656022,0.528198,-0.13208,0.0509033,0.837219
1570181634670014,0.527954,-0.131897,0.0507202,0.837402
1570181634690971,0.52771,-0.131775,0.0505371,0.837524
1570181634713867,0.527527,-0.131714,0.050415,0.837708
1570181634728829,0.527466,-0.131714,0.050415,0.837708
1570181634768761,0.527466,-0.131714,0.050415,0.837708
1570181634770801,0.527466,-0.131714,0.050415,0.837708
1570181634782691,0.527466,-0.131714,0.0504761,0.837708
1570181634804627,0.527283,-0.131653,0.0505371,0.837891
1570181634828829,0.526917,-0.131592,0.0505371,0.838074
1570181634849553,0.526672,-0.131531,0.0504761,0.838257
1570181634893510,0.526611,-0.131531,0.0504761,0.838318
1570181634904520,0.526611,-0.131531,0.0504761,0.838318
1570181634909395,0.526611,-0.131531,0.0504761,0.838318
1570181634924311,0.526611,-0.13147,0.0504761,0.838318
1570181634947368,0.526611,-0.13147,0.0504761,0.838318
1570181634961688,0.52655,-0.13147,0.0504761,0.838318
1570181634992633,0.52655,-0.13147,0.0504761,0.838379
1570181635006262,0.52655,-0.13147,0.0504761,0.838379
1570181635021149,0.526489,-0.13147,0.0504761,0.838379
1570181635053970,0.526489,-0.13147,0.0504761,0.838379
1570181635065964,0.526489,-0.131409,0.0504761,0.838379
1570181635080895,0.526489,-0.131409,0.0504761,0.838379
1570181635104877,0.526489,-0.131409,0.0504761,0.83844
1570181635126903,0.526428,-0.131409,0.0504761,0.83844
1570181635141828,0.526428,-0.131409,0.0504761,0.83844
1570181635163676,0.526428,-0.131409,0.0504761,0.83844
1570181635186703,0.526428,-0.131409,0.0504761,0.83844
1570181635201662,0.526367,-0.131409,0.0504761,0.838501
1570181635223508,0.526367,-0.131409,0.0504761,0.838501
1570181635246448,0.526489,-0.131409,0.0504761,0.838379
1570181635261603,0.526672,-0.131409,0.0504761,0.838257
1570181635283349,0.526855,-0.131409,0.0504761,0.838196
1570181635306336,0.526794,-0.131409,0.050415,0.838196
1570181635321433,0.526794,-0.131409,0.0504761,0.838196
1570181635344237,0.526978,-0.131409,0.050415,0.838074
1570181635366337,0.527161,-0.13147,0.050415,0.837952
1570181635381180,0.527283,-0.13147,0.050354,0.837891
1570181635404024,0.527405,-0.13147,0.050293,0.83783
1570181635426154,0.527527,-0.131531,0.050293,0.837708
1570181635440933,0.527527,-0.131531,0.050293,0.837769
1570181635463863,0.527527,-0.131531,0.050293,0.837769
1570181635487812,0.527527,-0.131531,0.050293,0.837769
1570181635500893,0.527588,-0.13147,0.0502319,0.837708
1570181635523905,0.527588,-0.13147,0.0502319,0.837708
1570181635546643,0.527588,-0.13147,0.0502319,0.837708
1570181635561603,0.527588,-0.13147,0.0502319,0.837708
1570181635583545,0.527588,-0.13147,0.0502319,0.837708
1570181635606552,0.527588,-0.13147,0.0502319,0.837708
1570181635621646,0.527588,-0.13147,0.0502319,0.837708
1570181635645490,0.527527,-0.13147,0.0502319,0.837708
1570181635666371,0.527527,-0.13147,0.0502319,0.837769
1570181635681283,0.52771,-0.13147,0.0502319,0.837646
1570181635703223,0.52771,-0.13147,0.0502319,0.837646
1570181635726162,0.52771,-0.13147,0.0502319,0.837646
