timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1570178435326457,-5,-2,-2,-5,-5,-17,-10,-3
1570178435326457,-2,-1,-2,-6,-52,-28,-20,-2
1570178435327408,-6,-4,-3,-7,-6,-14,-23,-2
1570178435327408,3,-2,-2,-4,-24,-14,-6,4
1570178435328405,3,0,-2,-3,-8,-2,7,10
1570178435328405,-1,-1,2,5,19,15,11,6
1570178435329403,11,7,4,1,6,5,0,4
1570178435329403,-7,-2,3,2,16,12,6,2
1570178435341371,-4,0,4,4,6,8,0,-10
1570178435341371,0,-3,-4,-1,5,0,6,8
1570178435349350,1,1,2,3,0,3,0,7
1570178435349350,2,2,-3,-2,6,1,-1,2
1570178435356330,-14,-1,-2,-1,-2,2,-2,-20
1570178435356330,7,3,1,2,-9,-21,-9,-22
1570178435369299,12,-2,-5,3,18,28,10,38
1570178435369299,-14,1,5,1,-13,-22,-1,-31
1570178435381269,18,-1,-3,-3,-9,-1,2,27
1570178435381269,-3,-2,-2,-4,2,-11,-9,-17
1570178435393234,-8,-3,-3,-3,-3,1,-1,-8
1570178435393234,-3,1,2,8,26,19,-1,-6
1570178435401214,-1,-2,0,-1,-2,-1,1,0
1570178435401214,-1,-1,-4,-9,-28,-12,1,7
1570178435422159,2,-2,-3,-4,-10,-9,-6,-8
1570178435422159,0,-3,-4,-4,-4,4,-1,2
1570178435456067,4,2,1,2,4,1,-6,17
1570178435456067,7,0,1,2,2,-1,-10,14
1570178435457065,4,0,-2,-1,0,-2,-2,12
1570178435457065,-8,-4,-1,-1,2,0,3,-16
1570178435461053,-5,-3,-3,-4,-2,-2,2,-8
1570178435461053,-5,-1,-2,-1,0,-5,4,-8
1570178435462245,3,0,-1,0,0,-4,-5,-4
1570178435462245,2,1,0,-1,-5,-3,-6,8
1570178435467037,-1,0,-1,0,-1,1,1,-7
1570178435467037,-1,-3,0,-1,-1,5,1,-2
1570178435476013,-4,-3,1,-2,-3,0,0,-2
1570178435476013,0,1,0,-1,1,3,2,1
1570178435481997,-5,-2,0,-1,-1,2,-1,-9
1570178435481997,7,2,2,1,1,1,-1,8
1570178435498952,-1,0,-1,0,1,2,1,-1
1570178435498952,-2,-1,1,-1,-2,0,-1,-2
1570178435504936,1,0,-1,-1,0,-2,1,4
1570178435504936,-3,1,-1,-1,0,-3,-3,-4
1570178435527876,-1,-1,0,-1,1,0,1,-3
1570178435527876,-2,-2,-1,0,3,5,-1,0
1570178435528873,0,0,-1,-1,-1,2,1,1
1570178435528873,-4,-2,1,-1,-5,-1,0,-18
1570178435542317,3,-2,-2,0,-2,3,0,28
1570178435542317,4,-2,1,4,15,12,0,1
1570178435549815,-1,-1,-1,1,4,0,2,3
1570178435549815,-14,-4,-6,-9,-24,-17,-10,-27
1570178435565499,2,-1,-1,-3,-7,-6,1,-1
1570178435565499,3,0,-1,-3,-6,-10,-9,7
1570178435565811,5,1,0,2,12,4,6,4
1570178435565811,7,2,-1,4,11,1,-11,31
1570178435587714,-4,0,0,1,0,0,-3,-6
1570178435587714,-3,0,-1,-1,2,1,2,-6
1570178435588712,-2,-1,1,-1,-4,-1,-1,-5
1570178435588712,-4,1,0,-1,-1,1,3,-7
1570178435601678,0,-1,-1,1,2,-1,1,-6
1570178435601678,3,1,0,-2,-3,-3,0,10
1570178435609795,-2,0,-2,-3,-5,-5,-5,-7
1570178435609795,0,-3,-3,-2,4,3,11,-4
1570178435625613,-2,-2,1,-1,-2,-4,-4,-8
1570178435625613,-1,-2,-4,-2,-8,-7,0,-4
1570178435625613,1,0,0,-1,-5,-4,-2,7
1570178435625613,0,1,0,5,15,8,2,-7
1570178435647553,2,2,1,-1,-3,-4,1,1
1570178435647553,4,-1,-1,-5,-10,-8,0,5
1570178435648639,-4,-1,-1,-4,-4,-4,1,2
1570178435648639,1,-3,1,-2,-5,-3,-2,17
1570178435662896,-1,-1,0,1,11,7,2,9
1570178435662896,0,0,-2,0,1,-3,-8,-6
1570178435663511,0,-1,-1,1,0,-1,1,-1
1570178435663511,-1,0,1,0,4,3,3,-10
1570178435685481,-2,0,-2,-1,-4,-4,-5,-3
1570178435685481,-7,0,0,0,-2,1,6,-10
1570178435685481,4,1,1,2,2,2,-3,-12
1570178435685481,-1,-2,-2,0,-3,-3,1,4
1570178435707392,-3,0,0,-3,-3,-2,-1,-7
1570178435707392,-4,-1,-1,-1,0,1,3,-5
1570178435708445,-4,-1,2,-1,1,-2,-4,-8
1570178435708445,1,0,-1,-2,-1,1,2,0
1570178435722394,1,0,1,0,0,1,2,-9
1570178435722394,1,0,-1,1,2,1,-2,4
1570178435723369,-1,0,-1,0,-2,-2,0,1
1570178435723369,0,-1,-1,-2,-5,-4,-3,-2
1570178435745291,-2,-3,-4,-3,0,4,-1,-3
1570178435745291,1,4,7,7,-2,-3,-4,0
1570178435746289,-1,0,-1,-1,-3,0,0,3
1570178435746289,0,-2,-3,-2,0,0,-1,-1
1570178435768233,-4,1,2,2,0,0,-1,-5
1570178435768233,1,-3,-4,-3,-1,5,17,-6
1570178435768288,1,0,0,-1,-2,-2,-4,10
1570178435768288,0,-1,1,0,-1,-1,-2,4
1570178435782427,-1,-1,-2,-3,-1,-1,-1,-5
1570178435782427,-1,-1,-3,-3,0,0,0,-3
1570178435783404,1,1,0,0,-2,0,2,4
1570178435783404,-1,0,0,-3,0,0,1,0
1570178435805131,5,0,-1,1,-2,0,2,10
1570178435805131,-4,-1,-2,1,0,-1,-10,0
1570178435806165,-8,-2,-2,0,-2,-2,-6,-33
1570178435806165,2,-1,0,2,0,-1,-4,6
1570178435827073,1,2,2,0,1,0,2,2
1570178435827073,1,0,1,1,0,-1,1,8
1570178435828071,-1,-2,0,-1,-3,-2,-2,-4
1570178435828071,-4,0,0,1,0,2,2,-5
1570178435842294,2,0,-2,-1,-1,-1,-1,5
1570178435842294,1,-1,1,0,0,-3,-5,-5
