timestamp,x,y,z
1570178936458723,11.625,2.625,8.9375
1570178936482478,13,1.875,4.75
1570178936497437,5.375,5.25,0.375
1570178936519381,-6.375,8,-0.5
1570178936542375,-15.6875,9.3125,-2.6875
1570178936557278,-18.6875,7.1875,-5.375
1570178936602157,-17.6875,6,-11.3125
1570178936612133,-18.9375,6.875,-13.875
1570178936619115,-19.375,6.25,-12.4375
1570178936640060,-20.25,5.1875,-9.6875
1570178936663001,-22.9375,5.0625,-7.3125
1570178936677991,-23.5625,5.4375,-5.875
1570178936721839,-25.6875,6.25,-4.25
1570178936731813,-27.75,7.625,-4.375
1570178936737798,-30,7.8125,-4.9375
1570178936759744,-30.3125,8.3125,-4.5625
1570178936781681,-28.375,8.5,-4.375
1570178936797638,-24.8125,5.5,-4.6875
1570178936819995,-18,4.125,-3.8125
1570178936842517,-10.5,2.625,-3
1570178936856479,-3.375,0.9375,-1.875
1570178936879417,4,-0.1875,0.625
1570178936902356,10.125,-1,3.0625
1570178936916318,13.125,-1.6875,3.5
1570178936939257,12.4375,-1.875,2.4375
1570178936970173,9.625,-1.6875,1.75
1570178936976158,7.3125,-1.1875,0.6875
1570178936999097,5.625,-1.375,0
1570178937022036,4.625,-2,-0.1875
1570178937035998,3.1875,-1.1875,-0.8125
1570178937059703,0.625,-0.0625,-0.875
1570178937081875,-1.375,0.25,-0.875
1570178937104814,-1.25,0,-0.6875
1570178937119774,2.3125,0.125,-0.1875
1570178937141716,6.8125,-1.125,1.0625
1570178937157735,11.375,-2.9375,0.625
1570178937179614,16.1875,-4.75,0.75
1570178937201932,17.25,-5.9375,0.3125
1570178937217537,14.125,-4.5,-0.6875
1570178937247433,8.875,-2.5625,-0.4375
1570178937262395,3.9375,-1.875,0.75
1570178937277393,-1,-0.75,0.9375
1570178937299328,-5.1875,0.5,0.5
1570178937322232,-5.6875,1.5,0.8125
1570178937338190,-5.4375,1.4375,1.125
1570178937359180,-3.5,1.1875,1
1570178937382088,-1.0625,0.5,0.8125
1570178937398030,0.8125,-0.5625,0.4375
1570178937418973,4,-1,-0.125
1570178937441912,4.9375,-1.75,-0.5
1570178937457869,5.625,-2.1875,-0.1875
1570178937478814,6.5,-2.0625,0.5625
