timestamp,x,y,z
1570179171103929,0.229004,0.690918,0.516113
1570179171133883,0.233887,0.693359,0.514648
1570179171149806,0.22998,0.694336,0.509766
1570179171164865,0.233398,0.6875,0.51709
1570179171186745,0.232422,0.682617,0.51709
1570179171209653,0.237305,0.681152,0.525879
1570179171255528,0.228027,0.682129,0.530273
1570179171257521,0.228516,0.678711,0.527832
1570179171269491,0.228027,0.681152,0.528809
1570179171287571,0.224609,0.680176,0.528809
1570179171316363,0.224121,0.679688,0.536133
1570179171337359,0.229004,0.681641,0.532227
1570179171381191,0.225098,0.685059,0.529297
1570179171390194,0.230957,0.680176,0.524414
1570179171391163,0.226074,0.682617,0.528809
1570179171405127,0.231934,0.680176,0.526855
1570179171426100,0.233398,0.677246,0.532227
1570179171455990,0.234375,0.678711,0.52832
1570179171466747,0.232422,0.674805,0.532227
1570179171485911,0.230957,0.67334,0.532715
1570179171508847,0.228516,0.674805,0.53125
1570179171526801,0.233398,0.677734,0.535156
1570179171545748,0.231445,0.679688,0.532715
1570179171568688,0.225098,0.680176,0.532227
1570179171586639,0.22998,0.674316,0.53418
1570179171605589,0.230469,0.677246,0.532227
1570179171628527,0.226074,0.677734,0.536621
1570179171646481,0.226074,0.677246,0.539063
1570179171666100,0.233887,0.679199,0.535645
1570179171688401,0.231445,0.675293,0.536133
1570179171706320,0.230957,0.675293,0.53125
1570179171726266,0.23291,0.677246,0.531738
1570179171748206,0.232422,0.675293,0.532227
1570179171766360,0.231934,0.675781,0.538574
1570179171793086,0.230957,0.680664,0.539063
1570179171808051,0.224609,0.673828,0.536621
1570179171825999,0.223633,0.677734,0.538086
1570179171846943,0.230957,0.677734,0.536133
1570179171870879,0.231445,0.674805,0.527832
1570179171886836,0.228516,0.675293,0.529785
1570179171907780,0.228027,0.672363,0.536621
1570179171928724,0.236816,0.677246,0.534668
1570179171946708,0.233398,0.675293,0.530273
1570179171974691,0.232422,0.677734,0.537598
1570179171988565,0.22998,0.674316,0.53418
1570179172006516,0.227539,0.674316,0.534668
1570179172027460,0.226074,0.674805,0.537109
1570179172048430,0.230469,0.67041,0.535645
1570179172066356,0.229004,0.676758,0.538574
1570179172087323,0.233887,0.677246,0.527832
1570179172116222,0.228516,0.678711,0.538574
1570179172126196,0.229004,0.671387,0.527832
1570179172147141,0.23291,0.675293,0.538574
1570179172168085,0.230957,0.672852,0.536621
1570179172186444,0.226563,0.674316,0.538574
1570179172206980,0.229492,0.675781,0.529297
1570179172228921,0.232422,0.675293,0.536133
1570179172246360,0.231445,0.678711,0.530273
1570179172273804,0.230957,0.67627,0.533203
1570179172288761,0.232422,0.674316,0.530273
1570179172306714,0.231934,0.677734,0.536133
1570179172328655,0.228027,0.675781,0.530273
1570179172355583,0.230469,0.678711,0.53125
1570179172371576,0.230957,0.676758,0.527832
1570179172388362,0.228027,0.680176,0.534668
1570179172410437,0.229492,0.674316,0.531738
1570179172431802,0.231445,0.675781,0.531738
1570179172448383,0.231934,0.674316,0.530762
1570179172470277,0.23291,0.673828,0.527344
1570179172491220,0.234375,0.677246,0.529297
1570179172508317,0.23291,0.672852,0.538086
1570179172530116,0.236328,0.673828,0.536133
1570179172552058,0.23291,0.674805,0.537598
1570179172568015,0.229004,0.67627,0.533691
1570179172590955,0.230957,0.679688,0.534668
1570179172611900,0.232422,0.673828,0.523438
1570179172627855,0.234375,0.680664,0.532715
1570179172650794,0.237305,0.681152,0.528809
1570179172671875,0.234863,0.675781,0.53125
1570179172688036,0.233398,0.678711,0.530762
1570179172710634,0.229492,0.675293,0.533203
1570179172732575,0.234375,0.675781,0.533203
1570179172747534,0.230469,0.679199,0.529785
1570179172770474,0.228027,0.681152,0.528809
1570179172793413,0.229492,0.679199,0.526855
1570179172807467,0.233887,0.678711,0.53125
1570179172830314,0.234863,0.677246,0.525391
1570179172853024,0.231934,0.67627,0.527344
1570179172866834,0.232422,0.674805,0.524414
1570179172890744,0.231934,0.678223,0.53125
1570179172912730,0.230469,0.67627,0.527344
1570179172927644,0.233398,0.678711,0.530762
1570179172950583,0.234375,0.676758,0.532227
1570179172972525,0.231934,0.680176,0.538086
1570179172987485,0.23584,0.675781,0.524414
1570179173010522,0.236816,0.68457,0.527344
1570179173033362,0.232422,0.678711,0.520996
1570179173047325,0.23584,0.680176,0.524414
1570179173071323,0.233398,0.679199,0.524902
1570179173093202,0.236328,0.678711,0.523438
1570179173107206,0.23291,0.677246,0.522949
1570179173130268,0.236328,0.678711,0.534668
1570179173153042,0.229492,0.680664,0.528809
1570179173173987,0.231445,0.680176,0.527344
1570179173191070,0.234863,0.679688,0.522461
1570179173212882,0.23877,0.681152,0.530273
1570179173233830,0.234863,0.682129,0.52832
1570179173250786,0.231445,0.681152,0.523438
1570179173272727,0.233398,0.684082,0.519043
1570179173294707,0.231445,0.680176,0.522949
1570179173310938,0.231934,0.682617,0.529785
1570179173333561,0.234375,0.681152,0.519043
1570179173354505,0.239746,0.682617,0.525879
1570179173370867,0.238281,0.679688,0.526367
1570179173393852,0.240234,0.682129,0.52832
1570179173414352,0.234375,0.680664,0.531738
1570179173430497,0.231445,0.679688,0.519043
1570179173453242,0.232422,0.681641,0.52832
1570179173474291,0.228516,0.681641,0.527344
1570179173491140,0.232422,0.678223,0.531738
1570179173513081,0.234375,0.681641,0.530762
1570179173534485,0.23584,0.680664,0.522461
1570179173550980,0.236328,0.677734,0.523926
1570179173573087,0.233887,0.675781,0.531738
1570179173593870,0.23877,0.677246,0.529297
1570179173610819,0.232422,0.679199,0.536133
1570179173633347,0.240234,0.678223,0.529297
1570179173653705,0.232422,0.67334,0.532715
1570179173670659,0.233887,0.67627,0.52832
1570179173692600,0.231445,0.679688,0.526367
1570179173715644,0.230469,0.677734,0.526855
1570179173730497,0.22998,0.679199,0.53125
1570179173752989,0.231934,0.676758,0.528809
1570179173775998,0.23291,0.67627,0.538086
1570179173791149,0.236328,0.672363,0.541992
1570179173813306,0.231934,0.675293,0.538086
1570179173836070,0.230957,0.674316,0.53418
1570179173850163,0.230957,0.67334,0.534668
1570179173873160,0.227051,0.67627,0.530273
1570179173895499,0.22998,0.676758,0.540527
1570179173910723,0.229492,0.675781,0.536621
1570179173933314,0.228516,0.671875,0.540527
1570179173955319,0.227051,0.669922,0.532715
1570179173970216,0.229004,0.671875,0.541992
1570179173993471,0.230957,0.670898,0.538574
1570179174015852,0.233398,0.671875,0.536133
1570179174030072,0.23584,0.669434,0.538574
1570179174052754,0.233887,0.671387,0.539063
1570179174075693,0.22998,0.672363,0.535645
1570179174096638,0.229492,0.671875,0.537598
