timestamp,x,y,z
1569406361198544,0.368164,0.689941,0.435547
1569406361215530,0.34082,0.689941,0.442383
1569406361236440,0.345703,0.670898,0.437988
1569406361259689,0.365234,0.67334,0.422363
1569406361275671,0.354492,0.685059,0.42627
1569406361296282,0.34668,0.687012,0.428711
1569406361319729,0.336426,0.688965,0.433594
1569406361351647,0.348145,0.695313,0.426758
1569406361361032,0.358887,0.687988,0.428223
1569406361380007,0.357422,0.681641,0.420898
1569406361394525,0.355957,0.685059,0.416016
1569406361417469,0.359863,0.69043,0.409668
1569406361439884,0.354492,0.696289,0.414551
1569406361477343,0.353516,0.682617,0.420898
1569406361486728,0.351563,0.678223,0.422363
1569406361499385,0.352051,0.678223,0.424805
1569406361515234,0.351563,0.6875,0.421875
1569406361537428,0.347168,0.691895,0.436523
1569406361561516,0.348633,0.686523,0.434082
1569406361575483,0.353516,0.681152,0.42627
1569406361598422,0.356934,0.6875,0.424316
1569406361621360,0.350586,0.687988,0.424316
1569406361635322,0.347168,0.697754,0.424805
1569406361658571,0.349121,0.694824,0.42334
1569406361681083,0.347168,0.684082,0.415527
1569406361695392,0.353516,0.677734,0.419434
1569406361718980,0.352051,0.681152,0.433594
1569406361740922,0.359375,0.678223,0.431152
1569406361755344,0.354492,0.686523,0.430664
1569406361778826,0.353027,0.687012,0.428223
1569406361801856,0.345703,0.685059,0.428711
1569406361815722,0.342285,0.683105,0.432129
1569406361838661,0.352051,0.684082,0.427246
1569406361860986,0.347656,0.683105,0.443359
1569406361883556,0.345703,0.687012,0.433594
1569406361899499,0.339355,0.686523,0.42334
1569406361920888,0.344238,0.682129,0.42627
1569406361941867,0.348633,0.677246,0.431152
1569406361958783,0.348633,0.679199,0.435059
1569406361980726,0.34668,0.684082,0.434082
1569406362002814,0.350586,0.683105,0.4375
1569406362018625,0.350098,0.682617,0.438477
1569406362041014,0.342285,0.680176,0.437988
1569406362062429,0.342285,0.682617,0.430176
1569406362085383,0.347168,0.680664,0.435547
1569406362100884,0.339355,0.675293,0.443359
1569406362121862,0.339844,0.673828,0.43457
1569406362138805,0.34668,0.681152,0.435059
1569406362161001,0.342773,0.692383,0.437012
1569406362182766,0.340332,0.686523,0.436523
1569406362198623,0.337402,0.676758,0.441895
1569406362220999,0.339844,0.671387,0.434082
1569406362242884,0.346191,0.675781,0.438965
1569406362258635,0.347168,0.680176,0.439453
1569406362281012,0.344727,0.686523,0.432617
1569406362302885,0.344238,0.682129,0.437988
1569406362318479,0.345703,0.688477,0.432129
1569406362341418,0.344727,0.68457,0.422363
1569406362364396,0.34082,0.686035,0.4375
1569406362378588,0.333008,0.678223,0.439453
1569406362401693,0.344238,0.674805,0.434082
1569406362423499,0.343262,0.680176,0.434082
1569406362438596,0.344238,0.675293,0.4375
1569406362467467,0.349121,0.685059,0.43457
1569406362484037,0.345703,0.680664,0.437012
1569406362505976,0.340332,0.68457,0.438965
1569406362526922,0.336914,0.685547,0.439453
1569406362543877,0.332031,0.686035,0.44043
1569406362566344,0.339844,0.689453,0.4375
1569406362587741,0.336914,0.679688,0.443848
1569406362603558,0.336426,0.672852,0.438965
1569406362626428,0.342285,0.670898,0.432617
1569406362647862,0.348633,0.686523,0.439453
1569406362663811,0.34082,0.687988,0.437012
1569406362686054,0.339355,0.6875,0.435547
1569406362707496,0.340332,0.682617,0.432617
1569406362723493,0.344238,0.683594,0.43457
1569406362746995,0.344727,0.686035,0.4375
1569406362767946,0.349121,0.681641,0.433594
1569406362783897,0.339355,0.682129,0.432129
1569406362806908,0.336914,0.681152,0.435059
1569406362828778,0.341309,0.684082,0.433594
1569406362843738,0.34375,0.682129,0.436523
1569406362865915,0.342773,0.683105,0.44043
1569406362888619,0.345215,0.68457,0.440918
1569406362903578,0.34082,0.684082,0.435059
1569406362925906,0.341309,0.682129,0.436035
1569406362948934,0.339844,0.67334,0.426758
1569406362964359,0.339844,0.68457,0.432617
1569406362986652,0.339844,0.686035,0.43457
1569406363008476,0.344727,0.677734,0.429199
1569406363023094,0.343262,0.679199,0.431152
1569406363046018,0.346191,0.677734,0.423828
1569406363068949,0.341797,0.683105,0.425293
1569406363082910,0.349121,0.691406,0.439453
1569406363105851,0.361816,0.69043,0.435059
1569406363128789,0.344727,0.68457,0.424805
1569406363142991,0.325195,0.686035,0.429199
1569406363166460,0.327637,0.687012,0.441895
1569406363194758,0.353516,0.693848,0.449707
1569406363202739,0.36084,0.691406,0.436035
1569406363225674,0.341309,0.691406,0.421875
1569406363248614,0.329102,0.675781,0.429688
1569406363270554,0.327637,0.673828,0.42627
1569406363285516,0.337891,0.678711,0.427246
1569406363314447,0.350098,0.682129,0.433105
1569406363322416,0.341309,0.678711,0.446289
1569406363346352,0.334961,0.680176,0.4375
1569406363368294,0.342773,0.685059,0.436035
1569406363389237,0.352051,0.685547,0.430176
1569406363406191,0.348145,0.690918,0.436523
1569406363428133,0.348633,0.688477,0.426758
1569406363449078,0.343262,0.696289,0.419922
1569406363466032,0.349609,0.700195,0.417969
1569406363488970,0.343262,0.696289,0.419434
1569406363509914,0.338867,0.693359,0.42041
1569406363525873,0.341797,0.679688,0.431152
1569406363548811,0.34375,0.675293,0.419434
1569406363569755,0.354004,0.683105,0.421875
1569406363593692,0.350098,0.689941,0.419922
1569406363608651,0.347168,0.689941,0.418457
1569406363629595,0.341797,0.687012,0.436523
1569406363645552,0.345703,0.680664,0.431152
1569406363668490,0.351563,0.682617,0.430176
1569406363689435,0.349121,0.694336,0.425781
1569406363705393,0.341309,0.692383,0.424316
1569406363728331,0.342285,0.6875,0.427246
1569406363749275,0.348633,0.689453,0.430176
1569406363766232,0.353027,0.684082,0.432617
1569406363788171,0.342285,0.692383,0.435059
1569406363811110,0.342285,0.689941,0.424805
1569406363826070,0.344238,0.689941,0.424316
1569406363848012,0.347656,0.68457,0.415527
1569406363870950,0.347168,0.684082,0.425781
1569406363885913,0.339844,0.692383,0.425293
1569406363907851,0.337402,0.687012,0.424316
1569406363930790,0.345703,0.686035,0.426758
1569406363945750,0.348145,0.686523,0.429199
1569406363968688,0.341309,0.689941,0.427246
1569406363990630,0.336914,0.690918,0.437012
1569406364005590,0.335449,0.688477,0.428223
1569406364028528,0.344238,0.693848,0.427246
1569406364051467,0.34668,0.687012,0.427734
1569406364065431,0.338867,0.68457,0.429199
1569406364088369,0.342285,0.682129,0.426758
1569406364111308,0.350098,0.68457,0.428711
1569406364125270,0.348145,0.684082,0.428223
1569406364148209,0.341797,0.690918,0.426758
1569406364171147,0.338867,0.694824,0.431641
1569406364185110,0.339355,0.691895,0.424805
1569406364208049,0.349609,0.688477,0.42334
1569406364230988,0.343262,0.6875,0.421875
1569406364244950,0.341797,0.685547,0.428223
1569406364268886,0.337891,0.686035,0.429688
1569406364290827,0.348633,0.68457,0.432617
1569406364311772,0.34668,0.683594,0.43457
1569406364328726,0.336426,0.688477,0.430176
1569406364350667,0.336426,0.688477,0.431641
1569406364371613,0.335938,0.689941,0.429688
1569406364388566,0.342285,0.681152,0.432617
1569406364410507,0.347656,0.687988,0.4375
1569406364423474,0.34375,0.683594,0.44043
1569406364438434,0.341797,0.681152,0.430664
1569406364454391,0.338379,0.685059,0.431152
1569406364476332,0.341309,0.678223,0.434082
1569406364499271,0.338867,0.681641,0.434082
1569406364514231,0.338867,0.683105,0.435547
1569406364536171,0.338379,0.681641,0.437012
1569406364559110,0.34082,0.685059,0.441406
1569406364574070,0.337891,0.683105,0.439941
1569406364596012,0.341309,0.686523,0.435059
1569406364618950,0.339844,0.683594,0.427246
1569406364633910,0.339355,0.689453,0.429688
1569406364656849,0.337402,0.685547,0.440918
1569406364678791,0.343262,0.683594,0.433594
1569406364701729,0.345215,0.683105,0.434082
1569406364716689,0.344727,0.684082,0.429199
1569406364738631,0.341309,0.68457,0.436523
1569406364753591,0.333008,0.681152,0.442383
1569406364776529,0.336914,0.681641,0.44873
1569406364798478,0.342773,0.680664,0.440918
1569406364813431,0.341797,0.687012,0.431641
1569406364836370,0.34082,0.686523,0.430176
1569406364859307,0.341797,0.68457,0.437012
1569406364874268,0.340332,0.682129,0.435059
1569406364896209,0.337402,0.684082,0.438965
1569406364919149,0.335938,0.682129,0.438477
1569406364935105,0.345215,0.686035,0.431152
1569406364956049,0.342285,0.686523,0.433105
1569406364978988,0.34082,0.676758,0.431641
1569406364993948,0.336914,0.679688,0.432617
1569406365015890,0.345215,0.679199,0.436035
1569406365038829,0.347656,0.687012,0.437012
1569406365053788,0.341309,0.680176,0.4375
1569406365076726,0.330566,0.681641,0.437012
1569406365098669,0.336914,0.687012,0.435059
1569406365113629,0.336426,0.683105,0.434082
1569406365139561,0.342285,0.684082,0.438477
1569406365158509,0.341797,0.677734,0.443848
1569406365173468,0.342285,0.678223,0.443848
1569406365196407,0.340332,0.679199,0.435547
1569406365219345,0.337402,0.681152,0.43457
1569406365234305,0.342285,0.683594,0.432129
1569406365259240,0.337402,0.681152,0.44043
1569406365279186,0.341797,0.67334,0.432617
1569406365294145,0.342773,0.679199,0.432129
1569406365316089,0.342285,0.672852,0.438965
1569406365339026,0.34082,0.678223,0.431641
1569406365354983,0.334473,0.6875,0.448242
1569406365375927,0.325195,0.688965,0.455078
1569406365398866,0.324219,0.690918,0.442383
1569406365416818,0.334961,0.683594,0.442383
1569406365436765,0.331543,0.677246,0.430176
1569406365458706,0.337891,0.679199,0.432617
1569406365475660,0.337402,0.682617,0.434082
1569406365496605,0.339355,0.682129,0.43457
1569406365518546,0.337402,0.687012,0.436523
1569406365536498,0.331543,0.688965,0.434082
1569406365556445,0.339355,0.680176,0.435547
1569406365578386,0.335938,0.681152,0.438965
1569406365595340,0.337402,0.683105,0.439941
1569406365616285,0.337402,0.682129,0.438965
1569406365639225,0.336426,0.681152,0.432129
1569406365655181,0.33252,0.683105,0.439453
1569406365676124,0.335938,0.686523,0.431152
1569406365699067,0.333008,0.68457,0.440918
1569406365717015,0.334961,0.685059,0.438965
1569406365735964,0.341797,0.682617,0.436035
1569406365758903,0.338867,0.680664,0.437012
1569406365776856,0.333496,0.683105,0.436523
1569406365796803,0.331543,0.680664,0.4375
1569406365818748,0.344238,0.680664,0.432129
1569406365836696,0.338379,0.684082,0.437988
1569406365856643,0.340332,0.685059,0.440918
1569406365878584,0.334473,0.682617,0.442383
1569406365896535,0.338867,0.68457,0.432129
1569406365916483,0.336914,0.682129,0.44043
1569406365938423,0.337891,0.683594,0.438477
1569406365956377,0.335938,0.683105,0.426758
1569406365976323,0.336914,0.677246,0.443848
1569406365999262,0.345703,0.681641,0.4375
1569406366017220,0.338867,0.683105,0.437012
1569406366036162,0.335938,0.687988,0.440918
1569406366059533,0.33252,0.681152,0.438965
1569406366076498,0.34082,0.690918,0.442383
1569406366096725,0.34082,0.685547,0.436035
1569406366119376,0.338379,0.681152,0.440918
1569406366137546,0.334961,0.676758,0.440918
1569406366156279,0.340332,0.679688,0.437988
1569406366179256,0.338867,0.685059,0.433105
1569406366197168,0.333008,0.687012,0.437988
1569406366218150,0.330078,0.6875,0.442383
1569406366239057,0.334961,0.685059,0.431152
1569406366257009,0.335449,0.68457,0.433594
1569406366277952,0.343262,0.683594,0.439941
1569406366298896,0.339355,0.686035,0.431641
1569406366316848,0.336914,0.680176,0.437988
1569406366337798,0.341309,0.679199,0.4375
1569406366359168,0.337402,0.6875,0.426758
1569406366377718,0.338379,0.688965,0.435059
1569406366397970,0.337402,0.685059,0.4375
1569406366419833,0.338379,0.683594,0.4375
1569406366437551,0.34082,0.682129,0.435547
1569406366457473,0.340332,0.684082,0.428711
1569406366479757,0.338379,0.681641,0.43457
1569406366496368,0.335938,0.683594,0.436035
1569406366518310,0.340332,0.686523,0.433105
1569406366539381,0.335449,0.687012,0.433105
1569406366557208,0.339355,0.6875,0.44043
1569406366578581,0.34375,0.677246,0.432129
1569406366599097,0.340332,0.686035,0.428223
1569406366617056,0.337891,0.68457,0.434082
1569406366644422,0.339844,0.686035,0.432129
1569406366658976,0.34082,0.682129,0.436523
1569406366676916,0.336914,0.678223,0.435059
1569406366699826,0.339844,0.679199,0.441895
1569406366718807,0.338379,0.682617,0.435059
1569406366736730,0.338379,0.685547,0.436035
1569406366759666,0.335449,0.684082,0.430664
1569406366779801,0.338867,0.682129,0.432617
1569406366804546,0.340332,0.685059,0.430176
1569406366819506,0.339844,0.691895,0.438965
1569406366838498,0.34082,0.685059,0.433594
1569406366856448,0.337891,0.683594,0.433105
1569406366879345,0.338867,0.683105,0.431641
1569406366899292,0.338867,0.681152,0.435059
1569406366923243,0.349609,0.683105,0.437012
1569406366938192,0.341797,0.684082,0.42627
1569406366959167,0.32959,0.688477,0.431641
1569406366976088,0.330566,0.685059,0.431641
1569406366998029,0.346191,0.686523,0.43457
1569406367019979,0.341309,0.681152,0.43457
1569406367035960,0.337891,0.680664,0.436035
1569406367058875,0.337891,0.678711,0.43457
1569406367079809,0.345215,0.678223,0.434082
1569406367095765,0.337891,0.685059,0.441895
1569406367118705,0.339355,0.687012,0.436523
1569406367139650,0.339355,0.685059,0.428711
1569406367156605,0.334473,0.689453,0.433594
1569406367178546,0.333984,0.688965,0.439941
1569406367201518,0.339355,0.679688,0.436523
1569406367215456,0.341309,0.682129,0.433105
1569406367238407,0.336426,0.680664,0.435547
1569406367259329,0.331055,0.681152,0.436035
1569406367276286,0.339844,0.682617,0.432129
1569406367298226,0.338867,0.685547,0.437012
1569406367319170,0.331543,0.6875,0.438477
1569406367336126,0.333984,0.685059,0.437012
1569406367358066,0.342285,0.683105,0.4375
1569406367380015,0.341309,0.685547,0.433105
1569406367395963,0.337891,0.685059,0.433105
1569406367418904,0.335449,0.685059,0.432617
1569406367439856,0.333984,0.686523,0.444824
1569406367455813,0.34082,0.681641,0.438965
1569406367478770,0.342773,0.683594,0.436523
1569406367499687,0.334473,0.685547,0.434082
1569406367515663,0.336914,0.683594,0.435547
1569406367538586,0.335938,0.688477,0.436523
1569406367559554,0.334473,0.6875,0.438965
1569406367576480,0.335938,0.686523,0.432129
1569406367598430,0.338379,0.683105,0.432129
1569406367621362,0.337402,0.686523,0.4375
1569406367636322,0.336914,0.686035,0.436523
1569406367664248,0.338379,0.683594,0.437012
1569406367681202,0.335449,0.687012,0.434082
1569406367696163,0.334961,0.686035,0.429199
1569406367718109,0.335938,0.688965,0.439453
1569406367741043,0.333496,0.683594,0.434082
1569406367755005,0.338867,0.679199,0.430176
1569406367778940,0.341797,0.685059,0.43457
1569406367800881,0.335449,0.683594,0.428223
1569406367815855,0.327637,0.685547,0.442871
1569406367838779,0.330078,0.684082,0.4375
1569406367861725,0.339844,0.6875,0.433594
1569406367875688,0.338379,0.686035,0.436523
1569406367898624,0.335449,0.682129,0.44043
1569406367920564,0.337891,0.680176,0.4375
1569406367935522,0.338379,0.685059,0.435547
1569406367958461,0.333496,0.683105,0.440918
1569406367981403,0.330566,0.681641,0.433105
1569406367995364,0.33252,0.686035,0.430664
1569406368018299,0.338867,0.68457,0.436035
1569406368041240,0.335449,0.687012,0.428711
1569406368055203,0.339844,0.687988,0.43457
1569406368078153,0.336426,0.683105,0.433105
1569406368101079,0.337891,0.681641,0.438477
1569406368122023,0.330566,0.685547,0.432129
1569406368138982,0.335449,0.681641,0.445313
1569406368160919,0.334473,0.688477,0.436523
1569406368181866,0.333496,0.685059,0.433105
1569406368198827,0.334961,0.685547,0.444824
1569406368220760,0.331543,0.683594,0.435059
1569406368241705,0.333008,0.683105,0.440918
1569406368258660,0.334473,0.685059,0.432129
1569406368280599,0.338867,0.685547,0.432617
1569406368301545,0.336914,0.686523,0.439453
1569406368318499,0.333008,0.686035,0.434082
1569406368341436,0.335938,0.687988,0.439453
1569406368362426,0.337402,0.683105,0.4375
1569406368378343,0.335449,0.685547,0.438477
1569406368401277,0.336914,0.683105,0.437012
1569406368422220,0.334961,0.687988,0.437012
1569406368438177,0.331543,0.681152,0.439941
1569406368468111,0.336914,0.682617,0.433594
1569406368482068,0.336914,0.685547,0.431152
1569406368499015,0.334473,0.686523,0.436035
1569406368520957,0.333984,0.687988,0.438477
1569406368543896,0.335449,0.688965,0.44043
1569406368558862,0.337402,0.6875,0.440918
1569406368580813,0.33252,0.6875,0.438477
1569406368603736,0.33252,0.6875,0.43457
1569406368618696,0.33252,0.679688,0.436035
1569406368640637,0.334961,0.682129,0.436523
1569406368663576,0.338379,0.683594,0.441895
1569406368677537,0.337402,0.691406,0.443359
1569406368701473,0.333984,0.685547,0.436035
1569406368723417,0.325684,0.689453,0.438477
1569406368737411,0.332031,0.689941,0.427246
1569406368761314,0.34082,0.685059,0.43457
1569406368783256,0.335449,0.681152,0.436035
