timestamp,x,y,z
1569406394214542,11.75,-3.5,-1.125
1569406394236479,9.8125,-3.375,-2.125
1569406394260401,7.1875,-2.875,-2.6875
1569406394275360,3.8125,-2.3125,-1.8125
1569406394297312,1.6875,-1.25,-0.1875
1569406394321251,0.6875,-0.9375,1.1875
1569406394335218,0.5625,-1,2.4375
1569406394387355,1.0625,-0.3125,3
1569406394397326,2.3125,-1,2.875
1569406394404016,4.1875,-1.9375,2.4375
1569406394418070,5.4375,-1.75,1.375
1569406394441129,6.1875,-1.8125,0.1875
1569406394463860,6,-1.9375,-0.5
1569406394509943,5.375,-1.625,-1.0625
1569406394509943,3.875,-1.1875,-1.0625
1569406394517743,1.875,-0.0625,-0.8125
1569406394537944,-0.3125,0.375,-0.4375
1569406394559631,-0.9375,-0.0625,0.625
1569406394583537,0.75,-0.8125,1.0625
1569406394597536,3.5,-1.375,1.3125
1569406394621435,4.625,-2.0625,1.4375
1569406394643377,2.4375,-2.0625,1.375
1569406394658337,0.375,-1.6875,1.875
1569406394681276,-1.4375,-0.75,0.375
1569406394703260,-3.8125,0.5,-0.625
1569406394718177,-5.0625,1.375,-1.125
1569406394741115,-5.125,1.125,-1.0625
1569406394764054,-3.625,0.3125,-0.625
1569406394778019,-1.125,-0.125,0.1875
1569406394802996,0.1875,-0.125,-0.125
1569406394823893,-0.3125,0.1875,-0.1875
1569406394844839,-1.875,0.5625,1.375
1569406394860797,-4.625,1.6875,2.3125
1569406394883734,-7.0625,2.8125,1.1875
1569406394905676,-8.25,3.375,1.375
1569406394921632,-8.5,3.75,0.25
1569406394951557,-7.6875,3.1875,-0.3125
1569406394965560,-5.4375,2,0.1875
1569406394981473,-3.75,1.4375,0.1875
1569406395003417,-3.875,1.375,-0.3125
1569406395024360,-4.0625,1.25,-0.4375
1569406395041313,-3.875,1.5,-0.375
1569406395063256,-2.6875,1.625,-0.375
1569406395088199,-0.75,1,0
1569406395107139,1.0625,0.125,0.375
1569406395124094,3.1875,-0.875,0.5625
1569406395146034,4.3125,-1.25,0.125
1569406395160995,4.1875,-1.5,-0.1875
1569406395183933,3.75,-1.375,-0.875
1569406395204876,4,-1.1875,-1.25
1569406395228811,3.4375,-1,-1.375
1569406395243771,2.5625,-0.875,-1
1569406395264715,2.3125,-1.25,-0.625
1569406395280672,1.9375,-1.1875,-0.5625
1569406395303613,1.8125,-0.6875,-0.5
