timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1569406432469050,0,1,1,1,0,-1,-3,0
1569406432469050,4,1,-1,-1,-1,0,-9,12
1569406432470391,-4,-3,0,0,1,2,4,-16
1569406432470391,1,0,-1,-1,-1,-1,-1,1
1569406432473001,0,-1,-2,-2,-1,-2,-4,1
1569406432473001,-4,0,0,-1,0,-1,1,-4
1569406432474468,-3,-2,-1,-2,-2,0,-2,-7
1569406432474468,-4,0,1,0,1,-2,-3,-10
1569406432480014,6,-1,-2,-2,0,0,4,9
1569406432480014,-11,-1,1,2,-1,-1,2,-10
1569406432488993,2,0,0,-1,-2,-2,-4,-7
1569406432488993,-2,-1,-1,0,0,-2,-2,-5
1569406432493980,-1,-2,0,-2,0,-1,-3,3
1569406432493980,0,-1,-2,-2,-1,1,2,-3
1569406432510252,1,0,-1,-1,0,-2,-7,-6
1569406432510252,-4,-1,0,-1,0,0,0,0
1569406432519346,-5,0,0,0,-1,0,1,-4
1569406432519346,5,0,-2,-1,-1,-1,2,13
1569406432541295,-2,0,-1,-1,0,-2,-2,-8
1569406432541295,3,-1,-1,0,-1,0,0,9
1569406432541817,-2,0,-1,1,-1,1,2,3
1569406432541817,-3,-1,-1,-2,-2,-1,-1,-5
1569406432555122,-1,-1,-2,0,-1,0,-3,0
1569406432555122,-6,-1,0,-2,-1,3,11,-9
1569406432596894,-2,-1,-2,1,-1,0,-1,-14
1569406432596894,0,0,1,0,0,0,0,0
1569406432596894,-2,-1,-1,-1,-1,2,0,0
1569406432596894,-1,0,-1,-3,-2,1,3,5
1569406432600658,-2,1,2,1,0,1,0,-9
1569406432600658,-1,-1,-1,0,-2,-1,-1,7
1569406432601687,-2,-1,0,0,-1,-2,-10,-6
1569406432601687,-2,-1,-1,0,-1,1,1,-3
1569406432607100,-1,0,-1,-2,0,0,0,-5
1569406432607100,4,0,-1,-1,-2,0,-2,-2
1569406432615037,-1,1,1,0,-2,-1,2,0
1569406432615037,1,1,0,0,0,0,0,2
1569406432630045,6,0,-1,-1,0,-3,-3,-11
1569406432630045,-3,-1,-1,0,1,1,1,-2
1569406432645581,-1,-2,-2,-2,0,-1,-1,3
1569406432645581,-1,2,1,0,-1,0,3,1
1569406432647579,-3,-2,-1,0,-1,-1,0,-11
1569406432647579,0,-1,-1,-3,0,-1,4,0
1569406432668515,6,-1,0,-1,0,1,4,23
1569406432668515,-4,-1,0,-1,-1,-1,6,-8
1569406432669475,-3,-1,-1,1,-2,-2,-6,-4
