timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1569407304622743,-4,-2,0,-1,0,-2,-2,-17
1569407304622743,0,0,-1,0,0,-1,-2,5
1569407304623774,0,1,-1,-1,-1,2,2,6
1569407304623774,3,-1,-2,-1,-1,-1,2,6
1569407304624739,-3,-2,0,1,1,-1,-5,-23
1569407304624739,0,-1,2,-2,-2,-3,-2,-2
1569407304625762,2,0,0,-1,-1,-3,-1,6
1569407304625762,-2,1,-2,-2,-1,2,7,8
1569407304635985,-6,-1,-1,-1,1,1,-5,-35
1569407304635985,0,-1,1,1,-1,0,-2,-6
1569407304638703,0,-1,0,0,-1,0,1,6
1569407304638703,1,-1,0,0,-2,-1,2,5
1569407304653665,-4,-2,0,0,-1,-2,-3,-15
1569407304653665,-2,0,0,0,1,-2,-3,2
1569407304663634,1,-2,-2,-1,-1,0,0,1
1569407304663634,-3,-1,0,0,0,0,0,-3
1569407304670624,4,-1,-2,0,-1,-1,-2,-2
1569407304670624,-2,0,-1,-1,0,1,-1,0
1569407304692569,-1,-2,-1,-1,0,-2,-2,8
1569407304692569,0,1,0,0,0,0,-1,-7
1569407304732460,-3,0,0,-2,0,-1,0,8
1569407304732460,3,2,-2,-1,-1,0,5,13
1569407304733839,-6,-2,0,0,0,-1,-5,-27
1569407304733839,-4,0,-1,0,0,-2,-3,0
1569407304733839,1,-3,-1,0,0,0,0,-1
1569407304733839,0,0,-1,-1,-2,0,3,14
1569407304737443,-1,-2,-1,-1,-2,-3,-2,-20
1569407304737443,-2,-1,-2,-1,-2,0,-3,-2
1569407304743993,-1,-2,-1,-1,0,1,0,3
1569407304743993,-1,1,-1,-2,-1,1,4,17
1569407304752805,-3,-1,-1,0,0,0,-4,-22
1569407304752805,2,0,0,-1,-1,0,1,7
1569407304758797,0,1,-3,-2,-2,0,2,3
1569407304758797,0,1,1,2,1,-1,2,8
1569407304774034,-1,0,-1,-1,1,0,-2,-17
1569407304774034,-4,-2,-1,0,0,0,-4,-4
1569407304781315,1,1,1,0,2,0,0,1
1569407304781315,-7,-1,1,-1,0,-1,-2,-18
1569407304804834,7,2,0,-1,-1,-2,3,12
1569407304804834,1,0,0,1,0,0,-1,0
1569407304805412,-4,-1,-2,0,0,0,-1,-12
1569407304805412,4,-1,-1,-2,0,1,3,8
1569407304819415,-3,-2,-1,0,-1,-1,-3,-17
1569407304819415,-1,-2,0,-3,0,-1,-1,2
1569407304820370,-1,1,0,-2,-1,-1,1,-3
1569407304820370,1,-1,-3,-1,-1,-1,0,10
1569407304841357,-1,-2,0,-1,-1,-1,-4,-8
1569407304841357,0,1,1,1,1,-3,2,6
1569407304842352,-1,-2,0,0,-1,-2,-3,-1
1569407304842352,-1,-1,0,0,0,0,0,1
1569407304864252,-6,-2,-2,-1,-1,-1,-4,-11
1569407304864252,4,-1,-1,-1,-1,0,-1,10
1569407304865250,-1,0,1,1,0,0,-2,-5
1569407304865250,2,0,1,-2,-3,-1,-1,6
1569407304879213,1,-1,-2,-1,0,0,1,-7
1569407304879213,-1,0,1,-1,-3,-1,-2,-6
1569407304880224,-2,-2,-4,-2,0,0,-1,0
1569407304880224,0,-2,0,0,0,-1,1,4
1569407304902152,-5,-1,1,0,1,-2,-5,-11
1569407304902152,2,0,0,0,-3,-3,-1,-3
1569407304902152,2,-1,-1,0,-2,0,2,11
1569407304902152,-2,-1,-2,-1,-2,-1,-3,-5
1569407304924092,-2,0,-1,-1,-1,-1,-1,-1
1569407304924092,-1,0,0,-1,0,0,-1,-7
1569407304926087,1,-1,0,0,-1,0,0,-6
1569407304926087,3,2,-2,-1,1,0,3,11
1569407304939055,-2,1,-1,-1,0,-2,0,-4
1569407304939055,5,1,0,1,1,-1,-13,10
1569407304940053,0,2,3,0,1,-2,-12,-2
1569407304940053,6,-2,-3,-3,-3,-3,-2,-1
1569407304961993,-3,0,1,1,-1,-2,-4,-5
1569407304961993,0,-1,0,-2,-2,1,4,0
1569407304964985,-9,-2,-2,-2,-1,1,5,-9
1569407304964985,3,0,-1,1,-1,1,-4,0
1569407304984932,-6,-6,-3,-3,-1,-1,-2,4
1569407304984932,4,1,0,0,-1,-1,5,5
1569407304984932,2,1,0,2,0,0,1,5
1569407304984932,-5,-2,-2,-3,1,0,-2,-9
1569407304998894,3,1,-2,0,-2,1,0,-6
1569407304998894,-6,-3,2,-1,-1,-2,-2,-9
1569407304999894,5,0,0,0,-2,-2,-3,17
1569407304999894,-5,1,1,-1,-1,0,1,-10
1569407305022830,2,0,-1,-1,-1,-1,-1,2
1569407305022830,-2,0,-2,-2,1,-1,1,5
1569407305022830,-2,-1,-1,-1,1,3,1,-6
1569407305022830,-2,-2,0,0,-1,-2,-1,-5
1569407305044773,2,-1,1,1,1,0,1,-3
1569407305044773,-3,-1,-2,-2,-1,0,4,-6
1569407305044773,-2,-2,-1,-2,-1,-1,-2,-8
1569407305044773,1,0,0,2,0,-1,-1,6
1569407305059733,1,0,0,-1,-1,-2,-2,1
1569407305059733,-4,-2,-1,0,-2,1,-1,-6
1569407305059733,1,-1,-1,-1,-1,-1,1,3
1569407305059733,1,-1,1,0,-1,-2,1,1
1569407305083701,-3,-1,0,-1,0,-1,-1,-3
1569407305083701,-3,0,-2,-1,-1,1,1,-1
1569407305083701,-3,-2,1,0,-1,-2,-1,-1
1569407305083701,-2,0,0,-2,0,0,0,-3
1569407305104610,-2,0,-1,1,1,1,1,0
1569407305104610,0,-1,-1,0,0,0,-2,-2
1569407305104610,1,0,-2,1,-2,-2,0,1
1569407305104610,-4,-2,0,1,-1,0,-2,-7
1569407305119571,3,2,1,0,0,2,1,7
1569407305119571,-3,-1,-2,-2,1,1,-1,-17
1569407305120569,0,0,0,-1,-1,0,3,7
1569407305120569,0,1,1,-1,-1,-5,-5,-4
1569407305143507,-1,-2,-2,-1,0,-1,0,-8
1569407305143507,0,-2,0,-2,-1,-2,1,8
1569407305143507,-2,0,-1,-1,-1,-1,1,-1
1569407305143507,-3,0,-1,-1,-1,1,1,-6
1569407305164451,0,-2,-2,-1,-2,-2,1,7
1569407305164451,-1,-1,-1,-1,0,0,2,-3
1569407305165449,0,-1,-2,0,0,0,-6,2
1569407305165449,1,-2,-1,-1,-1,0,1,5
1569407305180409,-4,0,1,-1,0,-2,-5,-17
1569407305180409,10,-2,-2,-1,-4,-2,3,19
1569407305181407,1,0,-2,-1,-3,-1,0,-4
1569407305181407,-6,-1,0,-1,-2,1,2,-11
1569407305202349,-1,0,-1,-2,-1,0,-2,-5
1569407305202349,-3,1,1,1,0,0,-4,-9
1569407305202349,1,0,1,-1,-1,-2,-4,-2
1569407305202349,3,-2,-2,0,-1,-2,-3,1
1569407305224291,0,-1,0,0,0,0,-2,6
1569407305224291,-2,0,-1,1,-2,-1,-1,-6
1569407305225288,-1,0,0,-1,0,-1,-1,0
1569407305225288,-2,0,-1,-1,0,1,-1,-7
1569407305239252,1,-1,-1,0,-1,2,1,5
1569407305239252,-2,-1,1,1,0,0,-1,-5
1569407305240249,0,-2,0,1,1,-1,-3,-3
1569407305240249,2,1,0,0,-1,-2,1,3
1569407305262213,0,1,-1,0,1,-3,-2,1
1569407305262213,-2,0,-2,-1,0,1,2,-6
1569407305262213,-5,-1,0,-1,-1,-3,-4,-8
1569407305262213,-1,-1,-1,-1,-1,0,-2,0
1569407305284162,-7,0,0,1,0,0,-1,-14
1569407305284162,0,0,0,-1,1,0,0,5
1569407305290115,0,0,0,-1,0,1,0,5
1569407305290115,1,-1,-1,-2,-2,0,0,5
1569407305299131,-2,-2,-1,0,-1,1,1,-1
1569407305299131,1,-2,-1,0,0,-1,-4,-6
1569407305300089,3,0,0,-1,0,-1,1,0
1569407305300089,1,1,1,0,0,-4,-4,-10
1569407305322030,1,-1,0,-2,0,0,-3,-6
1569407305322030,-1,-1,-1,-2,0,-1,-1,-11
1569407305323028,2,1,0,-1,0,0,-2,-5
1569407305323028,-2,-1,0,-2,-1,0,0,-17
1569407305343970,0,-2,-2,-3,-2,2,1,-1
1569407305343970,-1,0,1,0,0,-3,-3,-3
1569407305344968,0,0,0,0,-1,1,-1,2
1569407305344968,-2,-1,-1,-2,1,-1,-2,-1
1569407305358934,2,-1,-2,-1,-1,0,0,7
1569407305358934,-3,-2,-1,0,1,0,1,0
1569407305359929,5,-3,0,0,-1,-1,2,22
1569407305359929,2,-1,-1,2,1,-1,-1,1
1569407305381871,-3,-1,0,0,0,-1,-2,8
1569407305381871,-1,-2,-1,0,-2,-1,1,-1
1569407305383905,-3,-2,-2,-1,-2,-1,-3,-1
1569407305383905,1,-1,0,-1,-1,0,1,8
1569407305404852,6,0,-2,0,-1,-1,-1,5
1569407305404852,-1,-1,0,-2,-1,2,-1,-3
1569407305404852,-1,1,-1,0,-1,-4,-5,-8
1569407305404852,5,-1,-2,-1,-1,-1,0,13
1569407305418771,-1,1,1,0,0,-3,-2,-2
1569407305418771,-2,0,-2,1,-1,2,1,1
1569407305425753,1,-1,-1,-2,0,1,3,5
1569407305425753,-5,-2,1,2,-1,-3,-3,-11
1569407305441711,1,-1,2,-1,1,0,0,1
