timestamp,x,y,z
1569407577400719,-5.75,-14.0625,11.6875
1569407577423622,4.4375,-5.375,12
1569407577438877,11.0625,-3.125,10.6875
1569407577460524,11.8125,-7.5,10
1569407577475516,10.875,-7.25,5.4375
1569407577499885,9.25,-2,0.8125
1569407577553118,14.1875,1.5625,1.1875
1569407577553706,15.0625,2.875,1.1875
1569407577554709,16.125,3.1875,1.5
1569407577566037,22.0625,5.375,1.9375
1569407577590651,25.75,7.4375,1.9375
1569407577611859,30.875,8.75,1.0625
1569407577626973,30.25,9.75,1.6875
1569407577663623,28.875,9.9375,2.6875
1569407577673710,27.8125,10.0625,1.3125
1569407577686352,19.5625,7.5,-1.125
1569407577708600,9.4375,4.5625,-2.25
1569407577730279,-4.0625,4.4375,-2.5625
1569407577748229,-13.375,3.4375,-2.125
1569407577768176,-18.8125,1.125,-3.125
1569407577790074,-19.25,2.8125,-4.1875
1569407577809065,-23.0625,4.5625,-6.0625
1569407577828010,-24.6875,2.5625,-5.5
1569407577849915,-19.25,-1,-4.25
1569407577867868,-11.25,-1.0625,-3.75
1569407577887817,-0.0625,0.75,0.0625
1569407577909792,11.5625,0.375,3.8125
1569407577927709,13.75,-2.9375,2.8125
1569407577947653,10.875,-5.5625,4.1875
1569407577970593,7.25,-5.25,7.375
1569407577988545,2.5625,-4.625,6
1569407578007493,0.1875,-4.125,4.0625
1569407578030433,-0.5625,-2.3125,3.1875
1569407578048388,-6.3125,-1.5,-0.25
1569407578067336,-12.8125,0.375,-1.5
1569407578090309,-12.375,5.6875,-3.25
1569407578108262,-8.4375,11.3125,-6.375
1569407578127174,-7.9375,15.875,-10
1569407578151147,-6.375,18.375,-12.4375
1569407578168111,0.375,15.1875,-8.9375
1569407578188013,5.4375,12.375,-8.8125
1569407578211947,3.125,15.375,-14.125
1569407578235884,-3,18.6875,-15.875
1569407578247852,-15.0625,16.3125,-13.375
1569407578269794,-27.3125,13.5,-13.9375
1569407578290738,-27.3125,13.3125,-13.875
1569407578308689,-22.375,12.6875,-12.375
1569407578330653,-21.5,13,-16.4375
1569407578347585,-15.125,14.125,-17.1875
1569407578369526,-11.5,11.1875,-12.5625
1569407578390481,-4.9375,11.5,-11.4375
1569407578408421,-0.75,10.875,-11.8125
1569407578429365,-1.8125,5.875,-9.125
1569407578450310,-8.25,-0.25,-4.5625
1569407578468263,-20.5,-4.5,-2.4375
1569407578489207,-28.1875,-3.8125,-2.6875
1569407578513143,-25.25,-7.125,-4.6875
1569407578528101,-26.5,-11.4375,-2.9375
1569407578549045,-25.5,-12.0625,-1.9375
1569407578569989,-26.3125,-14.625,-6.0625
1569407578587942,-26.75,-14.875,-10.375
1569407578608887,-29.125,-13.75,-14
1569407578629868,-23.6875,-5.5,-5.5625
1569407578653814,-4.4375,-0.5,-4.6875
1569407578669724,6.8125,3.5625,-3.5625
1569407578692695,9.875,5.6875,-2.625
1569407578713606,8.5625,8.9375,-7
1569407578729583,16.1875,12.75,-8
1569407578752539,23.0625,13.5,-4.8125
1569407578773483,21.6875,15.4375,-5.3125
1569407578789438,12.8125,16.75,-6.3125
1569407578812343,4.5625,18.8125,-0.1875
1569407578833287,4.0625,19.625,0.5625
1569407578850260,2.5625,3.375,-10.4375
1569407578872183,-6.125,-5.75,-9.9375
1569407578893127,-9.9375,-8.375,-8.4375
1569407578910084,2.0625,-11.3125,-8.6875
1569407578932021,16.625,-8.6875,-3.25
1569407578952967,21.875,-3.25,1.5625
1569407578969921,17.25,-0.0625,3.6875
1569407578991863,-0.5625,3.5625,2.75
1569407579013804,-15.125,8.0625,1.125
1569407579028765,-20.6875,12.1875,3.5625
1569407579052699,-17.8125,15.875,5.625
1569407579073680,-8.6875,15.5,6.8125
1569407579088640,3.3125,13.25,9.3125
1569407579112580,13.25,9.125,7.625
1569407579133484,22.125,1.9375,4.3125
1569407579149482,23.1875,-2.8125,1.5
1569407579172381,11,-1.6875,1.75
1569407579193324,1.375,-2.1875,3.5
1569407579209322,-4.5,-3.125,1.5
1569407579232220,-11.25,-0.25,-3.25
1569407579255159,-12.6875,3.8125,-6.8125
1569407579270119,-11.5,6.5,-9.6875
1569407579292060,-11.75,7.4375,-10.1875
1569407579315000,-13.9375,8,-8.25
1569407579329959,-17.0625,8.375,-4.375
1569407579351930,-18.125,8.5625,0.1875
1569407579374839,-14.3125,7.5625,5.5625
1569407579395783,-10.25,6.0625,9.25
1569407579412737,-9.9375,5.6875,9.125
1569407579434678,-8.0625,5.8125,7.4375
1569407579448682,-6.1875,5.25,5.5
1569407579472577,-4.25,4.5625,2.9375
1569407579494518,0,3.25,0.75
1569407579509576,2.8125,1.5,-2.375
1569407579532417,4.3125,-0.125,-5
1569407579554359,6.6875,-2.6875,-4.9375
1569407579569318,8.6875,-5.5625,-3.625
1569407579592260,11.75,-8.0625,-2.4375
1569407579614198,12.375,-8,-2.4375
1569407579629160,12.5625,-6.25,-2.9375
1569407579652099,13.5625,-5.125,-3.0625
1569407579675070,13.6875,-4.5625,-2.625
1569407579688999,11.25,-3.9375,-2.6875
1569407579711938,7.5,-2.5,-3.25
1569407579734877,4,-0.3125,-3.3125
1569407579755821,3.625,2.375,-2.25
1569407579772807,1.4375,4.6875,-1.1875
1569407579794717,-1.75,5.25,-0.8125
1569407579815697,-4.25,5.5,-0.875
1569407579832615,-5.9375,5.8125,-1.6875
1569407579854557,-6.125,5.625,-2.75
1569407579875500,-1.3125,3.9375,-2.75
1569407579892493,5.375,0.9375,-1.5
1569407579914397,9.9375,-1.9375,-0.625
1569407579936338,11.8125,-4.375,0.0625
1569407579952297,12.125,-6.3125,0.875
1569407579975234,12.1875,-6.875,0.3125
1569407579996177,14.0625,-5.5625,0.0625
1569407580012139,14.3125,-3.375,-1.25
1569407580035100,10.4375,-1.8125,-3.1875
1569407580056019,5.375,-1.375,-4.5625
1569407580071975,1.0625,-1.5,-5.25
1569407580094914,-1.1875,-1.6875,-4.5
1569407580115858,0.125,-1.25,-3.75
1569407580131815,-0.1875,-0.625,-3.375
1569407580154795,-1.625,-0.3125,-1.25
1569407580177693,-0.5625,0.25,1
1569407580192659,0.125,0.9375,2.25
1569407580215610,0,1.5,2.4375
1569407580237538,-1.375,1.6875,1.625
1569407580252493,-2.6875,1.875,1.3125
1569407580274435,-3.3125,2.375,0.75
1569407580297372,-2.8125,2.875,-0.5625
1569407580312335,-2.125,3.25,-1
1569407580335272,-2.3125,2.875,-1.3125
1569407580357214,-3.3125,2.5,-1.5625
1569407580372172,-5.4375,2.5625,-1.5625
1569407580395150,-6.5,2.3125,-2.0625
1569407580417052,-6.3125,1.5,-1.25
1569407580432013,-4.25,0.6875,0.125
1569407580455215,-3.75,0.6875,0.75
1569407580477890,-3.4375,1.3125,0.0625
1569407580491860,-4.125,1.875,-0.375
1569407580514833,-5.1875,2.125,-0.625
1569407580538051,-6.75,2.25,-0.8125
1569407580551694,-7.25,2.125,-0.75
1569407580574950,-7,2.3125,-0.75
1569407580597571,-7.375,2.5625,-1.3125
1569407580611782,-6.875,2.375,-1.25
1569407580634905,-5.5625,1.6875,-0.9375
1569407580657412,-4.4375,1.1875,-0.75
1569407580679235,-3.8125,1.1875,-1.4375
1569407580702454,-4,1.625,-1.875
1569407580717456,-4.0625,1.6875,-1.75
1569407580739350,-2.5,1.8125,-0.6875
1569407580755020,-0.875,2.0625,-0.25
1569407580777399,-1.375,1.875,-1.125
1569407580799308,-1.75,1.6875,-1.1875
1569407580815856,-1.9375,1.1875,-0.625
1569407580838232,-1.4375,0.375,-0.375
1569407580858745,-0.75,0.0625,0.4375
1569407580874935,-0.9375,-0.625,0
1569407580897638,-1.0625,-0.0625,-1.5
1569407580919250,-1.0625,0.125,-2.3125
1569407580934898,-0.4375,-0.3125,-1.9375
