timestamp,x,y,z
1569408041142528,0.30957,0.75,0.360352
1569408041165779,0.308105,0.736816,0.336426
1569408041189414,0.331543,0.725098,0.327637
1569408041204362,0.353027,0.741699,0.350586
1569408041225628,0.365234,0.766602,0.345215
1569408041249558,0.320801,0.760254,0.338379
1569408041264202,0.248535,0.75293,0.341309
1569408041316323,0.205078,0.725098,0.365723
1569408041327097,0.20166,0.71582,0.375977
1569408041329175,0.242188,0.762207,0.359863
1569408041339193,0.294434,0.79248,0.371094
1569408041361392,0.309082,0.759277,0.385254
1569408041377073,0.291016,0.707031,0.376953
1569408041429228,0.288086,0.677246,0.400391
1569408041429783,0.31543,0.663574,0.430664
1569408041451888,0.34375,0.677246,0.473633
1569408041460105,0.335449,0.692871,0.473145
1569408041481621,0.276855,0.702637,0.456543
1569408041511698,0.23291,0.702148,0.446289
1569408041527589,0.274902,0.721191,0.446777
1569408041549810,0.294922,0.721191,0.446777
1569408041571785,0.277344,0.709473,0.453125
1569408041587528,0.269043,0.719238,0.447266
1569408041610278,0.251465,0.708984,0.474609
1569408041631631,0.248047,0.695313,0.474609
1569408041647180,0.275879,0.715332,0.456055
1569408041670118,0.285156,0.715332,0.447754
1569408041676153,0.275391,0.703125,0.44873
1569408041698078,0.298828,0.688477,0.447754
1569408041720017,0.30127,0.690918,0.428223
1569408041743394,0.289063,0.699219,0.424316
1569408041758126,0.282227,0.706543,0.433105
1569408041781156,0.305176,0.710938,0.412598
1569408041796200,0.3125,0.714844,0.415039
1569408041818146,0.298828,0.708984,0.419922
1569408041840314,0.283203,0.703125,0.419434
1569408041855079,0.272461,0.713379,0.397461
1569408041878018,0.296387,0.740723,0.394043
1569408041899917,0.316406,0.748535,0.42041
1569408041915908,0.301758,0.717285,0.442871
1569408041937816,0.265625,0.665039,0.450684
1569408041960756,0.281738,0.683594,0.436035
1569408041975749,0.311035,0.70752,0.436523
1569408041997655,0.303223,0.708008,0.432129
1569408042020594,0.290527,0.705566,0.418945
1569408042035555,0.300781,0.714844,0.423828
1569408042058496,0.300293,0.717773,0.40918
1569408042080440,0.289063,0.71582,0.412598
1569408042095395,0.29248,0.719727,0.429199
1569408042119365,0.293945,0.718262,0.42334
1569408042140274,0.275879,0.722656,0.418945
1569408042155236,0.291504,0.720215,0.424316
1569408042179174,0.30127,0.710449,0.444336
1569408042200116,0.299805,0.695801,0.447754
1569408042218067,0.298828,0.69873,0.433594
1569408042239010,0.301758,0.702637,0.427246
1569408042259955,0.298828,0.710938,0.40918
1569408042275955,0.296387,0.70752,0.413574
1569408042297859,0.299805,0.708984,0.419922
1569408042320792,0.288574,0.70752,0.423828
1569408042335784,0.290527,0.710938,0.422852
1569408042357694,0.293945,0.720703,0.42334
1569408042380633,0.295898,0.720215,0.428711
1569408042395592,0.299316,0.714355,0.413086
1569408042417534,0.292969,0.717285,0.421387
1569408042440473,0.293457,0.70752,0.424316
1569408042458424,0.294434,0.708496,0.416016
1569408042477376,0.30957,0.712402,0.422852
1569408042500313,0.300293,0.705078,0.421875
1569408042518270,0.299316,0.689453,0.428223
1569408042538212,0.29834,0.696289,0.42041
1569408042560152,0.304199,0.703613,0.421875
1569408042578105,0.303711,0.712891,0.426758
1569408042598052,0.30127,0.705078,0.417969
1569408042619993,0.291504,0.712891,0.421875
1569408042642979,0.286621,0.720215,0.41748
1569408042657930,0.286133,0.708984,0.419922
1569408042679833,0.27832,0.69873,0.438965
1569408042702771,0.278809,0.687988,0.457031
1569408042717731,0.265137,0.686523,0.478027
1569408042740672,0.26123,0.674316,0.498047
1569408042771588,0.236328,0.665527,0.524414
1569408042777571,0.239746,0.652344,0.552246
1569408042800510,0.23291,0.634277,0.567871
1569408042822451,0.219238,0.628418,0.57959
1569408042837412,0.221191,0.626465,0.573242
1569408042860349,0.233398,0.629883,0.559082
1569408042883288,0.238281,0.630859,0.54834
1569408042899246,0.241211,0.643066,0.539063
1569408042920190,0.244141,0.650879,0.527832
1569408042938142,0.247559,0.646973,0.520508
1569408042959085,0.242188,0.641602,0.529785
1569408042988009,0.236328,0.647949,0.526855
1569408042997982,0.236816,0.639648,0.529297
1569408043024923,0.242188,0.640137,0.53418
1569408043039873,0.243652,0.647949,0.532715
1569408043057823,0.239746,0.64502,0.541016
1569408043078767,0.237793,0.645508,0.525391
1569408043100708,0.235352,0.649902,0.52832
1569408043118707,0.242188,0.645508,0.531738
1569408043139603,0.243164,0.642578,0.529297
1569408043160547,0.241211,0.644531,0.534668
1569408043178532,0.243164,0.640625,0.54248
1569408043199444,0.242676,0.64502,0.537109
1569408043220388,0.242676,0.647949,0.53418
1569408043238341,0.244141,0.649414,0.53125
1569408043260280,0.245605,0.646973,0.529785
1569408043280228,0.243652,0.644043,0.525391
1569408043298183,0.237305,0.644043,0.523438
1569408043325147,0.236328,0.654297,0.503906
1569408043340068,0.243164,0.658691,0.512695
1569408043358021,0.236328,0.655762,0.520996
1569408043380998,0.238281,0.665039,0.505859
1569408043399919,0.239258,0.665527,0.506836
1569408043418009,0.22998,0.664551,0.51709
1569408043440800,0.231445,0.65918,0.527344
1569408043460745,0.233887,0.65332,0.527344
1569408043478718,0.228516,0.65332,0.517578
1569408043500640,0.219727,0.652832,0.515625
1569408043520592,0.225098,0.650391,0.522949
1569408043538537,0.240723,0.662109,0.510742
1569408043560479,0.241699,0.672363,0.501465
1569408043580425,0.237793,0.672852,0.50293
1569408043598410,0.228027,0.668457,0.506348
1569408043620322,0.230957,0.660156,0.51123
1569408043640269,0.23584,0.658691,0.51709
1569408043658218,0.237305,0.664063,0.515137
1569408043681195,0.233887,0.665039,0.506348
1569408043700106,0.233398,0.663574,0.510742
1569408043718057,0.231934,0.664063,0.520508
1569408043740998,0.233398,0.660645,0.515137
1569408043759946,0.234375,0.658203,0.506348
1569408043777897,0.231934,0.668945,0.508301
1569408043800836,0.240723,0.665527,0.508789
1569408043819785,0.239258,0.664063,0.512207
1569408043837775,0.242188,0.666992,0.510254
1569408043860677,0.233887,0.661621,0.489746
1569408043881620,0.233398,0.661621,0.507324
1569408043898575,0.23584,0.664063,0.508301
1569408043920517,0.23584,0.664063,0.510742
1569408043941460,0.233398,0.658691,0.507324
1569408043958416,0.230469,0.659668,0.515625
1569408043980357,0.232422,0.664063,0.515625
1569408044001335,0.233398,0.656738,0.524414
1569408044018259,0.233887,0.658203,0.525391
1569408044041194,0.23877,0.65625,0.53125
1569408044062138,0.237305,0.646973,0.530273
1569408044078095,0.235352,0.644043,0.531738
1569408044101034,0.236328,0.644531,0.532715
1569408044121983,0.239258,0.652344,0.526855
1569408044137934,0.239258,0.659668,0.519531
1569408044160874,0.235352,0.652832,0.516113
1569408044182815,0.231934,0.652832,0.515625
1569408044197776,0.232422,0.651367,0.517578
1569408044219717,0.228516,0.654297,0.513672
1569408044242685,0.231445,0.652344,0.520996
1569408044263600,0.230957,0.651855,0.527832
1569408044279557,0.227539,0.65332,0.523438
1569408044302495,0.235352,0.655273,0.525879
1569408044323439,0.239258,0.649902,0.527832
1569408044340395,0.234375,0.647461,0.534668
1569408044362336,0.232422,0.649902,0.532715
1569408044376298,0.237793,0.645996,0.536133
1569408044400233,0.232422,0.651855,0.546875
1569408044422177,0.231445,0.65625,0.546875
1569408044437137,0.233887,0.654785,0.53418
1569408044460075,0.23291,0.658691,0.526367
1569408044482017,0.230957,0.658691,0.525391
1569408044497009,0.239258,0.668945,0.507324
1569408044519915,0.240234,0.66748,0.48877
1569408044541856,0.237305,0.666504,0.48584
1569408044556819,0.235352,0.677734,0.487305
1569408044579754,0.23877,0.676758,0.490723
1569408044602721,0.225586,0.678223,0.49707
1569408044616655,0.231445,0.67627,0.490723
1569408044639594,0.235352,0.673828,0.491211
1569408044662535,0.245117,0.675293,0.498047
1569408044683476,0.23877,0.674316,0.496094
1569408044699434,0.240723,0.668457,0.492188
1569408044722372,0.245117,0.666504,0.502441
1569408044743316,0.23877,0.666016,0.509277
1569408044760306,0.23877,0.660156,0.513672
1569408044782213,0.237305,0.656738,0.518555
1569408044804231,0.23291,0.660645,0.51123
1569408044820151,0.236328,0.65918,0.513672
1569408044842330,0.231445,0.656738,0.510742
1569408044864195,0.231934,0.655273,0.511719
1569408044880010,0.233398,0.648926,0.522949
1569408044902891,0.23877,0.644531,0.524414
1569408044924184,0.239746,0.647461,0.541992
1569408044940195,0.234863,0.634766,0.549316
1569408044962512,0.236816,0.632813,0.562012
1569408044984498,0.231934,0.625488,0.567383
1569408045000421,0.233398,0.626465,0.567383
1569408045022543,0.23584,0.628906,0.561035
1569408045044392,0.23877,0.626953,0.563965
1569408045060264,0.233398,0.625488,0.54834
1569408045082567,0.230469,0.63623,0.539063
1569408045104400,0.231445,0.641602,0.537109
1569408045120101,0.23291,0.638184,0.542969
1569408045143388,0.229004,0.63623,0.542969
1569408045164982,0.224609,0.636719,0.541504
1569408045179941,0.229492,0.633789,0.543945
1569408045202881,0.230469,0.634766,0.536621
1569408045224926,0.233887,0.63623,0.54541
1569408045239780,0.229492,0.641113,0.54541
1569408045270057,0.239258,0.640625,0.543457
1569408045285880,0.237793,0.646973,0.533691
1569408045299622,0.233887,0.644043,0.530762
1569408045322561,0.22998,0.640625,0.536133
1569408045344963,0.224609,0.644043,0.52832
1569408045359462,0.234863,0.65332,0.523438
1569408045382581,0.240234,0.658691,0.521484
1569408045405379,0.236328,0.65625,0.509277
1569408045419709,0.23291,0.655273,0.515137
1569408045442646,0.231934,0.647949,0.524902
1569408045464881,0.231934,0.648926,0.532227
1569408045479548,0.229492,0.651855,0.529785
1569408045502487,0.235352,0.650879,0.522461
1569408045525790,0.23291,0.653809,0.526367
1569408045539424,0.23291,0.649414,0.530273
1569408045562327,0.237305,0.644043,0.522949
1569408045585266,0.234375,0.647461,0.535645
1569408045600253,0.234863,0.646484,0.526367
1569408045622578,0.234375,0.649902,0.528809
1569408045645809,0.230957,0.649414,0.527344
1569408045666442,0.230469,0.647461,0.536621
1569408045682585,0.229004,0.646484,0.542969
1569408045705351,0.230469,0.644043,0.540039
1569408045726717,0.22998,0.639648,0.547363
1569408045742559,0.23291,0.643066,0.532715
1569408045765145,0.238281,0.649414,0.527832
1569408045786539,0.23584,0.650879,0.518555
1569408045802484,0.234863,0.645508,0.520996
1569408045825360,0.233887,0.652832,0.51709
1569408045846765,0.234863,0.644531,0.527344
1569408045862319,0.23291,0.645996,0.52832
1569408045885258,0.231934,0.644043,0.526367
1569408045906239,0.237793,0.650391,0.535645
1569408045922585,0.232422,0.645996,0.537109
1569408045944970,0.231445,0.641602,0.537109
1569408045966899,0.23291,0.647949,0.53125
1569408045982426,0.228027,0.647461,0.533691
1569408046005364,0.229004,0.644531,0.530273
1569408046026746,0.237793,0.646484,0.535156
1569408046042526,0.237305,0.643555,0.529297
1569408046065205,0.233887,0.647949,0.52832
1569408046087546,0.230957,0.645996,0.533691
1569408046102372,0.23291,0.641113,0.538574
1569408046125084,0.23584,0.646973,0.534668
1569408046147984,0.235352,0.647461,0.532715
1569408046161947,0.235352,0.644531,0.530762
1569408046184884,0.229492,0.642578,0.525879
1569408046207827,0.231445,0.63916,0.53418
1569408046221788,0.231934,0.640137,0.534668
1569408046244734,0.234375,0.645996,0.535156
1569408046267663,0.232422,0.650391,0.536133
1569408046281626,0.230957,0.647461,0.530273
