timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1569408041329175,-1,2,0,-2,-1,-1,14,13
1569408041329175,-1,-2,-2,-1,-2,-3,3,-2
1569408041330027,-3,-4,-2,-3,-4,-8,-42,-17
1569408041330027,0,-1,-1,-3,-2,-2,8,-2
1569408041332409,0,0,0,0,0,1,-4,4
1569408041332409,0,0,2,2,0,3,9,4
1569408041333020,0,-2,1,0,1,6,16,-4
1569408041333020,2,-1,0,0,-3,-2,-9,3
1569408041334248,-1,2,0,1,-1,0,-1,3
1569408041334248,1,0,-1,0,-1,1,3,4
1569408041346317,-2,-1,1,-1,1,0,-2,-9
1569408041346317,-4,-3,0,-1,0,0,-4,-11
1569408041355000,1,-1,-1,-1,-1,1,3,-2
1569408041355000,5,2,0,0,0,-5,-15,14
1569408041369222,5,0,-1,-2,-1,-2,4,6
1569408041369222,-5,-2,-1,0,0,-1,3,-8
1569408041377073,5,0,-1,0,-1,-2,-1,17
1569408041377073,-2,-1,-1,-1,-1,-1,-4,2
1569408041390863,7,-2,-1,0,-2,0,7,8
1569408041390863,4,2,0,1,-1,-3,-8,-19
1569408041399191,-16,-1,-3,-2,-2,-3,-7,-24
1569408041399191,10,-2,-2,-2,-2,-1,2,13
1569408041446180,10,4,5,1,2,3,4,-1
1569408041446180,6,14,0,-1,-1,2,-3,4
1569408041446180,-10,-10,-3,-3,-3,-3,1,-2
1569408041446180,4,2,2,2,0,1,-2,-8
1569408041447879,-21,-7,-3,0,-1,0,-3,-15
1569408041447879,4,6,0,1,1,-2,0,3
1569408041447879,-1,5,-2,-2,-2,-1,-9,-4
1569408041447879,0,-8,-5,-3,-2,-1,7,3
1569408041451888,-2,-4,-1,0,0,1,17,-6
1569408041451888,-1,-5,-2,-1,-1,-6,-21,-2
1569408041458683,-8,-4,0,-2,-2,-6,-10,-7
1569408041458683,13,13,1,-1,-2,-4,-5,-12
1569408041466097,8,5,0,1,0,3,-1,9
1569408041466097,-12,-19,-3,0,1,3,16,-1
1569408041480908,6,0,0,-1,2,3,7,11
1569408041480908,-6,-2,1,-1,0,2,-3,-12
1569408041487893,-3,3,2,0,-1,-1,-1,20
1569408041487893,22,6,-2,-1,-3,-1,5,0
1569408041502849,2,1,0,1,-2,-3,-11,6
1569408041502849,-10,-8,-1,-1,1,0,-7,-6
1569408041511698,-7,5,1,1,1,2,0,-6
1569408041511698,-8,-5,0,-1,-1,-2,-2,-4
1569408041527589,-7,-5,0,2,0,1,1,-5
1569408041527589,11,4,-1,1,0,1,12,11
1569408041528496,6,2,-1,-3,-1,-1,-3,-2
1569408041528496,5,5,2,0,1,1,-8,-14
1569408041549810,-9,-5,-3,-2,-4,0,8,14
1569408041549810,-6,-3,0,1,0,-3,-13,-4
1569408041551614,-4,0,-3,-1,-3,-4,-5,-18
1569408041551614,21,3,1,1,-1,-1,4,26
1569408041563472,-1,5,1,2,0,1,4,-11
1569408041563472,2,-11,-8,-5,-2,-2,-3,-5
1569408041571785,-7,-8,3,2,-2,-3,-7,-13
1569408041571785,18,21,-1,-2,-2,-3,3,23
1569408041587528,-13,-13,-2,-2,0,-4,-4,-5
1569408041587528,0,3,0,0,-2,-1,2,1
1569408041588337,-3,-6,-3,-1,1,-1,-2,-6
1569408041588337,-22,-12,0,2,-2,0,-3,-5
1569408041609634,17,12,1,0,-1,0,1,-2
1569408041609634,-4,-2,-1,1,-1,0,-1,-9
1569408041611275,0,-5,-2,0,-1,-2,-4,10
1569408041611275,-9,-4,-1,1,-1,3,3,-7
1569408041623621,7,1,-2,-2,0,2,12,7
1569408041623621,-6,-6,0,0,1,-2,-10,-7
1569408041632220,3,-1,-2,-1,0,-1,-4,5
1569408041632220,-6,-2,-2,-1,-2,2,-1,-3
1569408041646649,2,2,0,1,0,-2,4,-6
1569408041646649,-2,-2,-2,-2,-1,-4,-3,4
1569408041648178,3,2,0,-1,-3,-2,0,-5
1569408041648178,-7,-3,0,-2,-1,0,4,-10
1569408041669563,8,0,0,-2,0,2,0,18
1569408041669563,-1,3,1,0,0,3,1,-3
1569408041671116,0,-2,-4,-1,-2,0,0,4
1569408041671116,-10,-5,0,-2,1,-1,0,-13
1569408041691060,3,2,-1,1,0,0,6,5
1569408041691060,-1,0,-1,0,1,1,-2,-4
1569408041692493,3,-2,-2,-2,-1,2,23,3
1569408041692493,-2,0,0,2,1,-3,-26,1
1569408041706055,-1,-1,0,-2,-1,-5,-27,-11
1569408041706055,-6,-3,-1,-2,-3,-3,3,-7
1569408041707052,1,-1,0,1,0,-2,-11,3
1569408041707052,0,-3,-1,0,1,2,19,10
1569408041729311,-1,1,-1,-1,-1,2,9,-7
1569408041729311,-1,1,2,1,-1,1,-6,-1
1569408041729311,4,0,-2,-1,0,1,2,5
1569408041729311,0,2,0,1,0,-3,2,4
1569408041751323,2,-1,-2,-1,-1,0,-3,-2
1569408041751323,-1,0,1,1,-1,2,5,1
1569408041751899,0,-1,0,0,-1,-1,-5,1
1569408041751899,-6,-2,-2,-1,-2,0,2,-9
1569408041766290,-6,2,1,2,2,2,0,-27
1569408041766290,6,1,-2,0,-1,-2,2,19
1569408041766859,1,1,-1,-1,0,1,-6,-4
1569408041766859,0,-1,0,-1,0,-2,-3,4
1569408041788842,-3,-1,0,1,0,0,10,-4
1569408041788842,1,-1,0,-1,2,3,10,3
1569408041788842,-1,1,0,-1,-1,-3,-10,1
1569408041788842,-1,-2,-1,-2,-3,-8,-27,-8
1569408041810996,2,-2,-2,-1,-3,-1,3,8
1569408041810996,-5,-1,-1,2,1,3,14,0
1569408041811740,0,-2,0,0,-1,-2,-17,-4
1569408041811740,-9,-6,-4,-5,-2,0,19,-3
1569408041826471,-2,0,-2,-1,0,2,7,-1
1569408041826471,-10,-1,0,-1,-1,-1,-5,-16
1569408041827113,-7,-2,-4,-3,0,-2,6,-4
1569408041827113,2,0,0,3,1,1,6,18
1569408041848099,0,-1,0,-1,0,-1,-9,-22
1569408041848099,-1,-2,-1,-2,-1,2,5,-3
1569408041849054,-1,1,1,-1,0,4,15,4
1569408041849054,1,1,0,1,-2,-1,-4,9
1569408041871036,5,-3,0,-1,-1,1,6,-1
1569408041871036,3,1,1,0,0,1,-13,-7
1569408041872034,-8,-6,-4,-3,-3,-13,-40,-30
1569408041872034,-2,0,1,-1,-2,-3,-14,-22
1569408041885996,-1,0,1,0,0,1,5,8
1569408041885996,-9,-2,-1,-2,-2,2,1,-12
1569408041886994,-3,-2,0,-1,-1,2,19,-4
1569408041886994,1,2,0,-1,1,1,9,-2
1569408041908893,-6,-5,-3,-2,-3,-7,-10,-11
1569408041908893,4,1,2,0,2,-1,1,8
1569408041908893,13,6,0,3,3,9,34,9
1569408041908893,-29,-13,-1,-2,-3,-7,-57,-17
1569408041930834,16,7,-1,-1,-4,-5,8,13
1569408041930834,-16,-7,-1,0,-1,-3,-6,-2
1569408041931832,12,4,-2,-2,-3,-3,1,0
1569408041931832,14,5,0,2,2,6,22,15
1569408041953774,-5,-4,-2,0,0,0,-9,0
1569408041953774,12,3,0,-1,-1,-3,-5,2
1569408041953774,-3,0,0,-1,-1,0,1,8
1569408041953774,-1,-2,-3,-2,-3,2,12,1
1569408041968775,5,2,-1,0,-1,1,-3,4
1569408041968775,7,1,-2,-2,-1,-2,6,10
1569408041968775,-3,-2,0,0,0,-2,-6,6
1569408041968775,7,2,-2,-2,-1,-1,7,2
1569408041990680,-3,0,2,0,-1,1,-1,2
1569408041990680,14,-1,-3,-2,-3,-1,-6,19
1569408041991673,-6,-5,-2,0,-1,-1,-7,1
1569408041991673,5,4,3,0,0,-1,8,4
1569408042005635,-7,-3,1,1,0,-3,-2,-2
1569408042005635,-9,-4,-2,-2,-1,-3,-4,-20
1569408042006632,4,1,1,-1,-1,-1,-9,3
1569408042006632,1,1,-1,1,0,1,10,7
1569408042028605,-7,-2,0,-2,1,2,1,-1
1569408042028605,-3,0,-1,-1,0,-1,-2,-4
1569408042029571,4,1,3,0,-1,-3,1,15
1569408042029571,-18,-2,1,0,-1,-2,-9,-42
1569408042050551,4,-4,-4,-1,0,0,-2,25
1569408042050551,-2,2,0,0,0,0,-3,-12
1569408042051513,1,-3,-2,-1,-1,2,3,10
1569408042051513,2,-1,0,-1,-2,1,5,7
1569408042065476,-1,0,-1,-1,0,-1,-3,-8
1569408042065476,7,-1,-1,-2,-3,-1,0,10
1569408042066472,-7,-1,-2,1,-1,-1,-3,-19
1569408042066472,0,-1,0,-1,0,-1,0,0
1569408042088413,3,-2,-1,-1,-1,-2,-3,1
1569408042088413,-2,-1,0,-1,-1,-1,1,9
1569408042089410,-9,-4,0,0,-1,-2,-8,-32
1569408042089410,3,0,-1,0,0,-1,3,5
1569408042111354,0,1,2,2,1,-2,1,4
1569408042111354,9,0,-2,-1,-2,-1,0,17
1569408042111354,3,2,1,0,0,0,0,1
1569408042111354,-3,-2,0,-2,-1,0,0,-1
1569408042125317,-1,-2,-1,-1,-1,0,1,-6
1569408042125317,-8,0,1,1,0,0,-1,-6
1569408042132337,13,1,0,-2,0,0,1,15
1569408042132337,-10,0,-1,0,-1,0,-1,-10
1569408042148254,7,3,1,2,-1,2,1,2
1569408042148254,-5,-2,-1,-1,-1,-2,-2,0
1569408042149252,-8,-1,-2,0,0,-1,-4,-12
1569408042149252,-8,-3,-2,-2,-2,-2,-1,-14
1569408042171193,-8,-1,0,-2,0,-1,-1,-6
1569408042171193,-13,0,0,0,0,0,-1,-11
1569408042172192,-6,-1,-1,0,-1,2,2,4
1569408042172192,13,-1,-3,-1,0,-2,3,15
1569408042186153,-12,-1,-1,-2,-2,-3,-9,-35
1569408042186153,1,1,-1,1,0,0,0,-4
1569408042187153,14,1,0,0,-1,-3,2,31
1569408042187153,4,-1,-2,0,0,0,1,13
1569408042217073,-1,-1,-2,-2,-1,0,-1,-5
1569408042217073,0,0,-1,0,0,-1,0,0
1569408042217073,-4,-1,0,1,0,0,0,3
1569408042217073,6,0,-1,-1,-2,1,4,5
1569408042231033,-1,-2,0,0,0,0,-3,-6
1569408042231033,-1,-1,1,0,-1,-1,-2,0
1569408042232032,-1,-1,0,-3,0,-1,1,-1
1569408042232032,2,1,0,-1,0,0,0,4
1569408042246027,0,-1,-1,1,-2,1,-1,6
1569408042246027,-1,-2,-2,0,-1,0,1,5
1569408042247017,8,-2,-3,-4,0,0,0,3
1569408042247017,-2,0,0,-1,-1,-2,-1,0
1569408042267934,-1,-3,-2,-2,-1,-1,-4,-9
1569408042267934,12,1,0,0,0,0,4,25
1569408042268932,-5,0,0,1,-2,-1,-3,-10
1569408042268932,-1,0,-1,0,0,0,-1,-3
1569408042290875,-4,-2,-1,-1,1,0,0,4
1569408042290875,-13,-4,-1,-1,-2,-2,-6,-24
1569408042291871,-1,-2,-2,-1,2,1,0,-3
1569408042291871,7,1,0,0,-2,0,2,11
1569408042304869,-1,0,0,0,0,0,-1,-4
1569408042304869,-1,-1,0,-2,-1,-1,0,1
1569408042312813,-5,0,0,1,0,0,1,-7
1569408042312813,-3,-1,1,0,1,-2,0,0
1569408042328771,6,-1,-2,-3,0,-1,0,6
1569408042328771,7,2,-1,0,-3,-2,0,0
1569408042328771,-10,0,0,-1,0,-2,-2,-8
1569408042328771,7,-2,-1,-1,-1,1,0,4
1569408042352740,6,0,0,1,0,0,1,1
1569408042352740,1,1,0,1,-1,0,0,0
1569408042352740,-1,0,-2,-2,-1,0,0,1
1569408042352740,-4,-2,-3,-1,1,0,-3,-2
1569408042365673,-4,0,-1,1,0,-1,-2,-4
1569408042365673,-2,1,-2,-1,0,-1,1,-3
1569408042372687,14,-2,-1,-2,-3,-3,0,17
1569408042372687,-7,-1,0,-1,-2,-2,-1,-3
1569408042388621,-7,-1,0,0,0,1,2,5
1569408042388621,4,0,1,0,-1,-2,-2,0
1569408042390649,-15,-2,1,-1,-1,0,2,-5
1569408042390649,-4,-1,-2,-2,-1,-1,0,-3
1569408042410552,6,-1,-1,-1,-2,-1,-2,3
1569408042410552,-3,1,2,0,1,-2,-3,-6
1569408042412587,-2,-1,-2,0,0,0,-1,2
1569408042412587,6,0,-2,-1,-1,0,-2,-1
1569408042433492,-5,-3,-1,0,-2,0,0,-12
1569408042433492,8,1,-2,-1,0,-1,2,11
1569408042434491,6,8,0,0,-1,-1,-3,-12
1569408042434491,-10,-16,-3,-2,-1,-3,-5,-20
1569408042456429,-3,-7,-3,-1,0,2,0,5
1569408042456429,-14,-3,-1,-1,0,2,-2,-14
1569408042458424,8,1,-2,0,-2,0,0,7
1569408042458424,1,3,0,-1,-1,0,2,13
1569408042470395,8,10,1,0,-2,-4,-4,-4
1569408042470395,3,-7,-1,-1,-2,-1,2,11
1569408042471390,-9,-2,1,-1,-1,0,-2,-8
1569408042471390,-11,-10,1,1,3,-1,2,7
1569408042494329,10,9,0,-1,1,-2,-5,-7
1569408042494329,5,6,0,-1,-1,0,0,3
1569408042494329,-3,-7,-5,-3,-2,-1,-2,-6
1569408042494329,-2,0,0,1,-1,-2,2,-2
1569408042516459,-1,-1,-1,-2,0,-1,-2,-6
1569408042516459,-3,-4,0,1,0,0,1,6
1569408042517268,-1,1,0,1,0,-1,-3,-7
1569408042517268,-4,-2,-1,1,-1,2,-1,-7
1569408042531230,-4,-5,0,0,0,0,1,6
1569408042531230,-4,1,-2,0,-1,0,0,1
1569408042531230,4,1,-1,-1,-2,-2,-3,-1
1569408042531230,10,10,0,-1,0,0,-3,-1
1569408042553171,-7,-3,-1,-2,-2,-2,-3,-9
1569408042553171,-15,-8,0,-1,-1,-2,-2,-15
1569408042554169,-23,-5,1,2,2,1,1,-9
1569408042554169,23,13,-1,0,-2,-3,0,13
1569408042576109,-10,-5,-1,-1,-1,-3,-2,2
1569408042576109,12,2,-1,-2,-1,-1,4,15
1569408042577136,4,-1,-1,-1,1,1,3,12
1569408042577136,-1,2,1,0,1,1,0,-10
1569408042591072,1,-5,-2,1,-1,1,1,1
1569408042591072,0,0,-1,0,0,1,1,7
1569408042592067,-3,0,0,1,-2,-1,-2,-9
1569408042592067,-2,-3,-1,-1,-2,0,1,5
1569408042613012,1,-1,-1,1,1,-1,1,1
1569408042613012,-1,1,-1,-2,0,-1,-2,0
1569408042614009,-6,-2,1,-1,1,-1,-6,-23
1569408042614009,11,1,-1,-1,0,1,1,20
1569408042635962,-2,-1,-1,-1,-3,-1,-1,-2
1569408042635962,-3,-1,-1,-2,-1,0,-1,-9
1569408042636986,2,-1,0,-1,-1,-1,0,2
1569408042636986,-5,-3,-3,-1,-1,-3,1,0
1569408042650910,18,1,1,-3,0,-1,3,34
1569408042650910,4,-2,-2,0,-3,-2,-3,-18
1569408042651942,1,0,-1,-1,-1,-3,-2,5
1569408042651942,-5,1,0,0,-1,-1,-2,-6
1569408042673852,-4,0,0,0,-2,0,1,-10
1569408042673852,-3,-2,0,-1,1,-1,-1,0
1569408042673852,6,0,-1,-1,-2,0,0,6
1569408042673852,-6,-2,-1,-1,0,-1,-1,-12
1569408042695819,-6,-1,-1,0,1,-1,-2,-9
1569408042695819,4,1,-2,-1,-1,-2,2,10
1569408042696788,0,0,0,0,-1,0,0,-2
1569408042696788,-2,-2,-1,1,-1,1,-1,0
1569408042710749,-16,-3,-1,-1,-1,1,-8,-40
1569408042710749,16,1,-2,0,-2,-1,0,11
1569408042711746,-8,-1,-1,1,1,-1,1,2
1569408042711746,4,-1,0,0,-2,0,-2,4
1569408042733688,-5,1,0,-3,-1,-1,0,-16
1569408042733688,5,1,-2,1,1,1,1,6
1569408042734685,1,-2,0,0,-1,-2,1,6
1569408042734685,-4,-3,-1,2,-1,0,-1,-11
1569408042755629,6,1,-1,1,0,-1,1,12
1569408042755629,-15,-3,1,-1,-1,-1,-3,-4
1569408042756627,5,1,0,1,-2,0,1,6
1569408042756627,-2,0,-1,0,0,-1,-1,-3
1569408042772584,2,-1,-2,0,1,0,0,11
1569408042772584,-6,-1,-1,-1,-1,-3,-1,-17
1569408042773612,4,-1,-3,0,-2,-1,0,4
1569408042773612,-6,-2,-1,-2,-1,-3,-3,-9
1569408042793528,2,-1,0,1,-3,-2,0,9
1569408042793528,-1,2,0,-1,-1,0,1,-1
1569408042794525,-3,-1,-1,1,-1,1,-1,-9
1569408042794525,1,-1,0,0,0,1,-2,-6
1569408042815469,3,0,-1,-1,-1,2,2,9
1569408042815469,-1,0,0,1,-1,0,-1,-9
1569408042816469,0,-1,-2,-1,-2,1,1,1
1569408042816469,3,0,1,-1,-2,-1,1,4
1569408042830430,-5,-1,-1,0,0,-1,-3,-13
1569408042830430,3,-2,1,0,-2,0,-1,1
1569408042831426,-12,0,-1,-1,-1,-1,-3,-14
1569408042831426,11,1,-2,-2,-2,2,5,15
1569408042853406,-8,-1,1,0,-1,-2,-2,-2
1569408042853406,7,2,0,0,-1,0,0,13
1569408042854366,9,0,-1,-4,0,-3,3,11
1569408042854366,-8,-2,-1,0,0,-1,-2,-7
1569408042876307,-3,-1,0,-1,-1,2,2,14
1569408042876307,-3,-1,-1,0,0,0,1,7
1569408042876307,3,1,-1,0,1,0,-2,-3
1569408042876307,-14,-4,-2,-2,-1,0,-1,-9
1569408042890270,1,-1,-1,-1,-1,0,0,5
1569408042890270,-4,0,0,-1,0,0,-1,-6
1569408042898248,3,-2,-1,-1,-1,-2,-1,1
1569408042898248,0,-1,-1,0,-1,-1,-1,-3
1569408042913209,3,0,0,0,0,-2,1,-4
1569408042913209,-6,1,-2,0,-1,-1,0,-2
1569408042914207,-1,1,0,0,-1,1,1,-6
1569408042914207,2,0,-1,1,1,-1,-1,7
1569408042936148,1,2,-2,0,-2,0,-1,1
1569408042936148,7,-2,-1,-1,0,-1,-1,-1
1569408042937144,1,0,-1,0,1,1,0,-1
1569408042937144,-1,-2,-1,0,0,-1,-1,2
1569408042950110,-4,-2,-1,-2,-2,-1,0,-8
1569408042950110,-5,0,1,-1,0,0,-1,4
1569408042958090,1,-1,-1,0,1,-1,0,9
1569408042958090,-5,-1,-2,1,-1,-1,-1,-11
1569408042973048,5,-2,0,-1,-2,0,0,-3
1569408042973048,2,1,-1,-2,-1,-1,-1,-2
1569408042974046,-1,0,-2,-1,-1,0,-1,2
1569408042974046,3,1,0,0,-1,-1,-1,0
1569408042997015,-4,-1,0,0,-1,1,0,3
1569408042997015,-3,-3,-2,-1,0,0,1,-4
1569408042997015,2,0,1,-1,0,0,0,1
1569408042997015,-3,-2,-1,-1,1,0,-1,-7
1569408043009958,3,1,-1,0,1,-1,-1,0
1569408043009958,1,-1,-3,-1,-1,-1,1,1
1569408043017929,-3,-1,1,-2,-1,-1,0,-7
1569408043017929,0,1,0,-1,-1,-1,-1,-4
1569408043033886,0,0,0,1,0,0,-1,-3
1569408043033886,3,1,-2,0,0,0,1,9
1569408043033886,-1,-2,-1,1,-2,-2,0,0
1569408043033886,-4,-1,-1,0,-2,-1,1,-9
1569408043056825,2,1,0,0,1,-1,2,5
1569408043056825,-7,-3,-1,-2,-2,-4,-7,-7
1569408043057823,1,1,-2,-1,-2,0,1,8
1569408043057823,-3,-1,1,-1,0,1,-3,-8
1569408043069790,7,0,-2,-1,1,1,-1,0
1569408043069790,-2,-1,-1,1,-1,-2,2,0
1569408043078767,-3,-2,-2,-1,-2,-2,-2,5
1569408043078767,2,-1,0,-1,-1,0,0,2
1569408043093756,-5,-1,0,0,0,0,0,-3
1569408043093756,-2,3,0,-2,1,0,-1,-6
1569408043093756,1,-2,0,0,-2,1,-1,-2
1569408043093756,1,1,-1,0,0,-2,0,-1
1569408043116694,-2,-1,-2,0,-1,-1,0,3
1569408043116694,-1,0,0,0,-2,0,0,2
1569408043117702,6,1,-2,0,-1,-1,-1,11
1569408043117702,0,-1,1,0,-2,0,-2,-2
1569408043130629,3,-1,0,-1,0,0,0,6
1569408043130629,-3,-3,0,-1,-2,-2,-5,-15
1569408043138606,7,-1,-1,0,0,-1,1,11
1569408043138606,4,0,-2,-1,-1,-1,-1,0
1569408043153566,6,1,0,-1,-1,1,1,19
1569408043153566,-4,-1,0,1,0,1,-4,-4
