timestamp,x,y,z,w
1569408075502344,0.195129,-0.416321,-0.613892,0.641663
1569408075523573,0.195007,-0.416138,-0.613953,0.641785
1569408075538534,0.194885,-0.415955,-0.614014,0.641846
1569408075561511,0.194763,-0.415771,-0.614136,0.641907
1569408075583456,0.194763,-0.415833,-0.614075,0.641907
1569408075598412,0.194763,-0.415833,-0.614075,0.641907
1569408075654265,0.194824,-0.415955,-0.613892,0.642029
1569408075656293,0.194824,-0.416016,-0.613892,0.641968
1569408075661246,0.194702,-0.415894,-0.613953,0.642029
1569408075682189,0.194458,-0.415588,-0.614136,0.64209
1569408075704423,0.194336,-0.415405,-0.614258,0.642151
1569408075756285,0.194336,-0.415405,-0.614258,0.642151
1569408075756990,0.194336,-0.415405,-0.614258,0.642151
1569408075765965,0.194336,-0.415405,-0.614258,0.642151
1569408075780103,0.194153,-0.415344,-0.614258,0.642212
1569408075801179,0.194031,-0.415222,-0.614319,0.642273
1569408075822858,0.193909,-0.4151,-0.614441,0.642334
1569408075839812,0.193909,-0.4151,-0.614441,0.642334
1569408075860712,0.193909,-0.4151,-0.614441,0.642334
1569408075882654,0.193909,-0.4151,-0.614441,0.642334
1569408075899610,0.193909,-0.4151,-0.614441,0.642334
1569408075920555,0.194092,-0.415283,-0.614136,0.642456
1569408075942493,0.194092,-0.415283,-0.614136,0.642395
1569408075960449,0.194092,-0.415283,-0.614136,0.642456
1569408075980439,0.194092,-0.415344,-0.614136,0.642395
1569408076003331,0.194092,-0.415283,-0.614258,0.642334
1569408076019288,0.19397,-0.415039,-0.614502,0.642273
1569408076040233,0.193787,-0.414612,-0.614807,0.642273
1569408076070152,0.193359,-0.414307,-0.61499,0.642456
1569408076081162,0.193176,-0.413635,-0.615356,0.642578
1569408076100072,0.192627,-0.412903,-0.615784,0.642822
1569408076123012,0.192261,-0.412231,-0.616028,0.643127
1569408076140964,0.191956,-0.411499,-0.616394,0.643311
1569408076160943,0.191711,-0.41095,-0.616638,0.643494
1569408076182851,0.191711,-0.410522,-0.61676,0.643677
1569408076200804,0.191589,-0.410217,-0.616943,0.643738
1569408076220785,0.191528,-0.409973,-0.617126,0.643738
1569408076242737,0.191223,-0.409546,-0.617432,0.643799
1569408076260643,0.190857,-0.408997,-0.617859,0.64386
1569408076280590,0.190735,-0.408203,-0.618286,0.643982
1569408076303576,0.190369,-0.407532,-0.618896,0.643921
1569408076320526,0.190063,-0.406921,-0.619385,0.643982
1569408076340473,0.190247,-0.406372,-0.619629,0.644043
1569408076363409,0.190308,-0.406372,-0.619629,0.644043
1569408076381322,0.190247,-0.406067,-0.619873,0.643982
1569408076400270,0.190247,-0.406067,-0.619812,0.643982
1569408076423210,0.190247,-0.406067,-0.619812,0.643982
1569408076441197,0.190125,-0.405762,-0.619995,0.644043
1569408076460111,0.189941,-0.405396,-0.620178,0.644165
1569408076483048,0.189697,-0.404907,-0.620544,0.644226
1569408076501039,0.189453,-0.404297,-0.620911,0.644287
1569408076519952,0.18927,-0.403748,-0.621399,0.644287
1569408076542888,0.189148,-0.403137,-0.621704,0.644348
1569408076560841,0.189209,-0.402649,-0.622192,0.644226
1569408076580826,0.189209,-0.402344,-0.622437,0.644104
1569408076602767,0.189209,-0.402344,-0.622437,0.644104
1569408076628698,0.189514,-0.402527,-0.622314,0.644043
1569408076641624,0.189819,-0.402771,-0.622192,0.643921
1569408076662601,0.190002,-0.403015,-0.622009,0.64386
1569408076681518,0.190002,-0.403015,-0.622009,0.64386
1569408076701467,0.190063,-0.403015,-0.622253,0.643677
1569408076723406,0.190063,-0.402832,-0.622559,0.643494
1569408076739365,0.18988,-0.402588,-0.622986,0.64325
1569408076762301,0.189697,-0.402222,-0.623596,0.642944
1569408076785241,0.189453,-0.401978,-0.624023,0.642761
1569408076799206,0.189148,-0.401306,-0.624756,0.642517
1569408076822142,0.189026,-0.400635,-0.625305,0.642395
1569408076845082,0.188904,-0.400269,-0.625793,0.642273
1569408076859044,0.188721,-0.399963,-0.62616,0.642151
1569408076882980,0.18866,-0.399719,-0.626526,0.641968
1569408076905917,0.188599,-0.399231,-0.627136,0.641724
