timestamp,x,y,z
1569408142506030,-0.125,0.0625,-0.125
1569408142529006,0,0,-0.5625
1569408142544266,-1.0625,0,-1.25
1569408142567918,-2.375,-0.25,-1.625
1569408142588807,-2.25,-0.375,-1.6875
1569408142604139,-2.5,-0.4375,-1.6875
1569408142628037,-2.3125,-0.375,-2
1569408142681558,-1.25,-0.1875,-1.5625
1569408142681558,0.25,-0.1875,-1
1569408142691494,1.3125,-0.0625,0.0625
1569408142709723,2.3125,0,0.5
1569408142725405,2.6875,0.125,0.625
1569408142755355,2.375,0.125,0.4375
1569408142791653,1.1875,0.0625,0.4375
1569408142801613,0.6875,0.125,0.125
1569408142807311,0.3125,0.0625,-0.0625
1569408142829567,0.4375,0.125,-0.0625
1569408142845084,0.5,0,0.125
1569408142875046,1,0.1875,0.125
1569408142890008,0.5,0.25,0.25
1569408142912902,0.9375,0.125,0.375
1569408142935842,0.25,0.0625,0.25
1569408142958781,0.5,0,-0.4375
1569408142980760,0.0625,0.125,-0.75
1569408142995681,0.875,0,0
1569408143009644,0.9375,-0.0625,0.25
1569408143032583,0.3125,0.25,0.1875
1569408143055522,0.125,0.125,0.375
1569408143070483,-0.0625,0.25,0.25
1569408143093420,-0.125,0.125,0
1569408143115397,0.125,0.125,0.0625
1569408143129323,0.5,0.25,0.1875
1569408143153302,0.5625,0.3125,0.1875
1569408143175202,-0.125,0.1875,0.25
1569408143196147,-0.3125,0.1875,0.1875
1569408143214098,-0.125,0,0.0625
1569408143235084,0,-0.125,-0.0625
1569408143255987,0.1875,0,-0.3125
1569408143272940,0.3125,0,-0.1875
1569408143295879,0.25,-0.0625,0.125
1569408143318816,0.3125,0,0.0625
1569408143332785,0.25,0.0625,-0.125
1569408143356757,0.125,-0.125,-0.0625
1569408143376665,0.1875,0.0625,-0.0625
1569408143392619,0,0.0625,-0.0625
1569408143415560,-0.125,0.125,-0.125
1569408143437542,0,0,0.0625
1569408143452461,-0.1875,0.0625,0
1569408143475434,-0.3125,0.0625,0
1569408143504321,-0.125,0,0
1569408143513297,0,-0.125,-0.125
1569408143535238,0,0,-0.125
1569408143556184,0.0625,0,-0.0625
1569408143573138,0,-0.1875,-0.125
1569408143595080,0.125,-0.125,0.1875
1569408143618018,0.5,-0.0625,0
1569408143632979,-0.5625,-0.125,-0.1875
1569408143654919,-0.6875,-0.125,0.0625
1569408143677859,0.125,-0.1875,0
1569408143692820,0.625,-0.125,-0.5625
1569408143715756,0.5625,-0.0625,-0.3125
1569408143737698,0.4375,0,0.3125
1569408143752698,0.25,0,0.4375
1569408143782582,0.0625,0,0.0625
1569408143797537,0,0,-0.1875
1569408143820477,-0.125,0.0625,-0.125
1569408143841463,-0.0625,-0.125,-0.125
1569408143858408,-0.1875,0,0.0625
1569408143880316,0,-0.0625,0
1569408143901261,0.125,-0.125,-0.1875
1569408143918216,-0.75,-0.125,-0.375
1569408143940157,-0.75,-0.125,0
1569408143961128,0.1875,-0.0625,-0.125
1569408143978057,0.1875,-0.0625,-0.3125
1569408143999998,0.125,0,-0.0625
1569408144021938,0,0,-0.125
1569408144037895,-0.25,-0.125,-0.1875
1569408144060833,-0.8125,-0.125,-0.0625
1569408144081779,-0.625,0,-0.1875
1569408144097736,-0.625,0,0
1569408144120674,-0.75,0.0625,-0.125
1569408144142645,-0.5625,-0.0625,0
1569408144148644,-0.3125,0,0.125
1569408144163560,-0.125,0.0625,0.1875
1569408144185501,-0.25,0,0.1875
1569408144208444,-0.1875,0,-0.125
1569408144223399,-0.3125,0,-0.25
1569408144246372,-0.375,0,-0.125
1569408144268316,0.0625,-0.0625,0.125
1569408144283240,0.125,0,-0.0625
1569408144306216,-0.1875,0,-0.25
1569408144337096,-0.375,0,-0.125
1569408144343156,-0.0625,0,-0.125
1569408144366032,-0.1875,0,-0.25
1569408144387960,-0.3125,0,0
1569408144402919,-0.3125,0,0.125
1569408144425859,-0.375,-0.0625,-0.0625
1569408144448797,-0.375,-0.0625,-0.1875
1569408144463760,-0.875,0,-0.125
1569408144485698,-1.3125,-0.1875,0
1569408144508636,-0.4375,-0.1875,0.125
1569408144523598,0.6875,-0.125,-0.5625
1569408144545568,0.25,-0.125,-0.625
1569408144568479,0.375,-0.0625,0.25
1569408144583438,-0.125,0,0.625
1569408144606376,-0.375,0,0.125
1569408144628318,-0.5625,0.0625,-0.1875
1569408144643316,-0.4375,0,-0.125
1569408144666218,-0.25,0,-0.25
1569408144688159,0,0,0.0625
1569408144705112,-0.0625,-0.0625,0.0625
1569408144726058,0.375,0,0.125
1569408144747997,0.375,0.125,0
1569408144764951,-0.6875,0,0.1875
1569408144785928,-0.5625,-0.0625,0.0625
1569408144808834,-0.125,-0.125,-0.5
1569408144824793,-0.1875,-0.125,-0.375
1569408144845736,0.1875,0.0625,-0.125
1569408144868674,0.25,0,0
1569408144884631,-0.3125,0,0
1569408144905614,-0.5625,0.0625,0.0625
1569408144928552,-0.5,0.125,-0.125
1569408144944473,-0.375,-0.0625,-0.0625
1569408144965416,0,0,-0.125
1569408144988355,0,-0.0625,0.0625
1569408145004313,0.125,-0.125,0
1569408145026281,-0.125,-0.125,0.0625
1569408145048195,-0.1875,-0.0625,-0.25
1569408145066147,-0.25,0,-0.25
1569408145086135,-0.1875,-0.125,-0.25
1569408145108074,-0.25,-0.0625,-0.0625
1569408145125987,-0.1875,0,0
1569408145145934,0.1875,-0.125,0
1569408145170867,0,-0.0625,-0.125
1569408145185826,0,0,0
1569408145205811,-0.3125,-0.0625,0.125
1569408145228756,-0.4375,-0.0625,-0.0625
1569408145246665,-0.4375,0,-0.125
1569408145265660,-0.3125,-0.0625,-0.1875
1569408145288553,-0.3125,-0.0625,-0.125
1569408145306548,-0.25,-0.125,-0.125
1569408145325454,-0.0625,-0.1875,0.0625
1569408145348392,0.3125,-0.0625,-0.0625
1569408145366375,0.25,0,-0.0625
1569408145386291,-0.3125,0.125,-0.0625
1569408145408233,-1.5,-0.0625,0.0625
1569408145426184,-0.9375,-0.1875,0.1875
1569408145449124,0.125,-0.1875,-0.625
1569408145468117,0.3125,-0.1875,-0.75
1569408145486024,-0.1875,0,0.4375
1569408145506008,-0.375,0.0625,0.75
1569408145527911,-0.6875,0,0.0625
1569408145545899,-0.6875,0.125,-0.25
1569408145565812,-0.5625,0,-0.1875
1569408145588750,-0.5625,-0.0625,0
1569408145606736,-0.4375,0,-0.0625
1569408145625687,-0.375,0,-0.0625
1569408145648620,0.0625,0.0625,0.0625
1569408145666542,0.3125,0.125,0
1569408145687524,-0.375,-0.0625,0
1569408145708459,-0.5,0,0.1875
1569408145726382,0.0625,-0.0625,-0.5
1569408145747326,0,-0.0625,-0.3125
1569408145768613,-0.1875,0,0
1569408145786224,-0.1875,-0.0625,0
1569408145807254,-0.5,-0.0625,-0.125
1569408145829318,-0.4375,0.125,0
1569408145847194,-0.375,0,0.0625
1569408145867480,-0.3125,0,-0.125
1569408145888424,-0.125,-0.125,-0.125
1569408145906437,-0.0625,-0.125,-0.125
1569408145927737,-0.0625,-0.0625,-0.125
1569408145948679,-0.125,0,0
1569408145967029,-0.1875,-0.125,0
1569408145987580,-0.3125,-0.125,-0.0625
1569408146008967,-0.1875,-0.0625,-0.375
1569408146026501,-0.0625,-0.125,-0.25
1569408146049436,0.125,-0.0625,0
1569408146068795,0.125,-0.0625,0
1569408146086313,-0.0625,-0.125,-0.0625
1569408146109719,-0.125,-0.125,-0.125
1569408146128635,-0.25,-0.0625,-0.0625
1569408146147209,-0.3125,-0.125,0.125
1569408146169092,-0.3125,-0.0625,-0.0625
1569408146189311,-0.1875,-0.0625,-0.125
1569408146206396,0.125,-0.125,-0.125
1569408146228937,0.0625,-0.125,-0.125
1569408146248877,-0.125,-0.0625,0
1569408146267203,-0.25,-0.1875,-0.125
1569408146289809,0.0625,-0.125,-0.25
1569408146309138,0.125,-0.125,-0.125
1569408146326671,0.3125,-0.125,0
1569408146348611,-0.5625,-0.0625,-0.0625
1569408146369038,-1.5,-0.1875,-0.1875
1569408146386510,-1,-0.1875,-0.3125
1569408146409746,0.5625,-0.125,-0.5
1569408146428837,0.625,-0.0625,-0.5
1569408146446350,0,-0.125,0.375
1569408146474361,-0.625,0,0.375
1569408146488239,-1.1875,0.0625,0.0625
1569408146507228,-1.8125,0.125,-0.25
1569408146529130,-1.4375,0.3125,0
1569408146556539,-1,0.25,0.25
1569408146567163,-0.6875,0.5,0.5625
1569408146589031,-0.0625,0.625,0.125
1569408146609978,-1,0.5,-0.6875
1569408146626866,-2.25,0.1875,-1
