timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1569406991027387,2,-1,-1,0,-2,2,5,10
1569406991027387,0,0,0,-1,-1,0,3,12
1569406991034321,5,0,0,-1,-1,0,3,7
1569406991034321,-9,-5,-1,-3,-1,-6,-11,-25
1569406991036316,0,1,2,0,-1,-9,-3,7
1569406991036316,0,0,-2,-1,5,16,7,6
1569406991042300,2,2,-1,0,-1,3,2,4
1569406991042300,-5,-3,-3,1,0,-6,-9,-16
1569406991042300,0,1,3,0,-2,-4,-10,-6
1569406991042300,4,0,0,0,-1,-3,4,16
1569406991056263,-6,1,0,0,-1,1,2,-10
1569406991056263,1,-1,-2,-1,1,3,-6,1
1569406991063243,-2,-2,-1,-1,-1,1,-2,-6
1569406991063243,4,0,1,-2,-2,1,4,10
1569406991080209,3,-1,0,-1,1,1,3,10
1569406991080209,-6,-1,1,0,-1,-9,-8,-17
1569406991084226,-7,-3,-4,-2,3,11,11,0
1569406991084226,3,0,-2,-1,-4,-3,2,8
1569406991100189,-7,-2,-1,-3,-2,2,11,-20
1569406991100189,0,-1,0,0,-1,-2,-3,-8
1569406991101144,1,1,0,-1,0,0,3,5
1569406991101144,-2,0,0,2,1,-3,-2,1
1569406991148016,-8,-6,-2,0,1,-6,-16,-43
1569406991148016,1,-3,-2,0,1,0,-2,12
1569406991149051,-2,-1,0,2,1,0,-1,-5
1569406991149051,5,2,-1,-2,-1,4,9,20
1569406991150052,-6,-3,-1,-2,-1,-7,-13,-34
1569406991150052,-6,-1,-3,-2,1,3,1,-4
1569406991153041,2,0,-1,0,-2,-2,-1,2
1569406991153041,-4,-1,0,0,-2,-3,5,15
1569406991161025,-7,-3,0,-1,-2,-1,-7,-25
1569406991161025,-3,-2,2,-1,-1,-5,-2,-6
1569406991166994,1,0,-3,-2,-2,-2,2,12
1569406991166994,-5,-1,0,-1,-1,6,17,-12
1569406991175944,-2,0,-1,0,-3,-14,-13,-16
1569406991175944,1,-2,-2,0,2,11,-2,5
1569406991189925,-3,-1,-1,0,0,-2,2,-2
1569406991189925,4,1,-1,-2,0,7,5,2
1569406991196890,-6,-2,-2,0,-1,-3,-8,-13
1569406991196890,3,-1,-1,-1,-2,-2,2,8
1569406991212843,1,0,0,-1,-1,2,-1,6
1569406991212843,0,0,-1,-3,-2,1,-4,-4
1569406991220864,0,-2,-1,-1,0,1,-4,-4
