timestamp,x,y,z
1569407074575175,0.334473,0.72998,0.387695
1569407074599110,0.342773,0.719727,0.380859
1569407074620055,0.343262,0.700684,0.390137
1569407074636065,0.357422,0.699219,0.379395
1569407074666092,0.344727,0.724609,0.360352
1569407074689358,0.34082,0.729004,0.340332
1569407074704860,0.367188,0.723633,0.355957
1569407074734789,0.290527,0.734863,0.391113
1569407074742732,0.523438,0.643066,0.460449
1569407074756728,0.370117,0.677734,0.389648
1569407074779175,0.372559,0.712402,0.415039
1569407074800080,0.341309,0.722656,0.443848
1569407074818031,0.338867,0.717285,0.45752
1569407074863237,0.317383,0.710449,0.475586
1569407074876229,0.302246,0.707031,0.468262
1569407074883624,0.30957,0.716797,0.419434
1569407074899169,0.297363,0.707031,0.391113
1569407074920553,0.275391,0.693848,0.400391
1569407074936104,0.270996,0.68457,0.421875
1569407074959008,0.286621,0.694824,0.419434
1569407074979950,0.314453,0.6875,0.417969
1569407074996906,0.317383,0.683105,0.412598
1569407075019887,0.308594,0.681641,0.41748
1569407075039790,0.330078,0.702637,0.405273
1569407075056750,0.369141,0.716309,0.392578
1569407075078687,0.378906,0.741699,0.384277
1569407075099671,0.368652,0.756836,0.378906
1569407075125593,0.348633,0.768555,0.364746
1569407075139560,0.343262,0.765625,0.36377
1569407075160469,0.335938,0.753418,0.373535
1569407075176427,0.333008,0.753418,0.37207
1569407075199383,0.328125,0.756348,0.383301
1569407075220329,0.327637,0.725098,0.385742
1569407075236266,0.336914,0.693359,0.381348
1569407075261241,0.340332,0.679688,0.395996
1569407075280190,0.344727,0.67334,0.410156
1569407075296107,0.354492,0.679199,0.419434
1569407075319045,0.330078,0.685547,0.424805
1569407075341007,0.321777,0.698242,0.425781
1569407075355945,0.33252,0.696777,0.413086
1569407075378885,0.338867,0.69043,0.408203
1569407075399831,0.331055,0.69873,0.400391
1569407075417781,0.33252,0.727539,0.391602
1569407075438724,0.343262,0.748047,0.369141
1569407075459669,0.343262,0.750977,0.359375
1569407075476626,0.339355,0.742188,0.36084
1569407075498565,0.347168,0.73584,0.35791
1569407075520514,0.35791,0.740723,0.365723
1569407075536463,0.354004,0.73877,0.367188
1569407075559403,0.340332,0.731445,0.374512
1569407075580349,0.341309,0.719727,0.387207
