timestamp,x,y,z
1569407074575175,-0.9375,-6.5625,0.625
1569407074599110,-3.4375,-5.0625,2.4375
1569407074620055,-2.6875,-3.375,3.875
1569407074636065,0.0625,-1.5625,4.25
1569407074666092,0.5625,0,2.625
1569407074689358,0.5,-0.1875,-1.1875
1569407074704860,-10.4375,2.375,-4.0625
1569407074734789,-18.5,3.4375,-9.125
1569407074742732,-24.9375,12.0625,-3.125
1569407074756728,-29.8125,5.75,-11.125
1569407074779175,-24.125,8.75,-8.625
1569407074800080,-16.5625,6.75,-4.375
1569407074818031,-3,2.8125,2.4375
1569407074863237,12.875,0.5625,5.625
1569407074876229,26.1875,-2.375,7.375
1569407074883624,31.125,-3.3125,5.875
1569407074899169,26,-2.6875,5.4375
1569407074920553,19.125,-2.6875,4.8125
1569407074936104,7.4375,-3.6875,2.625
1569407074959008,-1.9375,-3.4375,0.8125
1569407074979950,-2.75,-2.5625,0.5
1569407074996906,-3.375,-0.6875,0.9375
1569407075019887,-6.5,-0.0625,1.5625
1569407075039790,-8.9375,-1.0625,-0.25
1569407075056750,-7.5,-1.375,-2.875
1569407075078687,-6.5625,-0.0625,-4.1875
1569407075099671,-3.75,-0.25,-4.0625
1569407075125593,-1.1875,0.5625,-2.4375
1569407075139560,1.4375,0.25,0.6875
1569407075160469,6.8125,0.375,2.5625
1569407075176427,8.6875,0,5.8125
1569407075199383,8.625,0.375,7.75
1569407075220329,6,0,6.25
1569407075236266,4.25,-0.8125,4.375
1569407075261241,4.375,-0.1875,4.625
1569407075280190,5.6875,0.25,2.9375
1569407075296107,6.0625,0.3125,0.5625
1569407075319045,3.8125,0.625,0.1875
1569407075341007,0.875,0.1875,-0.625
1569407075355945,-2.1875,-0.8125,-2.6875
1569407075378885,-1.8125,-0.8125,-4.3125
1569407075399831,1.5,-0.5,-2.9375
1569407075417781,2.6875,-0.125,-1.1875
1569407075438724,2,-0.1875,-1.625
1569407075459669,-1.125,0.375,-0.75
1569407075476626,-2.3125,1,0.6875
1569407075498565,-2.8125,1.4375,1.375
1569407075520514,-2.3125,1.25,1.1875
1569407075536463,-3.4375,1.6875,0.75
1569407075559403,-4.875,1.875,0.75
1569407075580349,-3.875,1.5625,1.8125
1569407075596303,-3.0625,1.1875,2
1569407075619246,-1.375,1.0625,1.1875
1569407075640185,0.75,0.3125,0.375
1569407075656144,1.4375,-0.125,0.8125
1569407075679082,1.375,-0.0625,0.9375
1569407075700025,2,-0.625,0.5
1569407075715984,1.375,-0.6875,0.5625
1569407075738922,1.1875,-0.375,0.25
1569407075759867,2.125,-0.375,0.125
1569407075775827,3,-0.875,0.9375
1569407075797768,3.25,-1.0625,1.25
1569407075820703,4.0625,-1.375,1.625
1569407075835665,4.8125,-1.5625,2.3125
1569407075858604,4.5625,-1.25,2.4375
1569407075880576,3.875,-0.875,0.375
1569407075895504,3.0625,-1.0625,0.5
1569407075918442,1.4375,-0.875,0.6875
1569407075940384,0.75,-1,1
1569407075957373,0.25,-0.1875,1.125
1569407075978285,-0.1875,0.625,1.4375
1569407076001221,-1.4375,0.8125,0.1875
1569407076015193,-1.625,0.9375,-0.0625
1569407076038123,-1.625,1.6875,0.625
1569407076061063,-1,1.625,1.125
1569407076076023,-0.5625,1.25,-0.0625
1569407076097962,-1.8125,1.8125,-0.25
1569407076120928,-1,2.5,-0.6875
