timestamp,x,y,z,w
1569407074575175,0.131348,-0.513306,-0.659485,0.533264
1569407074599110,0.130127,-0.51355,-0.659607,0.533203
1569407074620055,0.128967,-0.513611,-0.659485,0.533508
1569407074636065,0.128113,-0.513977,-0.658997,0.533997
1569407074666092,0.127991,-0.514404,-0.658508,0.534241
1569407074689358,0.128235,-0.514893,-0.658386,0.533875
1569407074704860,0.127686,-0.513855,-0.659302,0.533875
1569407074734789,0.127625,-0.511047,-0.661926,0.533325
1569407074742732,0.124817,-0.507019,-0.663574,0.535767
1569407074756728,0.12323,-0.503052,-0.66687,0.535828
1569407074779175,0.122375,-0.499451,-0.669373,0.536255
1569407074800080,0.121948,-0.496704,-0.671082,0.536743
1569407074818031,0.121643,-0.495911,-0.671143,0.537476
1569407074863237,0.122437,-0.497009,-0.669739,0.538025
1569407074876229,0.124084,-0.499817,-0.667175,0.538208
1569407074883624,0.126343,-0.503723,-0.664124,0.537903
1569407074899169,0.128235,-0.507019,-0.661499,0.537537
1569407074920553,0.1297,-0.509216,-0.659668,0.537354
1569407074936104,0.130005,-0.509827,-0.659241,0.53717
1569407074959008,0.129578,-0.509521,-0.65979,0.536987
1569407074979950,0.128967,-0.509094,-0.660217,0.536987
1569407074996906,0.128418,-0.508484,-0.660583,0.537231
1569407075019887,0.127625,-0.507385,-0.661194,0.537659
1569407075039790,0.126648,-0.506409,-0.662048,0.537781
1569407075056750,0.125793,-0.505859,-0.662781,0.537598
1569407075078687,0.125366,-0.505493,-0.663452,0.537231
1569407075099671,0.125305,-0.505493,-0.663879,0.536743
1569407075125593,0.125732,-0.505859,-0.66394,0.536255
1569407075139560,0.126099,-0.506592,-0.663452,0.536011
1569407075160469,0.12677,-0.507751,-0.662476,0.536011
1569407075176427,0.12738,-0.509216,-0.661011,0.536255
1569407075199383,0.127808,-0.510498,-0.659485,0.536743
1569407075220329,0.12793,-0.511414,-0.658386,0.537292
1569407075236266,0.127808,-0.512085,-0.657593,0.537659
1569407075261241,0.127563,-0.512573,-0.656738,0.538269
1569407075280190,0.127563,-0.512939,-0.656067,0.538757
1569407075296107,0.127686,-0.513306,-0.655518,0.539001
1569407075319045,0.127991,-0.513245,-0.655334,0.539185
1569407075341007,0.127991,-0.513123,-0.655457,0.539246
1569407075355945,0.127808,-0.512573,-0.656006,0.539063
1569407075378885,0.127747,-0.512146,-0.656677,0.538696
1569407075399831,0.128052,-0.512146,-0.656921,0.53833
1569407075417781,0.12854,-0.51239,-0.656799,0.538086
1569407075438724,0.128967,-0.512939,-0.656677,0.537659
1569407075459669,0.12915,-0.513123,-0.656616,0.537476
1569407075476626,0.129211,-0.513123,-0.656616,0.537476
1569407075498565,0.129028,-0.513062,-0.656494,0.53772
1569407075520514,0.128906,-0.513062,-0.656372,0.537903
1569407075536463,0.128723,-0.512878,-0.656372,0.538147
1569407075559403,0.128479,-0.51239,-0.656616,0.538391
1569407075580349,0.128174,-0.511841,-0.656738,0.538818
1569407075596303,0.127747,-0.511414,-0.656799,0.539246
1569407075619246,0.127563,-0.510986,-0.65686,0.539612
1569407075640185,0.127563,-0.510925,-0.65686,0.539673
1569407075656144,0.127563,-0.510864,-0.656799,0.539795
1569407075679082,0.127502,-0.510864,-0.656616,0.539978
1569407075700025,0.127502,-0.510986,-0.656494,0.540039
1569407075715984,0.127441,-0.511108,-0.656433,0.5401
1569407075738922,0.127441,-0.511108,-0.656372,0.540161
1569407075759867,0.127625,-0.511292,-0.65625,0.540039
1569407075775827,0.127747,-0.511658,-0.655945,0.540039
1569407075797768,0.127869,-0.512146,-0.655579,0.539978
1569407075820703,0.127991,-0.512878,-0.655029,0.539917
1569407075835665,0.128113,-0.513794,-0.654358,0.539917
1569407075858604,0.128113,-0.514587,-0.653625,0.539978
1569407075880576,0.128479,-0.51532,-0.653198,0.539734
1569407075895504,0.128601,-0.515991,-0.652771,0.539551
1569407075918442,0.128662,-0.516418,-0.652527,0.539429
1569407075940384,0.12854,-0.516724,-0.652283,0.539429
1569407075957373,0.128296,-0.516907,-0.6521,0.539612
1569407075978285,0.128235,-0.516907,-0.651917,0.539795
1569407076001221,0.128174,-0.516663,-0.652039,0.539917
1569407076015193,0.128113,-0.516479,-0.6521,0.540039
1569407076038123,0.127991,-0.516174,-0.6521,0.540344
1569407076061063,0.12793,-0.515869,-0.652039,0.54071
1569407076076023,0.12793,-0.515686,-0.652039,0.540894
1569407076097962,0.12793,-0.515381,-0.6521,0.541077
1569407076120928,0.128174,-0.515076,-0.652161,0.54126
1569407076136860,0.128601,-0.514893,-0.652161,0.541321
1569407076157803,0.128784,-0.514954,-0.651978,0.541504
1569407076180743,0.128723,-0.515015,-0.651733,0.541687
1569407076196699,0.128662,-0.514832,-0.651672,0.541992
1569407076218653,0.128906,-0.514648,-0.651672,0.542053
1569407076240620,0.129028,-0.514526,-0.651672,0.542175
1569407076257535,0.129028,-0.514526,-0.651672,0.542175
1569407076278519,0.129028,-0.514526,-0.651672,0.542175
1569407076300421,0.129028,-0.514526,-0.651672,0.542175
1569407076317376,0.129089,-0.514221,-0.651855,0.542236
1569407076338319,0.12915,-0.514221,-0.651855,0.542236
1569407076360298,0.12915,-0.514221,-0.651855,0.542236
1569407076377259,0.12915,-0.514221,-0.651855,0.542236
1569407076398200,0.128967,-0.51416,-0.651978,0.542236
