timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1569406552481999,-1,1,-1,1,-2,-2,2,3
1569406552481999,3,2,3,1,0,4,3,-3
1569406552482995,3,2,0,-1,0,-3,-11,3
1569406552482995,1,-2,-3,-3,-1,-1,0,2
1569406552483993,0,1,1,0,-1,-2,0,4
1569406552483993,-1,0,-1,1,-1,-2,-4,1
1569406552483993,-5,-2,0,-1,0,2,3,-8
1569406552483993,3,3,0,1,0,-3,-2,-4
1569406552494965,3,-1,-2,-2,2,7,3,20
1569406552494965,-1,-2,-4,-3,-2,0,1,3
1569406552504939,-4,-1,0,-1,-2,-1,-1,-23
1569406552504939,5,1,0,0,2,0,-7,5
1569406552510206,0,-2,-1,-1,-3,-2,0,6
1569406552510206,-2,-2,0,0,0,-1,0,-6
1569406552527000,-2,-1,-2,-2,2,1,-1,-6
1569406552527000,-5,-4,-2,-3,-3,1,10,10
1569406552533252,0,0,0,0,0,-1,-2,-1
1569406552533252,3,1,-1,-3,-2,-1,4,-7
1569406552548231,2,1,2,3,-1,-2,-15,9
1569406552548231,-4,-2,-1,1,-1,-3,-2,-2
1569406552559205,0,-2,-1,-1,-2,-2,0,6
1569406552559205,0,0,-2,-2,0,-1,3,-4
1569406552572453,-1,0,0,-2,-2,-4,5,-7
1569406552572453,-2,0,0,-1,1,10,2,-3
1569406552612107,3,-2,-2,1,-1,-1,-1,-5
1569406552612107,-3,0,0,-1,-1,-1,-2,2
1569406552612107,1,0,-2,-1,1,-1,1,5
1569406552612107,-1,2,0,-1,0,0,1,2
1569406552615102,0,1,0,-2,-1,0,0,3
1569406552615102,0,0,0,-1,2,1,4,0
1569406552616053,-2,-2,-1,0,-1,0,1,11
1569406552616053,1,-1,0,-1,0,2,1,4
1569406552623080,-1,2,-1,-2,1,-3,3,-11
1569406552623080,4,2,-1,-1,-1,-5,-6,6
1569406552630062,-5,0,1,1,-2,1,0,-4
1569406552630062,-2,-2,0,0,1,-3,-7,1
1569406552638037,4,0,-2,-2,-1,0,-6,3
1569406552638037,-2,-2,0,0,0,1,-1,-4
1569406552651957,1,-2,0,-1,-2,1,11,-3
1569406552651957,-1,-1,-1,-2,-2,0,1,0
1569406552660111,0,-3,-2,0,0,-2,-5,-3
1569406552660111,3,1,-1,0,-4,-10,-3,1
1569406552684165,-6,-3,-1,-3,1,5,-3,2
1569406552684165,1,0,-2,-2,-3,-1,3,-2
1569406552685120,-3,1,0,-1,1,1,0,-12
1569406552685120,-1,-2,0,-1,-3,-4,1,-3
1569406552698128,2,0,0,0,1,-1,-9,4
1569406552698128,-2,0,0,0,-2,-2,-2,-12
1569406552698832,1,1,0,0,-2,-2,1,-9
1569406552698832,-1,0,-1,0,0,2,-1,0
