timestamp,x,y,z
1569406552307464,0.8125,-0.1875,0.375
1569406552322442,0.25,-0.125,0.1875
1569406552345367,0,0.0625,0.125
1569406552370303,-0.375,0.125,0
1569406552384270,-0.4375,0.0625,0.0625
1569406552405223,0.1875,0.0625,0.0625
1569406552429150,0.0625,-0.125,0.25
1569406552475208,0.1875,-0.0625,0.25
1569406552477263,-0.375,0.1875,0.0625
1569406552489225,-0.4375,0.1875,0
1569406552507197,-0.1875,-0.0625,0.1875
1569406552528906,-0.1875,-0.125,0.25
1569406552557494,-0.4375,0.125,-0.0625
1569406552600378,-0.3125,0.1875,0
1569406552610105,0,0,0.1875
1569406552611066,-0.3125,-0.25,0.125
1569406552624072,-0.3125,0.125,0
1569406552645270,-0.3125,0.375,-0.0625
1569406552668064,-0.6875,0.4375,0.0625
1569406552685914,-0.875,0.125,0.25
1569406552705110,-0.375,-0.25,0.25
1569406552728048,-0.0625,-0.125,-0.4375
1569406552746000,0.125,0.375,-0.6875
1569406552764951,0,0.4375,0.3125
1569406552787891,-0.0625,-0.5625,1.125
1569406552805547,-0.5625,-0.3125,1.125
1569406552825545,-0.4375,0.375,0.75
1569406552847481,-0.8125,0.4375,0.3125
1569406552865433,-0.625,0.375,0.5625
1569406552885378,-0.3125,0.3125,0.5
1569406552907276,-0.5,-0.0625,0.3125
1569406552927262,-0.1875,-0.0625,0.5
1569406552945202,-0.125,-0.0625,0.5
1569406552967113,-0.375,0.375,0.0625
1569406552985068,-1,0.25,0.0625
1569406553005013,-0.4375,-0.125,0.0625
1569406553026994,-0.125,0.0625,0.125
1569406553044945,0,0.125,-0.0625
1569406553066847,0.1875,0.0625,0.1875
1569406553087791,0.0625,-0.1875,0.6875
1569406553105744,-0.375,-0.125,0.375
1569406553127689,-0.375,0.0625,0.3125
1569406553147633,-0.0625,0.1875,0.1875
1569406553165593,0,0.0625,0.375
1569406553186530,0.375,-0.0625,0.4375
1569406553207471,0.3125,0,0.75
1569406553225424,-0.125,-0.0625,0.5
1569406553247399,-0.5,-0.1875,0.1875
1569406553267312,-0.125,-0.0625,0
1569406553287260,0.125,-0.0625,0.125
1569406553306207,0.5625,-0.125,0.375
1569406553328191,-0.0625,-0.0625,0.1875
1569406553345105,0.25,-0.0625,0.25
1569406553366048,0.375,-0.125,0.375
1569406553386993,0.375,-0.25,0.5625
1569406553405984,0.1875,-0.0625,0.5
1569406553425924,-0.1875,0.0625,0.4375
1569406553447861,-0.0625,0,0.375
1569406553464798,0.1875,-0.125,0.375
1569406553487723,0.375,0.125,0.1875
1569406553507670,0.375,0.25,0.4375
1569406553525623,-0.6875,0.1875,0.3125
1569406553547564,-0.8125,-0.0625,0.0625
1569406553567511,-0.1875,-0.1875,-0.125
1569406553590447,0.375,-0.0625,-0.4375
1569406553607402,0.4375,0.375,0
1569406553635329,-0.125,-0.0625,0.25
1569406553650288,-0.5,-0.25,0.4375
1569406553667248,-0.5625,0,0.25
1569406553689184,0.4375,0.0625,-0.125
1569406553710168,0.5,0,-0.1875
1569406553727084,0.3125,0.0625,-0.3125
1569406553749039,-0.4375,0.125,-0.1875
1569406553770985,-0.75,0,-0.375
1569406553786925,-0.5625,0,-0.1875
1569406553809861,-0.25,0.25,-0.0625
1569406553830806,-0.1875,0.0625,0.0625
1569406553846763,0,-0.1875,-0.25
1569406553869703,-0.1875,-0.125,-0.6875
1569406553890646,0.375,0,-0.5625
1569406553906603,0.5625,-0.1875,-0.125
1569406553929546,0.1875,-0.25,-0.25
1569406553950522,-0.625,-0.125,-0.5
1569406553967442,-0.125,-0.0625,-0.125
1569406553989381,0,-0.125,0
1569406554012365,0,-0.125,-0.1875
1569406554027281,0.0625,0.0625,-0.1875
1569406554049223,-0.0625,0,-0.125
1569406554072161,0.125,-0.0625,-0.125
1569406554087121,0.0625,-0.0625,0
1569406554109063,-0.125,-0.0625,-0.1875
1569406554132002,-0.3125,0,-0.1875
1569406554145963,-0.25,0.0625,-0.25
1569406554169904,-0.25,0.1875,-0.3125
1569406554191840,-0.3125,0.1875,-0.25
1569406554205804,-0.25,0.0625,-0.1875
1569406554235723,0.0625,-0.125,0.0625
1569406554251682,0.5625,-0.25,0.1875
1569406554266641,0.0625,-0.0625,0
1569406554289580,0.125,0.3125,-0.1875
1569406554311546,-0.75,0.25,-0.125
1569406554326481,-0.5625,-0.0625,-0.3125
1569406554349422,0.0625,-0.375,-0.4375
1569406554372398,0.625,-0.3125,-0.8125
1569406554386323,0.6875,0,-0.75
1569406554409261,0.5625,-0.25,0.0625
1569406554432199,0.1875,-0.4375,0.6875
1569406554446162,-0.625,0,0.25
1569406554469099,-0.5,0.1875,-0.125
1569406554492038,-0.0625,0.125,0
1569406554513980,0,0.0625,-0.25
1569406554529942,0.125,-0.0625,-0.125
1569406554551879,0.3125,-0.25,-0.1875
1569406554572863,0.375,-0.1875,-0.0625
1569406554589778,0.1875,-0.125,0
1569406554611718,0.1875,0.0625,0.1875
1569406554632702,-0.4375,-0.125,0.0625
1569406554649617,-0.25,-0.1875,-0.125
1569406554671598,-0.5625,0.1875,-0.625
1569406554692503,0.125,0.125,-0.5625
1569406554709457,0.1875,-0.25,-0.25
1569406554732396,0.1875,-0.3125,-0.0625
1569406554753341,-0.0625,0,-0.1875
1569406554769299,-0.125,-0.0625,0
1569406554792237,-0.25,0.25,0.0625
1569406554813180,-0.25,0.1875,0.0625
1569406554829137,0,-0.0625,0.4375
1569406554852075,-0.125,-0.1875,0.5
1569406554873050,-0.1875,-0.125,0.5
1569406554889983,0.0625,-0.125,0.3125
1569406554911918,0.25,-0.125,0.125
1569406554934901,0.0625,-0.1875,0.1875
1569406554949851,-0.0625,0,0.0625
1569406554971756,-0.4375,0.125,-0.1875
1569406554994695,-0.25,0,0.0625
1569406555009662,0.1875,0,0.3125
1569406555031595,0.0625,-0.125,0.0625
1569406555054535,0.125,-0.1875,0.0625
1569406555069497,0.1875,-0.3125,0.0625
1569406555091436,-0.1875,0.0625,-0.1875
1569406555114374,-0.25,0.1875,0
1569406555128370,-1,0.0625,0.0625
1569406555152273,-0.8125,-0.1875,-0.125
1569406555174215,-0.4375,-0.25,-0.4375
1569406555189216,0.1875,0.0625,-0.8125
1569406555212114,0.625,-0.0625,-0.4375
1569406555234084,0.5625,-0.3125,0.25
1569406555249015,-0.25,-0.25,0.5
1569406555271953,-0.8125,0.25,0
1569406555294892,-0.6875,0.4375,0.0625
1569406555308856,0.0625,0.1875,0.375
1569406555331793,0.0625,-0.125,0.4375
1569406555354768,-0.0625,-0.0625,0.125
1569406555368695,0,-0.125,-0.0625
1569406555391647,0.4375,-0.1875,0.0625
1569406555414574,0.625,-0.1875,0.25
1569406555435519,0,0.0625,0.0625
1569406555451474,-0.6875,0,0
1569406555474411,-0.5,-0.125,-0.3125
1569406555495358,-0.25,0.1875,-0.5
1569406555512345,0,0.0625,-0.375
1569406555534254,0.1875,-0.1875,0
1569406555555235,-0.25,-0.0625,0.0625
1569406555579135,-0.4375,0.0625,0
1569406555594093,-0.0625,-0.0625,0.1875
1569406555623045,-0.1875,-0.0625,0.0625
1569406555631992,-0.25,0,-0.125
1569406555654930,-0.25,0.0625,-0.375
1569406555675874,-0.1875,0.0625,-0.25
1569406555691831,0.0625,-0.0625,0.3125
1569406555714814,0.0625,-0.375,0.5
1569406555735747,-0.375,-0.125,0.1875
1569406555751872,-1,0.25,-0.375
1569406555782594,-0.25,0.1875,0.125
1569406555795844,0.375,-0.125,0.5625
1569406555811519,0.75,-0.3125,0.75
1569406555834450,0.3125,0,0.375
1569406555855423,-0.125,0.0625,0.3125
1569406555872648,-0.0625,-0.25,0.6875
1569406555894290,0.25,-0.25,0.625
1569406555917453,0.8125,-0.1875,0.125
1569406555932189,-0.1875,-0.0625,-0.0625
1569406555955141,0.25,-0.1875,-0.0625
1569406555977070,-0.125,-0.1875,-0.0625
1569406555992029,0.3125,0.125,-0.25
1569406556015107,0.25,-0.0625,0.4375
1569406556036909,-0.25,-0.3125,0.75
1569406556051905,0.1875,-0.3125,0.4375
1569406556075099,-0.125,0.125,-0.5625
