timestamp,x,y,z
1569406595140240,0.349121,0.726074,0.414063
1569406595155494,0.354004,0.715332,0.421387
1569406595186415,0.361328,0.707031,0.416504
1569406595200316,0.356934,0.696777,0.410645
1569406595215041,0.350586,0.679688,0.416504
1569406595238977,0.347656,0.666504,0.421875
1569406595292831,0.355957,0.663574,0.422363
1569406595293835,0.355469,0.666992,0.424805
1569406595294838,0.347656,0.669434,0.420898
1569406595306795,0.349121,0.678711,0.416016
1569406595331776,0.355957,0.691895,0.402832
1569406595350975,0.362305,0.699219,0.40625
1569406595368864,0.359863,0.710938,0.394531
1569406595402835,0.359375,0.714355,0.38623
1569406595412807,0.353516,0.716797,0.385742
1569406595426475,0.362793,0.711426,0.393066
1569406595447713,0.367676,0.708008,0.390137
1569406595470650,0.364746,0.699707,0.401367
1569406595488518,0.365234,0.702148,0.401367
1569406595507304,0.358398,0.701172,0.40918
1569406595530242,0.352539,0.697754,0.420898
1569406595548151,0.35498,0.691406,0.416992
1569406595568096,0.353027,0.683594,0.415039
1569406595590039,0.360352,0.681641,0.413086
1569406595607992,0.357422,0.687988,0.419922
1569406595628968,0.351563,0.691895,0.416992
1569406595649878,0.356445,0.691895,0.409668
1569406595667830,0.353027,0.688477,0.415039
1569406595687816,0.349121,0.689453,0.414551
1569406595709719,0.358398,0.686523,0.424805
1569406595728690,0.361328,0.686523,0.415527
1569406595749658,0.362305,0.694824,0.415039
1569406595770568,0.35791,0.695313,0.415039
1569406595788508,0.359375,0.6875,0.416992
1569406595809452,0.365234,0.682617,0.418457
1569406595831392,0.362305,0.681641,0.414551
1569406595848348,0.353516,0.693359,0.416992
1569406595869333,0.354004,0.693359,0.41748
1569406595890237,0.356934,0.69043,0.40918
1569406595908187,0.355469,0.696777,0.414551
1569406595929132,0.357422,0.696777,0.402344
1569406595950112,0.362305,0.699219,0.408203
1569406595968056,0.351074,0.694824,0.410645
1569406595988974,0.355469,0.691895,0.407227
1569406596009915,0.362793,0.69043,0.408203
1569406596027867,0.360352,0.689941,0.418945
1569406596048812,0.361328,0.684082,0.424316
1569406596069756,0.353516,0.688965,0.40918
1569406596087707,0.36377,0.700195,0.40918
1569406596108655,0.36377,0.694336,0.40918
1569406596137579,0.359863,0.686523,0.407715
1569406596147548,0.35791,0.695313,0.409668
1569406596169528,0.360352,0.702148,0.413574
1569406596190460,0.358887,0.699707,0.404785
1569406596208424,0.354004,0.697266,0.409668
1569406596230327,0.349121,0.694336,0.408203
1569406596250272,0.357422,0.687988,0.407715
1569406596268260,0.362793,0.685547,0.40625
1569406596290166,0.363281,0.687012,0.412598
1569406596310164,0.35498,0.684082,0.40918
1569406596328065,0.355469,0.686523,0.42041
1569406596350010,0.352539,0.684082,0.419434
1569406596369954,0.363281,0.685059,0.424316
1569406596392892,0.354004,0.687012,0.423828
1569406596416828,0.34668,0.69043,0.416504
1569406596431787,0.353027,0.687988,0.413086
1569406596452732,0.358887,0.69043,0.410156
1569406596469686,0.359863,0.688965,0.42627
1569406596492626,0.356445,0.688965,0.415527
1569406596513607,0.352051,0.691895,0.416992
1569406596529527,0.356445,0.685059,0.414551
1569406596552466,0.361328,0.69043,0.41748
1569406596573409,0.356934,0.6875,0.423828
1569406596589365,0.352539,0.687012,0.426758
1569406596612306,0.352051,0.686035,0.428223
1569406596633289,0.359863,0.6875,0.416992
1569406596650204,0.35791,0.687012,0.417969
1569406596672145,0.350586,0.686523,0.418457
1569406596693092,0.354492,0.6875,0.416992
1569406596710082,0.357422,0.689941,0.419922
1569406596731985,0.352539,0.688477,0.422363
1569406596754963,0.353516,0.689941,0.425293
1569406596769885,0.348633,0.685547,0.418457
1569406596791824,0.354004,0.688477,0.422852
1569406596814763,0.362305,0.685059,0.424805
1569406596829723,0.356934,0.688965,0.413086
1569406596851665,0.352051,0.687988,0.414063
1569406596874605,0.348145,0.688477,0.421875
1569406596888566,0.355469,0.6875,0.429688
1569406596912542,0.36084,0.691406,0.42627
1569406596934445,0.352539,0.690918,0.415527
1569406596949444,0.346191,0.687988,0.421875
1569406596972343,0.352051,0.686035,0.422363
1569406596994285,0.353516,0.6875,0.428223
1569406597009244,0.353516,0.678223,0.421875
1569406597032184,0.353516,0.681152,0.419434
1569406597055122,0.352539,0.686035,0.424316
1569406597069085,0.356934,0.686523,0.425781
1569406597092022,0.349609,0.686035,0.421875
1569406597114962,0.351074,0.687012,0.42627
1569406597128925,0.354492,0.6875,0.419434
1569406597157847,0.350586,0.69043,0.423828
1569406597174802,0.352539,0.689453,0.423828
1569406597188764,0.35498,0.687012,0.433594
1569406597212747,0.350098,0.682129,0.419922
1569406597234644,0.352051,0.68457,0.429688
1569406597255586,0.352051,0.685059,0.42627
1569406597272542,0.347656,0.687988,0.422852
1569406597294482,0.352051,0.69043,0.430664
1569406597315426,0.349609,0.684082,0.427246
1569406597332380,0.351074,0.687012,0.428711
1569406597354360,0.352539,0.6875,0.427734
1569406597375267,0.351074,0.68457,0.431152
1569406597392221,0.351074,0.681152,0.424316
1569406597414161,0.348633,0.681641,0.425781
1569406597436132,0.348633,0.681641,0.421387
1569406597452060,0.353516,0.683594,0.426758
1569406597475000,0.350098,0.685059,0.419922
1569406597495943,0.349609,0.685547,0.42334
1569406597511901,0.355469,0.683105,0.423828
1569406597534839,0.353027,0.683105,0.422363
1569406597555784,0.353516,0.689941,0.421875
1569406597571777,0.350098,0.687012,0.432617
1569406597594680,0.348633,0.6875,0.425781
1569406597615625,0.355957,0.683105,0.427246
1569406597632595,0.348145,0.685059,0.436035
1569406597654520,0.350586,0.689453,0.430176
1569406597684440,0.352051,0.686523,0.428711
1569406597692420,0.339844,0.680176,0.431152
1569406597715409,0.347168,0.681152,0.427734
1569406597737308,0.353516,0.689941,0.42334
1569406597758242,0.354492,0.690918,0.415039
