timestamp,x,y,z,w
1569406089478787,-0.313477,-0.416992,-0.83429,-0.178589
1569406089493746,-0.313416,-0.416992,-0.83429,-0.17865
1569406089517687,-0.313416,-0.416992,-0.83429,-0.17865
1569406089538655,-0.313416,-0.416992,-0.83429,-0.17865
1569406089553588,-0.313416,-0.416992,-0.834351,-0.17865
1569406089578590,-0.313416,-0.416992,-0.834351,-0.178589
1569406089599493,-0.313416,-0.416992,-0.834351,-0.178589
1569406089638841,-0.313477,-0.41687,-0.834351,-0.178711
1569406089640541,-0.313354,-0.416565,-0.834534,-0.178833
1569406089660302,-0.31311,-0.416138,-0.834778,-0.179077
1569406089675278,-0.312927,-0.415771,-0.834961,-0.17926
1569406089700239,-0.312561,-0.415161,-0.835388,-0.179443
1569406089720551,-0.312012,-0.41449,-0.835815,-0.17981
1569406089756088,-0.311401,-0.413452,-0.836487,-0.180298
1569406089766018,-0.31073,-0.412354,-0.837158,-0.180786
1569406089779026,-0.31012,-0.411255,-0.83783,-0.181213
1569406089794941,-0.30957,-0.4104,-0.838379,-0.181519
1569406089816886,-0.309143,-0.409424,-0.838989,-0.181763
1569406089839822,-0.308777,-0.408569,-0.839539,-0.181702
1569406089854781,-0.308594,-0.408203,-0.839783,-0.18158
1569406089876728,-0.308533,-0.408325,-0.839844,-0.181091
1569406089899661,-0.308411,-0.408447,-0.839966,-0.180603
1569406089914621,-0.308411,-0.408691,-0.839966,-0.180115
1569406089937611,-0.308716,-0.408813,-0.839844,-0.179871
1569406089959543,-0.308777,-0.408997,-0.839722,-0.179993
1569406089974496,-0.308777,-0.408813,-0.839722,-0.180237
1569406089997401,-0.308655,-0.408691,-0.839783,-0.180603
1569406090021380,-0.30835,-0.408386,-0.839905,-0.181091
1569406090034304,-0.308105,-0.408081,-0.840088,-0.181396
1569406090057244,-0.308289,-0.407959,-0.840088,-0.181458
1569406090087162,-0.308289,-0.408325,-0.839844,-0.181641
1569406090094143,-0.308411,-0.409058,-0.839478,-0.181519
1569406090117082,-0.308655,-0.40979,-0.83905,-0.181335
1569406090139022,-0.309204,-0.410278,-0.838745,-0.180908
1569406090153982,-0.309631,-0.410339,-0.838562,-0.180603
1569406090176921,-0.309937,-0.410217,-0.838562,-0.180542
1569406090199859,-0.309937,-0.410217,-0.838562,-0.180542
1569406090214820,-0.309937,-0.410156,-0.838562,-0.180542
1569406090236762,-0.309937,-0.410156,-0.838623,-0.180542
1569406090259700,-0.309937,-0.410156,-0.838623,-0.180542
1569406090273666,-0.309937,-0.410156,-0.838562,-0.180481
1569406090296611,-0.309875,-0.409973,-0.838684,-0.180664
1569406090319582,-0.309753,-0.409607,-0.838867,-0.180908
1569406090333543,-0.309448,-0.409058,-0.839172,-0.181213
1569406090364419,-0.309265,-0.40863,-0.839417,-0.181396
1569406090380377,-0.309082,-0.408203,-0.8396,-0.181641
1569406090393342,-0.308899,-0.407776,-0.839844,-0.181885
1569406090417325,-0.308594,-0.407227,-0.840149,-0.182129
1569406090439247,-0.30835,-0.406677,-0.840454,-0.182434
1569406090454218,-0.308167,-0.406067,-0.840759,-0.182617
1569406090477155,-0.307922,-0.40564,-0.841003,-0.1828
1569406090499060,-0.3078,-0.405151,-0.841309,-0.182861
1569406090514021,-0.307678,-0.404785,-0.841492,-0.182983
1569406090536959,-0.307495,-0.404236,-0.841736,-0.183228
1569406090559900,-0.307251,-0.403687,-0.842041,-0.183533
1569406090573904,-0.306885,-0.402954,-0.842468,-0.183838
1569406090596798,-0.306458,-0.402222,-0.842896,-0.184204
1569406090619737,-0.305969,-0.40155,-0.843323,-0.184509
1569406090641723,-0.305542,-0.400818,-0.84375,-0.184875
1569406090656639,-0.304932,-0.400085,-0.844238,-0.185242
1569406090679619,-0.304382,-0.399292,-0.844727,-0.185608
1569406090693540,-0.303711,-0.398438,-0.845276,-0.186035
1569406090716479,-0.302856,-0.397522,-0.845947,-0.186401
1569406090739460,-0.301819,-0.396362,-0.846741,-0.187073
1569406090755374,-0.300598,-0.394775,-0.847717,-0.187805
1569406090778312,-0.299072,-0.392883,-0.848938,-0.188843
1569406090799257,-0.297302,-0.390503,-0.850342,-0.189941
1569406090816233,-0.294861,-0.387878,-0.852051,-0.191467
1569406090838154,-0.292175,-0.384705,-0.854065,-0.193176
1569406090859097,-0.289246,-0.381348,-0.856079,-0.19519
1569406090875054,-0.286865,-0.378174,-0.85791,-0.197021
1569406090897994,-0.285217,-0.375488,-0.859375,-0.198059
1569406090919947,-0.283569,-0.373291,-0.860657,-0.198975
1569406090941905,-0.282166,-0.371765,-0.861572,-0.199829
1569406090958869,-0.281372,-0.370789,-0.862183,-0.200256
1569406090979781,-0.281311,-0.370728,-0.862244,-0.200256
1569406090994734,-0.281616,-0.371094,-0.862061,-0.19989
1569406091018672,-0.282043,-0.371765,-0.861694,-0.199524
1569406091039615,-0.282288,-0.372498,-0.861389,-0.19928
1569406091055573,-0.282593,-0.373352,-0.860962,-0.198914
1569406091078511,-0.283081,-0.374084,-0.860596,-0.198425
1569406091099455,-0.283386,-0.374756,-0.860291,-0.198059
1569406091115412,-0.283569,-0.375244,-0.860107,-0.197815
1569406091138351,-0.283691,-0.375488,-0.859985,-0.197632
1569406091159335,-0.283997,-0.375732,-0.859863,-0.197327
1569406091175252,-0.284302,-0.376038,-0.85968,-0.197021
1569406091199188,-0.284607,-0.376404,-0.859497,-0.196838
1569406091219172,-0.284851,-0.37677,-0.859253,-0.196655
1569406091235093,-0.285095,-0.377197,-0.859009,-0.196472
1569406091258030,-0.285339,-0.377686,-0.858765,-0.19635
1569406091278975,-0.285522,-0.378113,-0.858521,-0.196228
1569406091294935,-0.285767,-0.378479,-0.858337,-0.195984
1569406091317872,-0.285767,-0.378479,-0.858337,-0.195984
1569406091339812,-0.285767,-0.378479,-0.858337,-0.196045
1569406091354775,-0.285767,-0.378479,-0.858337,-0.196045
1569406091377713,-0.285767,-0.378418,-0.858398,-0.196045
1569406091399654,-0.285645,-0.378235,-0.858459,-0.196106
1569406091415610,-0.285522,-0.377991,-0.858582,-0.196228
1569406091437551,-0.285522,-0.37793,-0.858643,-0.196228
1569406091459492,-0.285522,-0.377686,-0.858765,-0.196167
1569406091475451,-0.285339,-0.377319,-0.858948,-0.196167
1569406091497390,-0.285339,-0.377258,-0.859009,-0.196167
1569406091521327,-0.285278,-0.377258,-0.859009,-0.196167
1569406091535289,-0.285278,-0.377258,-0.859009,-0.196167
1569406091558315,-0.285278,-0.377197,-0.859009,-0.196167
1569406091581168,-0.285278,-0.377197,-0.85907,-0.196167
1569406091595131,-0.285278,-0.377197,-0.85907,-0.196167
1569406091618075,-0.2854,-0.37738,-0.858948,-0.195984
1569406091641008,-0.285767,-0.37793,-0.858704,-0.195679
1569406091654972,-0.286194,-0.378723,-0.858276,-0.195313
1569406091677962,-0.286621,-0.3797,-0.857788,-0.194946
1569406091700847,-0.28717,-0.38092,-0.857178,-0.194519
1569406091714811,-0.287781,-0.382141,-0.856506,-0.194031
1569406091737748,-0.288391,-0.383179,-0.855896,-0.193665
1569406091760688,-0.288757,-0.383911,-0.85553,-0.193481
1569406091775649,-0.28894,-0.384277,-0.855286,-0.19342
1569406091797589,-0.289063,-0.384399,-0.855225,-0.193359
1569406091828506,-0.289185,-0.384583,-0.855103,-0.193237
1569406091835524,-0.289185,-0.384583,-0.855103,-0.193237
1569406091857429,-0.289307,-0.384644,-0.855103,-0.193115
1569406091880369,-0.28949,-0.384766,-0.85498,-0.192932
1569406091895328,-0.289734,-0.384888,-0.854919,-0.192749
1569406091917269,-0.289978,-0.385071,-0.854797,-0.192566
1569406091941204,-0.290161,-0.385315,-0.854614,-0.192444
1569406091956165,-0.290283,-0.38562,-0.854431,-0.192383
1569406091978145,-0.290466,-0.386108,-0.854248,-0.1922
1569406092001077,-0.290771,-0.386597,-0.854004,-0.191895
1569406092022026,-0.291077,-0.387085,-0.853699,-0.191589
1569406092037947,-0.291504,-0.387695,-0.853394,-0.191284
1569406092060885,-0.291992,-0.388367,-0.852966,-0.190979
1569406092081829,-0.292419,-0.389038,-0.852539,-0.190857
1569406092097789,-0.292786,-0.389587,-0.852173,-0.190674
1569406092120724,-0.293274,-0.390076,-0.851868,-0.190369
1569406092141706,-0.293762,-0.390625,-0.851501,-0.190002
1569406092157628,-0.29425,-0.391296,-0.851135,-0.189758
1569406092180564,-0.29425,-0.391357,-0.851074,-0.189758
1569406092203504,-0.293884,-0.390198,-0.851624,-0.190369
1569406092217467,-0.293091,-0.388,-0.852722,-0.19104
1569406092241402,-0.292175,-0.385681,-0.853943,-0.191711
1569406092262387,-0.291016,-0.383362,-0.855164,-0.192871
1569406092277307,-0.289307,-0.380737,-0.856567,-0.194214
1569406092308224,-0.288025,-0.378357,-0.857849,-0.195129
1569406092322187,-0.28772,-0.377014,-0.858582,-0.195068
1569406092338144,-0.287903,-0.377136,-0.858582,-0.194519
1569406092360086,-0.288269,-0.378235,-0.858093,-0.193848
1569406092382025,-0.288879,-0.379822,-0.857422,-0.192993
1569406092398027,-0.289978,-0.381714,-0.856445,-0.191895
1569406092419924,-0.291382,-0.383728,-0.855286,-0.190796
1569406092443880,-0.292175,-0.385498,-0.854309,-0.190491
1569406092457857,-0.292542,-0.386658,-0.853638,-0.190552
1569406092479766,-0.292603,-0.387268,-0.853271,-0.190979
1569406092503741,-0.29248,-0.387451,-0.853088,-0.191528
1569406092517664,-0.292114,-0.38739,-0.853088,-0.192078
1569406092540647,-0.291931,-0.387085,-0.853271,-0.1922
1569406092563542,-0.291931,-0.386963,-0.853394,-0.191895
1569406092584546,-0.292236,-0.387207,-0.853333,-0.191345
1569406092600446,-0.292725,-0.387634,-0.853088,-0.190674
1569406092623503,-0.293152,-0.388123,-0.852905,-0.190063
1569406092637682,-0.293701,-0.388611,-0.8526,-0.189514
1569406092660286,-0.294067,-0.389099,-0.852295,-0.189087
1569406092684271,-0.294312,-0.389465,-0.852112,-0.188843
1569406092698183,-0.294556,-0.389832,-0.851868,-0.188721
1569406092720288,-0.294617,-0.390259,-0.851624,-0.188904
1569406092743444,-0.294495,-0.390564,-0.851501,-0.189331
1569406092758022,-0.29425,-0.390564,-0.85144,-0.18988
1569406092779962,-0.293945,-0.390381,-0.851501,-0.190308
1569406092803900,-0.293762,-0.390015,-0.851685,-0.190613
1569406092817864,-0.293518,-0.389587,-0.851929,-0.190796
1569406092840255,-0.293335,-0.389038,-0.852234,-0.190735
1569406092863772,-0.293213,-0.388489,-0.852539,-0.190552
1569406092877831,-0.293152,-0.388,-0.852844,-0.190369
1569406092900642,-0.292969,-0.387573,-0.853149,-0.190308
1569406092923580,-0.292908,-0.387146,-0.853394,-0.190186
1569406092944943,-0.292908,-0.387146,-0.853394,-0.190186
1569406092960481,-0.29303,-0.387268,-0.853271,-0.190002
1569406092983423,-0.293152,-0.387634,-0.853088,-0.190002
1569406093004470,-0.293213,-0.388062,-0.852905,-0.190063
1569406093020423,-0.293274,-0.388428,-0.852661,-0.190125
1569406093043689,-0.293335,-0.388611,-0.852539,-0.190186
1569406093064920,-0.293396,-0.388855,-0.852478,-0.190063
1569406093080591,-0.293457,-0.389099,-0.852356,-0.189941
