timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1569406220883687,0,0,-1,-2,-2,-1,-2,-16
1569406220883687,-2,0,-1,1,0,-1,0,-7
1569406220885285,-1,-1,-2,-3,0,0,0,3
1569406220885285,-2,1,0,-1,-2,-2,-3,9
1569406220886258,-4,-1,0,-1,-2,0,-1,-7
1569406220886258,-9,-1,0,1,1,-1,1,-17
1569406220888469,10,0,1,0,0,-2,-2,17
1569406220888469,-1,-1,0,1,0,1,1,7
1569406220890237,-3,-1,-1,-1,-1,1,1,0
1569406220890237,-9,-2,-3,-4,-2,-1,0,-16
1569406220903202,-1,-1,1,1,-1,0,-1,-2
1569406220903202,3,0,-1,-1,-1,0,-1,12
1569406220915650,2,1,1,0,1,-2,-3,3
1569406220915650,-3,-1,2,0,0,-1,-4,-5
1569406220918160,-3,0,0,-1,-1,-1,0,-5
1569406220918160,2,-1,-1,-2,-1,-1,0,12
1569406220935119,2,0,0,0,0,1,3,-9
1569406220935119,6,2,0,1,0,0,-2,3
1569406220958527,-1,-1,-2,1,-1,0,1,5
1569406220958527,-3,-2,-1,0,-1,-1,2,2
1569406220960059,-3,-3,-2,-1,-2,0,-1,-7
1569406220960059,7,1,-2,-2,1,1,-1,1
1569406220986976,-1,-1,-1,-2,0,1,1,2
1569406220986976,20,5,2,2,0,-2,-14,4
1569406220995953,-2,-1,-1,0,-1,-2,-1,-12
1569406220995953,0,0,-2,0,1,-1,1,9
1569406220996992,-1,1,0,0,0,-2,-1,1
1569406220996992,-2,-1,0,-1,-1,-3,2,1
1569406220997972,-2,-1,0,-2,-1,-1,-4,-21
1569406220997972,3,0,-1,-1,-1,0,-1,9
1569406221008937,1,0,1,1,-1,-1,-1,2
1569406221008937,-5,-2,-3,-3,0,3,4,5
1569406221015937,1,0,0,1,-1,-2,-7,-7
1569406221015937,-4,-1,0,-2,-3,-1,3,-3
1569406221022920,-1,-1,-1,-1,-1,-1,0,8
1569406221022920,-5,-1,0,-1,-1,0,4,0
1569406221038880,-7,-2,-1,-1,-1,0,0,-15
1569406221038880,4,0,0,0,0,-1,0,3
1569406221045819,0,0,-1,-2,-2,0,2,5
1569406221045819,-7,-1,-1,1,-1,-3,-1,-16
1569406221060779,3,-3,-2,-2,0,0,7,8
1569406221060779,-6,-2,0,0,0,1,-2,-9
1569406221068759,3,0,-1,0,1,1,1,4
1569406221068759,-5,-2,-2,-1,0,0,-1,-13
1569406221083719,-3,-1,0,-1,-1,-3,-4,-9
1569406221083719,-5,0,0,0,0,-1,-3,0
1569406221084726,-2,0,-1,-1,0,-1,-1,-5
1569406221084726,-2,0,-2,-1,-2,2,5,-8
1569406221114639,-2,-4,-2,2,-1,-3,-3,8
1569406221114639,-1,-2,0,-1,-3,-1,-7,-3
1569406221115635,-4,-1,-2,-2,-1,-2,-3,0
1569406221115635,0,2,1,0,-2,-1,-1,-8
1569406221121619,4,3,0,-2,0,2,2,5
1569406221121619,-2,0,0,-1,1,0,-2,-8
1569406221128598,5,-1,-1,1,-1,1,-1,2
1569406221128598,0,-1,-1,-1,2,-2,-1,-3
