timestamp,x,y,z
1569406220700742,-0.5,0.25,-0.1875
1569406220723682,-0.4375,0.5625,0
1569406220746671,-0.5625,0.8125,0.0625
1569406220762641,-1.3125,0.8125,-0.875
1569406220783538,-1.9375,0.9375,-0.875
1569406220806778,-1.625,0.4375,-0.5
1569406220822747,-0.75,0.1875,-0.4375
1569406220875297,-0.25,0.5625,-0.6875
1569406220876397,-0.9375,0.75,-0.4375
1569406220876397,-1.1875,0.125,-0.3125
1569406220889701,-1.6875,-0.0625,-0.375
1569406220913551,-1.125,0.25,-0.5625
1569406220934118,-0.5,0.375,-0.9375
1569406220959068,-0.1875,0.375,-0.875
1569406220986024,0.4375,0.1875,-0.875
1569406220994999,-0.3125,0,-1.3125
1569406221009955,-0.4375,0,-1.4375
1569406221030898,-0.125,0.0625,-1.125
1569406221052802,0,-0.1875,-0.875
1569406221069757,0.0625,-0.0625,-1.0625
1569406221090701,0.4375,0.1875,-1.1875
1569406221115635,0.8125,-0.1875,-0.9375
1569406221130641,0.5,-0.4375,-0.875
1569406221150543,0.625,-0.3125,-0.625
1569406221173479,-0.1875,0,-0.3125
1569406221189437,-0.875,0.25,-0.125
1569406221210381,-1,0.3125,0.1875
1569406221233320,-1.25,0.1875,0.25
1569406221249276,-1,0,0
1569406221270221,-1.0625,0.3125,-0.1875
1569406221293202,-1.0625,0.4375,-0.75
1569406221311112,-1,0.3125,-0.9375
1569406221331058,-0.75,0.25,-0.625
1569406221352998,-0.5625,0.125,-0.3125
1569406221370950,-0.375,0.25,-0.125
1569406221390934,-1,0.375,0
1569406221412868,-1.25,0.4375,0.0625
1569406221430825,-1.6875,0.75,0.375
1569406221451764,-2.25,0.6875,-0.1875
1569406221472680,-2.375,0.4375,-0.5
1569406221490631,-1.75,0.3125,-0.8125
1569406221513573,-1,0.25,-0.6875
1569406221534541,-0.3125,-0.125,-0.6875
1569406221551469,0.3125,-0.625,-0.4375
1569406221570462,1.0625,-0.5625,0.125
1569406221593356,1.625,-0.4375,0.4375
1569406221611416,2,-0.8125,1.0625
1569406221630295,2.875,-1.3125,2.0625
1569406221653229,4.375,-1.5,2.75
1569406221671187,3.9375,-1.5625,2.75
1569406221691094,1.6875,-1.5625,1.8125
1569406221713038,-0.5,-1.5625,1.875
1569406221730990,-2.125,-1.4375,1.75
1569406221750937,-2.6875,-1.375,0.8125
1569406221772917,-1.75,-1.1875,0.3125
1569406221791827,-1.625,-0.875,-0.25
1569406221810812,-2.25,-0.6875,-0.5625
1569406221832716,-0.875,-0.9375,-0.25
1569406221850670,0.5,-0.0625,0.8125
1569406221871613,0.5,1.375,1.375
1569406221893553,-0.625,1.4375,0
1569406221910508,-0.75,1.1875,0.0625
1569406221932502,-0.1875,0.4375,0.0625
1569406221953395,0.8125,0.8125,-0.0625
1569406221969362,1.875,1.6875,0.1875
1569406221992289,1.25,2,0.0625
1569406222023233,2.4375,1.1875,0.4375
1569406222029191,3.4375,0.0625,0.5625
1569406222053127,2.625,-0.0625,0.1875
1569406222075069,1.25,0,0.25
1569406222090037,-0.625,0.0625,0.1875
1569406222112968,-2.1875,0.25,-0.375
1569406222134908,-2.625,0.625,-0.8125
1569406222149881,-3,1,-1
1569406222172807,-2.8125,1.1875,-1.0625
1569406222195748,-2.1875,1.1875,-0.875
1569406222209709,-1.75,1.3125,-0.75
1569406222232647,-1.6875,1.1875,-0.3125
1569406222255586,-1.75,0.8125,-0.3125
1569406222276532,-1.75,0.6875,-0.4375
1569406222292487,-2.0625,0.8125,0.0625
1569406222315425,-1.875,0.1875,0.1875
1569406222336407,-1.1875,0.125,0.1875
1569406222352329,-0.625,0.375,0.1875
1569406222375267,0.0625,0.375,0
1569406222396248,0.125,0.0625,-0.0625
1569406222413165,0.5,-0.375,-0.125
1569406222435107,0.625,-0.1875,-0.25
1569406222456086,0.5625,0.1875,-0.125
1569406222473005,0.5625,-0.0625,0.1875
1569406222494947,0.3125,-0.25,0.25
1569406222515891,0.3125,-0.25,0.125
1569406222532844,0.5625,-0.0625,-0.0625
1569406222554786,0.5,-0.125,0.1875
1569406222576752,-0.125,-0.0625,0.1875
1569406222592688,-0.0625,0.1875,0.1875
1569406222622604,0.625,0.0625,0.5625
1569406222636606,0.8125,-0.1875,0.875
1569406222652524,0.3125,-0.25,0.5625
1569406222675499,-0.125,-0.25,0.1875
1569406222697508,0.1875,-0.0625,0.125
1569406222712365,1,-0.125,0.1875
1569406222735308,0.75,-0.375,0
1569406222757271,0.3125,-0.1875,0
1569406222780190,0.6875,-0.25,0.0625
1569406222795145,0.5,-0.1875,0.0625
1569406222818083,0,0.125,-0.125
1569406222833044,0.0625,0.0625,0.0625
1569406222854984,-0.375,0.125,-0.0625
1569406222877962,0.0625,0.0625,0.0625
1569406222898867,-0.1875,0,0.125
1569406222914824,-0.5,0.0625,0.1875
1569406222937763,-0.375,0.125,0.1875
1569406222951762,-0.75,0.125,0.25
1569406222975700,-1,0.4375,0
1569406222997603,-1.1875,0.25,-0.3125
1569406223011605,-1.0625,0,-0.4375
1569406223035537,-0.25,0.375,-0.5625
1569406223057442,-0.1875,0.5625,-0.4375
1569406223072442,-0.25,0.125,0.1875
1569406223095342,-0.8125,-0.1875,0.375
1569406223117283,-1.125,0.3125,0.25
1569406223132243,-1,0.5625,-0.125
1569406223155184,-1,0.625,-0.1875
1569406223178153,-0.4375,0.4375,-0.0625
1569406223199065,0.1875,0.1875,-0.0625
1569406223215021,0.3125,-0.125,0
1569406223237996,0.25,-0.125,0.1875
1569406223258904,0.0625,0.125,0.25
1569406223274861,-0.8125,0.25,0.1875
1569406223297800,-0.4375,0.25,0.1875
1569406223318745,-0.5,0.125,0.1875
1569406223335699,-0.6875,0.25,0
1569406223357640,-0.1875,0.25,0.0625
1569406223378622,0,-0.125,0.125
1569406223395540,-0.375,0,0.125
1569406223417480,-0.75,0.0625,-0.4375
1569406223438424,-0.5625,0.3125,-0.1875
1569406223455379,-0.125,0.3125,0
1569406223477321,-0.5,0.3125,-0.3125
1569406223499261,-0.1875,0.0625,-0.125
1569406223515219,-0.0625,-0.0625,0.1875
1569406223538158,-0.4375,0.0625,0.1875
1569406223559101,-0.75,0.1875,-0.0625
1569406223575060,-0.9375,0.1875,0.1875
1569406223598036,-0.6875,0.3125,0
1569406223618994,-0.625,0.0625,0
1569406223634899,-0.3125,-0.0625,0.0625
1569406223657838,0.0625,-0.0625,0
1569406223679779,-0.1875,0.125,0
1569406223694777,-0.375,0.125,0.0625
1569406223717679,-0.4375,0.0625,-0.0625
1569406223740661,-0.0625,0.0625,0.0625
