Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,-0.713867,-0.631836,0.352051,1.5,1.125,7.625,59,134,111,0,0,0,0,0,0,0,0,-0.612305,0.100586,0.8125,-0.25,-1.5625,-0.125,93,125,82
2,0,0,0,0,0,0,0,0,-0.685547,-0.571289,0.338867,4,0.6875,7.8125,59,134,111,0,0,0,0,0,0,0,0,-0.640137,0.0327148,0.882324,-5.8125,-4.875,2.75,93,125,82
3,1,2,-1,0,-2,-3,-1,0,-0.762207,-0.603516,0.362793,1.4375,-1.75,4.875,60,135,112,4,4,27,87,-40,-52,12,-1,-0.679688,-0.144043,1.03955,-21.5,2.1875,3.8125,92,124,82
4,-2,1,-1,0,0,0,-2,-3,-0.726562,-0.618164,0.349609,-0.5625,-1.75,4.4375,60,135,112,-16,-19,-37,-63,-95,-39,-23,-17,-0.895996,0.325684,1.12695,71.5,-96,4.6875,93,122,81
5,-1,-1,-1,-2,-2,0,-1,1,-0.727051,-0.59082,0.352539,-3,-5.1875,3,60,135,112,-11,-19,-47,-20,1,21,-1,-11,-0.862305,0.497559,1.20557,-3.625,-124.438,32.25,93,119,82
6,0,-1,-1,-2,-1,1,0,-1,-0.743652,-0.603516,0.35791,-4.9375,-5.1875,-1.9375,60,135,112,1,5,8,3,12,20,2,-3,-0.460449,0.00683594,1.3335,-97.375,-289.938,60.8125,89,101,83
7,-3,-15,-4,-3,-1,-2,-4,0,-0.723145,-0.611328,0.382812,-3,-2.6875,-2.5625,60,135,112,-3,0,11,30,33,39,14,2,0.0839844,-0.0185547,0.869629,-47.9375,-303.125,112.5,87,83,86
8,1,4,0,0,-1,0,-1,-1,-0.727051,-0.611328,0.396973,-0.125,-1.4375,-1.75,60,134,112,1,-9,-3,12,-45,-17,0,4,0.279785,-0.0170898,0.69873,-54.4375,-270.75,101.562,86,72,89
9,-2,1,-1,-2,-2,-1,1,0,-0.716797,-0.605469,0.393555,5.4375,-0.375,-1.125,60,134,112,-6,-19,-27,-39,-15,8,7,5,0.399414,-0.0849609,0.567871,-110.75,-201,60.625,82,60,93
10,-1,-4,-2,-2,-3,-2,1,1,-0.715332,-0.593262,0.367188,3.25,0.375,-0.25,60,134,112,-2,-4,-1,8,-12,-14,-9,-3,0.509766,-0.147949,0.551758,-107,-147.438,43.125,78,54,95
11,-1,-3,-1,-2,-2,-2,-1,0,-0.720703,-0.606445,0.355957,-2.3125,-0.4375,-1.375,60,134,112,5,9,8,4,-11,-12,-4,10,0.601074,-0.29248,0.556641,-73,-76.5625,45.375,74,50,99
12,-3,-18,-1,0,0,-2,0,-4,-0.718262,-0.624512,0.365234,-5.125,-0.875,-2.5,60,134,112,3,6,5,10,26,22,10,-8,0.567383,-0.452637,0.580566,-34.4375,-17.5625,46.3125,71,50,101
13,-4,-15,-5,-2,-2,-1,-2,0,-0.709961,-0.622559,0.365723,-7.625,-1.125,-2.6875,60,134,112,-11,-9,-22,0,-9,-17,-5,-3,0.510742,-0.486816,0.533691,-21.8125,7.9375,42.5,70,51,102
14,-2,-1,-1,-1,-3,-3,-3,-6,-0.714844,-0.618652,0.363281,-2.3125,-1.0625,-1.9375,60,134,112,-6,-8,-35,-61,-51,-5,23,7,0.418457,-0.453125,0.597168,-24.3125,-4.0625,-33.25,69,52,101
15,-2,8,1,-1,0,-1,2,1,-0.714355,-0.620605,0.37207,-1.5625,-1,-0.6875,60,134,112,-29,-14,-13,-26,1,13,12,11,0.54248,-0.583008,0.581543,-30.6875,12.75,-32.75,69,51,101
16,-3,-20,-4,-2,-3,-2,-2,-3,-0.716309,-0.626953,0.366211,-2.875,-0.3125,-0.5625,60,134,112,2,2,-4,-9,-55,-44,-8,-5,0.492188,-0.492188,0.681152,15.1875,52.1875,-16.125,70,53,99
17,-2,-4,-3,-1,-1,1,0,-2,-0.716797,-0.625488,0.362793,2.25,-0.5,-0.375,60,134,112,-52,-28,-13,-18,-65,-97,-33,17,0.524902,-0.475098,0.702148,9,74.5,-27.3125,72,55,98
18,-2,7,5,-2,-2,-3,-1,-1,-0.723145,-0.618652,0.359863,-2.5625,-2.1875,-0.6875,60,134,112,26,11,0,7,8,17,-5,14,0.703125,-0.566406,0.651855,23.5625,159.375,3.0625,73,60,95
19,-2,-3,-2,-2,-1,1,-1,-3,-0.717285,-0.618164,0.369629,-3.8125,-2.375,0.1875,60,134,112,1,-5,-6,-19,-10,-36,-4,-14,0.0356445,-0.279785,0.813477,4.0625,172,-16.1875,76,89,85
