Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,0.263672,0.414551,0.525391,29.4375,-27,64.5,110,82,81,0,0,0,0,0,0,0,0,-0.496094,0.514648,0.726562,0.125,0,-0.125,107,119,161
2,0,0,0,0,0,0,0,0,0.288574,0.451172,0.572266,16,-21.25,58.875,110,80,81,0,0,0,0,0,0,0,0,-0.494141,0.52002,0.725098,0.8125,-0.1875,0.125,107,119,161
3,4,25,15,-2,-1,10,0,3,0.412598,0.604004,0.811035,-5.0625,-4.1875,20.1875,109,76,82,-2,-1,-2,1,0,-3,0,-3,-0.497559,0.515625,0.73291,-0.875,-0.5,-0.1875,107,119,161
4,-7,-13,8,-13,-3,-8,-6,-3,0.395508,0.656738,0.810547,-7.0625,-1.875,8,109,76,82,1,-1,-2,-1,-1,0,0,0,-0.505371,0.54248,0.83252,-4.25,6.1875,0.375,107,119,161
5,-2,-88,-31,-13,-3,-6,-5,-8,0.291016,0.640625,0.828125,-3.875,-3.1875,-6.8125,109,75,82,-1,-4,-8,-5,-7,-7,-4,-4,-0.526855,0.53125,0.930176,-7.0625,14.75,2.5625,107,119,161
6,8,62,11,7,5,6,1,3,0.22998,0.663574,0.847656,-14.1875,0,-5.0625,109,75,82,4,12,4,-6,-5,-5,-4,1,-0.600098,0.54248,0.994141,-68.5625,3.8125,-16.5625,106,120,161
7,14,-16,-9,17,16,5,4,3,0.0581055,0.58252,0.825684,-80.5,17.4375,-25.25,107,78,82,-13,-10,16,21,4,2,3,-1,-0.654297,0.198242,1.14453,-48.6875,-80.1875,0.875,103,118,160
8,-29,-102,-39,-27,10,26,11,0,-0.00390625,0.447266,0.905273,-92.625,-50.3125,-18,105,78,81,1,2,-6,-13,-9,-6,-6,3,-0.629883,0.531738,0.875977,93.125,-89,46.625,104,114,160
9,-6,-7,4,-10,-5,-5,-13,-11,0.306641,0.64502,0.858398,-66.125,-104.875,13.8125,104,72,80,-1,-3,-9,-7,-11,-4,1,-14,-0.23877,0.868652,0.979492,27.75,-111.562,121.688,107,106,160
10,-9,-22,7,-19,-8,3,6,2,0.610352,0.611816,0.797363,-97.375,57.0625,49.3125,102,71,81,-2,-4,-3,-2,-4,-5,-1,-4,-0.09375,0.54248,0.999512,-162.562,-159.625,60.875,103,96,160
11,5,31,16,-9,-8,-8,1,10,0.00830078,0.0585938,0.696289,-177.75,164.25,24.375,98,76,82,-1,-3,-3,0,-12,-7,7,1,-0.243164,0.361816,1.05566,-96.9375,-122.812,101.062,101,90,161
12,-1,-8,29,78,6,1,2,0,0.276367,0.414551,0.919922,48.5625,14.625,9.375,98,81,83,-3,-4,-5,-5,-5,2,9,-1,-0.149902,0.371094,1.01758,-88.875,-95.125,99,99,83,163
13,1,-21,-12,-17,-11,-11,-19,-9,-0.0146484,0.234375,0.93457,-43.5,23.5625,-9.125,97,82,83,3,1,1,2,9,0,-8,9,-0.111328,0.344238,0.881348,-120.625,-93.4375,93.25,96,78,164
14,0,31,-5,-6,0,1,6,3,0.251953,0.319824,1.03857,25.875,1.625,-1.125,97,82,83,0,1,12,48,2,-13,-11,-3,0.0849609,0.255859,0.814941,-113.938,-71.3125,74.3125,92,73,166
15,4,-17,-10,-8,1,0,1,1,0.144043,0.282227,1.09619,-16.1875,11.125,-2.8125,97,83,83,1,-5,-6,-12,-1,8,21,4,0.242188,0.148926,0.638672,-99.75,-32.5625,50.4375,88,70,168
16,-4,-36,-11,-3,-7,-11,-4,-5,0.123535,0.169434,1.04541,0.375,5.125,-5.125,97,83,83,-1,1,-1,-20,-3,14,-5,0,0.286621,0.110352,0.613281,-87.5,-20.0625,38.8125,87,69,168
17,-2,-5,-1,-4,0,0,-2,-1,0.074707,0.246582,0.91748,0.4375,7.875,-8.8125,97,83,82,0,-3,-8,-22,2,4,14,2,0.382812,-0.0566406,0.578613,-59,-1,16.125,84,68,169
18,0,1,-4,-4,-4,-4,-1,2,0.226074,0.152344,0.608398,-9.0625,4.6875,-14.8125,97,84,82,2,1,-1,4,0,-10,-10,5,0.492188,-0.144531,0.660156,-43.125,10.5625,15.8125,83,68,169
19,0,0,-2,-6,0,-1,-1,-1,0.241699,0.0332031,0.518555,-72.1875,13.125,-24.3125,96,84,82,-3,-4,5,22,-9,-25,-7,-6,0.501953,-0.224609,0.779297,-26.5625,22,10.5625,82,69,170
20,0,1,-8,-27,-3,-3,-1,-1,0.174805,-0.0429688,0.665039,-68.8125,-0.375,-27.6875,93,84,81,1,-1,-9,-16,3,4,-9,0,0.509766,-0.274902,0.887207,-26.3125,14.1875,11.9375,82,69,170
21,-1,-11,-6,-5,-3,-2,-3,-2,0.0473633,-0.09375,0.998047,-59.125,40.5625,-2.25,91,85,81,-2,3,8,4,-15,-24,-6,-3,0.439453,-0.298828,0.986816,-26.9375,4.8125,11.6875,81,69,170
22,-5,-2,-6,-5,7,8,6,-2,0.0292969,-0.0947266,0.840332,-95.25,76.5,-32,89,88,80,-1,-2,1,7,-10,6,-2,0,0.382324,-0.320801,1.00635,-40.0625,5.25,18.1875,80,70,170
23,-4,18,2,1,0,1,-1,-7,-0.147461,-0.137695,0.951172,-91.375,99.5625,18.0625,86,93,80,0,-1,-1,-12,8,3,14,2,0.268066,-0.182617,0.994141,-69.1875,-20.3125,43.5625,79,70,171
24,-1,4,6,1,0,0,2,-1,-0.350098,-0.38623,0.730957,-132.375,110.562,30.1875,83,98,80,-3,-6,-13,-16,-25,-23,-8,-4,0.302734,-0.240723,0.869141,-124,-19.3125,76.875,76,70,173
25,-3,11,-10,-22,-7,3,6,3,-0.518066,-0.431152,0.912598,-171.625,86.5,34.5625,79,104,80,0,-3,-1,10,-60,-24,-26,-7,0.336914,-0.566406,0.766602,-201.062,20.5,76.3125,70,74,175
26,-3,6,1,12,7,4,0,1,-0.649414,-0.598633,1.09424,-159.562,66.5625,30.25,74,109,80,1,3,12,-3,-81,-49,9,-2,0.0366211,-1.24951,0.629395,-218.438,67,73.625,63,79,175
