Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,-0.609375,-0.326172,0.659668,-7.25,-3.9375,0.375,74,127,78,0,0,0,0,0,0,0,0,-0.619141,0.504883,0.899414,-28.8125,10.4375,-3.3125,103,125,177
2,0,0,0,0,0,0,0,0,-0.630859,-0.449219,0.731445,-11.6875,-3,-2.75,74,127,78,0,0,0,0,0,0,0,0,-0.634766,0.571777,0.973145,-74.9375,19.125,-4.6875,102,125,177
3,-3,-2,-2,1,0,0,0,1,-0.611816,-0.433105,0.689453,7.1875,-0.0625,0.1875,74,127,78,-1,8,8,6,6,2,0,-3,-0.852539,0.0620117,0.945801,-231.375,52.4375,16.625,97,128,178
4,1,15,2,0,0,-2,-1,-1,-0.648926,-0.44043,0.681641,3.0625,0.6875,1.3125,74,127,78,1,-3,-19,-51,-29,3,3,3,-1.05273,-0.138672,0.884277,-119.875,-20.25,51.1875,92,128,179
5,-1,0,5,3,-2,-3,-5,-1,-0.61084,-0.371582,0.657715,0.0625,-2.5,-0.6875,74,127,78,0,-1,-18,2,-3,-8,-5,-3,-0.894043,-0.0776367,0.789062,-10.375,-59.25,72.25,92,126,1
6,-2,-3,-4,-1,-1,0,0,-2,-0.623047,-0.410156,0.684082,-13.3125,-1.3125,-4,74,127,78,-1,1,3,50,11,11,1,0,-0.780273,0.251465,0.725586,-0.125,-137.688,110.938,94,120,4
7,-2,3,1,-1,-2,-3,-3,-5,-0.649902,-0.478516,0.69873,-4.375,0.125,-3.5625,74,127,78,-9,-8,14,-13,-27,-2,0,-4,-0.509277,0.249023,0.774902,-7.125,-141.688,120.812,95,113,6
8,-2,-1,-1,-1,-1,-1,0,0,-0.652344,-0.444336,0.698242,13.125,-0.3125,2.4375,74,127,78,8,10,0,-14,-20,-13,-5,0,-0.297363,0.253906,0.795898,-42.25,-179.25,115.875,95,102,8
9,2,4,0,-3,-3,-2,2,4,-0.641113,-0.399902,0.703125,18.9375,-0.375,6.5625,74,127,78,-7,-8,-4,-4,-4,7,-8,-4,-0.027832,0.213379,0.73584,-26.9375,-154.062,113.5,95,95,10
10,-2,-1,-2,0,-1,-1,1,-1,-0.628906,-0.339844,0.719238,12.25,1.75,3.4375,75,127,79,4,7,4,-4,28,4,15,8,0.467285,0.308105,0.714355,-35.8125,-113.188,96.6875,94,86,12
11,-2,6,-2,-2,-1,-1,-6,-3,-0.620117,-0.39209,0.723633,11.375,2.1875,5.0625,75,127,79,-20,-18,-3,3,10,5,1,-3,0.708008,-0.22998,0.688965,-58.1875,-65.4375,88.6875,91,79,15
12,-1,1,-1,0,0,-1,-1,-1,-0.611328,-0.374512,0.683594,10,3.5625,-1,76,128,79,-12,-39,-9,-1,4,6,-8,-2,0.55957,-0.262695,0.689941,-10.8125,-29.9375,86.125,90,76,17
13,-1,2,0,-1,-2,-2,-1,1,-0.63623,-0.375,0.664551,0.0625,1,-3.625,76,128,79,-1,8,2,1,-8,-12,-6,1,0.32373,-0.125488,0.836914,36.0625,3.8125,55.3125,90,75,19
14,1,0,0,-1,-2,-2,0,0,-0.628906,-0.409668,0.690918,-17.4375,-3.125,-4.375,75,127,78,5,6,0,1,1,1,11,11,0.114258,-0.0961914,0.95752,57.5,37.5625,19.4375,91,76,19
15,0,8,-1,-1,-1,-1,-2,-2,-0.625488,-0.449707,0.715332,-15.25,-2.9375,-3.875,75,127,78,-10,-3,-4,-4,-10,2,-1,-4,-0.0595703,0.328125,1.05469,54.6875,51.8125,-14.5625,93,80,19
16,0,1,-2,-1,1,-4,-8,0,-0.617188,-0.411133,0.709961,-3.75,-1.5,-2.0625,74,127,78,-2,-19,0,6,9,-12,-4,-4,-0.375,0.249023,1.08154,-1.4375,74.1875,-55.6875,94,86,18
17,0,1,-1,-3,-2,0,2,-2,-0.619141,-0.389648,0.708984,-3.1875,-1.5,-1.125,74,127,78,22,25,0,11,3,-22,-7,4,-0.405273,0.336914,1.13477,57.625,66.125,-66.4375,95,90,17
18,-1,0,-2,-1,-3,0,2,-1,-0.629395,-0.428711,0.711426,-1.0625,1.0625,-0.4375,74,127,78,3,8,5,7,-2,12,7,0,-0.342285,0.462891,1.08154,25.6875,45.9375,-73.625,96,94,16
19,1,0,0,-1,0,0,-1,-1,-0.63623,-0.425781,0.693359,6.625,2.5625,0.625,74,127,78,15,18,-1,-11,-31,-29,-10,8,-0.160645,0.299805,1.15479,25,-3.6875,-89.1875,96,96,14
20,3,6,1,-3,-1,-2,5,1,-0.631836,-0.382812,0.689941,6.6875,0.25,2,75,127,78,-7,-12,-15,-12,0,5,2,2,-0.0175781,0.343262,1.13184,-0.625,-62.75,-96.4375,96,95,11
21,-2,-8,-2,-2,0,1,-1,-3,-0.644531,-0.410156,0.705078,8.9375,-0.25,3.8125,75,127,78,11,8,10,16,7,14,5,-3,0.15625,0.443848,1.02441,-27.8125,-79.625,-65.5625,96,92,9
22,-2,-2,-1,0,-1,-3,-5,-2,-0.617676,-0.382324,0.702637,10.875,-0.25,4.75,75,127,78,2,19,12,-16,-25,-20,3,-2,0.475586,0.103516,0.962402,-81.25,-101.875,-30.25,94,85,7
23,-2,2,-1,0,0,1,-1,-1,-0.624023,-0.381348,0.72168,9.4375,1.5625,3.25,75,127,78,-6,-4,-11,-42,-16,10,0,-1,0.605957,0.0507812,0.876953,-74.625,-117.438,15.125,92,80,7
24,-2,6,0,-2,-1,0,-1,-1,-0.625488,-0.341309,0.681152,6.8125,0.25,-1.1875,76,128,78,4,1,13,24,-3,8,3,-7,0.663574,-0.0800781,0.710449,-47.3125,-86.1875,88.25,90,73,8
25,0,-3,-1,-1,-2,-1,-3,0,-0.641602,-0.385742,0.70459,-12.125,-0.875,-3.4375,75,128,78,0,-7,-31,-58,-56,10,5,0,0.558594,0.0244141,0.740234,19.3125,-62.5,133.438,89,70,11
26,0,-3,-3,-1,-1,-1,-1,-1,-0.583008,-0.413574,0.726562,-9.1875,-1.375,-2.25,75,127,78,1,3,3,-9,-28,-8,-10,-3,0.476562,0.0356445,0.705078,38.6875,12.75,158.312,89,69,16
27,0,-3,-2,-2,0,-2,0,-1,-0.627441,-0.402832,0.676758,-11.5625,0.5625,-6.9375,75,127,78,7,17,-6,-7,-13,-1,7,8,0.290527,0.0175781,0.817871,76.875,66.875,129.625,89,72,19
28,-2,-4,-1,0,-1,-2,-1,-1,-0.623047,-0.422363,0.661133,-18.0625,-2.75,-9,74,127,78,12,19,3,-2,-2,-16,2,1,-0.12793,0.169922,1.02588,55.4375,77.9375,64.625,91,77,22
29,-1,4,2,-1,-3,-1,-2,-2,-0.63916,-0.485352,0.69873,-19.75,-3.8125,-4.75,73,127,78,0,0,4,0,3,-9,1,1,-0.205566,0.302246,1.17773,45.6875,-9.8125,-17.125,92,80,22
30,-1,-8,-2,-1,-1,-2,0,1,-0.623047,-0.432129,0.70166,0.6875,-2,-0.5625,73,126,78,14,7,9,11,5,8,4,5,0.0449219,0.231445,1.00049,25.8125,30.1875,-35.125,93,81,21
31,-2,-1,-1,-2,0,0,-1,-2,-0.632812,-0.419434,0.693359,0.25,-0.25,0.6875,73,126,78,5,13,15,24,-2,-17,2,2,-0.0629883,0.146973,1.03906,55.5,70.375,-59.75,95,86,20
32,0,-3,1,-1,-1,-1,-1,-1,-0.620117,-0.427734,0.689453,-1.5625,-1.125,2.125,73,127,78,1,5,8,7,36,-8,1,2,0.189941,0.194336,1.021,34.5,61.875,-75.5625,96,91,18
33,1,-1,-1,-2,-1,-1,-1,-1,-0.612793,-0.430664,0.692383,-0.0625,-0.125,2.1875,73,127,78,-1,1,0,9,22,10,2,0,0.274414,0.160645,1.02148,13.25,66.375,-84.125,96,93,17
34,0,-2,0,-1,-1,-1,0,-1,-0.621094,-0.43457,0.669922,-0.375,0.625,-0.3125,73,127,78,1,3,9,19,45,31,7,2,0.210449,-0.0195312,1.04736,-52.125,78.875,-92.375,95,97,14
35,-3,5,-1,-1,2,-1,-2,-1,-0.60498,-0.418457,0.688965,-2.4375,0.6875,-2.875,73,127,78,-4,-15,-33,-15,-10,-14,-6,-4,0.0649414,-0.027832,0.986328,-14.8125,79.1875,-102.062,94,100,13
36,-1,-3,-1,-3,-1,-1,-1,-1,-0.603516,-0.436035,0.68457,2.875,0.5625,-2.125,73,127,78,0,-11,-25,-10,-23,-16,6,3,-0.111816,0.157715,0.849121,7.875,84.5,-134.562,93,106,9
