Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,0.353027,0.57959,0.739258,1.3125,0.25,-0.8125,109,69,72,0,0,0,0,0,0,0,0,0.432617,-0.157227,0.945312,3.375,16.3125,-15.5,83,64,39
2,-2,-2,0,-3,-1,0,-1,0,0.348145,0.584961,0.73877,1.5,0.125,-0.9375,109,69,72,0,0,0,0,0,0,0,0,0.436523,-0.147461,0.947266,3.875,20.25,-19.6875,83,64,39
3,-1,-1,0,-3,-1,-3,-1,0,0.352051,0.587402,0.734863,1.5625,1.6875,-1.0625,109,69,72,-4,7,17,-8,-4,-3,1,-1,0.408691,-0.154785,0.946289,10.125,30.5,-27.125,84,66,38
4,-1,-2,-1,-2,-1,-1,-1,0,0.351074,0.590332,0.740234,0,2.625,-1.125,109,69,72,-4,-4,9,9,6,2,-1,2,0.387207,-0.150879,0.960938,10.625,36.8125,-30.625,84,67,37
5,0,-1,-1,-1,-3,0,-1,-1,0.346191,0.585938,0.745117,-1.1875,2.5,-0.1875,109,69,72,-3,7,-22,7,6,6,-1,-1,0.348633,-0.12793,0.98584,16.5,44.9375,-35.1875,85,69,35
6,-1,-1,-1,-2,-3,-1,0,-2,0.349121,0.577148,0.746094,-0.625,2.5625,-1.125,109,69,72,5,9,5,-6,-2,1,-2,-1,0.295898,-0.11084,1.00977,18.375,52.6875,-39.3125,86,72,34
7,-2,-1,0,-1,-1,-3,-1,-1,0.34375,0.597656,0.748047,0.0625,0.875,-0.0625,109,69,72,5,7,11,7,3,3,0,0,0.26123,-0.112305,0.986816,18.1875,54.625,-37,87,74,33
8,-1,-1,-1,0,-2,-3,-1,-2,0.337402,0.580078,0.741699,-1.0625,0.3125,0.5,109,69,72,-9,-18,3,-6,-5,-4,-2,-1,0.259277,-0.132324,0.97998,14.5625,49.125,-33.1875,88,77,32
9,0,0,-1,-1,-1,-1,-1,-2,0.34668,0.576172,0.76123,0.0625,-2.5625,0.4375,109,69,72,-12,-46,-12,-7,-7,0,0,-2,0.258789,-0.118652,0.983398,13.0625,43.9375,-15.3125,88,79,31
10,-2,-3,-2,-1,-2,-1,-1,-1,0.344238,0.577148,0.733398,2.4375,-3,-0.5625,109,69,72,15,39,-21,-6,-1,-6,-6,-1,0.258789,-0.108887,1.03027,5.75,47.625,-3.1875,88,81,31
11,-1,-2,0,0,0,-1,-5,-2,0.340332,0.594727,0.755371,0,-3.25,-1.6875,109,69,72,-25,-2,1,-3,-2,-6,17,-10,0.311523,-0.117676,1.0376,-29.6875,23.1875,21.1875,88,82,31
12,-2,-1,0,-3,-1,0,0,0,0.337402,0.586914,0.745117,3,-3.75,-1.375,109,69,72,-28,-42,-2,0,4,7,3,3,0.215332,-0.115723,1.07324,-19.8125,33.0625,46.4375,87,83,32
13,0,-2,-1,-2,-1,-2,-2,-2,0.345703,0.609375,0.712891,5.5625,-1.0625,-0.75,109,69,72,20,25,-14,8,6,19,8,-4,0.0595703,-0.0649414,1.05762,-32.9375,51.1875,35.375,86,86,33
14,-1,-1,-2,-1,-2,0,0,0,0.36084,0.617676,0.714355,-3,1.5,2.3125,109,69,72,-55,-63,-1,-8,-1,19,19,-2,-0.0639648,0,1.0835,-11.1875,63.1875,23.375,86,89,34
15,-1,-1,-1,-1,0,-2,-1,-3,0.352539,0.601074,0.722168,-8.5625,4.25,3.5625,109,69,72,34,14,-4,-26,-29,-16,-3,-2,-0.336914,-0.109375,1.14502,30.3125,77.5625,56.75,87,95,35
16,-2,-2,0,-1,0,-1,-1,-2,0.340332,0.565918,0.751465,-8.6875,6.25,3.5625,108,69,72,-19,-10,-15,-1,0,-1,-1,-12,-0.48291,-0.104004,1.22021,36.0625,109.875,117.625,88,99,36
17,0,-2,-1,-1,-1,-1,1,-1,0.332031,0.555176,0.772461,-6.6875,4.875,2.125,108,69,72,-49,-34,-11,17,0,3,-2,-5,-0.515137,0.0581055,1.146,30.5625,184,92.8125,89,109,40
18,-2,0,-1,-1,-2,-1,-3,-1,0.339355,0.554199,0.768555,0.1875,1.3125,-0.875,108,70,72,33,-9,9,13,6,0,1,5,-0.520508,0.0595703,1.04248,39.8125,193.5,85.0625,91,117,42
19,0,0,-2,-1,-2,-1,0,1,0.348633,0.572266,0.75293,4.9375,-1.4375,-3.25,108,70,72,-1,-42,-3,-5,-2,-16,-6,1,-0.431152,0.09375,0.867676,58.5625,165.312,42.875,94,127,44
20,-4,-7,-2,-3,-1,-2,-3,-2,0.336914,0.592285,0.745117,4.5625,-0.6875,-3.25,108,70,72,-12,-11,-104,-18,-9,-6,-5,-14,-0.391113,0.0405273,0.729492,55.375,94.75,19.1875,97,134,46
21,-1,-1,-1,-2,1,1,-1,-2,0.336426,0.594238,0.741699,-0.375,0.9375,-1,108,70,72,4,-18,-1,-3,-4,9,-1,0,-0.369141,0.0673828,0.682129,38.375,42.9375,25.125,98,135,47
22,-2,-3,-2,-1,0,-3,0,1,0.332031,0.587402,0.75293,-0.25,2.1875,-1.125,108,70,72,-1,-1,11,-4,4,-4,1,2,-0.393555,0.106445,0.652832,29.0625,0.0625,28.3125,99,134,48
23,-1,-4,-2,0,0,-1,-3,-1,0.324707,0.581543,0.75,3.9375,2.9375,-2.5,109,70,72,15,2,1,2,2,4,-2,-4,-0.445801,0.157715,0.700684,19.75,-51.9375,17.25,99,131,48
24,0,-1,-1,-2,-4,-1,0,-1,0.322754,0.603516,0.743652,3.625,2.5,-3.4375,109,70,72,-6,-10,2,0,0,2,-1,-3,-0.481445,0.286133,0.766113,7.9375,-90.3125,7.3125,99,126,47
25,1,1,-2,-1,-1,-1,0,-2,0.32373,0.587891,0.757812,0.3125,0.9375,-1.625,109,70,72,6,7,-1,0,-5,-17,-5,-1,-0.494141,0.34668,0.859863,23.0625,-102.062,-1.3125,99,122,46
26,-2,-1,-2,-1,2,0,-6,-1,0.32959,0.584961,0.744141,3.5,-0.5,-1.3125,109,70,72,53,-31,6,-2,-3,-16,-2,3,-0.588379,0.478027,0.928711,59.75,-96.5,-60.8125,100,117,44
27,0,-1,0,0,-1,0,-3,-2,0.327148,0.595215,0.75,1.3125,0,-1.0625,109,71,72,7,-32,-10,0,-8,-63,-15,-8,-0.660156,0.350098,0.967773,80.75,-90.0625,-73.875,100,115,42
28,-2,-2,-1,0,0,-3,0,-2,0.324219,0.607422,0.756836,0.625,-2.0625,0.625,109,70,72,-40,25,31,6,7,19,8,-6,-0.407227,0.352051,0.994141,61.5,-59.75,-85.9375,101,113,38
29,-1,0,-2,0,-1,-1,-2,0,0.331543,0.592773,0.739746,-0.5,-2,1.5,109,70,72,-30,33,-8,-25,-6,14,-1,2,-0.626953,0.240723,0.9375,78.8125,-48.625,-58.8125,101,113,36
30,-1,-4,-2,0,-1,-2,0,-1,0.329102,0.600586,0.729492,0.375,-1.1875,0.625,109,70,72,45,2,119,36,5,2,8,7,-0.408203,0.227051,0.866699,13.75,-53.25,15.25,102,110,35
31,2,-5,-1,-1,-2,-2,0,-1,0.336914,0.598145,0.733887,-2.3125,1.1875,0.6875,109,70,72,-52,-62,-32,-38,-26,-31,1,-8,-0.30127,0.355957,0.714355,64.6875,-55.0625,53.5,103,108,36
32,-2,-1,-2,-2,0,-1,-2,-1,0.33252,0.592285,0.749512,-3.75,1.6875,0.9375,109,70,72,50,18,-10,6,-4,-10,4,6,-0.23877,0.438965,0.877441,52.9375,-7.1875,-47.3125,105,106,35
33,-1,1,1,-2,-2,1,-2,-1,0.324707,0.59082,0.755859,-1.1875,1.875,-0.0625,109,70,72,94,52,57,-1,-2,4,1,9,-0.319824,0.622559,0.839844,45.3125,36.125,-41.25,106,109,34
34,-2,0,0,-1,0,-3,-3,-2,0.330078,0.588379,0.74707,-0.8125,0.375,0.5,109,70,72,-23,21,14,11,19,28,8,0,-0.387207,0.347656,0.808594,-12.9375,36.5625,-29.8125,106,111,34
35,0,1,-3,0,-1,-1,-1,1,0.321289,0.598145,0.763184,-0.9375,0.875,-0.75,109,70,72,-27,6,-6,-12,3,28,8,5,-0.421875,0.536621,0.718262,15.6875,22.125,-10.375,106,113,34
36,-2,-3,-1,-2,-1,-1,-2,-1,0.322266,0.592773,0.750488,1,-0.5625,0.25,109,70,72,-88,11,-40,-1,8,20,-9,-14,-0.362793,0.387207,0.72168,-9.4375,9.9375,-3.6875,106,114,34
37,-1,-2,1,-1,-1,1,-4,-1,0.322754,0.587402,0.757812,-0.375,-0.25,-0.3125,109,70,72,-1,1,12,0,-2,-5,-1,1,-0.363281,0.415039,0.690918,-19.5625,-7.5625,8.125,106,114,34
38,-1,-3,-2,-2,0,-1,0,-2,0.328125,0.59375,0.748047,1.125,-1.8125,0,109,70,72,-1,-52,-4,7,2,-3,2,2,-0.376953,0.414062,0.731445,-31.5,-27.875,17.625,105,113,34
39,0,0,-1,-1,-1,0,-1,-1,0.333496,0.579102,0.759766,-1.6875,-2.5625,-0.5625,109,70,72,-38,-37,-31,-8,0,1,2,-3,-0.265137,0.374023,0.769531,-43.375,-39.875,32.5,104,110,34
40,-1,2,1,0,-1,-3,1,0,0.328613,0.583008,0.755371,3.6875,-3.125,-1.5625,109,70,72,9,3,-2,-9,-2,24,2,-3,-0.22998,0.388672,0.887695,-63.0625,-31.0625,42.375,102,107,35
41,-1,-1,-1,-2,0,1,-5,-1,0.327148,0.612305,0.722656,2.6875,-1.1875,-0.375,109,70,72,-127,0,-8,-4,12,-1,-2,-15,-0.29541,0.399902,0.957031,-79.375,-19.6875,44.25,101,105,35
42,-1,0,-2,-2,0,-3,-1,0,0.333984,0.60791,0.726562,-3.375,0.8125,1.375,109,70,72,93,108,55,17,-15,-26,-12,8,-0.272461,0.432617,1.00049,-56.625,-13.125,49.625,99,103,37
43,-1,-1,0,0,-1,-3,-1,-3,0.335449,0.58252,0.748535,-2.0625,2.0625,0.125,109,70,72,14,1,29,0,-6,-14,-13,0,-0.415039,0.373535,1.06445,-27.6875,5.5,61.75,99,103,38
44,-3,-2,0,-2,-1,-1,-1,0,0.322266,0.587402,0.742188,0.0625,2.1875,-1.125,109,70,72,-62,-13,17,13,4,8,12,8,-0.36377,0.393066,1.08398,-13.25,50.9375,83.375,99,103,40
45,2,-1,-3,-1,0,-2,1,-3,0.312988,0.593262,0.755371,0.5,1.875,-0.75,109,70,72,-10,31,19,2,2,-4,1,3,-0.461914,0.481445,1.08496,-19.375,98.1875,74.8125,99,106,42
46,1,-10,-2,-2,0,-2,1,0,0.324219,0.59375,0.745605,1.125,1.25,-1.25,109,71,72,28,81,51,4,3,11,4,7,-0.410645,0.457031,0.949219,-14.125,132.625,27.375,100,112,45
47,-2,1,-3,0,0,-1,-2,-2,0.323242,0.598633,0.751953,0.5625,0.6875,-0.4375,109,71,72,-69,-88,-46,-11,-5,-7,-2,-8,-0.422852,0.443359,0.890137,-24.125,128.5,2.875,100,116,46
48,-2,-4,-2,0,-1,0,-2,-1,0.326172,0.590332,0.749512,1.0625,-0.75,-0.75,109,71,72,15,21,-4,-4,-1,-1,-2,2,-0.441895,0.361816,0.792969,18.3125,92.375,-21.8125,100,123,47
49,-1,-3,-1,-2,-1,-2,1,0,0.32666,0.592773,0.746582,0.5,-0.5625,-1,109,71,72,13,25,23,-7,1,3,0,1,-0.429688,0.319824,0.755859,9.1875,51.375,-13.6875,101,125,47
50,-2,-5,-1,1,0,-3,-6,-3,0.314453,0.599609,0.740723,1.875,0.875,-1.75,109,71,72,9,-4,-14,-6,-5,-1,-1,-1,-0.423828,0.283691,0.722168,15.75,-4.8125,-5.0625,101,125,47
