Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,0.259277,0.169434,1.28857,15,14.125,-3.8125,95,73,81,0,0,0,0,0,0,0,0,0.312012,-0.166992,0.974121,3.9375,15.3125,-2.5625,84,72,44
2,0,0,0,0,0,0,0,0,0.291992,0.299316,1.27441,5.875,29.6875,-3.8125,95,73,81,0,0,0,0,0,0,0,0,0.29248,-0.174316,0.947266,-0.5,17.75,-7.5625,84,73,44
3,-10,-2,-11,-11,11,-11,-4,-4,0.496582,0.0161133,1.10645,-58.0625,60.125,7.875,93,78,81,4,9,11,3,-7,-1,0,1,0.276855,-0.184082,1.00293,9.3125,14.625,0.125,85,73,43
4,-16,-19,50,42,40,12,8,9,-0.000976562,0.000488281,1.28662,-132.312,59.875,-79.9375,90,81,80,-6,-8,-11,1,-4,-4,0,0,0.318848,-0.13623,1.08398,1.3125,28.3125,0,85,75,43
5,-2,8,16,3,30,7,2,4,0.0175781,-0.291016,0.962402,-196.375,44.8125,-43.5,85,83,78,1,2,28,37,4,0,-1,1,0.370117,-0.147949,1.18408,17.8125,53.625,5.25,85,76,43
6,1,5,5,-2,-37,-9,-12,0,0.20459,-0.117676,0.836426,-133.75,27.25,-43.625,81,84,77,-6,-10,-27,-38,-28,-15,-4,-4,0.266602,-0.163574,1.31152,10.4375,110.312,28.0625,86,82,43
7,15,18,4,23,-5,8,-7,3,0.290527,-0.177246,0.783691,-121,23,-42.75,78,84,76,-50,-9,6,3,10,15,-3,-1,-0.0507812,-0.0449219,1.26709,15.9375,180.812,4.1875,86,88,43
8,6,36,7,5,24,-7,-31,-2,0.165039,-0.146973,0.756348,-70,24.125,-41.3125,76,84,74,-100,-25,-17,9,11,0,-5,1,-0.361816,-0.142578,1.1665,33.6875,234.375,58.125,87,102,44
9,4,0,0,0,9,12,5,0,0.0244141,-0.393555,0.74707,-64.5,26.3125,-14,74,85,73,1,23,10,-5,-4,-2,-3,-2,-0.432129,0.0366211,1.0835,85.8125,213.812,77.0625,89,111,45
10,-18,-40,-13,-17,-17,-3,5,2,0.0161133,-0.468262,0.756348,-1.125,17.25,8.625,74,86,73,32,-5,20,-11,-17,-15,2,10,-0.583496,0.214355,0.991699,109,172.688,124.375,94,122,49
11,-5,-17,-10,-14,-4,-5,-4,-4,-0.00927734,-0.484863,0.801758,-5.4375,5.4375,10.625,74,87,73,-27,18,25,7,3,7,11,10,-0.537109,0.0488281,0.875,114.312,176.688,135.75,98,127,53
12,1,0,9,1,-11,-6,18,1,0.043457,-0.464844,0.850098,14.875,-6.9375,8.4375,74,87,74,-29,30,62,26,13,22,5,-7,-0.478027,0.0654297,0.583008,100.875,161.812,83.125,106,134,59
13,19,33,19,36,13,0,-6,1,0.0527344,-0.485352,0.910156,0.1875,-13.5625,-0.75,74,86,74,11,57,-24,-5,20,114,103,24,-0.467285,0.190918,0.365723,77.6875,125.812,23.125,110,137,63
14,-9,-5,0,-6,11,-1,1,-2,0.0986328,-0.466309,0.898438,6.5,-6,-8.4375,74,86,74,-8,29,-3,-4,1,-42,-32,-11,-0.581543,0.318359,0.269043,55.125,-7.1875,-20.1875,113,141,63
