Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,-0.234863,-0.0166016,1.0083,-1.75,-0.9375,1.4375,89,102,143,0,0,0,0,0,0,0,0,-0.0878906,0.439941,1.12891,-34,-38.8125,96,100,98,59
2,0,0,0,0,0,0,0,0,-0.208496,-0.0244141,1.00391,-3.6875,-1.5625,0.3125,88,102,143,0,0,0,0,0,0,0,0,-0.0683594,0.470215,1.14893,-7.1875,-54.75,117.938,100,96,60
3,-25,-25,20,-1,-4,6,-1,-12,-0.22168,-0.0581055,1.00049,-1.4375,0.875,-0.5625,88,102,143,25,23,-11,8,-3,7,-28,29,0.264648,0.333984,1.20215,-28.875,-133.062,200,99,80,66
4,29,27,-11,3,2,-8,-6,-7,-0.218262,-0.0371094,0.990723,0.5625,0.8125,0.75,88,102,143,-74,8,20,22,1,9,3,-74,0.349121,0.23584,1.14697,-26.75,-141.688,204.562,98,76,68
5,-1,6,16,2,2,10,2,-5,-0.223145,-0.0253906,0.992676,-1.1875,0,-0.5625,88,102,143,-2,10,13,23,-4,-8,12,33,0.444336,0.234863,0.936523,-42,-120.188,199,96,65,73
6,2,-2,7,-3,-3,-10,-5,-8,-0.214355,-0.0395508,0.99707,-1.625,0.5625,-1.8125,88,102,143,68,-22,-17,1,2,-47,0,-50,0.418945,0.00683594,0.847168,-60.125,-106.875,183.562,91,57,79
7,3,10,-2,-3,-5,-7,-6,-9,-0.220703,-0.0385742,0.982422,-2.8125,-0.1875,-1.875,88,102,143,64,35,14,4,-3,34,13,15,0.427734,-0.145996,0.674805,-47.9375,-101.188,137.438,86,51,85
8,-12,-3,-3,-2,-3,-13,-4,0,-0.216309,-0.0332031,1.0083,-1.5625,-0.0625,-2.5625,88,102,143,10,-28,-8,-5,15,13,-39,6,0.478516,-0.20459,0.63916,-35.1875,-70.625,94.8125,83,49,88
9,-8,-27,-33,-6,-3,-4,13,-9,-0.216797,-0.0463867,0.987305,-3.6875,0.4375,-2.4375,88,102,143,18,-13,-2,5,28,0,-21,8,0.478516,-0.211914,0.608887,-15.75,-34.375,45.8125,81,48,91
10,-18,-20,-16,-8,-7,-4,-19,-17,-0.218262,-0.0517578,0.996582,-0.125,-1.0625,-2.5,88,102,142,-32,8,9,9,13,27,28,-5,0.479004,-0.303223,0.54248,-10.75,-17.5,19.25,80,47,92
11,-4,-5,-12,-3,-3,2,4,10,-0.220703,-0.0493164,0.99707,-2.75,-0.6875,-1.875,88,102,142,-3,0,13,14,12,-12,-27,-8,0.522949,-0.246094,0.665527,-11.8125,-3,-3.5,79,48,92
12,-16,1,8,-1,2,10,-28,-10,-0.217773,-0.0708008,1.00049,-0.75,-0.6875,-0.75,88,102,142,13,-7,1,16,20,-12,-17,-11,0.61084,-0.259766,0.65918,-12.875,-10.4375,3.375,79,47,92
13,4,-10,45,2,-1,-11,-1,-3,-0.214844,-0.046875,0.98877,-1,-0.6875,0.1875,88,102,142,-32,25,3,-5,-8,17,0,2,0.686523,-0.299805,0.702637,-7.9375,-3.5,-7.0625,79,47,92
14,1,0,-21,-3,-4,-2,2,-7,-0.21875,-0.0629883,1.01855,1.125,-0.25,-0.1875,88,102,142,1,-21,-33,-15,-1,39,-8,-11,0.666992,-0.303711,0.680664,-6,-1.8125,-8.25,79,47,92
15,16,-24,44,3,-3,-14,3,4,-0.223145,-0.0571289,0.994629,1,1.8125,1.3125,88,102,142,-5,6,9,-3,1,-3,-45,-20,0.70459,-0.290039,0.659668,-4.6875,4.625,-4.625,79,47,92
16,-14,7,-6,0,1,0,0,2,-0.211914,-0.0322266,0.98291,0.5,0.75,0.875,88,102,142,-10,-22,-7,9,8,-58,56,-46,0.694824,-0.279297,0.658203,1.6875,11.125,-5.8125,79,47,91
