Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,-0.0532227,-0.0498047,1.0127,0.625,-2.1875,-1.9375,87,93,87,0,0,0,0,0,0,0,0,-0.138184,0.0429688,1.06787,10.4375,15.875,4.1875,92,98,75
2,0,0,0,0,0,0,0,0,-0.0610352,-0.0766602,1.01709,-0.5,-2.5,-1.6875,87,93,87,0,0,0,0,0,0,0,0,-0.200684,0.0649414,1.05273,22,21.125,8.3125,92,98,75
3,-3,-3,-2,-2,-2,-1,-2,-3,-0.0600586,-0.0893555,1.01611,-0.4375,-1.25,-1.4375,87,93,87,0,0,0,0,0,0,0,0,-0.26416,0.112793,0.995117,18.0625,3.25,10,92,99,75
4,-2,-4,-6,-2,-2,-2,-4,1,-0.0673828,-0.0771484,1.0127,0.625,-0.4375,-0.375,87,93,87,2,5,-26,-17,-9,-6,-3,0,-0.193359,0.250488,1.12549,37.5,-99.75,65.125,94,93,77
5,-1,-1,1,-1,-2,-1,-4,1,-0.0478516,-0.0986328,1.021,-1.75,1,-0.375,87,93,87,-15,-14,-9,-13,-15,-3,-3,0,-0.0488281,0.0981445,1.15332,-2.9375,-131.062,71.875,94,87,78
6,-5,-3,-2,-2,-2,-3,-3,1,-0.0639648,-0.0849609,1.01416,-0.625,1.9375,1.4375,87,93,87,1,4,-4,24,27,-1,-1,3,-0.0810547,0.0488281,1.06885,52.1875,-137.25,106.875,94,84,79
7,-1,-3,-8,-2,0,-1,-2,-10,-0.0625,-0.0947266,1.00879,-1.5,2.875,2.8125,87,93,87,-3,-12,-7,6,30,15,8,9,0.388672,0.257324,0.869629,-35.9375,-155.312,160.062,95,67,85
8,-2,-2,-5,0,0,-1,0,-9,-0.0610352,-0.0908203,1.01221,3.25,2.1875,2.9375,87,93,87,-22,-15,2,0,-30,-4,-11,-3,0.610352,-0.0419922,0.894531,-18.625,-152,150.062,93,60,87
9,-7,1,1,-2,-1,-1,-2,-5,-0.059082,-0.0541992,1.01562,-1,1.375,1,87,93,87,-5,4,3,-6,-15,-3,3,-18,0.711914,0.00390625,0.849609,-6.625,-147.375,145.562,91,53,91
10,-3,-4,-1,1,-2,-1,-3,-5,-0.0576172,-0.0795898,1.01367,0.3125,0.125,-0.375,87,93,87,-11,-5,2,1,-54,0,13,2,0.703613,-0.17627,0.699707,-35.125,-118.375,133.812,87,46,96
11,0,-2,1,-3,-1,-4,-2,-8,-0.0620117,-0.0761719,1.01953,-0.625,-0.125,-0.25,87,93,87,-16,-2,-14,5,67,-11,4,6,0.6875,-0.304199,0.575195,-30.75,-83.8125,79.1875,82,41,101
12,-5,-2,-4,-2,-2,-1,-1,6,-0.0629883,-0.078125,1.01367,-0.125,-0.8125,-0.5,87,93,87,-65,5,13,20,27,33,4,3,0.659668,-0.325195,0.529297,-1.1875,-47.0625,20.9375,80,40,103
