Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,-0.0166016,0.125488,1.01221,-39.8125,18.5,3.875,87,94,84,0,0,0,0,0,0,0,0,-0.124023,0.0131836,1.01953,1.1875,0.125,1.0625,90,96,80
2,0,0,0,0,0,0,0,0,-0.0839844,-0.151855,1.03076,-24.375,19.5625,-7.5,86,94,84,0,0,0,0,0,0,0,0,-0.112793,0.00878906,1.03906,7.0625,0.5625,0.3125,90,96,80
3,2,4,-4,-5,9,-5,-11,-5,0.0419922,-0.0571289,0.966797,-44.8125,-13.25,-83.375,85,94,81,-4,-6,7,2,-17,-4,1,0,-0.128906,0.012207,1.03369,13.4375,7.0625,2.25,90,96,80
4,-1,0,4,11,18,7,26,4,0.0356445,-0.360352,1.11035,-51.5,-2.125,-111.438,84,93,80,4,7,13,3,-4,3,0,-1,-0.144043,0.0371094,1.03467,28.0625,11.3125,0.25,91,97,81
5,-1,-3,-17,18,13,-2,-1,-1,0.0922852,-0.251953,1.00684,25.75,7.8125,-122.062,84,91,76,-3,-10,-9,3,2,1,1,0,-0.14502,0.0883789,1.03613,24.5625,2.625,0.0625,91,97,81
6,-1,2,6,14,12,5,18,1,-0.0141602,-0.216309,0.980957,42.0625,16.875,-126,85,91,72,-4,-6,-27,-14,4,-2,0,-3,-0.206543,0.0810547,1.16309,16.875,-68.1875,12.75,92,95,81
7,0,4,-1,-8,-10,4,0,-3,-0.0498047,-0.185547,0.966309,54.25,8.8125,-115.188,86,91,70,-7,-9,1,-6,-5,-3,-5,-3,-0.294922,0.188477,1.13135,56.4375,-110.188,31.4375,93,91,81
8,-3,-2,-6,-15,-20,-18,-19,-8,-0.108887,-0.0356445,0.905762,44.6875,18.5625,-92.625,88,91,67,-2,4,8,-2,3,-6,-9,-4,0.133789,0.402344,1.08252,109.25,-171.938,72.875,96,81,82
9,-7,-16,-17,10,7,1,-14,6,-0.158691,-0.0395508,0.904785,21.5,16.4375,-72.375,88,92,65,-3,-2,-9,-10,3,-5,-8,-4,0.294922,0.466797,0.98291,79,-181.438,84.0625,97,73,83
10,-2,-2,3,25,13,5,-2,-14,-0.149414,-0.0078125,0.885742,1.8125,19.3125,-38.8125,88,93,64,-2,-3,0,2,1,1,-4,-1,0.592285,0.308594,0.786133,60.5,-205.25,112.438,99,59,84
11,-9,-1,1,-18,-9,-12,21,-16,-0.154785,-0.0341797,0.967285,-4.5625,-1.9375,-16.5625,88,94,63,0,1,0,-5,-7,-9,-3,-2,0.696777,0.282227,0.65918,67.8125,-202.625,114.688,99,50,85
12,-14,3,-17,-32,4,12,-6,-3,-0.13623,-0.0273438,1.01416,-13,-11.25,-10.625,88,94,63,-1,-1,-1,2,-1,-24,-13,-2,0.695312,0.185547,0.515137,46.875,-172,100.812,100,38,87
13,1,9,12,20,-2,-10,-8,-1,-0.081543,-0.0634766,1.07812,-12.4375,-15.625,-6.5,88,93,63,-2,-3,-1,-3,0,0,0,-3,0.73877,0.109863,0.469727,39.4375,-146.438,83.875,100,31,88
14,14,-7,26,21,8,11,11,9,-0.027832,-0.0356445,1.05127,-4.8125,-7.25,0.125,88,92,63,1,-3,-3,1,5,-7,-7,-3,0.772461,0.0615234,0.335938,45.4375,-90.9375,51.375,100,23,89
15,-17,-2,-15,-17,-7,1,12,9,-0.0844727,-0.0517578,0.979004,1.1875,16.4375,5.25,88,93,63,-1,-1,-2,-2,7,3,-8,-2,0.803223,0.0454102,0.283691,39.4375,-55.0625,23.6875,100,19,90
16,-16,-15,-6,-61,-31,-9,4,-3,-0.059082,-0.108887,0.995605,0,6,0.375,88,94,63,3,2,2,1,-11,3,4,1,0.831543,0.0683594,0.231445,34.4375,-39.4375,15.75,100,17,91
17,26,52,107,120,35,13,5,7,-0.0336914,-0.0644531,1.01221,3.375,4.8125,-1.5625,88,94,63,-7,0,-1,3,3,-14,-24,5,0.862305,0.0595703,0.23291,15.6875,-14,2.25,102,16,90
18,3,6,-1,36,12,12,26,-8,-0.0317383,-0.0791016,1.02393,0.9375,8.125,-6.1875,88,94,63,-4,-3,-7,-7,0,9,17,5,0.943848,0.0996094,0.280273,14.4375,0.6875,-0.9375,102,16,90
19,4,5,-14,-9,0,-3,-15,-4,-0.03125,-0.0917969,1.04492,5.25,5.9375,-7.6875,88,94,62,14,6,-1,-4,-6,-29,18,-1,0.936035,0.0834961,0.248047,7.125,14.375,-5.8125,102,16,90
20,13,9,3,17,5,0,-3,14,-0.0380859,-0.109863,1.03125,5.125,6.5,-11.75,88,94,62,3,0,-1,-5,-9,2,18,1,0.910645,0.0898438,0.260254,-10,15.9375,-3,101,17,91
21,-4,13,-16,9,8,6,4,-26,-0.0385742,-0.0703125,1.01807,12.9375,4.9375,-15.8125,88,94,62,-27,-11,-1,0,-2,6,0,-13,0.91748,0.108398,0.233887,-1.125,20.3125,-2.5625,101,18,91
22,7,6,4,18,-9,-9,20,25,-0.0878906,-0.0351562,0.986328,19.1875,6.9375,-17.125,88,95,61,6,3,-1,-2,2,-3,7,-1,0.962891,0.127441,0.248047,-4.25,29.5,-2.8125,100,19,92
23,-11,34,4,2,4,-1,-12,11,-0.122559,-0.0297852,0.971191,12.75,1.75,-12,89,95,61,8,2,0,0,3,10,6,11,0.969238,0.137695,0.309082,-11.3125,55.375,9.8125,99,20,93
24,-3,11,14,54,1,0,-4,-5,-0.19873,-0.00195312,0.958008,6.6875,3,-0.4375,89,95,61,-4,-6,-4,-1,-2,1,2,-6,0.962402,0.123047,0.336914,-20.25,93.8125,24.8125,97,23,95
25,-9,-2,-29,-44,-10,-9,-7,-4,-0.24707,0.00341797,0.95459,0.9375,3.4375,4.3125,89,96,61,4,-1,1,0,-3,5,-2,-7,0.916016,0.118164,0.419922,-45.3125,161.375,46.875,92,31,99
26,1,12,7,6,8,5,3,-9,-0.197266,-0.0537109,0.938965,-7.5625,17.625,5.1875,89,97,61,-3,-2,-1,-3,-3,1,0,1,0.821777,0.0629883,0.494141,-53.0625,203.688,62.0625,88,42,102
27,7,-1,25,5,18,5,7,14,-0.125488,-0.0351562,1.02441,-12,4.1875,7.625,89,98,61,-1,-5,-3,-1,6,14,-5,-6,0.683594,-0.0258789,0.546875,-70.9375,209.938,72,86,51,103
28,5,10,27,71,3,1,1,4,-0.131836,-0.0537109,1.09912,-31.9375,-3.875,5.75,88,98,61,10,-1,-2,1,-16,-4,5,-9,0.416504,-0.218262,0.749512,-64.625,165.812,61.625,83,62,105
29,-3,-3,-31,-51,-31,-10,-4,2,-0.0546875,-0.0673828,1.08203,18.875,-19.4375,5.8125,88,97,61,-22,10,-3,-5,2,13,18,13,0.255371,-0.236328,0.916016,-60.125,137.062,64.5,82,68,105
30,2,-12,-5,-24,2,-4,0,-1,-0.115723,-0.0683594,1.07031,-1.625,-9.8125,-2.5,88,96,61,31,-10,-3,2,11,-3,2,-1,0.13916,-0.40918,1.04248,-27.625,73.5,52.375,81,76,106
31,7,27,30,39,6,6,0,5,-0.137695,-0.0405273,1.00488,9.8125,-2.8125,2.3125,88,96,61,10,-1,-3,-6,11,12,-1,5,0.111816,-0.389648,1.00781,-22.125,51.4375,33.0625,80,78,106
32,-7,-7,-4,-18,-24,-9,-7,0,-0.131836,-0.0454102,0.970703,5,0.375,4.8125,88,96,62,11,0,3,-4,-7,1,-9,0,0.145996,-0.383789,0.953125,-31.4375,26.4375,23.375,79,81,107
33,7,22,64,75,-3,1,5,-2,-0.135742,-0.0615234,0.97998,0.375,0.375,7.9375,88,96,62,1,-1,7,24,-2,0,3,1,0.150391,-0.475098,1.04199,-29.3125,14.5,14.125,79,82,107
34,42,10,5,0,-17,-5,-10,-1,-0.126465,-0.0600586,0.991211,0.6875,-3.9375,7.4375,88,96,62,2,-1,-5,-4,65,3,-7,0,-0.00488281,-0.462402,0.971191,-0.25,-11.4375,-16.375,78,82,107
35,-9,11,-17,18,-33,-9,1,3,-0.125488,-0.0307617,0.999512,-0.6875,-6.9375,7.0625,88,96,62,-6,0,2,-5,-35,-8,-12,4,0.0810547,-0.545898,1.05469,20,-70.5625,-42,78,79,107
36,-6,-17,18,40,-4,3,-2,21,-0.0878906,-0.0507812,1.01514,-2.1875,-5.25,11.4375,88,95,62,15,-5,1,2,-1,1,4,-3,0.115723,-0.318359,1.03174,41.625,-111.062,-56.25,79,75,106
37,5,13,9,19,5,3,-2,0,-0.046875,-0.0839844,1.03662,-1.5625,-6.125,9.9375,88,95,63,-4,1,0,-2,10,32,2,5,0.304688,-0.296875,0.983887,45.4375,-163.125,-72.4375,80,68,106
38,23,3,-19,23,1,2,0,3,-0.00488281,-0.0629883,1.04834,-0.5,-0.3125,4.25,88,94,63,-5,2,2,10,0,3,11,-5,0.492188,-0.186035,0.724121,53.375,-204.312,-87.5625,82,56,105
39,-12,-14,-18,-29,2,-3,-9,-27,-0.0175781,-0.0541992,1.03027,6.625,2,1.5625,88,94,63,-4,-19,-6,0,-5,33,28,8,0.635254,-0.0947266,0.575684,56.5625,-206.062,-95.5625,85,42,103
40,-7,0,-20,-43,2,-1,-6,6,-0.0551758,-0.0263672,1.00195,8.0625,4.875,-2.3125,88,94,63,-11,1,-6,-10,-7,-6,0,8,0.74707,-0.0595703,0.504883,59.625,-195.125,-91.9375,88,34,101
41,0,-26,-17,-4,1,1,-4,23,-0.104492,-0.0361328,0.98291,13.3125,6.1875,-4.5625,89,95,63,-9,1,3,-1,-18,40,26,13,0.800293,0.0761719,0.35791,57.0625,-174.5,-83.375,92,27,98
