Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,0.56543,0.0688477,0.75,11.8125,19.75,-121.562,91,86,57,0,0,0,0,0,0,0,0,-0.874512,-0.31543,0.972168,-178.812,-74.6875,128.125,85,104,51
2,0,0,0,0,0,0,0,0,0.414062,0.0766602,0.714844,-8.375,86.875,-45.1875,91,88,56,0,0,0,0,0,0,0,0,-0.57666,-0.250977,1.09619,-19.875,-114.375,186.688,85,101,55
3,3,9,26,-14,-28,-15,-9,5,-0.0317383,0.104492,0.98877,-32.8125,80.6875,-17.25,91,93,56,-29,-19,8,14,2,-8,-10,-13,-0.0922852,0.00439453,1.04736,51.5625,-102.625,202.438,86,98,60
4,36,-25,11,-8,-4,-11,9,-10,-0.0854492,0.0219727,1.14014,-7.9375,30.625,-1.625,90,96,55,-28,-6,-18,-33,-43,8,1,-8,0.275391,0.0878906,0.859863,48.6875,-58.4375,161.75,89,94,65
5,6,20,-6,-13,-2,0,16,1,-0.112793,0.0605469,1.1416,-10.25,21.3125,-2.625,90,96,55,3,1,3,24,-13,-71,-25,-8,0.339355,0.0981445,0.694824,0.5,-23.875,161.688,89,93,68
6,-3,-20,9,10,8,7,9,2,-0.105957,-0.00390625,1.11133,-10.75,6.9375,-5.0625,89,96,55,4,-1,-1,5,14,-3,-8,-6,0.350586,-0.453125,0.95166,53.8125,32.1875,57.9375,89,93,72
7,-6,-11,12,13,12,3,0,9,-0.163086,-0.065918,1.10986,-13.3125,5.0625,-3.9375,89,97,55,3,-7,8,-7,4,4,15,16,-0.114746,-0.134277,0.994141,73.1875,50.5,-15.875,91,96,72
8,-1,0,5,6,-10,-18,-5,2,-0.211426,-0.0209961,1.20166,-6.5625,-12.8125,-8.4375,88,97,55,10,11,-7,14,-40,8,-8,-1,-0.102051,0.097168,1.11963,15.0625,6.0625,-9.375,92,97,71
9,1,-14,11,16,-11,-6,-3,7,-0.19873,-0.0366211,1.27148,-7.4375,-50.4375,-8.4375,88,95,55,-13,-10,-10,-21,6,0,-4,-6,-0.0830078,0.078125,1.13037,-1.4375,-0.0625,-4.0625,92,97,71
10,1,0,-2,-4,-5,2,4,-1,-0.00195312,-0.0483398,1.34473,28.4375,-99.5,-8.5625,89,92,55,34,-5,23,8,15,-1,2,8,-0.133301,0.0756836,1.10107,-7.6875,-0.4375,1.5625,92,97,71
11,-10,-13,-5,-11,-4,3,4,-14,0.185547,-0.0126953,1.20215,87.3125,-144.188,-31.4375,91,84,54,-1,8,24,18,9,-3,-3,3,-0.126465,0.17627,1.18164,-7.0625,-6.4375,2.6875,92,96,71
12,-10,7,-26,-3,6,-3,9,-14,0.455566,0.177246,1.00488,113.125,-171.875,-30.375,94,74,52,-1,2,-35,-22,-18,-10,-7,10,-0.144043,0.144531,1.2251,-23.6875,-39.5625,11.0625,91,95,71
13,3,24,23,3,1,2,-6,-1,0.45166,0.246582,0.817383,103.188,-166.688,-30.8125,97,67,51,-22,-14,-2,-14,-11,-7,-6,-7,-0.090332,0.0458984,1.18945,-42.875,-81.4375,26.5,91,92,72
14,-2,3,-7,-11,-6,-2,-14,2,0.54834,0.285645,0.609863,86.6875,-143.875,-23.1875,101,59,49,9,6,-4,-2,15,11,-3,15,0.12793,-0.0595703,1.06445,-74.8125,-123.938,47.875,89,85,73
15,14,-13,-3,-6,-2,-2,17,54,0.615723,0.388184,0.458984,73.625,-113.188,-7.375,103,55,47,29,5,19,7,-11,-31,-9,-10,0.255859,-0.18457,0.928223,-93.75,-146.438,41.6875,86,77,75
16,-17,11,-4,0,-1,-11,6,-14,0.5625,0.452148,0.433594,11.875,-29.875,46.8125,105,50,47,9,1,13,5,-6,3,25,16,0.309082,-0.268066,0.818848,-88.5,-148.312,31.625,84,71,76
17,-20,58,9,7,5,9,-42,-8,0.437012,0.350586,0.375977,-20.75,29.3125,73.375,103,50,48,-11,16,-3,-19,-43,-78,-3,-11,0.411621,-0.267578,0.743164,-90.1875,-136.188,22.9375,82,66,77
18,-33,-76,-17,-11,-5,-4,-4,-9,0.359375,0.23877,0.498047,7.75,109.438,96.5,100,52,53,-23,-33,0,-24,-6,-13,-4,11,0.594727,-0.456055,0.791504,-67.25,-91.75,-4.875,79,60,78
19,6,40,-3,-1,-1,11,-8,-2,0.364746,0.213867,0.587402,13.1875,164.75,87.6875,99,56,56,-14,-4,-6,-17,-30,-93,-18,-12,0.543945,-0.364746,0.746094,-23.875,-45.75,-18.6875,77,56,79
20,-9,-15,-19,-31,-18,8,-18,-3,0.146973,0.20459,0.637207,65.6875,193.312,54.75,98,66,60,-10,-4,5,14,3,29,-8,3,0.578613,-0.372559,0.729492,-36.8125,-39.8125,-46.375,77,54,78
21,7,17,14,19,-10,-2,20,-1,-0.196289,0.284668,0.699707,53.9375,186.062,27.6875,99,76,63,-13,-10,-4,3,-3,8,-7,-15,0.39502,-0.275879,0.65918,19.625,6.375,-72.375,78,52,76
22,0,-9,-15,-17,-7,-2,4,2,-0.274902,0.342773,0.84082,-1.5,137.875,0.1875,99,82,64,36,11,10,11,3,41,-2,1,0.391113,-0.219727,0.67627,1.25,83.375,-92.8125,80,54,73
23,8,33,-10,-14,1,7,-33,11,-0.30127,0.150879,1.1123,-72.875,76.25,-35.25,97,89,65,-3,-4,1,9,8,-11,-6,9,0.254395,-0.177246,0.646484,-13.4375,126.312,-87.9375,82,57,70
24,-16,-27,-4,16,-7,-4,22,1,-0.155762,0.078125,1.20508,-66.625,70,-45.625,96,93,64,10,1,-12,-18,-21,-76,-15,-5,0.213379,-0.176758,0.683105,-8.25,149.438,-79.375,83,62,67
25,4,-30,-18,-46,-26,-23,-21,-5,-0.190918,0.0400391,1.11133,-30.5625,77.6875,-56.75,94,98,63,-13,-10,-2,-7,-10,4,-23,-2,0.132324,-0.208008,0.800781,-35.1875,145.875,-54.375,83,70,64
26,-1,22,35,-24,-8,6,20,-1,-0.273926,-0.00341797,1.05713,-36.8125,85,-57.5,93,102,62,-4,-7,-2,-3,4,-1,-4,-9,-0.0830078,0.0229492,0.882812,31.5,121.562,-23,84,78,62
27,14,14,-16,16,3,-3,4,15,-0.449707,-0.0390625,0.96875,-42.8125,76.0625,-46.9375,91,107,61,-41,-10,-9,-2,0,-4,7,-18,-0.0185547,-0.0751953,1.04932,32.75,118.125,-11.4375,85,83,62
28,-17,-20,-48,-25,-15,-31,-12,-20,-0.429199,-0.0668945,1.02148,-69.75,44.4375,-45.5625,90,109,60,69,18,3,14,-43,-47,0,30,-0.0844727,0.119629,1.09717,35.6875,115.562,6.3125,86,90,61
29,3,0,-23,9,18,-3,-33,3,-0.424316,0.012207,1.1167,-48.1875,6.25,-30.3125,87,110,59,39,17,5,2,10,42,2,14,-0.149414,0.0942383,1.14893,40,110.438,16.8125,87,94,61
30,-2,-9,-5,10,35,19,6,-7,-0.26416,-0.0957031,1.25293,-89.3125,-9,-26.5,86,109,58,-4,-7,-4,-18,1,22,-4,9,-0.234375,0.154297,1.12109,38.625,96.4375,25.5625,88,98,62
31,-8,-19,-32,-18,-17,-16,-2,11,-0.242188,-0.155273,1.37109,-33.625,-36.75,-20.875,84,107,58,14,-2,-8,6,-1,-42,-11,10,-0.286133,0.159668,1.18018,65.625,66,40.1875,90,103,63
32,11,3,-12,-3,7,4,1,-1,-0.164062,-0.246582,1.23193,-37.75,-71.125,-35.8125,83,102,57,16,-4,-5,14,-3,18,8,-3,-0.353027,0.118164,1.15088,60,38,39.9375,93,106,64
33,7,8,1,18,4,-6,2,7,-0.0439453,-0.275391,1.11719,2.25,-91.25,-49.0625,83,98,57,-9,6,-2,-2,-19,112,1,0,-0.190918,0.213379,1.26953,46,11.125,49.4375,95,106,66
34,22,-34,-5,8,15,17,9,3,0.00488281,-0.123535,0.849121,34.375,-71.5,-44.5625,84,92,56,-6,-6,1,-25,-15,-29,-8,3,-0.223145,0.164062,1.25879,33.875,-6.8125,55.6875,96,105,67
35,19,2,-14,8,12,1,-11,0,0.0361328,-0.000976562,0.706055,26.3125,-31.4375,-27.4375,85,90,55,7,7,-8,15,5,-5,9,15,-0.228516,0.216797,1.23291,21,-30.125,53.875,97,103,68
36,-5,13,6,18,16,-3,-20,6,0.00927734,0.015625,0.702637,8.125,6.8125,-4.75,85,90,55,3,1,-3,4,8,20,-6,-11,-0.214844,0.205078,1.11279,-2.8125,-54.0625,48.75,97,100,69
37,-1,-2,0,-1,16,7,13,-3,-0.100586,-0.231445,0.921875,-31,44.8125,25.625,84,93,55,0,-5,-13,-18,-16,-10,-1,-2,-0.111328,0.179199,0.960938,-23.5625,-74.875,39.5,96,95,70
38,-5,-14,4,19,-5,10,10,1,-0.126953,-0.28418,1.14941,-23.25,15.1875,3.625,84,95,56,-3,-3,-2,2,10,4,1,-8,-0.0517578,0.147461,0.849121,-22.0625,-71.1875,36.4375,96,92,70
39,1,10,-8,2,2,-3,8,1,-0.0791016,-0.211914,1.1499,-1.9375,-7.5625,-4,83,94,56,-13,-11,-17,-13,-10,4,-1,-8,0.0170898,0.0825195,0.769043,-10.9375,-39.4375,8.0625,95,89,70
