Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,-0.185059,-0.0864258,1.02832,5.9375,0,1.4375,86,100,138,0,0,0,0,0,0,0,0,-0.349609,0.154785,0.981934,-1.25,2.625,0.625,94,109,68
2,0,0,0,0,0,0,0,0,-0.152832,-0.0537109,1.04639,3.8125,-1.5,0.1875,86,100,138,0,0,0,0,0,0,0,0,-0.370605,0.130371,1.00977,7.875,10,4.375,94,109,68
3,1,-2,-1,10,1,3,0,-1,-0.0566406,-0.228027,1.01123,-26.875,2.25,2.25,85,100,138,-3,-4,-4,-7,-5,-21,-10,-13,-0.446289,0.168457,1.03467,14.5,-3.625,0.625,95,110,68
4,-2,-12,-20,-1,-2,-3,-2,-3,-0.168945,-0.238281,0.943848,-8.9375,4.375,8.75,85,100,138,2,4,3,19,5,23,3,3,-0.467285,0.176758,1.07764,3.9375,-44.375,-2.25,95,109,68
5,1,1,-5,-4,0,-1,-2,-3,-0.181152,-0.0834961,1.00049,5.3125,-5.0625,2.625,85,100,139,-1,0,-8,-13,-4,-18,7,-1,-0.335449,0.0205078,1.14697,-9.0625,-85.375,-10.75,94,106,67
6,-1,1,-7,2,1,-1,0,-1,-0.169434,-0.115234,1.00684,-10.5,-4.0625,-3.125,85,99,139,1,6,24,7,4,-5,-5,4,-0.355469,0.147461,1.21582,35.625,-82.75,-3,94,101,67
7,-1,-3,-34,-5,1,5,-1,-1,-0.174316,-0.177246,0.98877,-16.75,-2.75,-2.75,85,99,139,-4,-3,2,-5,-5,-1,3,-3,-0.145996,0.242188,1.2749,-50.9375,-135.125,13.125,94,94,66
8,3,0,55,6,-1,-2,0,0,-0.171387,-0.231445,0.988281,-13.5625,-2.6875,0.1875,84,99,138,0,1,-21,4,3,1,0,-1,-0.00244141,0.159668,1.29492,-56.9375,-160.625,18.5,93,88,66
9,0,1,12,-1,-2,-3,-1,0,-0.155762,-0.223633,0.996582,-3.9375,-2.625,1.9375,84,99,139,0,1,8,-3,-4,-4,3,3,0.208984,0.164062,1.12158,-74.75,-189.312,34.1875,91,77,67
10,-8,3,-33,0,-3,-6,-2,-4,-0.165039,-0.192383,0.991699,-1.625,1.875,2.375,84,99,139,-2,-1,3,3,2,2,2,5,0.381836,0.0839844,1.02588,-108.062,-208.562,35.8125,88,69,67
11,-3,4,-2,4,0,0,-1,0,-0.173828,-0.172363,0.979492,3.4375,-0.25,0.1875,84,99,139,-2,-2,1,-1,-13,13,-2,5,0.533691,-0.0454102,0.806152,-118.438,-218.312,40.3125,84,56,70
12,3,-4,17,0,1,-1,0,-1,-0.167969,-0.166504,0.994141,4.0625,-1.3125,-0.1875,84,99,139,3,0,3,3,-16,26,8,-3,0.612793,-0.127441,0.671875,-114.75,-212.438,46.8125,80,48,72
13,-1,-3,-42,-2,-2,3,1,-4,-0.17041,-0.164062,0.988281,-0.75,-1.5,0.75,85,99,139,1,-1,-1,0,-15,-21,-1,23,0.665039,-0.229004,0.467285,-117.75,-196.438,51.25,73,38,78
14,-1,5,21,-2,1,-3,-2,-2,-0.167969,-0.178711,0.996582,-2.75,-1.3125,-0.3125,84,99,139,0,-1,-1,-4,-23,3,16,13,0.685059,-0.325684,0.29248,-92.375,-141.688,41.25,64,33,85
15,-4,5,24,-2,0,-1,0,0,-0.15918,-0.173828,0.996582,0.875,-0.1875,-1.375,84,99,139,-1,0,-1,-1,-1,15,-2,-18,0.660156,-0.384277,0.211426,-70.5625,-98.125,35.0625,59,32,89
16,-3,-4,-12,5,-1,-4,1,-2,-0.162598,-0.173828,0.993164,0.9375,1.5,-0.9375,84,99,139,14,8,6,7,-33,3,5,1,0.66748,-0.444824,0.149902,-44.5,-42.5,29.3125,54,32,93
17,1,9,43,1,0,-1,-1,0,-0.17334,-0.177734,0.989258,0,1,-1.5,84,99,139,5,2,1,6,91,-18,4,15,0.652344,-0.452148,0.115723,-27.375,-24.75,24.6875,52,33,94
18,-3,-2,-6,0,-1,-8,2,1,-0.169434,-0.175781,0.995117,0.75,0.25,-1.5,84,99,139,-22,-8,9,16,31,37,0,18,0.702148,-0.504883,0.0932617,-9.1875,-7.375,18.5,51,34,95
19,-4,-3,17,-2,1,4,-1,-2,-0.171875,-0.17627,0.98291,-1.5625,0.1875,-0.25,84,99,139,26,-6,-8,-16,-35,-9,28,42,0.740723,-0.567383,0.0825195,-5.375,-4.375,3.375,51,35,95
20,1,5,11,0,-1,8,-3,-1,-0.172363,-0.176758,0.98877,-1.25,-1,-0.5625,84,99,139,-19,-10,-3,13,52,7,10,-28,0.774902,-0.524414,0.105957,8.625,0.1875,-12.6875,51,34,95
21,-1,1,-20,-1,1,-3,-2,-1,-0.162109,-0.169922,0.992676,-1.75,-2.75,-0.125,84,99,139,-12,-9,-6,-11,-15,-18,-11,-3,0.803711,-0.517578,0.123047,8.1875,4,-3.625,51,34,95
22,-1,1,5,-4,-3,-5,-1,-2,-0.166504,-0.182617,0.991211,-2.8125,-2.75,0.0625,84,99,139,18,17,-3,-8,-7,-24,-56,-18,0.810059,-0.585938,0.161621,8.625,-8.5625,-8.375,51,34,95
23,0,-8,-11,2,-1,3,-2,-4,-0.161621,-0.190918,0.986816,-1.875,-1.5,0.5,84,99,139,15,5,6,-14,-6,-17,94,28,0.905273,-0.471191,0.0947266,9.0625,5.4375,1.1875,51,33,95
24,-4,-4,-7,-4,0,-1,-2,-1,-0.158203,-0.183105,0.994629,0.3125,-1.25,-0.5625,84,99,139,-60,-7,-11,-8,2,7,-27,-24,0.757324,-0.576172,0.15625,4.1875,35.75,23.5625,53,35,94
25,-4,0,-22,-4,-2,-3,0,-4,-0.160156,-0.179199,0.996582,0,0.0625,-0.6875,84,99,139,15,19,-3,-3,2,5,20,1,0.788086,-0.536621,0.225586,2.3125,-7,2.6875,53,36,94
26,1,6,12,-3,-1,-2,0,2,-0.15625,-0.187012,0.985352,-1.125,0.5625,-0.5,84,99,139,-30,-6,-4,-5,-8,-16,-8,14,0.818848,-0.53418,0.141602,6.5625,-3.9375,0.8125,53,35,94
27,-1,1,27,-3,-2,-2,-1,-2,-0.157715,-0.185547,0.983398,-0.8125,0.3125,-0.5625,84,99,139,1,1,7,6,-38,-48,-14,-8,0.809082,-0.543945,0.15332,-2.125,-10.875,-4.5625,53,35,94
