Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,-0.208008,-0.561035,0.830566,-1.4375,-0.125,0.1875,73,101,49,0,0,0,0,0,0,0,0,-0.161133,-0.421875,0.950195,-0.375,0.6875,0.125,78,98,65
2,0,0,0,0,0,0,0,0,-0.205078,-0.5625,0.828125,-1.75,0.1875,-0.5,73,101,49,0,0,0,0,0,0,0,0,-0.159668,-0.406738,0.943359,0.4375,0.5625,-0.0625,78,98,65
3,-1,0,0,4,0,1,1,1,-0.216309,-0.568359,0.828613,-0.3125,1.75,1.4375,73,101,49,-3,-2,1,2,-16,-15,-7,-10,-0.158691,-0.414062,0.946289,0.0625,0.75,-0.9375,78,98,65
4,2,0,0,4,1,2,0,0,-0.195801,-0.557617,0.831055,0.75,1.875,0.5625,73,101,49,1,-1,-8,-29,-78,-26,-9,-2,-0.148926,-0.494629,0.973145,-3.9375,11,2.5,78,99,65
5,-3,-4,-3,0,-1,1,-1,-1,-0.211914,-0.554199,0.830566,0.375,3.1875,1.6875,73,101,49,42,48,39,17,7,20,-7,6,-0.192871,-0.348633,0.956543,24.5625,4.875,-7.5,78,99,65
6,2,7,17,10,3,2,0,-2,-0.201172,-0.574707,0.838867,0.9375,1.25,-1.6875,73,102,49,-15,-5,-1,-8,3,33,51,-12,-0.310059,-0.500977,1.05957,-12,-44.75,-51.3125,77,97,64
7,2,2,0,0,-3,-1,-2,-1,-0.233398,-0.586914,0.821777,3.5,0.125,-2.375,73,102,49,25,-11,-8,-19,-32,-32,-13,0,-0.222168,-0.291016,1.0459,-8.4375,-81.625,-43.5,77,94,64
8,-1,-3,-1,-3,0,-1,-1,-2,-0.210938,-0.558594,0.834473,2.1875,0.0625,-2,73,102,49,-4,6,3,11,38,39,7,-6,0.126953,-0.390625,0.981934,-24.25,-138.938,-21.25,77,86,64
9,-2,-3,-4,-5,-2,-1,-2,-2,-0.202148,-0.555176,0.836426,2.25,0.4375,-0.1875,73,102,49,-8,0,0,-18,-65,-44,-13,-10,0.162598,-0.435059,0.999512,22.375,-152.438,-12.3125,77,78,66
10,-2,-4,-3,-2,-2,-3,-1,-2,-0.219238,-0.544434,0.832031,0.875,1.0625,1.1875,73,102,49,4,-7,-8,-1,15,23,-2,5,0.359863,-0.432129,0.949219,-13.0625,-170.062,-5.9375,77,72,67
11,-1,-3,-4,1,-2,-2,0,-1,-0.219238,-0.544922,0.836914,0.8125,0.5,0.875,73,102,49,7,4,5,11,-25,-7,3,7,0.500488,-0.437012,0.82959,-23.75,-179.375,-12.5,75,62,69
12,-1,-3,-5,-1,-2,-3,-1,-1,-0.220703,-0.545898,0.835449,0.5,0.375,0.75,73,102,49,3,-24,-9,-4,-3,-37,-32,-11,0.563965,-0.450684,0.729492,-28.5625,-169.438,5.0625,74,56,71
13,0,0,-2,2,-2,0,-2,0,-0.216309,-0.551758,0.837891,-0.5,-0.25,-0.1875,73,102,49,6,0,1,-4,4,29,25,11,0.615234,-0.437988,0.588867,-25.75,-161.75,6.125,71,48,75
