Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,-0.176758,-0.484375,0.889648,-2.9375,5.625,0.4375,75,101,54,0,0,0,0,0,0,0,0,-0.0776367,-0.329102,0.981934,-0.1875,0.1875,-0.3125,80,94,54
2,0,0,0,0,0,0,0,0,-0.161621,-0.45459,0.908691,-15,16.3125,0.25,75,101,54,0,0,0,0,0,0,0,0,-0.0800781,-0.336426,0.986328,-0.3125,-0.0625,-0.25,80,94,54
3,7,6,14,9,8,7,7,4,-0.231934,-0.637207,0.864746,-36.125,22.625,-4.4375,73,102,53,-1,-1,0,-2,-6,-1,-1,-3,-0.081543,-0.334961,0.984863,-0.3125,-0.0625,-0.25,80,94,54
4,4,2,3,-4,-4,-2,0,1,-0.336426,-0.586426,0.829102,-6.5,7.625,-27.75,73,102,52,-1,0,0,0,8,2,-1,-2,-0.0664062,-0.355957,1.0293,-3.6875,9.4375,3.625,80,94,54
5,1,8,4,-1,1,0,2,3,-0.137695,-0.709473,0.841797,-28.1875,-16.9375,-62.25,71,99,51,1,0,0,0,1,0,-1,-5,-0.0639648,-0.395508,1.01465,-3.75,20.0625,12.1875,80,94,54
6,1,-9,-9,-4,-9,-3,-3,-3,-0.0947266,-0.947266,0.688477,-54.5625,-29.9375,-96.9375,69,94,49,-3,-1,1,8,4,7,3,1,-0.0673828,-0.377441,1.01904,17.4375,18.4375,10.125,80,96,54
7,-14,-2,-17,-3,1,1,1,-5,0.152344,-0.797852,0.753906,38.9375,-27.0625,-119.812,69,87,47,1,-2,-5,4,0,-2,1,21,-0.15625,-0.225098,1.09131,-16.75,15.125,15.125,80,97,54
8,5,-1,-5,5,-3,-3,-2,0,0.130859,-0.589844,0.710449,9.1875,-41.75,-128.625,69,83,45,4,1,0,0,0,1,0,1,-0.168945,-0.304688,1.04541,-38.375,-18.25,15.9375,80,97,55
9,1,1,-3,5,1,-2,-4,-2,0.176758,-0.685059,0.724121,-16,-41.375,-121.875,69,78,44,-4,-6,-6,-5,-5,-12,-8,-15,-0.0576172,-0.401367,1.06055,-107.625,-69.75,38.9375,78,95,56
10,-4,12,5,-3,-2,-2,-7,-4,0.212891,-0.629395,0.731934,-6.8125,-36.25,-103.562,69,72,42,-12,-1,0,0,-3,1,-7,-20,-0.00537109,-0.447754,0.970215,-9.125,-102,30.3125,77,90,58
11,2,4,-7,2,5,4,3,5,0.294922,-0.618652,0.739746,-26.0625,-20.5,-82.875,69,68,40,-9,-10,-2,1,0,12,14,7,0.0966797,-0.383301,0.950195,-2.1875,-115.562,20.75,77,87,60
12,21,2,15,-2,-8,-5,-6,1,0.34375,-0.627441,0.747559,-22.6875,-6.1875,-79.125,69,66,39,4,2,-4,-5,-8,-15,-4,-21,0.172852,-0.403809,0.899414,-7.75,-123.5,8.875,76,80,62
13,-14,-6,8,-2,-1,-1,-1,-8,0.354004,-0.572266,0.728027,-5.9375,7.75,-69.5625,70,63,37,-17,4,2,1,-4,0,14,11,0.192383,-0.416992,0.856934,2.5,-113.625,-1.1875,76,76,63
14,-18,1,-12,-7,-1,1,-3,-8,0.351562,-0.52002,0.729492,-5.25,9.0625,-50.0625,71,62,35,9,-6,-2,1,2,33,36,9,0.275879,-0.443848,0.838867,12.75,-98.4375,-3.25,76,70,64
15,2,8,-1,5,4,4,-1,-2,0.240234,-0.458008,0.730957,-0.125,0.5625,-32.1875,71,62,35,6,5,3,1,3,-5,-16,-3,0.32373,-0.45166,0.825195,3.25,-79,2.875,76,68,65
16,0,-3,-2,0,2,0,1,-2,0.430664,-0.529297,0.791504,-22.8125,-16.5625,-0.625,71,62,35,-7,-7,-2,0,-2,-9,-10,-9,0.385254,-0.441895,0.78418,7.4375,-54.9375,12.75,75,65,66
17,4,17,-9,5,-3,-8,-4,-6,0.467773,-0.537598,0.768066,-12.5,-4.9375,-0.5,71,61,35,4,-6,1,4,3,10,3,1,0.349121,-0.501953,0.787598,3.5625,-29.25,12.8125,75,63,67
18,-2,-10,-4,-4,1,-2,-2,-1,0.444336,-0.529785,0.679199,4.0625,-0.9375,0.125,71,61,35,-2,-10,-4,1,-2,-11,-6,2,0.352051,-0.494141,0.774902,5.5625,-16.6875,12.375,75,63,68
