Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,-0.0966797,-0.787598,0.635254,3.25,0.8125,1.4375,64,94,122,0,0,0,0,0,0,0,0,-0.140137,0.330566,0.939453,0.25,0.0625,0,99,97,141
2,0,0,0,0,0,0,0,0,-0.0805664,-0.779785,0.641113,1.5,0.125,1.375,64,94,122,0,0,0,0,0,0,0,0,-0.143555,0.334473,0.953613,-0.3125,0.0625,-0.125,99,97,141
3,0,-1,-1,-1,0,-1,1,-2,-0.0844727,-0.786133,0.649414,-0.8125,-0.375,1.875,64,94,122,4,9,3,8,91,22,5,3,-0.143066,0.404785,0.95459,-10.25,8.0625,0.5,99,98,141
4,-1,-1,-1,1,-2,2,-2,-1,-0.0849609,-0.782227,0.648926,-1.25,0.25,2.125,64,94,122,2,1,6,3,-6,-22,-3,1,-0.0107422,0.46582,1.02051,14.6875,7.25,22.0625,99,98,142
5,-1,-2,-1,1,2,-1,-2,-2,-0.0893555,-0.791504,0.645996,-1,0.8125,2.625,64,94,122,1,-2,0,9,1,-2,-1,1,-0.0644531,0.300781,1.07666,8.8125,2.75,38.8125,99,97,143
6,0,-1,0,-1,-4,-1,-1,-1,-0.0917969,-0.784668,0.643066,-1.625,0.9375,2.625,64,95,122,-2,0,3,-18,1,4,-7,-2,0.0170898,0.612305,0.999023,95.125,-12.75,104.75,102,94,145
7,-1,-2,1,-1,0,-1,0,-1,-0.0888672,-0.791992,0.635742,-0.875,1.25,2.1875,64,95,122,-7,-7,-9,8,4,-1,-3,-4,0.0864258,0.67041,1.00586,63.875,-22.3125,136.25,104,91,147
8,0,-3,-1,-4,-9,-3,0,-1,-0.0893555,-0.788574,0.629883,-0.625,0.8125,1.125,64,95,122,2,4,8,-5,1,-2,-2,0,0.168457,0.566406,0.91748,74.9375,-34.5625,176.188,106,84,151
9,-1,-1,-3,0,-2,-1,-2,-2,-0.0966797,-0.796387,0.631348,-0.125,-0.5625,-0.375,64,95,122,2,5,9,9,-4,-4,0,0,0.250977,0.695312,0.822266,82.5625,-37.625,194,107,79,154
10,-1,-2,-1,-2,0,-3,-1,-2,-0.09375,-0.79248,0.637695,-0.125,-1.0625,-1.1875,64,95,122,3,5,3,-2,-3,-1,-2,-2,0.285156,0.616699,0.787109,11.125,-52.6875,190.188,107,70,158
11,1,-1,-1,0,1,-1,-1,-2,-0.0922852,-0.782715,0.647461,0.4375,-0.8125,-1.6875,64,95,122,-2,1,-15,-18,-17,-4,1,2,0.336426,0.500977,0.771484,12.8125,-52.3125,189.438,106,64,161
