Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,-0.0610352,-0.828125,0.614258,-0.9375,1.25,-0.1875,63,93,126,0,0,0,0,0,0,0,0,-0.157715,0.359863,0.9375,-0.3125,0.0625,-0.125,100,98,144
2,0,0,0,0,0,0,0,0,-0.0625,-0.836914,0.613281,-1.3125,2.4375,0.375,63,93,126,0,0,0,0,0,0,0,0,-0.15918,0.361816,0.937012,0.5,-0.0625,0,100,98,144
3,-2,-2,1,-3,-8,-3,-2,-1,-0.0585938,-0.825684,0.582031,-1,3.8125,1.5625,62,93,126,-9,0,-2,-1,-4,-7,-4,-3,-0.158691,0.353516,0.937988,-0.3125,-0.125,0,100,98,144
4,-2,0,-3,-2,-3,-2,0,-1,-0.0581055,-0.820801,0.591797,-0.125,1.9375,-0.9375,62,93,126,1,0,2,5,-2,7,0,-1,-0.157227,0.371094,0.951172,-0.1875,0.4375,0.0625,100,98,144
5,-1,0,-2,-2,-2,0,-1,-1,-0.0927734,-0.810547,0.593262,-0.0625,0.6875,0.375,62,93,126,5,4,8,8,8,-12,2,1,-0.14209,0.384277,0.967773,0.9375,6.375,2.0625,100,98,145
6,1,-1,0,1,5,1,-1,1,-0.0581055,-0.822266,0.599121,-1.375,0.125,-1.5,62,93,126,0,-2,-2,0,27,-8,-3,-1,0.0893555,0.473145,0.937988,-25.375,12.75,13,100,98,145
7,-1,-1,-3,-1,-2,-5,-1,-3,-0.0751953,-0.831543,0.597656,-1,-1.3125,0.0625,62,93,126,0,-1,1,-7,-29,-3,-5,-1,0.0942383,0.379395,1.00244,-16.5625,9.25,24.8125,99,98,145
8,0,0,-2,-3,0,-1,-1,-1,-0.0703125,-0.839844,0.601562,-1.5,-0.6875,2,62,93,126,-2,-1,-8,21,32,3,-2,-2,0.0571289,0.509277,1.07812,-3.8125,12.1875,56.75,100,96,147
9,-2,0,-2,0,-1,-1,-1,-1,-0.065918,-0.83252,0.602051,-0.9375,-0.75,4.4375,62,93,126,0,-2,-6,-12,2,5,1,1,0.0908203,0.459473,1.06934,1.125,9.4375,80.1875,100,95,148
10,1,1,0,-1,1,-1,-1,0,-0.0742188,-0.826172,0.591797,-0.9375,0,5.1875,62,94,126,-1,2,8,27,71,19,0,-2,0.00292969,0.558594,1.06641,-11.5,-3.6875,96.375,100,93,151
11,-1,-1,-1,0,-3,-1,-1,0,-0.0878906,-0.827637,0.583984,-1.75,-0.375,3.625,62,94,126,9,4,3,-9,-62,-21,12,28,-0.116211,0.544922,1.00781,-12,-23.6875,110.188,100,91,153
12,-1,-3,-1,-4,-6,-2,-2,0,-0.0800781,-0.821777,0.580078,-1.9375,-1.3125,2,62,94,126,0,-5,-1,2,30,12,-22,2,-0.153809,0.557617,0.975586,-9,-60.25,147.25,100,85,156
13,-1,-2,-3,0,1,-1,0,-2,-0.0712891,-0.828125,0.59082,-1.8125,-1.625,-0.125,62,94,126,-1,11,9,2,30,-2,5,2,-0.114258,0.477539,0.967285,2.9375,-77.0625,153.812,100,80,158
14,0,-2,-1,0,-1,0,-1,0,-0.078125,-0.82666,0.586426,-1.5,-1,-2.75,62,94,126,5,1,9,10,-1,5,9,3,-0.046875,0.407715,0.946289,23.25,-101.312,163.062,99,72,162
15,-2,-1,1,-1,0,-1,-3,-1,-0.0805664,-0.831543,0.583496,-0.8125,-1.5,-3.8125,62,94,126,-3,1,3,-1,-6,11,1,1,0.0507812,0.378418,0.88916,23.5625,-106.312,161.562,99,66,164
16,-2,-1,-1,-1,-2,-1,-2,0,-0.0703125,-0.840332,0.588867,-0.1875,-1.5,-4.375,62,93,126,-5,3,4,33,76,9,13,0,0.20752,0.246094,0.831543,12.375,-110.875,143.812,98,58,168
17,0,-2,-2,-2,-3,-2,-1,-2,-0.0708008,-0.838867,0.585449,-0.1875,-2.1875,-3.625,62,93,126,-3,-3,-6,-7,-43,-9,-7,-6,0.376465,0.106445,0.780762,-5.4375,-100.812,119.188,96,50,172
18,0,-2,-1,-1,-1,0,-1,-1,-0.0644531,-0.836914,0.591309,0.25,-1.9375,-2.6875,62,93,126,2,3,4,7,4,9,2,-3,0.468262,0.0483398,0.746094,4.5625,-82.25,102.188,94,46,174
19,-1,-1,-1,-2,-3,-4,-2,-1,-0.0576172,-0.850586,0.592285,-0.125,-1.125,-1.75,62,93,126,-1,8,3,6,16,22,13,-2,0.569336,-0.0473633,0.660156,8.4375,-53.625,69.75,92,42,178
20,-2,-2,0,-1,-1,-1,-3,-1,-0.0571289,-0.833496,0.598633,-0.1875,0.25,-0.6875,62,93,126,9,6,-4,-4,-15,-16,-10,0,0.647949,-0.0527344,0.643066,18.0625,-30.5625,49.25,91,40,179
21,-1,1,-2,-1,0,1,1,1,-0.0683594,-0.836426,0.590332,1.125,0.5625,0.125,62,93,126,0,-2,-8,1,1,23,7,2,0.729492,-0.0981445,0.67041,-13.75,-1.625,-5.9375,90,40,0
22,0,0,0,-5,-3,-1,-1,-1,-0.0581055,-0.847168,0.59375,-0.0625,0.1875,1.25,62,93,126,5,-2,-6,-1,18,-3,-11,0,0.714355,-0.14502,0.646484,-21.8125,12.5,-16.4375,90,40,0
23,-1,0,0,-1,-4,0,1,0,-0.0629883,-0.837402,0.597168,1.1875,0.5,2.1875,62,93,126,-12,-7,-3,-11,-18,-2,-4,-2,0.81543,0.00439453,0.592773,-5.25,26.9375,-52.125,91,41,178
24,-1,0,1,-1,0,-3,-3,1,-0.065918,-0.837402,0.593262,0.8125,1,2.8125,62,93,126,7,4,4,6,4,9,3,-2,0.779785,-0.0625,0.70752,-18.8125,41.25,-69.3125,92,43,177
25,1,-1,-1,1,-1,-3,-2,1,-0.0712891,-0.83252,0.597168,1.1875,1,2.75,62,93,126,-5,-4,-2,-11,-10,1,-12,-7,0.673828,0.209473,0.733887,20.5,37.625,-59.5,94,46,174
26,-2,-3,0,-1,-1,-2,-2,0,-0.0703125,-0.826172,0.585449,0,0.625,0.5,62,93,126,8,7,3,-6,-19,-23,-14,0,0.57959,0.283691,0.756836,-2.4375,22.5625,-41.0625,95,47,173
27,0,-1,-1,-1,0,-2,-1,-3,-0.0751953,-0.828613,0.584961,-0.3125,0.125,-1.6875,62,93,126,1,0,5,6,-3,2,8,1,0.533203,0.324707,0.789062,0.9375,-5.0625,10.625,96,48,172
28,-2,-1,-2,0,-2,-1,-3,-1,-0.0737305,-0.827637,0.584473,-1.0625,-0.625,-2.6875,62,93,126,0,8,6,7,-2,-3,-7,-3,0.577637,0.288574,0.751953,3,-31.1875,54.9375,95,47,173
29,-1,-2,-1,0,0,-2,2,0,-0.0664062,-0.838867,0.583984,-0.5625,-1.5625,-2.3125,62,93,126,-2,-7,-14,-19,-32,-12,12,3,0.599121,0.169922,0.727051,-3.3125,-39.75,70.6875,94,45,175
30,-1,0,0,-1,-1,-2,-1,-1,-0.065918,-0.832031,0.596191,-1.5,-2.0625,-1.5,62,93,126,9,6,-2,-4,-3,-28,-5,-1,0.696777,0.0644531,0.682617,2.4375,-41.875,73.125,93,43,177
31,-1,-1,-2,1,-1,-2,-2,-1,-0.0585938,-0.84082,0.597168,-2.6875,-1,-1.0625,62,93,126,-8,-9,-8,5,28,-4,-8,-9,0.745117,-0.118652,0.652832,-6.6875,-25.125,45.875,91,41,179
32,0,-1,-1,-1,-1,-1,0,-1,-0.0546875,-0.834473,0.587891,-1.125,-0.0625,-1.0625,62,93,126,7,-2,-3,5,8,2,-3,-3,0.778809,-0.161133,0.647949,-16.5,-2.8125,-15.1875,90,40,0
33,-2,-3,-1,-2,-2,0,-1,1,-0.065918,-0.836914,0.577637,-0.9375,-0.125,-1.0625,62,93,126,-3,-4,3,1,0,4,-1,-3,0.748047,-0.151367,0.63623,-31.6875,13.5625,-40.1875,90,41,179
34,-1,0,-1,-3,-2,-1,1,-2,-0.0610352,-0.841797,0.589355,-0.9375,-0.8125,-1.375,62,93,126,0,0,2,2,-7,-4,-1,-2,0.67627,0.00195312,0.655762,-37.5,39.125,-77.375,91,43,177
35,-2,-1,1,-3,-6,-4,-1,-1,-0.059082,-0.838867,0.590332,0.375,-0.25,-0.875,62,93,126,-3,-1,1,-1,-2,-1,1,0,0.588867,-0.117676,0.757324,-56.5625,67.4375,-97.1875,91,45,174
36,-1,-2,-1,2,3,2,-2,-1,-0.0620117,-0.840332,0.601074,-0.25,1.625,-0.3125,62,93,126,0,-2,0,-2,2,-2,-3,-3,0.480469,0.0673828,0.834473,-27.375,86.875,-105.438,93,51,171
37,0,0,-2,-1,-3,-2,0,0,-0.0639648,-0.853027,0.575684,-1.5,3.4375,0.75,62,93,126,-2,-1,-2,-2,-2,-9,-2,-1,0.358887,0.163574,0.828125,-34.625,86.1875,-104.625,94,57,167
