Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,0.196289,-1.04492,0.84375,18.5625,-52.375,-149.562,63,81,124,0,0,0,0,0,0,0,0,-0.172363,0.333008,0.945801,-0.0625,-0.0625,-0.25,99,99,147
2,0,0,0,0,0,0,0,0,0.276367,-1.0542,0.787109,21.25,-64.125,-194.375,63,73,123,0,0,0,0,0,0,0,0,-0.165039,0.341797,0.941895,0.6875,0.125,0.1875,99,99,147
3,1,-2,-2,-2,2,-2,-1,0,0.400879,-0.876465,0.589844,54.6875,-68,-233.5,66,60,120,1,0,4,6,7,-8,-2,-1,-0.165039,0.339844,0.958984,-0.6875,0.25,0.25,99,99,147
4,-5,-6,1,-4,-22,-12,-11,1,0.507324,-0.554688,0.459473,63.375,-51.4375,-225.812,70,49,115,-3,0,2,0,-1,-3,-2,0,-0.190918,0.347656,1.01416,-13.5,5.375,4.0625,99,99,148
5,-1,-2,1,-4,4,1,1,-1,0.547363,-0.368164,0.378906,61.8125,-34.375,-189.188,76,40,109,2,6,2,-9,-8,-1,-3,-2,-0.193848,0.383789,1.02686,-29,2.5,2.75,99,99,148
6,2,4,-1,-5,-10,-5,-1,1,0.584473,-0.251465,0.34668,57.625,-20.75,-163.438,81,37,104,0,1,0,0,-8,2,1,2,-0.146973,0.231445,1.09229,47.25,-0.75,22.5,99,99,148
7,-3,-2,3,-2,-8,-3,2,-4,0.603027,-0.0908203,0.376953,43.875,-9.25,-130.562,86,35,100,2,5,6,4,2,-3,-6,2,-0.169434,0.598145,1.16064,-6.25,-60.5625,45.8125,100,96,149
8,-1,1,-1,-5,-9,-5,8,3,0.65918,-0.0615234,0.416992,-2.25,13.5625,-101.188,91,35,94,3,11,12,7,6,-2,9,-1,-0.0180664,0.330078,1.26416,15,-121.312,83,100,89,150
9,-1,-7,-2,-5,2,0,3,0,0.662109,0.0395508,0.492188,-0.625,25.1875,-76.0625,94,37,90,3,5,3,4,-1,1,-6,1,0.148438,0.421387,1.07617,33.75,-155.312,121.812,101,78,151
10,2,-1,-5,-1,-2,-11,-29,-5,0.650391,0.134766,0.544922,-2.8125,22.4375,-54.0625,95,38,88,2,6,3,3,-1,-4,-25,3,0.269531,0.451172,0.913574,-5,-163.688,143.312,100,70,152
11,2,-6,-8,-2,-6,0,-87,-22,0.682617,0.211914,0.598633,2.6875,14.0625,-10.5,96,40,87,-2,1,-2,-2,0,0,1,1,0.400391,0.389648,0.783203,-52.375,-162.688,149.438,99,62,154
12,-10,-2,2,2,8,4,120,0,0.683594,0.180664,0.60791,-7.125,12.25,6.125,96,40,87,4,9,10,6,1,-5,-31,0,0.51709,0.202148,0.630371,-86.3125,-149.375,133.438,95,51,158
