Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,-0.516113,-0.6875,0.591797,-11.5,5.6875,-2.5625,64,119,51,0,0,0,0,0,0,0,0,-0.57666,0.587402,0.581055,-0.5,-0.4375,0.3125,112,125,18
2,0,0,0,0,0,0,0,0,-0.505859,-0.701172,0.654785,-70.25,17.875,-11.75,63,119,50,0,0,0,0,0,0,0,0,-0.575684,0.592773,0.576172,1,-0.4375,0.4375,112,125,18
3,-4,8,7,9,7,0,-1,2,-0.541992,-1.14062,0.708984,-109.625,-9.1875,-38.125,58,118,50,-2,0,-2,-4,-4,-2,2,-2,-0.599121,0.597168,0.596191,6,0.5625,2.75,112,125,18
4,10,1,11,9,2,-1,-4,-1,-0.433105,-0.980469,0.645996,7.6875,-51.25,-71.9375,58,114,50,3,3,0,29,12,0,-10,2,-0.602539,0.597168,0.701172,36.4375,4.75,13.4375,113,124,18
5,-3,-13,4,4,-12,-2,0,5,-0.227539,-1.16602,0.447266,-21.5,-51.5625,-130.688,58,106,50,8,25,44,87,26,3,2,5,-0.628906,0.752441,0.799316,43.8125,-3.9375,32.625,114,123,19
6,-11,3,6,5,9,0,7,-3,-0.151855,-1.06885,0.385742,-23.125,-47.5625,-156.438,57,100,49,4,9,24,-3,0,2,0,2,-0.626465,0.870605,0.79541,49.6875,-29,68.875,115,121,19
7,-4,-1,20,27,1,-6,-3,-9,-0.0849609,-0.895996,0.311523,-11.625,-38.5625,-142.625,57,91,49,-7,-11,-11,-15,-3,-4,-3,-5,-0.423828,1.06201,0.678711,33.0625,-70.875,136.312,117,113,20
8,-3,-2,31,-9,-25,-1,1,-4,-0.0786133,-0.871582,0.29834,18.6875,-26.8125,-113.188,57,86,48,-19,-19,-27,-22,4,-8,-39,-23,-0.257812,1.06982,0.620117,-14.1875,-85.625,164.062,117,106,20
9,-38,-9,5,35,-3,-4,-3,6,-0.0205078,-0.678711,0.296875,27.1875,-5.4375,-58.1875,58,82,48,10,11,14,24,-50,-17,22,28,-0.0708008,0.888184,0.551758,-31.25,-104,166.625,116,94,21
10,-2,-1,19,-10,-12,0,-4,4,0.0209961,-0.746582,0.305664,-1.0625,6.8125,-32.5,58,81,47,-113,-30,-8,-52,-5,24,-35,-93,-0.103516,0.859375,0.407227,0.8125,-78.3125,168.188,116,87,22
11,2,0,-17,1,-6,-3,-3,-2,0.0737305,-0.839844,0.350098,11.375,11.5,-14.6875,58,81,47,27,1,4,-24,5,-10,6,15,0.211914,0.757812,0.297363,-17.75,-64.25,114.5,116,77,22
12,4,3,2,-32,-18,-3,-4,-6,0.11377,-0.863281,0.417969,6.6875,10.8125,-12.125,58,80,46,23,16,25,32,-14,32,75,49,0.228027,0.575195,0.541504,-21.5625,-31.0625,105.938,115,73,23
13,-5,-4,-8,14,15,4,3,-2,0.138672,-0.888184,0.438477,-5.75,8.5,-11.8125,58,80,46,-5,-6,-7,1,-27,-8,-43,15,0.330566,0.715332,0.450684,-30.5,-15.6875,93.9375,114,68,25
14,-4,4,21,8,5,1,2,2,0.144531,-0.920898,0.469727,-6.5,9.0625,-14.8125,58,80,46,11,-8,-22,-38,-4,7,11,8,0.430176,0.588379,0.48877,-12.5625,-10.6875,83.9375,113,63,26
15,-2,-4,23,24,14,1,1,-4,0.170898,-0.914062,0.492676,-6.0625,7.75,-20.75,58,79,45,6,-3,5,-39,-18,11,46,1,0.421387,0.542969,0.457031,12.3125,5.9375,73.3125,113,61,27
16,1,4,21,-19,-9,-3,-3,3,0.172363,-0.891602,0.49707,-5.375,3.5625,-19.6875,58,79,45,11,-4,-1,-23,-8,-11,-53,-4,0.443359,0.490723,0.446289,8.3125,12.1875,52.25,113,60,29
17,6,10,0,20,2,-1,-1,-2,0.181641,-0.896484,0.487305,-8.3125,-0.9375,-22.5625,58,78,44,2,-9,-11,2,15,3,-20,-9,0.433594,0.506348,0.434082,5.9375,25.8125,24.8125,112,59,30
18,2,13,39,-50,-13,-1,0,5,0.18457,-0.868652,0.47168,-0.75,-5.75,-19.6875,58,77,44,-27,-7,-4,5,11,-2,-13,-1,0.375,0.433594,0.515625,-8.875,41.375,-0.4375,111,60,31
19,3,-4,-14,-23,5,3,-2,2,0.187012,-0.875,0.442383,-15.875,-4.875,-20.1875,58,76,44,-4,0,9,85,25,5,19,-6,0.363281,0.418457,0.606445,-1.125,43.6875,-15.9375,111,62,32
20,3,-2,-30,19,7,1,-2,9,0.215332,-0.892578,0.435059,-0.6875,-5.4375,-20.1875,58,75,44,12,3,0,-46,22,-8,2,12,0.344727,0.589844,0.671387,6,46.9375,-26.125,111,65,32
21,5,4,4,40,15,5,1,0,0.162598,-0.860352,0.24707,-18.1875,4.25,-28.8125,57,74,44,2,2,-5,-53,12,1,-5,-1,0.3125,0.555176,0.709473,-4.75,39.6875,-30.5,111,67,32
22,26,2,-3,-11,6,-9,-5,10,0.21875,-1.20801,0.375977,-84.3125,-11.25,12.75,56,75,44,-4,-4,-3,3,10,-1,12,-14,0.241211,0.641113,0.661133,8.75,36.375,-26.5625,111,70,32
23,-7,2,42,29,-5,-6,-5,-1,0.267578,-0.85498,0.468262,59.3125,-23.0625,2.6875,57,75,44,9,5,0,-10,18,11,7,15,0.225586,0.554688,0.628418,3.375,43.125,-32.6875,111,72,33
24,-4,-2,0,-11,-8,-2,-5,-3,0.247559,-0.899902,0.325195,-19.875,-5.3125,-22.6875,56,73,44,18,3,-2,-15,-79,-66,-61,11,-0.146973,1.10303,0.740234,0.875,92.6875,-69,111,78,33
25,-33,-12,-11,-2,11,-1,-5,1,0.246582,-0.92041,0.371094,14.3125,5,-9.5,56,73,44,-1,-6,0,5,46,26,42,12,0.363281,-0.0527344,0.504883,12,33.8125,-62.9375,111,80,33
26,6,4,25,-2,-5,-2,-1,1,0.256836,-0.694824,0.404297,33.8125,6.125,10.25,57,73,44,-22,-9,-2,-39,33,12,2,-14,-0.0556641,0.466309,0.574219,-30.5625,142.625,-127.688,112,90,33
27,0,-2,0,2,9,2,-2,-3,0.311035,-0.855469,0.42334,-8.25,7.5625,32.8125,57,75,44,-12,-4,-24,-5,6,6,-8,-6,-0.189941,0.458008,0.509277,-30.3125,187.562,-160.625,111,100,33
28,0,-2,11,-36,-4,-1,-1,-4,0.261719,-0.821289,0.397949,-5,-1.5,39.8125,57,76,45,7,-2,13,-24,18,8,6,8,-0.701172,0.88623,1.12354,46.0625,52.1875,-117.125,111,114,32
29,-1,0,-5,1,-1,-2,-2,-2,0.090332,-0.858887,0.333496,-15.75,-9.875,38.0625,56,78,45,-13,-3,-7,28,-29,-21,-9,-1,-0.655273,0.978516,1.05957,78,-0.625,-72.25,112,117,31
30,2,-1,-8,9,5,3,1,1,0.0483398,-0.804688,0.301758,18.5625,-12.9375,73.5,56,81,46,-11,-7,-23,-32,-6,11,7,-1,-0.476562,0.913086,0.814453,52.5625,-29.5625,-34.75,113,117,29
31,-2,-9,-53,-15,-2,-3,-2,1,0.0512695,-0.854004,0.347168,70.3125,4.8125,122.562,57,87,48,-9,-6,-9,-12,6,-11,-8,-16,-0.397461,0.765625,0.722656,29.5,-31.75,-22.375,114,116,28
32,1,0,26,2,-2,8,5,3,0.00244141,-0.83252,0.378418,78.5625,39.125,149.375,59,93,49,-5,-1,-5,4,-4,0,-3,1,-0.404785,0.720215,0.565918,26.8125,-30.4375,-13.4375,114,116,28
33,3,3,18,27,5,-5,-4,0,-0.168457,-0.954102,0.52002,63.25,61.3125,150.875,61,103,50,-6,3,12,9,16,-2,-41,-10,-0.334961,0.671875,0.455566,-4.9375,-35.9375,-31.8125,114,116,26
34,-62,-5,-53,-10,-8,0,-4,-12,-0.302734,-0.84375,0.552734,59.3125,67.25,145.188,62,109,50,-1,-5,0,14,26,-3,6,-2,-0.395996,0.530762,0.517578,-63.5,-26.5625,-69.0625,112,117,24
35,28,-4,-7,33,10,-3,0,4,-0.383789,-0.69043,0.544434,8.1875,77.0625,138.812,64,118,51,16,1,-1,58,41,20,-19,-1,-0.494629,0.738281,0.536133,-36.3125,-6.125,-81.75,109,119,22
36,18,-9,-6,-6,5,-1,-2,-2,-0.727051,-0.503906,0.287598,-37.25,88.6875,161.188,63,125,52,6,5,4,39,31,-30,3,21,-0.473145,0.48877,0.620117,-66.1875,19.8125,-67.625,108,121,21
37,-1,-5,14,-20,-12,-4,-1,1,-0.56543,-0.146973,1.00244,91.5625,-18.875,-40.25,67,127,52,1,-5,-4,58,5,12,27,-9,-0.534668,0.331055,0.587891,-0.3125,44.9375,-71,107,124,20
38,-57,-16,17,-8,-7,-1,0,-4,-0.499512,-0.570312,0.653809,-195.375,-7.4375,-11.1875,64,127,52,5,2,5,19,39,-3,4,4,-1.18359,1.93018,1.26758,-4.8125,17.8125,-62.25,107,130,19
39,39,-7,-5,-2,-2,1,2,-2,-0.600098,-0.654297,0.333496,49.5,-5.875,-2.625,63,126,52,2,-2,-7,-41,-20,-8,-20,-3,-0.218262,0.0136719,0.843262,134.5,-15.5625,7.6875,105,127,18
40,-4,-2,-8,-3,0,-1,0,-2,-0.633789,-0.570801,0.312012,38.1875,5.5625,-1,64,127,52,-2,-1,2,-11,-3,-3,-19,-1,-0.718262,0.847168,0.514648,86.5,5.375,-11.25,108,127,18
41,-13,-9,-20,-6,-7,0,0,4,-0.571777,-0.589844,0.538574,54.75,-12.0625,-22.6875,65,126,52,1,-4,-1,-1,0,14,31,-1,-0.572754,0.196777,0.675781,-42.375,-1.875,-1.3125,107,127,18
42,1,-2,1,-1,-2,-1,1,-2,-0.552734,-0.774902,0.581543,-36.125,-11.125,-13.0625,65,124,52,-7,-2,0,-9,-12,-1,-10,-5,-0.672852,0.51416,0.665039,31.25,5.125,-2.4375,107,127,18
43,-3,1,4,0,-1,-1,0,-1,-0.530762,-0.739258,0.548828,14.25,-6.9375,-15.5625,64,123,52,2,-1,1,17,1,4,9,0,-0.599609,0.470703,0.664062,-17.5625,-0.875,4.875,107,127,18
44,2,2,8,2,1,0,-2,2,-0.541016,-0.636719,0.570801,-1.9375,-1.5,-6.875,64,123,52,0,-2,-2,-7,-30,-10,-3,-1,-0.601074,0.487793,0.641602,4.5625,3.3125,2.3125,107,127,18
45,10,1,2,1,0,-1,-1,0,-0.533203,-0.665039,0.549805,-1.375,-2.9375,-3.125,64,123,52,-1,0,2,10,-10,-11,-8,-2,-0.584473,0.510254,0.634277,5.9375,-0.625,-4,108,127,18
46,1,-1,-2,2,-1,-1,-2,2,-0.526367,-0.692383,0.54834,0.5,-4.5625,-2.4375,64,122,52,3,1,-1,0,10,1,-2,0,-0.629395,0.5,0.646484,5.1875,0.0625,-4,108,127,18
47,0,1,-3,0,-1,0,-1,0,-0.504395,-0.692383,0.54541,-2.0625,-1.8125,0.9375,64,122,52,-2,0,1,0,12,3,-25,-2,-0.644531,0.474121,0.646973,3.3125,0.625,-0.125,108,127,18
48,-28,-16,-3,-3,-3,-3,-2,-9,-0.523926,-0.67627,0.554688,0.5,3.6875,2.75,64,122,52,-4,-3,-5,-14,0,-2,-5,-2,-0.598633,0.494629,0.652344,-2.6875,2.375,1.75,108,127,18
49,-9,-2,0,-2,0,-1,-1,0,-0.544922,-0.662598,0.549316,-4.625,2.25,-2.0625,64,122,52,-1,1,-6,-7,-4,2,-1,1,-0.597168,0.517578,0.63623,-3.4375,3,0.25,108,127,18
50,15,1,0,0,0,-2,0,7,-0.562012,-0.677734,0.549316,-3.9375,0.375,-0.625,64,122,52,-3,0,-2,0,-1,-4,-19,-7,-0.617676,0.494629,0.624512,-0.375,1.0625,0.9375,108,127,19
