Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,-0.141602,-0.587891,0.822754,-0.125,0.375,0.25,72,98,45,0,0,0,0,0,0,0,0,-0.589355,0.414062,0.724121,-1,-1.1875,-0.0625,104,125,9
2,0,0,0,0,0,0,0,0,-0.141602,-0.587891,0.822754,-0.125,0.375,0.25,72,98,45,0,0,0,0,0,0,0,0,-0.587402,0.416504,0.711914,0.8125,-0.625,0.3125,104,125,9
3,-2,0,-1,0,-1,0,-3,-2,-0.140625,-0.578125,0.832031,-1.375,0.625,0.0625,72,98,45,-3,-2,-8,-28,-14,0,-1,2,-0.575195,0.370605,0.754395,8.625,0.9375,1.5625,105,125,9
4,0,-1,2,-1,0,-2,2,1,-0.128906,-0.589844,0.82666,-1.375,1.625,-0.0625,72,98,44,3,15,-3,20,-1,0,1,0,-0.612305,0.302734,0.699219,50.25,10.8125,3.3125,105,126,9
5,1,0,0,-5,0,-1,1,0,-0.144531,-0.596191,0.82959,0.0625,3.8125,2.375,72,98,44,0,-18,-106,-16,-100,-10,4,0,-0.63623,0.36377,0.710449,65.6875,14,5.375,106,126,9
6,-3,-3,0,0,-3,-3,1,-17,-0.163574,-0.593262,0.824707,2.25,1.625,1.5625,72,98,44,4,2,-9,32,14,-1,1,1,-0.714355,0.663086,0.769043,43.25,-14.8125,24.5625,108,126,10
7,0,-3,0,0,0,-1,-2,6,-0.15332,-0.577637,0.832031,3,-1.8125,0,72,98,44,6,8,-31,-24,0,-2,4,1,-0.608398,0.860352,0.822754,30.4375,-57.625,105.312,110,121,11
8,0,-2,-2,-2,1,-1,0,18,-0.146973,-0.56543,0.830566,1.5,-2.4375,0.1875,72,98,45,6,10,-18,-40,-11,-1,4,0,-0.554688,1.03955,0.783691,36.75,-71.3125,156,112,115,12
9,0,-1,-1,-2,-1,2,-1,-3,-0.142578,-0.573242,0.833496,-0.0625,-0.0625,0.5,72,98,45,2,-15,-5,-23,-10,-4,-1,0,-0.387207,0.958008,0.771973,-17.4375,-87,218.562,113,103,15
10,-2,-2,-4,-3,-1,-1,-8,-44,-0.138184,-0.57666,0.836426,1.25,2.875,0.5625,72,98,45,-5,3,7,-24,16,0,-7,-6,-0.191406,0.92041,0.722656,-36.5625,-83.1875,251.938,112,93,17
11,-1,0,-6,-2,0,-3,0,-8,-0.153809,-0.563965,0.838379,-0.25,1.4375,-0.4375,72,98,45,11,12,8,27,1,-2,-8,-1,0.0727539,0.64209,0.688477,-66,-73.6875,266.312,110,79,21
12,0,-4,-4,0,1,-1,-2,7,-0.147461,-0.594238,0.821289,-2.6875,0.1875,-0.125,72,98,45,4,9,-6,-28,-9,-5,-3,-1,0.210938,0.446777,0.661621,-72.625,-57.8125,248.125,107,67,27
13,-4,-1,1,-1,-1,0,-5,-10,-0.151855,-0.587891,0.831543,0.125,-0.125,-0.3125,72,98,45,-4,3,-1,-8,-56,-5,-19,-2,0.327637,0.275879,0.651855,-64.6875,-48.0625,231.062,104,60,30
14,0,-2,-1,-2,-1,0,5,2,-0.145996,-0.584961,0.829102,-0.8125,-0.3125,-0.125,72,98,45,-2,3,9,-9,-2,-11,9,-2,0.401367,0.16748,0.645508,-68.375,-41,199.438,100,55,34
15,0,-3,-1,-2,-3,-3,0,5,-0.144531,-0.587402,0.823242,0.25,-0.1875,-0.625,72,98,45,2,6,4,-13,33,0,4,3,0.480469,0.0200195,0.653809,-61.25,-30.5625,149.688,95,51,40
16,0,-1,-4,1,-1,0,1,12,-0.141113,-0.578125,0.839844,0.75,0.3125,0.6875,72,98,45,-1,-2,-5,-2,-3,4,12,2,0.540527,-0.121582,0.643555,-34.625,-15.25,104.938,90,49,45
17,1,-1,1,-2,-2,-2,-6,-6,-0.150391,-0.580566,0.830566,-0.1875,0,1.125,72,98,45,-6,-2,10,22,-3,0,-2,-3,0.559082,-0.109863,0.622559,-26.9375,-11.5,76.3125,88,48,47
18,0,-1,-3,-3,2,-2,-1,17,-0.147949,-0.581055,0.82666,-0.125,-0.1875,-0.0625,72,98,45,-2,-18,-32,-11,19,9,-9,-33,0.630371,-0.219727,0.641113,-21.875,-3.875,43.9375,86,48,49
19,-1,-1,0,-1,-3,0,-3,0,-0.140137,-0.580078,0.831543,0,0.5,0.0625,72,98,45,48,-31,1,-103,-106,-128,-27,52,0.696289,-0.308105,0.633789,-6.5625,-0.3125,30.25,84,48,51
20,-2,1,-4,0,0,-1,-2,18,-0.151367,-0.586426,0.82959,-0.4375,0.8125,0.5625,72,98,45,22,5,10,12,18,5,-47,-29,0.490234,-0.244141,0.905762,-21.8125,-25.6875,27.75,84,49,51
21,1,-2,-5,-1,-2,-1,0,2,-0.144043,-0.587891,0.825195,-0.1875,0.0625,0.5,72,98,45,31,6,-1,54,-13,-15,61,-27,0.593262,-0.245605,0.688477,-7,14.6875,3.3125,84,49,52
22,0,-2,-4,-2,-1,0,-3,5,-0.14209,-0.583496,0.830078,0.5625,0.5,0.75,72,98,45,-20,1,-21,-65,23,21,34,38,0.566895,-0.0571289,0.849609,16.875,15.625,-14.875,85,50,51
23,-2,-2,-1,-2,-8,-4,-3,0,-0.151855,-0.573242,0.82959,-0.5625,0.4375,0.3125,72,98,45,-4,2,19,24,16,-1,4,-3,0.6875,-0.394531,0.78418,-35.5625,1.75,-6.625,84,50,51
24,2,0,-2,0,0,1,6,11,-0.151367,-0.583496,0.825684,-0.875,-0.125,-0.25,72,98,45,-4,0,5,-23,-6,8,-5,3,0.625977,-0.0478516,0.737305,26.1875,7.6875,8.5625,84,50,51
25,2,1,0,-2,-1,-1,1,13,-0.148438,-0.578125,0.830078,0.875,-0.8125,-0.4375,72,98,45,0,1,-6,-4,10,11,6,1,0.68457,-0.195801,0.677734,2.25,2.375,2.875,84,50,51
26,-2,-4,0,-1,-1,-1,-2,5,-0.149902,-0.575195,0.833496,-0.625,-0.9375,-0.25,72,98,45,14,7,12,-3,-10,11,11,2,0.616211,-0.180664,0.770996,-3.25,1,4.125,84,50,51
27,2,-1,-1,-3,-1,1,1,0,-0.140625,-0.58252,0.827637,-0.3125,0,-0.9375,72,98,45,-16,8,32,45,-18,-35,13,26,0.665527,-0.187012,0.741699,-1.5625,-4.5,4.0625,84,50,51
28,0,-1,2,-2,0,-3,4,0,-0.141113,-0.583984,0.827637,0.125,0.6875,-0.3125,72,98,45,-38,-70,-78,-18,5,25,-79,-35,0.67627,-0.220215,0.757812,-2.9375,-4.5,-2.125,84,50,51
29,-1,-1,0,0,1,-2,-3,32,-0.147461,-0.594727,0.818848,-1,0.5,0.625,72,98,45,51,26,4,34,-24,-13,48,127,0.883789,-0.34082,0.539551,36.4375,-19.875,13.5625,84,49,52
30,2,-1,0,1,-2,-1,-1,1,-0.152344,-0.584961,0.819824,1,-0.3125,0.125,72,98,45,-59,-12,0,-26,2,15,11,-25,0.519043,-0.153809,0.760742,-36.75,4.0625,-5.875,84,49,52
31,-5,-1,-2,-2,-1,0,-3,-10,-0.149902,-0.570801,0.834961,0.0625,-2.5,-1.1875,72,98,45,2,-3,-5,5,-6,-23,-35,-5,0.678223,-0.254883,0.708984,11.5,5.3125,-23.6875,84,49,51
32,-1,0,-1,-2,-2,-1,2,1,-0.132324,-0.576172,0.828613,-2.3125,-2.125,-1.4375,72,98,45,9,7,-4,16,2,4,-22,5,0.561523,-0.240723,0.721191,-30,-12.375,-57.25,85,49,50
33,-10,-3,-3,-1,-4,-3,-6,-22,-0.129883,-0.583984,0.824219,-2.1875,-0.5,-0.6875,72,98,45,-9,-4,-8,-23,-19,-2,9,-5,0.48584,-0.363281,0.599121,-0.1875,21.0625,-134,86,48,46
34,-2,-1,-1,-2,-1,1,2,-4,-0.134766,-0.584473,0.827637,-2.25,0.3125,0.375,72,98,45,-3,0,2,3,5,-9,-18,-20,0.383301,-0.188965,0.581543,4.4375,33.3125,-183.375,89,49,42
35,-3,-1,1,1,0,-1,2,13,-0.141113,-0.589844,0.822754,-2.3125,0.375,0.5,72,98,45,0,2,9,29,2,0,-7,-2,0.40332,-0.211426,0.52832,51.875,59.75,-209.312,93,52,37
36,-4,0,0,0,1,-3,-3,-3,-0.134766,-0.597168,0.820801,-0.75,1.3125,0.4375,72,98,45,-7,-3,-16,-44,-40,-11,-6,-2,0.180176,0.248047,0.525879,94.5,93.875,-243.75,100,60,29
37,1,0,-3,-2,-1,-2,-7,0,-0.140625,-0.595703,0.816406,-0.4375,1.875,0.875,72,98,45,-2,-1,-4,-25,9,6,-1,0,-0.0078125,0.584961,0.633789,72.5625,87.0625,-255.5,105,72,23
38,-1,-1,0,-2,-1,-3,1,-5,-0.152344,-0.59082,0.82666,2.6875,1.0625,1.0625,72,98,45,1,-2,-4,11,32,9,-1,1,-0.183105,0.789062,0.745117,31.125,98.25,-245.625,107,86,18
39,1,-2,-2,-1,-1,0,-1,-1,-0.152832,-0.585449,0.796387,-1.8125,-0.125,3.4375,72,98,45,1,1,8,-48,-43,-6,-7,3,-0.265137,0.78125,0.850586,6.3125,121.25,-213.938,107,99,15
40,1,-2,-2,-1,0,-1,1,1,-0.118652,-0.584473,0.830078,10,-0.625,-4.1875,72,98,45,-9,-4,-10,-7,-9,-36,55,11,-0.5625,0.739746,0.889648,-5.125,116.812,-193,107,108,13
41,1,-3,-2,0,-4,-1,-1,14,-0.12793,-0.57373,0.857422,3.4375,2.6875,0.375,72,98,45,9,-1,-3,-10,11,19,23,-7,-0.615234,0.467773,0.705566,-3.5,128.5,-190.875,106,120,10
42,-2,0,-3,-2,-4,0,-3,-18,-0.189941,-0.595703,0.809082,-3.125,-0.25,2.3125,72,98,45,1,0,0,11,1,-10,-29,0,-1.42871,2.88867,1.71484,14.5625,-14.6875,-2.8125,105,124,9
43,1,-1,0,-2,1,0,3,-6,-0.124023,-0.571777,0.835938,5.375,-4.4375,-4.4375,72,98,45,4,0,-3,-32,-38,-31,-15,-3,-0.263672,0.14209,0.621094,102.375,7.625,30.1875,105,120,9
44,-3,1,-3,-1,-2,-1,-4,4,-0.114258,-0.538574,0.857422,-0.3125,-1.3125,0.1875,72,97,45,0,-4,-7,10,7,1,-6,0,-0.644531,0.592285,0.491211,-46.3125,17.8125,-29.375,105,122,9
45,0,-3,1,0,2,-1,-3,-4,-0.133789,-0.592773,0.816406,-5,3.1875,1.625,72,98,45,-3,-4,0,1,25,19,-7,3,-0.708008,0.402832,0.705566,-50.375,-8.3125,5.25,104,123,9
46,-3,-4,-3,-1,-4,-1,0,-11,-0.155273,-0.591309,0.824219,-0.25,2.5625,-0.25,72,98,45,5,4,-1,-2,-7,2,12,-5,-0.544922,0.28418,0.703613,26.4375,-9.6875,12.625,104,122,9
47,-2,-2,-2,-4,-1,0,-4,-11,-0.148926,-0.58252,0.821777,-1.1875,-0.875,-0.375,72,98,45,-3,0,-4,4,2,6,-89,-8,-0.568359,0.588867,0.807129,16.3125,-1.6875,-3.8125,105,122,9
48,-1,0,-1,0,-1,-1,-2,-6,-0.140625,-0.577637,0.82959,0.1875,0.5,0,72,98,45,-5,-2,-3,-4,-3,8,33,5,-0.555664,0.414551,0.66748,0.5,-1.4375,-0.5,105,122,9
49,1,1,-2,-1,-3,-1,-1,6,-0.147461,-0.583008,0.82959,-0.4375,1.375,0.5625,72,98,45,3,-1,-2,2,32,-11,7,1,-0.565918,0.474609,0.691406,-2.8125,2.4375,-4.875,105,122,9
50,2,-2,0,-2,-1,-1,1,-1,-0.143066,-0.587402,0.824219,0.0625,-0.125,-0.875,72,98,45,-1,0,1,0,-17,9,36,3,-0.558105,0.4375,0.724121,-3.8125,1.1875,-0.0625,105,122,9
