Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,-0.222168,-0.648926,0.763184,1.0625,-0.3125,-0.375,70,101,56,0,0,0,0,0,0,0,0,-0.625,0.363281,0.726562,1.375,0,0.25,103,127,78
2,0,0,0,0,0,0,0,0,-0.211914,-0.648438,0.775391,1.75,-0.625,-0.3125,70,101,56,0,0,0,0,0,0,0,0,-0.623535,0.369629,0.735352,0.5625,0.3125,-0.0625,103,127,78
3,-2,-2,-2,-2,-2,-3,-3,-1,-0.195801,-0.635254,0.774414,5.1875,0.375,2.125,70,101,56,1,-3,-3,-3,-1,-3,2,-1,-0.608398,0.379883,0.761719,-2.4375,1.4375,0.75,103,127,78
4,1,-2,0,-2,-1,-1,0,-1,-0.208496,-0.623535,0.780762,4,1,3.625,70,101,56,-2,1,4,3,10,12,-2,-1,-0.697266,0.267578,0.945801,9.75,17.75,12.625,103,127,78
5,-1,-1,0,-2,0,-2,-1,-2,-0.220703,-0.624023,0.782227,3,1,3.5,70,102,56,5,-1,-12,-9,-2,0,0,2,-0.664551,0.280762,1.03662,50,25,22.125,104,127,78
6,-1,-2,-1,-2,-3,0,-1,-2,-0.221191,-0.611328,0.782227,4.0625,-1.625,1.4375,70,102,56,1,-6,-10,-26,-8,-1,-1,0,-0.681641,0.515625,1.05273,19,-76.1875,19.1875,105,123,78
7,0,-3,-1,0,-1,1,-1,0,-0.212891,-0.606445,0.788086,4.25,-2.1875,2.125,70,102,56,-1,8,6,4,-1,22,2,1,-0.758301,0.563965,0.987793,41.3125,-85.3125,43.5625,106,120,78
8,-1,2,-1,-2,-1,-3,-1,-1,-0.21875,-0.610352,0.795898,1.625,0.0625,2.5,71,102,56,13,0,0,-1,12,11,-6,1,-0.624512,0.87793,0.95752,-43.5625,-119.812,99.125,106,112,78
9,-1,-1,7,8,0,-2,-1,-1,-0.223633,-0.617676,0.783203,-0.25,0.625,2,70,102,56,0,-3,-5,-5,2,-9,5,12,-0.518555,0.664551,0.970703,-77,-134.625,122.25,105,105,79
10,-1,-2,-2,-2,0,-1,-1,-1,-0.220703,-0.60791,0.783691,1.125,0.0625,0.3125,71,102,56,-4,-7,-5,-3,-3,3,-27,-11,-0.247559,0.59668,0.944336,-52.625,-128.562,147.562,103,94,81
11,-1,-3,-3,-2,-2,-1,-1,0,-0.224121,-0.60791,0.791504,-1.25,-1.75,-0.875,71,102,56,9,1,2,8,17,5,1,-12,-0.0878906,0.522461,0.859375,-58.125,-103.25,142.562,102,88,82
12,-2,-2,-1,0,-1,-2,0,0,-0.216309,-0.62793,0.788086,-1.8125,-1.625,-1.625,70,102,56,-7,-3,0,3,33,9,8,-5,-0.0444336,0.621094,0.647461,-39.0625,-71.5625,138.312,101,80,85
13,-3,1,-2,-1,-2,1,-3,-1,-0.216309,-0.614746,0.789062,3.0625,0,-2.5,70,102,56,-10,-3,-3,2,15,5,4,-21,0.0600586,0.341309,0.634766,-88.625,-70.25,157.75,98,73,89
14,-2,0,-2,-2,-3,-1,-2,-1,-0.221191,-0.609375,0.794922,0.6875,-1.25,-3.75,71,102,56,-8,-5,-4,-2,-55,6,-7,-7,0.180664,0.223145,0.650879,-65.6875,-64.25,166.562,95,69,92
15,0,-1,0,-1,-1,-1,-1,-3,-0.203125,-0.625,0.789062,-0.25,-0.5625,-4.25,70,101,56,4,-2,-10,-10,-6,-6,-1,-1,0.23291,0.122559,0.636719,-63.1875,-56.375,175.562,91,65,97
16,-1,-2,-1,0,-2,0,0,1,-0.183594,-0.616699,0.789551,0.75,-0.375,-1.75,70,101,56,1,-2,-2,-8,-25,-23,-4,-1,0.296387,-0.0458984,0.63916,-59.0625,-45.0625,181.938,88,63,101
17,-1,-1,0,-1,-1,-1,-3,0,-0.198242,-0.621582,0.786621,-0.1875,0.9375,2.75,70,101,56,-8,-12,-22,-19,-25,1,1,-1,0.354492,-0.277832,0.680664,-46.8125,-35.75,161.5,84,61,107
18,0,-1,-1,-1,1,-2,0,0,-0.21582,-0.609375,0.788086,1.875,1.25,3.5,71,101,56,-1,3,15,17,18,8,-1,1,0.441406,-0.579102,0.749512,-45.6875,-20.8125,95.5,81,62,111
19,-1,-1,-1,-1,-1,0,-1,-1,-0.215332,-0.614258,0.800781,1.5625,1.3125,3.5625,71,102,56,7,0,7,12,10,2,0,6,0.512207,-0.685547,0.791504,-27.25,0.75,13.875,79,62,113
20,-1,0,-1,1,0,0,-2,-1,-0.229004,-0.608887,0.793945,1.3125,1.125,3.9375,71,102,56,-7,-1,0,3,-13,-3,-11,-9,0.473145,-0.539551,0.834961,-21.0625,22.875,-77.5625,79,62,111
