Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,-0.660156,-0.21875,0.669434,-85.75,23.0625,-12.875,73,122,55,0,0,0,0,0,0,0,0,-0.483398,0.413574,0.804199,1.125,0.4375,0.375,104,118,89
2,0,0,0,0,0,0,0,0,-0.595703,-0.587402,0.974121,-172.312,10.4375,-18.9375,71,122,55,0,0,0,0,0,0,0,0,-0.481445,0.416504,0.814941,1.3125,0.4375,0.25,104,118,89
3,7,5,-1,16,14,2,-3,0,-0.55127,-0.742676,0.501465,-141.688,-17.0625,-68.9375,66,119,54,-1,0,0,8,-28,-3,-4,-3,-0.487793,0.412109,0.823242,2.5625,2.125,0.625,104,118,89
4,6,11,5,10,-3,-1,-3,7,-0.399414,-1.06885,0.515137,-133.812,-22.625,-126.375,62,115,52,-1,-9,-17,-10,25,-1,-2,1,-0.519043,0.361816,0.92041,87.625,41.9375,26.4375,105,119,90
5,-4,4,8,43,27,8,7,-19,-0.22168,-1.02051,0.415527,-64.3125,1.0625,-150.562,59,107,50,3,7,17,-5,-16,-1,4,1,-0.588379,0.745605,0.530273,49.9375,7.5625,30.375,107,119,91
6,-7,-15,-5,-1,-10,-3,0,-4,-0.117676,-1.12842,0.40918,-21.25,37.1875,-162.062,57,99,47,-4,-8,-16,-7,-4,0,0,-12,-0.627441,0.585938,0.86084,29.875,-41.3125,80.6875,109,116,92
7,-1,-2,2,14,4,-1,4,9,-0.0380859,-0.866211,0.422852,25.25,57.0625,-151,57,91,44,4,-3,-13,-1,1,-3,-4,5,-0.370117,0.775391,0.910645,-60.8125,-73.3125,158.812,109,108,94
8,-7,-10,-24,-3,15,0,-2,-4,-0.0600586,-0.915039,0.41748,24.8125,69.75,-130.75,58,88,41,19,18,27,25,2,-11,-1,-10,-0.145508,0.71875,0.80957,-50.8125,-59.6875,193.688,109,101,97
9,1,-1,-7,-2,1,7,19,0,-0.0522461,-0.831055,0.407227,50.0625,76.5625,-111.5,59,85,39,-9,4,-2,-14,0,-12,-1,3,0.0302734,0.517578,0.883301,-83.5625,-57.0625,201.562,107,91,100
10,-1,7,-14,-11,3,0,-7,-3,-0.0761719,-0.75293,0.577637,42.9375,85.125,-89.0625,60,83,35,53,20,3,-41,-52,4,-15,24,0.140137,0.315918,0.925781,-96.6875,-34.125,192.625,105,85,103
11,-28,-14,-8,1,-11,-6,12,-5,-0.173828,-1.10791,0.649902,-28.8125,11.0625,-34.375,60,82,34,60,-15,-14,7,-2,-13,-16,1,0.154785,0.220215,0.95459,-106.875,-13.5625,134.625,101,80,107
12,3,5,14,-6,1,-1,-13,0,0.0605469,-0.703125,0.57959,109.5,-21.375,-17.5625,62,82,34,12,-12,12,66,101,13,14,14,0.206543,0.0449219,0.941406,-70.875,-11.375,75.4375,98,77,110
13,-1,-15,-7,5,8,-2,4,4,0.119141,-1.17725,0.539062,-12.125,0.8125,-38.4375,62,80,33,-32,-12,-2,8,32,-4,-3,4,-0.0332031,0.216797,1.00293,-51.625,-23.125,26.625,96,77,111
14,-2,-4,3,-3,-51,-19,-18,-1,0.222168,-0.45166,0.500977,28.125,-3.8125,-16.1875,63,79,33,13,6,3,-6,-10,-1,-5,-11,0.327148,0.0615234,0.86084,7.25,-51.4375,6.75,95,74,111
