Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,-0.681152,-0.432617,0.609863,0,-0.375,-0.25,72,132,92,0,0,0,0,0,0,0,0,-0.687012,-0.304688,0.693359,0.875,-0.8125,0.0625,78,132,22
2,0,0,0,0,0,0,0,0,-0.685547,-0.435547,0.609375,0.875,-0.375,0,72,132,92,0,0,0,0,0,0,0,0,-0.694824,-0.304199,0.706543,0.75,0,0,78,132,22
3,0,2,-6,-3,19,21,3,0,-0.674805,-0.355957,0.664062,-8.375,3.5,-5.625,72,132,92,-4,2,-1,-1,-3,-2,0,16,-0.684082,-0.308105,0.69873,2.375,-0.1875,0.125,78,132,22
4,-3,-6,-7,-13,-8,-1,-5,-4,-0.74707,-0.234375,0.618164,-57.5,9.6875,-21.0625,71,132,91,-2,1,-2,-1,-1,-2,1,-6,-0.69043,-0.302734,0.702148,-0.6875,-0.5625,0.125,78,132,22
5,-5,-13,0,14,17,8,-3,-5,-0.802246,-0.493164,0.522461,-89,-18.3125,-30.3125,68,131,91,1,-3,0,1,-1,-1,-3,-2,-0.691406,-0.305664,0.695312,1.125,-0.6875,0,78,132,22
6,-1,0,4,-3,-13,7,1,0,-0.633301,-0.647461,0.430664,-29.4375,-67.125,-65.5,67,127,91,-4,-1,1,4,1,2,-1,5,-0.689453,-0.312012,0.685059,2.25,-0.875,-0.25,78,132,22
7,0,5,3,-42,-67,-18,-5,-2,-0.672852,-0.61084,0.470215,-78.4375,-67.4375,-89.375,65,123,90,1,2,0,-1,18,1,-1,-3,-0.685547,-0.350586,0.69873,11.9375,-2,1,78,132,22
8,-2,-4,-8,-9,-18,-17,-5,-1,-0.378906,-1.16602,0.585938,-161.5,-82.25,-129.188,60,115,90,2,0,5,25,30,-4,-1,11,-0.744141,-0.42041,0.73877,66.125,5.8125,12.75,79,132,22
9,-11,-1,-12,-8,4,-2,-3,-8,-0.17041,-1.22168,0.672852,-30.5,-86.9375,-154.75,59,108,90,-1,-2,-14,-25,-7,-1,-1,0,-0.748535,-0.394531,0.634766,112.875,-16.5,19,82,132,22
10,-50,1,4,8,3,2,-2,-17,0.0419922,-0.765625,0.634277,5.0625,-83.0625,-131.75,60,97,90,-2,2,4,33,24,-16,-10,-3,-0.766602,0.00390625,0.610352,127.125,-35.1875,16.5,85,131,23
11,-26,17,29,-7,0,1,0,-13,-0.0131836,-0.826172,0.575684,-25.1875,-76.5,-114.062,59,92,90,0,-3,-6,-5,13,22,4,0,-0.722656,0.14502,0.838867,69.0625,-64.5625,22.0625,88,129,24
12,-2,-8,9,0,0,-3,-9,-6,0.0454102,-0.834961,0.458008,0.875,-68.125,-76.75,59,85,91,4,5,13,31,18,6,-2,0,-0.628906,0.152832,1.14355,46.375,-116.812,41.6875,90,123,25
13,-21,11,17,4,4,1,-3,0,0.0849609,-0.745117,0.399414,14.25,-40.5,-60.9375,59,82,91,-2,-1,1,1,7,8,4,-1,-0.510254,0.240723,1.24072,12.6875,-145.5,60.6875,91,117,26
