timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
192491478532,0,0,0,-2,-1,-1,-3,-1
192491478532,-1,-5,0,-2,0,-1,1,0
192491479382,-1,0,1,1,0,0,0,-2
192491479382,-2,-4,-1,-1,0,0,0,-1
192491481165,1,0,1,-1,0,0,0,2
192491481165,2,12,3,0,0,0,-2,2
192491481975,-1,0,0,-2,-1,-1,-3,1
192491481975,-1,0,2,0,1,-1,0,0
192491488637,-4,-13,-4,-2,-1,0,1,0
192491488637,0,17,-2,-2,0,-2,-2,-1
192491494885,-1,-11,3,-2,-1,-1,-1,-1
192491494885,2,-1,-9,-5,-2,-1,-2,-1
192491509831,-3,-7,-2,1,-1,-2,-1,0
192491509831,2,0,-4,-2,-2,-3,0,-1
192491518469,-2,-1,0,0,0,-2,-1,-1
192491518469,0,9,0,0,-2,-3,-2,-1
192491526307,0,5,0,0,-1,-1,-1,-1
192491526307,-2,-9,1,0,0,-1,0,-1
192491548764,2,-3,-2,0,0,-1,0,1
192491548764,-3,-7,3,1,0,0,0,-1
192491550407,2,11,1,1,-2,-1,-1,-1
192491550407,0,-13,1,-1,-1,-1,-1,-3
192491596427,-2,6,1,-2,0,0,-1,-2
192491596427,-1,-6,-3,-1,-1,-1,0,0
192491597288,-1,2,-1,1,-1,0,-1,-1
192491597288,0,-6,-2,1,-2,1,-1,-2
192491609347,-1,-1,4,0,-1,1,-1,-1
192491609347,-1,2,-11,-4,0,1,1,-2
192491609903,1,-4,0,-1,0,-1,-1,-2
192491609903,0,-5,0,0,-1,0,-1,0
192491611567,-1,11,-1,1,0,-1,1,-1
192491611567,-1,5,3,-2,-2,0,0,0
192491614805,0,2,0,0,0,0,0,-1
192491614805,-3,2,-2,-3,1,1,-1,-3
192491623653,1,-9,-1,0,-1,1,0,0
192491623653,1,0,2,2,0,0,-3,-2
192491637199,0,0,-4,-1,-1,0,-1,-3
192491637199,-1,-5,1,1,-1,0,0,-2
192491646103,-1,1,-5,-2,-2,-1,-1,-1
192491646103,0,0,0,-3,1,2,0,0
192491668443,-2,-2,2,0,-1,0,0,1
192491668443,-1,-1,-1,2,4,0,-2,-1
192491670039,0,-5,-2,-1,0,-1,0,-1
192491670039,2,2,2,0,-1,0,0,-1
192491682090,-2,-1,8,0,-3,-2,0,-1
