timestamp,x,y,z
176300231967,2.0625,0.875,-2.8125
176300233568,-0.3125,-2.4375,-2.6875
176300245565,-4.8125,-4.5,-3.3125
176300268195,-8.1875,-6.0625,-3.5625
176300292160,-0.9375,-6.375,-6.125
176300305695,2.8125,-6.1875,-6.8125
176300326853,2.5,-5.375,-7.6875
176300349287,1.125,-4.75,-6.9375
176300367109,1.1875,-4.4375,-5
176300386803,3.3125,-4,-0.9375
176300409296,6.3125,-3.0625,1.0625
176300425570,6.3125,-1.375,-1
176300446649,6.4375,-0.5625,0.25
176300469231,6.625,0.4375,2.3125
176300485664,7,1.375,0.875
176300509543,6.9375,1.8125,0
176300529157,7.1875,2.875,0.1875
176300545622,5.625,3.375,1.25
176300574327,1.9375,4.0625,0.5625
176300589181,-0.0625,4,-0.3125
176300605602,0,4,-0.5
176300626736,0.6875,3.8125,-0.625
176300649151,0.1875,3.125,-0.3125
176300665574,0,2.1875,0
176300686596,-1.75,1.25,-0.6875
176300709105,-3.6875,0.6875,-0.75
176300725764,-5.25,-0.125,0.875
176300746565,-7.125,-0.9375,1.375
176300769092,-7.3125,-1.625,1.625
176300787132,-9.125,-2,1.125
176300806769,-9.125,-1.8125,0.4375
176300829331,-8,-1.8125,0.8125
176300847735,-6.5625,-2.1875,0.625
176300866587,-5.625,-1.75,-0.25
176300889310,-5.875,-1.75,-0.25
176300907005,-5.125,-1.5,0.1875
176300926871,-3.75,-1.5,0.5625
176300949275,-1,-1.1875,0.125
176300967073,1.625,-0.5625,-0.5
176300986789,1.6875,-0.125,-0.875
176301009155,1.25,0.375,-0.625
176301027040,1.25,0.75,-0.375
176301046807,3,0.5625,-0.125
176301069143,4.625,0.4375,0.1875
176301087055,5.75,0.125,0.25
176301106640,4.5,0.4375,-0.8125
176301129216,3.1875,1.25,-0.5625
176301147001,2.25,1.1875,-0.0625
176301166761,2.1875,0.6875,0.4375
176301189185,2,0.4375,0.75
176301207049,1.1875,0.6875,0.8125
176301226775,0.6875,0.5625,0.9375
176301249175,1.5,0.0625,0.9375
176301267226,2.5625,-0.4375,0.625
176301286765,2.6875,-1.25,0.5625
176301309309,-0.5625,-1.125,0.375
176301327057,-4.625,-2.125,1.5
176301348074,-0.75,-2.5,0.625
176301369144,1.125,-2.0625,1.0625
176301387027,3.875,-1.6875,0.9375
176301408063,4.25,0.1875,0.3125
176301429302,0.8125,1.3125,1.1875
176301447048,1.6875,1.1875,-0.125
176301468163,4.4375,-0.125,-0.375
176301489287,8.625,-1.75,-0.1875
176301507017,5.875,-3.125,-2.0625
176301528114,1.9375,-5.1875,-4.125
176301549239,1.625,-7.9375,-6.1875
176301567033,7.125,-11.9375,-11.5
176301588097,18.25,-16.8125,-17.8125
176301616696,25.75,-27,-27.25
176301631734,38.9375,-38.1875,-35.6875
176301649538,50.0625,-46.875,-41.3125
176301669198,59,-53.75,-52.75
176301691709,60.125,-64.25,-64
176301709545,54.5625,-77.3125,-70.125
176301729133,44.75,-87.4375,-73.4375
176301751759,29,-96.375,-84.4375
176301769507,20.375,-106.625,-95.625
176301789230,19,-120.5,-102.75
176301811769,19.4375,-133.125,-104.062
176301829738,16.375,-144.875,-105.5
176301849289,10.1875,-154.125,-115.5
176301871603,0.9375,-163.188,-124.062
176301897054,-0.0625,-171.5,-131
176301909182,-1.3125,-180.625,-131.312
176301933157,-4.0625,-188.125,-130.125
176301955474,-5.125,-190.75,-134.688
176301969036,-7.8125,-191.375,-138.312
176301991530,-10.0625,-194.312,-137.75
176302009462,-10.3125,-197,-134.812
176302029098,-6,-198,-131.938
176302051754,-6.375,-198.125,-129.938
176302069533,-11.75,-199.125,-127.188
176302089218,-11.8125,-194.938,-122.812
176302111530,-13.3125,-189.25,-121.75
176302129486,-16.0625,-184.188,-120.438
176302149151,-14.0625,-178.875,-115.875
176302171639,-10.3125,-171.188,-109.562
176302189530,-6,-162.438,-101.625
176302216643,-7.1875,-152.438,-93.6875
176302239257,-3.5,-140.312,-85.625
176302249563,-3.1875,-123.188,-79.25
176302269092,-7.625,-108.75,-68.375
176302291780,-5.0625,-94.625,-58.5625
176302309519,1.5625,-78.125,-49.6875
176302330536,1.8125,-63.4375,-45.4375
176302351574,3.3125,-51.1875,-35.625
176302369515,1.9375,-38.75,-27.9375
176302390624,-0.125,-31,-22.125
176302411674,2.25,-24.625,-16.0625
176302429515,3.25,-16.6875,-8.5625
176302450574,3.625,-11.25,-3.125
176302471701,2.625,-7.5,-0.8125
176302489495,-2.125,-1.125,1.625
176302510492,-2,4.8125,4.5
176302526947,-1.125,9.3125,9.375
176302549457,-2.9375,11.8125,10.25
176302570683,-1.5625,11.25,10.5
176302586999,-0.6875,11.5625,11.375
176302609472,-2.4375,10.5625,14
176302630509,-0.0625,7.5625,13.75
176302646997,3.9375,9.9375,11.9375
176302669535,5.1875,6.6875,11.3125
176302692075,0.6875,6.5625,5.75
176302706987,-2.0625,2.5625,1.875
176302728728,2.375,-1.1875,-1.625
176302751231,1.875,-1.75,-3.625
176302772372,-1.625,-2.6875,-4.4375
176302789090,-1.125,-4.1875,-4.9375
176302811133,2.625,-0.9375,-2.5
176302832371,-0.5,3.625,-3.375
176302848680,-8.5,0,-8.125
176302871216,-1.625,-6.3125,-7.75
176302885703,6.1875,-5.9375,-3
176302908691,6.1875,-0.875,-1.6875
176302931267,-1.0625,1.125,-2.3125
176302945550,-7.1875,-0.4375,-1.1875
176302968672,-0.9375,-2.0625,-0.75
176302991174,5.6875,-1.8125,-0.6875
176303005600,3.6875,-0.25,0.6875
176303028742,-0.0625,2.5,2.5
176303051663,-1.6875,3.125,1.25
176303065435,0.9375,2.25,0.4375
176303088608,1.9375,1.3125,-0.5
176303111291,0.9375,1.6875,1
176303125516,0.4375,2.6875,1.9375
176303148692,1.375,4.375,2.25
176303171186,1.375,3.5625,2.3125
176303192206,0.625,1.6875,2.75
176303208745,2.75,0.4375,1.4375
176303231172,3.1875,2.125,1.3125
176303252407,-0.375,4.125,2.5625
176303268668,-1,3.4375,3.625
176303291088,3.3125,0.5625,0.625
176303312256,6,0,2.3125
176303328679,4.25,2,-1.3125
176303351115,2,0.75,-0.9375
176303372299,-2.4375,-0.5625,-3.3125
176303388577,-7.1875,-0.5625,-2.125
176303411112,1.0625,-0.125,2.875
176303432222,1.8125,2.25,1.5
176303448631,-7.875,1.75,-5.375
176303471145,-3.6875,-7.4375,-7.3125
176303492230,5.875,-9.5625,-2.125
176303508599,7.4375,-2.125,-0.375
176303531172,-5.0625,1.1875,-1.375
176303552344,-9.375,-1.8125,-0.6875
176303568627,0.6875,-4.25,-0.5
176303597131,5.3125,-3.5625,-0.75
176303621093,2.3125,-1.8125,-0.125
176303628635,-2.25,-0.6875,0.625
176303651139,-3.25,0.1875,0.3125
176303673669,-0.125,-0.1875,0.1875
176303687965,2.1875,-0.5625,-0.375
176303711063,1.8125,-0.0625,-0.3125
176303733631,0.5,1,-0.9375
176303748610,-0.0625,0.6875,-0.75
176303771281,0,0.375,-0.125
176303793709,2.0625,0.8125,0.9375
176303807948,4.5,0,1.0625
176303831087,5.9375,-2.6875,2
176303861092,3.375,0.625,1.5
176303867949,-2.1875,0.4375,-0.1875
176303898606,-2.125,0.0625,1.125
176303913734,5.875,-3.625,1.9375
176303928024,7.25,0.0625,1.5625
176303951088,0.5625,3.375,1.4375
176303973601,-0.375,2.1875,1.375
176303987944,-0.5625,0.9375,-0.25
176304011247,-6.1875,1.4375,-2.375
176304033533,-4.875,-2.4375,-0.125
176304047943,7.5625,5.125,8.6875
176304071102,-7.125,11,0.8125
176304093582,-17,0.0625,-9.6875
176304114589,9.75,-11.4375,-8.6875
176304138775,13.5625,-4.5625,-1.5
176304161157,0.875,3.625,-0.4375
176304174669,-8.0625,2.4375,1.5625
176304191478,-4.1875,-0.875,1.6875
176304213669,4.625,-1.5625,-0.5
176304251693,5.8125,-1.3125,-0.75
176304254101,-0.3125,-0.125,-0.5625
176304273695,-5.1875,0.9375,0.25
176304296058,-1.1875,0.1875,-0.4375
176304311528,3.625,-0.4375,-1
176304333580,2.125,-0.0625,-1.5625
176304354663,-0.6875,0.125,-1.1875
176304371145,-1.8125,-0.125,-0.25
176304393582,-0.5625,0.6875,-0.375
176304422095,1.5625,1.0625,0.5
176304431060,0.875,1.6875,1.125
176304453275,-0.0625,3.25,1.5625
176304476049,0.125,4.1875,2.0625
176304491049,1,6.5,2.75
176304513568,0.4375,9.75,3.375
176304534566,1,13.4375,5.4375
176304550470,1.375,19.25,6.625
176304573513,2,26.625,8.75
176304596090,3,36.5625,13.3125
176304610395,2.5625,49.8125,24.1875
176304633640,-0.6875,66.125,41.375
176304656118,0.75,81.5,52.875
176304677054,5.875,92.75,62.5
176304693540,8.875,104.125,76.9375
176304716182,7.6875,116.75,90.375
176304737327,6.0625,124.562,85.875
176304753839,4,123.438,74.6875
176304776120,3.875,131.188,76.8125
176304797644,3.1875,142,88
176304813589,1.6875,150.875,87.9375
176304836111,3.6875,158.25,80
176304857156,1.3125,167.312,87.8125
176304873478,0,175.875,102.312
176304896054,-0.375,182.938,113.312
176304917303,-3.4375,191.062,117.25
176304933481,-2.4375,197.562,112.312
176304956047,2.75,200.312,112.125
176304977049,-0.0625,203.75,119.188
176304993441,-7,199.875,121.5
176305016064,5.75,194.062,114.188
176305037239,17.8125,192,107.25
176305053546,18.25,192.25,106.062
176305076071,13.875,190.438,101.312
176305097226,15.5625,182.75,96
176305113577,20.875,176.125,92.3125
176305136082,22.75,170.188,90.0625
176305157309,21.3125,169.875,84.6875
176305173572,10.375,170.062,78.125
176305196079,1.0625,166.812,70.5625
176305224590,-4.9375,157.75,66.5625
176305232942,-2.625,146.875,62.3125
176305263589,9.1875,137.188,53.75
176305276970,23,126.25,45
176305294145,36.875,113.312,34.6875
176305316103,57.125,98.8125,20.25
176305338473,79.75,81.1875,5.25
176305352858,102,63.3125,-9.75
176305376197,106.062,46.625,-22.1875
176305397076,109.125,19.8125,-33.9375
176305412862,91,1.25,-43.9375
176305435971,80.0625,2,-58.25
176305458562,60.875,-12.625,-57.875
176305472828,43.25,-22.875,-62.4375
176305503579,27.1875,-30,-63.6875
176305524694,16.375,-37.1875,-63.5
176305532836,8.9375,-44.25,-61.6875
176305563509,4.5,-50.875,-57.375
176305578532,-3.5625,-55.875,-52.75
176305592895,-9.6875,-58.4375,-48.5625
176305616052,-16,-60.3125,-42.375
176305638513,-25.0625,-60.8125,-36.0625
176305659574,-27.625,-60.625,-30.5625
176305676066,-29.1875,-60.3125,-23.5
176305698599,-28.9375,-58.1875,-17.625
176305719697,-25.625,-54.9375,-11.5625
176305736348,-25,-52.0625,-4.9375
176305758472,-22.75,-48.5,1.125
176305779666,-21.5,-44.4375,6.75
176305796070,-21.625,-40.4375,12.4375
176305818965,-21.75,-35.9375,17.6875
176305841082,-21.5625,-29.6875,23.25
176305862058,-20.875,-24.125,28.375
176305878482,-19.75,-18.75,33.1875
176305899705,-22.3125,-12.875,39.125
176305916001,-30.125,-6.4375,44.0625
176305938641,-35.75,-0.875,47.625
176305959560,-42.875,2.875,53.1875
176305976011,-51.9375,5.4375,60.5
176305998540,-63.9375,7.375,65.75
176306019489,-75.9375,8.875,68.5625
176306036031,-89.5625,7.8125,73.3125
176306058535,-103.188,6.375,77.0625
176306079529,-109.562,5.625,77.625
176306096157,-107.562,5.75,69.5
176306119802,-89.6875,4.0625,62.4375
176306139650,-75,-2.0625,64.875
